,author_id,lang,id,text,edit_history_tweet_ids,created_at
0,25029937,en,1593048874746531840,"Nancy Malcun has a show on 11/18/2022 at 06:00 PM @ The Seed: A Living Beer Project in Atlantic City, NJ https://t.co/LrL3a0t6Uz #concert https://t.co/QztZUZpnNo",['1593048874746531840'],2022-11-17T01:10:23.000Z
1,25029937,en,1592723321891823623,"Nancy Malcun has a show on 11/16/2022 at 06:00 PM @ Andre's Wine Bar &amp; Grill in Brigantine, NJ https://t.co/nfYULxmRtd #concert https://t.co/QztZUZoPXQ",['1592723321891823623'],2022-11-16T03:36:45.000Z
2,25029937,en,1592675300638425089,"Nancy Malcun has a show on 11/17/2022 at 06:00 PM @ Double Eagle Saloon in Vineland, NJ https://t.co/IkX2uKgyJw #concert https://t.co/QztZUZoPXQ",['1592675300638425089'],2022-11-16T00:25:56.000Z
3,25029937,en,1592339984161415169,"Nancy Malcun has a show on 11/16/2022 at 06:00 PM @ Andre's Wine Bar &amp; Grill in Brigantine, NJ https://t.co/PdhmqE3HN5 #concert https://t.co/QztZUZoPXQ",['1592339984161415169'],2022-11-15T02:13:31.000Z
4,25029937,en,1590479638987505665,"Nancy Malcun has a show on 11/11/2022 at 06:00 PM @ Eastlyn Golf Course &amp; The Greenview Inn in Vineland, NJ https://t.co/1EO6MDHznL #concert https://t.co/QztZUZoPXQ",['1590479638987505665'],2022-11-09T23:01:10.000Z
5,25029937,en,1590140217104781312,"Nancy Malcun has a show on 11/10/2022 at 06:00 PM @ Annata Wine Bar in Hammonton, NJ https://t.co/lqLpgIcfaD #concert https://t.co/QztZUZoPXQ",['1590140217104781312'],2022-11-09T00:32:25.000Z
6,25029937,en,1588555339963711490,"Nancy Malcun has a show on 11/06/2022 at 10:00 AM @ McGettigan's 19th Hole Tavern in Absecon, NJ https://t.co/GN8U9whsQr #concert https://t.co/QztZUZoPXQ",['1588555339963711490'],2022-11-04T15:34:41.000Z
7,25029937,en,1585957353106669573,"Nancy Malcun has a show on 10/28/2022 at 06:00 PM @ Yacht Club of Stone Harbor in Stone Harbor, NJ https://t.co/yK8sFlL58p #concert https://t.co/QztZUZoPXQ",['1585957353106669573'],2022-10-28T11:31:13.000Z
8,25029937,en,1583486101078962176,"Nancy Malcun has a show on 10/21/2022 at 06:00 PM @ Plagido's Winery in Hammonton, NJ https://t.co/OyLRq1MJmT #concert https://t.co/QztZUZGqPo",['1583486101078962176'],2022-10-21T15:51:20.000Z
9,25029937,en,1582864602031075329,"Nancy Malcun has a show on 10/21/2022 at 05:00 PM @ Plagido's Winery in Hammonton, NJ https://t.co/nWehsCx9D2 #concert https://t.co/QztZUZpnNo",['1582864602031075329'],2022-10-19T22:41:43.000Z
10,25029937,en,1581007784216121344,"Nancy Malcun has a show on 10/16/2022 at 01:00 PM @ Dalton Farms in Swedesboro, NJ https://t.co/HgGXnBr2oL #concert https://t.co/QztZUZGqPo",['1581007784216121344'],2022-10-14T19:43:24.000Z
