user_id,country,username,description
1544263290196561920,Afghanistan,Mdjakar99674343,every question why you are my because 💚💙\n15 💖🇬🇧\nAlaw mot \ndepop/baldylocks19\nuse code JADE15 for 25% off kappacrew.official
1006207993699098624,Argentina,Cuteayoola1,No Feelings ❌
1586514732605112320,Argentina,ettdoku,Football Scout | CEO @eughansports | Coach Parks Academy FC 🇬🇧🇬🇭 | KNUST
2426931277,Argentina,,Wanderer 4 life✨ 💙☔ would you believe me if I told you I still dream about you 💙💚
28190020,Argentina,IKDefender,Engineer by Profession | Proud Pakistani |         Die Hard Fan of FC Bracelona 😍 Retweets are not endorsements
3226862156,Argentina,maxollieandme,maxollie and me is a small creative textile buisness. I love textiles! find me at https://t.co/bAYyqx1zTw… and https://t.co/GYjNCD0Wle
3998419396,Argentina,,
4122416554,Argentina,jazminc1t0,
4658231920,Argentina,,they/them | artist & editor | soap opera enthusiast | #BlackLivesMatter
612137401,Argentina,,we must continue
635271421,Argentina,,Thankful to be living in a blue state.  Never political until Drumpf. I block MAGAts. Biden/HarrisWin Resist BlueWave2022 🌊🌊🌊🌊🌊🌊🌊
107169642,Austalia,HaroldGunter17,public_metrics': {'followers_count': 155
1103569408893415425,Austalia,Liza64621532,
1259816940844937217,Austalia,,
1300674916652470273,Austalia,Bruisr_89,
1585725524458237952,Austalia,bobbyheybeir,Right under your nose or maybe behind it.
18367959,Austalia,,Proud hubby & dad; @OnePeloton fan runner @Mets @NYJets @NYKnicks @NYIslanders fan 🫁 health advocate news sports politics & communications 🦭
205368519,Austalia,mahighermez10,
22594747,Austalia,iness333,Music is my air BTS is my heartbeat.💜💗 💕 Bias  Jimin.❤ \n𝓘 𝓵𝓸𝓿𝓮 𝔂𝓸𝓾 𝓟𝓪𝓻𝓴 𝓙𝓲𝓶𝓲𝓷❤💜 💞💗💟
260930773,Austalia,,
3275065968,Austalia,,Digital Warrior In Service To America
404670731,Austalia,stuche1,MALE \r\nMARRIED \r\nJULY 1ST MY BIRTHDAY.\r\nCHRISTAIN\nFOOTBALL ANALYST
53622291,Austalia,Quantum_Farms,Gearhead environmentalist
762479876431425540,Austalia,Prettyboy_uwu56,⚠️ (Due to people retardness I just wanna warn yall that the user IS NOT A DAMN KID IRL) My cutie: @frisky_rose
843530537042087936,Austalia,WsNb16135700,
1178686607626575873,Australia,ovodom21,
1246195619334676481,Australia,meedaaa_,Jesus ❤️ Bread ❤️ UIUX Designer #occupyinec #stopfraudulentactivitiesinec #stopunderagevotinginec #INECisCorrupt
1312726427452747777,Australia,cryptohoob,location':
1440726853300342786,Australia,cannoneerfour,fan of photography  interesting people the Civil War and artillery related things.\nAmerica  love it or leave it.\n2🇺🇸2🇺🇸
389716925,Australia,SparrowExplorer,We have tours for families friends and alone. if you want to have an amazing moment and something unforgettable .... our job is that.
95306199,Australia,JazzmanMark,I am a Realtor land and property agent crypto currency trader & an entrepreneur business oriented(home Decor designers) DM for more details let’s deal 📱📞
337355234,Austria,forBittenpeach,life is for the living'
351555541,Bangladesh,Yachu36,Just your average Nintendo lover over here who also is a big fan of animals and Pokemon! Big retweeter/liker with cute pics lol-
1405113252410015750,Belgium,Jeannin39055289,【甜蜜制造包养平台 客服微信yangogouei】
820464967,Belgium,cocojp4ukraine,Just joined to post music boxes to people facing fears sorrows war.\nEspecially for moms & babies.\nAlways kneels down wolves foxes and cats. ♡Akita & Shiba
979399941469728768,Belgium,Tagota14,Nacqui un venerdi\nPomeriggio\nPiovoso e turbolento\n\nChissà cosa\nCi si sarebbe potuto\nAspettarsi\nDel resto
1461204518968823808,Bhutan,heighway_kelly,I love traveling and art
1059345084909568000,Brazil,piggiesnbunnies,#piggiesnbunnies will bring you cute and funny pictures of #bunnies and #guineapigs 🐽 🐰
1575896693169586177,Brazil,CastletonES,The official Twitter page of the Castleton Elementary School in \n the Schodack Central School District.
2241393780,Brazil,fredflunk,74 75 i was your sorry ever after
2560732672,Brazil,mraiposa,gimme a sec..just talking to myself.'
26635386,Brazil,MilliganGlenne,Looking forward to seeing our country thrive again. Beliefs: Hard work achieves results.Not interested in moaners. You make your own luck in life .
627524667,Brazil,dosuncann,verified': False
803322878590586881,Brazil,Kristne94214334,
1374763877838163970,Brunei,DarYabi200200,#StopHazaraGenocide/\n\nhttps://t.co/th8AY3GzYP\n second account_اکانت دومی
902967413322469377,Bulgaria,underbridge2003,
514778091,Canaa,PaulMick,Mick Music ~ PhillyEDGE ~ ICON Magazine ~ Rockpile ~ The Record ~ Big Ideas Images & Distorted Facts ~ Musicians Artists Poets & Performers ~ 89.3 WCSD
107549814,Canada,TerryRa01618108,regret from the mistakes'
1096817984,Canada,HZardoz,Son of Humanzee Zardoz. Banned by Danna Nessel. #BehindEnemyLines #OZFest podcasts Chief Chaos Creator at https://t.co/Fnl3MoZYKF #HeyZee = my Bat Signal
1160587963,Canada,dan__brummitt,DISRUPTIVE FINE #ART 🤍 https://t.co/6NCLjkgh3u
1203360196443148288,Canada,,Life level: 32\n\nNB/fluid/all pronouns/they/them\n\nCONTACT: smogteeth@gmail.com\n\nLINKS: https://t.co/eatTBTYiCK
1205894557,Canada,Jameelahjemz,Muslimah\nPhysicist \nEntrepreneur \nDown-to-earth \nIntrovert \nChatterbox \nUpcoming fashion designer \nHijabi \nShortie \nJosite\nBlackisbae\nYoruba
124279999,Canada,Princeshimul7,Bilgi ve siparis icin DM
1246245727166173184,Canada,ChiamakaGenevi2,A Jesus Lover ❤ Face & Fashion Model || Lifestyle || Graphics Designer || UX/UI ||Visit my IG https://t.co/88JBNvXswz
1249419530444537856,Canada,Damaris51488639,开云体育 https://t.co/eN9bmLIaRX 火狐体育 https://t.co/sTHS0wb5RK
1270648260277960704,Canada,Dalstino4real,A good and nice dude. Very passionate with great enthusiasm.
1276635852463058945,Canada,fgtfxcktoy,Certified freak. Nice juicy azz.
1280676458868830209,Canada,c_chobits,Furniture design Sales Trade Economy Conduct other projects，I have been in the furniture field for 8 years with my own team of Want to expand into more areas
1282033603891941377,Canada,Charly88089689,I asked God for everything in life and he gave me life to have it all.\nSuper MAGA 🇺🇸🇺🇸🇺🇸\nTRUMP WON
12848262,Canada,,id':
1297207077362958336,Canada,RubySto30568813,Great grandma &Vet US Army (73-75) DM=followers only I live by faith honor integrity & the Constitution!Happily Married & NOT LOOKING! &NO CHAINS
1314660206597595140,Canada,CarthikSundar,
1358189717771014144,Canada,Patchedpumpkins,Pepper ☆ 25+ ☆ they/them ☆ just here for a nice time~
1371652329469001728,Canada,aj_c21,id':
1382449358210277377,Canada,RAJAT83INDIAN,INDIAN 🇮🇳  Proud HINDU 🚩🚩\n\nAbusers will be blocked.\n\nWant to make people Smile 😍🤗
1389946860828299268,Canada,MShoagmunshi,BAU| Law ⚖
1400593278509146115,Canada,Jessnelson_x,🧚🏼\u200d♂️💘✨👸🏽🦋💕🧘🏽\u200d♀️🌈🤸🏽\u200d♀️💭🎀
1430677036536827912,Canada,,i’m meika the main antagonist of your horror story.
1444650182767902724,Canada,,no more heart left I’m feeding the beast. 9/17. 💯❤️\u200d🔥 Sara is my everything! 💘
1444866509902426112,Canada,kassethzurnst,30 Serpentess roleplayer on Tapestries Wolfery F-List. URL below is NSFW as is stuff I like/retweet. 🔞 Icon by @AkroDraws and header by @ErnorWoofer
1472071062443761666,Canada,urlittleslvttt,secret nsfw acc ♡ She/Her ♡ Pansexual ♡ 18! ♡ switch ♡ hard n soft kinks!!! ♡ dm’s not open unless we’re mutuals n interact ♡ love uuu 😽😽 ⇢ ˗ˏˋ horny 24/7
1472953294754512899,Canada,Mchaela_F,A fan of mutual aid free things sunscreen and DC politics. Usually running late. DC born and MD raised. ANC6A (She/her) ✡️
1482909633597505536,Canada,w0Ifboy,once was poison ivy but now im your daisy 💗🌼
1482972462,Canada,CamerakazePhoto,Photographer Kate Winterbotham for sports dance events portraits headshots lifestyle and fashion covering matches for Hinckley Leicester Rd. FC.
1516607068618166275,Canada,aftab85149,created_at':
1519865287205695493,Canada,baileyh75,Rated T for Trash (he/him)
1528776610018512896,Canada,DokPeace,He/They 28\nIcon by @gripelord
1542160402666164226,Canada,Arabbawa,#SDGs Advocate | Environmental Advocate | Climate Advocate |
1554129996385587200,Canada,Peeerrrrrr,I am tired of people liking the idea of me but then not knowing what to do with me because they are not used to it.
1565331121646215169,Canada,BarTGila,Older than dirt double Scorpio LGBTQ ALLY. loves music & horses. NOT afraid to have an opinion or to voice it. I BLOCK ALL MAGAets.!!!
1583748283683463170,Canada,TiBachlor,created_at':
16168622,Canada,Stenaco81,Timber construction project manager 🛠\nHobby photographer with passion 📷
1670989826,Canada,Pegzypoo,location':
1689236964,Canada,7ttannies,#BTS: world domination.\n—for tannies fimmies & newjeans♥︎. . . btspopper. no toxic multis non-bts stans & solos.
