,0
0,0.4417164
1,0.2653658
2,0.5007222
3,0.5638842
4,0.42492154
5,0.5562658
6,0.3287195
7,0.46678174
8,0.6859164
9,0.55546325
10,0.60412616
11,0.63505256
12,0.6180928
13,0.6533193
14,0.6631284
15,0.47144833
16,0.4928093
17,0.6849308
18,0.48764357
19,0.6103494
20,0.5892508
21,0.5995859
22,0.45066217
23,0.452667
24,0.6371247
25,0.38844952
26,0.56129324
27,0.28699797
28,0.60231024
29,0.35394627
30,0.76438564
31,0.57851094
32,0.585119
33,0.5699537
34,0.48989657
35,0.37561747
36,0.65040356
37,0.6840444
38,0.70292324
39,0.5493909
40,0.74975616
41,0.60207313
42,0.846373
43,0.6715225
44,0.19603187
45,0.7727908
46,0.5791538
47,0.44578665
48,0.45196342
49,0.34209153
50,0.5916784
51,0.6842599
52,0.5524801
53,0.54404914
54,0.64114356
55,0.49201092
56,0.5406231
57,0.6136521
58,0.16547762
59,0.6516644
60,0.52893627
61,0.35405102
62,0.6234028
63,0.5823194
64,0.42042464
65,0.6802979
66,0.46196207
67,0.61368895
68,0.48871708
69,0.35124213
70,0.5691018
71,0.47778842
72,0.69271123
73,0.52855027
74,0.48228276
75,0.4271602
76,0.6865752
77,0.5633785
78,0.63830197
79,0.3977012
80,0.6124399
81,0.69396204
82,0.3083054
83,0.6073356
84,0.6480773
85,0.7056008
86,0.29329026
87,0.6847546
88,0.6348507
89,0.49733338
90,0.2949673
91,0.6854171
92,0.57010156
93,0.46041456
94,0.7214209
95,0.38813227
96,0.34918377
97,0.5967923
98,0.3439863
99,0.6137777
100,0.72248334
101,0.6694897
102,0.53442806
103,0.47254306
104,0.6927584
105,0.68400043
106,0.30596837
107,0.5673309
108,0.5008236
109,0.4915336
110,0.5508469
111,0.5958218
112,0.4899486
113,0.30470696
114,0.4315684
115,0.7019935
116,0.42420167
117,0.62674856
118,0.7124926
119,0.503652
120,0.47888762
121,0.54887843
122,0.44578585
123,0.6688358
124,0.5408405
125,0.6647621
126,0.48482606
127,0.44712713
128,0.33452514
129,0.5112497
130,0.47792193
131,0.37898648
132,0.5611307
133,0.64163435
134,0.35523832
135,0.4071726
136,0.6496044
137,0.7019935
138,0.37686026
139,0.7574086
140,0.47785822
141,0.570249
142,0.5957197
143,0.49090952
144,0.64195627
145,0.55468994
146,0.5986855
147,0.65033907
148,0.5810712
149,0.3886974
150,0.5846756
151,0.44166362
152,0.61455435
153,0.40620777
154,0.51251906
155,0.5574223
156,0.5989095
157,0.59557074
158,0.5346551
159,0.2987576
160,0.50359625
161,0.4181769
162,0.40777937
163,0.61060125
164,0.5409547
165,0.68616676
166,0.19549222
167,0.26043707
168,0.65495527
169,0.5732628
170,0.59345835
171,0.60407245
172,0.4250744
173,0.5371906
174,0.65579534
175,0.72320724
176,0.48133764
177,0.7176935
178,0.5176059
179,0.6143563
180,0.7137078
181,0.6096925
182,0.3433849
183,0.2980337
184,0.61733043
185,0.6457647
186,0.5100136
187,0.66618973
188,0.4852602
189,0.6680864
190,0.622251
191,0.21533173
192,0.48393083
193,0.2851154
194,0.5467903
195,0.5605932
196,0.4350273
197,0.6424851
198,0.68993497
199,0.5114897
200,0.64910233
201,0.55847096
202,0.5964851
203,0.622826
204,0.6592199
205,0.7185885
206,0.67809993
207,0.34765896
208,0.64413863
209,0.54770374
210,0.46333617
211,0.58351725
212,0.574274
213,0.5297186
214,0.5223548
215,0.6820797
216,0.5652526
217,0.3305235
218,0.53801656
219,0.5337509
220,0.50768876
221,0.5111009
222,0.74438727
223,0.6172702
224,0.33357874
225,0.3439332
226,0.7919034
227,0.5658038
228,0.32687443
229,0.65467036
230,0.47065815
231,0.54922193
232,0.57218784
233,0.54891235
234,0.6354137
235,0.6416005
236,0.53534967
237,0.35530126
238,0.68381906
239,0.6615701
240,0.4522127
241,0.5725039
242,0.5563621
243,0.6313486
244,0.6066294
245,0.6203921
246,0.59054595
247,0.49162105
248,0.62819195
249,0.65985394
