created_at,id,author_id,lang,withheld,text,edit_history_tweet_ids
2022-11-22T19:21:16.000Z,1595135342361075712,1270105085138407429,en,"{'copyright': False, 'country_codes': ['ID']}","RT @CoreyTaylorVIP: Think I win the award for sloppiest &amp; pinkest twunk hole!! 😇

50% OFF my Onlyfans 😘 ⬇️ 
https://t.co/LZmiL5Dtlt https:/…",['1595135342361075712']
2022-11-22T19:17:57.000Z,1595134506805395456,1270105085138407429,en,,RT @HoleStretchers: One cock causing him pain wasnt enough. He needed 2 to fill his needs https://t.co/MFulqcb3TH,['1595134506805395456']
2022-11-22T19:17:11.000Z,1595134316673396742,1270105085138407429,zxx,,RT @JacquesRichmond: https://t.co/OOXY8GbmTX,['1595134316673396742']
2022-11-22T19:16:41.000Z,1595134188189257728,1270105085138407429,en,,"RT @seanxavierxxx: Enjoying the flex.

#onlyfansgay #onlyfans #gay https://t.co/nXBxXPsB9b",['1595134188189257728']
2022-11-22T19:16:30.000Z,1595134141838012417,1270105085138407429,en,,"RT @rushlight_Dante: Hot Beach Boy Gets Cum All Over You!💋🔥☑️
And even more content with me here
⚙️⚙️⚙️⚙️⚙️

Subscribe to my OnlyFans to se…",['1595134141838012417']
2022-11-22T19:15:54.000Z,1595133990960529409,1270105085138407429,zxx,,RT @diegomattos1369: https://t.co/AUlUaOy963 https://t.co/AvS18yQKtg,['1595133990960529409']
2022-11-22T19:15:43.000Z,1595133947058405376,1270105085138407429,en,,"RT @SizeWorshippers: I have a deal with this hung stud. Whenever his gf leaves town, he watches porn while I swallow his load! https://t.co…",['1595133947058405376']
2022-11-22T19:15:40.000Z,1595133931203923970,1270105085138407429,en,,RT @DadIsHung: They were hurting my jaw so they had to use my hole https://t.co/uhzzscW0QG,['1595133931203923970']
2022-11-22T19:15:34.000Z,1595133908416598016,1270105085138407429,en,,RT @GaySexGang: Tasty boy pussy needs a good raw fuck. 🐷 @itsdeanyoung #gay #sex #ass #feet #anal #fuck #gayporn https://t.co/UOU6T8fYTT,['1595133908416598016']
2022-11-22T19:15:28.000Z,1595133881166200832,1270105085138407429,en,"{'copyright': False, 'country_codes': ['ID']}",RT @RhyheimX: How y’all doing? https://t.co/rCXjzCPmrn,['1595133881166200832']
2022-10-03T07:48:57.000Z,1576841722944196608,1270105085138407429,en,,RT @carlitos17bcn: Just to know 😈 https://t.co/mXE6yUKkRh,['1576841722944196608']
2022-04-28T14:05:45.000Z,1519679264979058688,1270105085138407429,en,,@gold_reno I love you ❤️❤️,['1519679264979058688']
2022-04-16T13:26:06.000Z,1515320632996773898,1270105085138407429,en,,RT @DaneJaxson: My hole misses this 🥺 @RhyheimX @ElijahZaynexxx https://t.co/Mg86ZKDZDr,['1515320632996773898']
2022-02-21T07:43:19.000Z,1495665421743181825,1270105085138407429,es,,@ladivaza Una eminencia 😂,['1495665421743181825']
2022-02-20T21:59:47.000Z,1495518571950186503,1270105085138407429,en,,"RT @BanishedBeast: But, what if? 🐾👀 https://t.co/E4JZjSrmww",['1495518571950186503']
2022-02-20T21:59:38.000Z,1495518534318886922,1270105085138407429,es,,RT @Alexbelmont96: Quieres ver lo que puedo hacer con esto? 😈 ve a ver                                   https://t.co/MCjRnYYJ2O https://t.…,['1495518534318886922']
2022-02-20T21:59:35.000Z,1495518520448360451,1270105085138407429,art,,😍😍😍 https://t.co/Jr6hiuzqup,['1495518520448360451']
2022-02-20T21:59:15.000Z,1495518437187231751,1270105085138407429,en,,RT @LockedboyEli: Been too long since I’ve rubbered up. New suit and hood coming soon ⚫️😈 https://t.co/YIR0hr4yAK,['1495518437187231751']
2022-02-20T21:59:05.000Z,1495518394082377728,1270105085138407429,en,,RT @CavernousCuntFF: Pegged by the @TwistedBeastUK XL Orobas horse cock. @patfarriss sure know how's to fuck like a demonic stallion... lov…,['1495518394082377728']
2022-02-20T21:59:00.000Z,1495518372469129218,1270105085138407429,en,"{'copyright': False, 'country_codes': ['ID']}","RT @RhyheimX: ❣️❤️Happy Valentines Day! ♥️ @ElijahZaynexxx 
🎥 @EyeFilmzX https://t.co/kNXq1EdARS",['1495518372469129218']
2022-02-20T21:58:55.000Z,1495518354651721731,1270105085138407429,en,,"RT @D4nielOsgood: Come subscribe and say hi 🥺🍑 https://t.co/eU2rBwA5M5

#thick #bubblebutt #thickboys #latino https://t.co/yAhfgaQXaN",['1495518354651721731']
2022-02-20T21:58:49.000Z,1495518326164004867,1270105085138407429,en,,RT @uronelove: In love with u 🌹 https://t.co/HpvCMt8V70,['1495518326164004867']
2022-02-20T21:58:46.000Z,1495518314914791424,1270105085138407429,und,,RT @uronelove: 🧺 https://t.co/M39JyJKhfr,['1495518314914791424']
2022-02-20T21:58:43.000Z,1495518301958684678,1270105085138407429,und,,RT @uronelove: 🏃🏽 https://t.co/QxLSAla9wF,['1495518301958684678']
2022-02-20T21:58:34.000Z,1495518266483163136,1270105085138407429,en,,RT @codyblackx: balls deep @benjboyx 😰💦 https://t.co/Pkq2NueTyj,['1495518266483163136']
2022-02-20T21:58:27.000Z,1495518236523352066,1270105085138407429,und,,RT @salgueroquijano: Hiii :) https://t.co/yNzVECKSng,['1495518236523352066']
2022-02-19T19:49:58.000Z,1495123514235441155,1270105085138407429,ca,,@ladivaza Total la ameeeeee,['1495123514235441155']
2021-12-27T04:10:57.000Z,1475318256273657858,1270105085138407429,en,,"RT @timtales_com: Just released: A beautiful scene with all the good stuff. Big muscles, a huge cock and blue sky.
@Diegomattos2020 
@AlanV…",['1475318256273657858']
2021-12-26T23:16:08.000Z,1475244066711478274,1270105085138407429,en,,RT @hungskater: Always SO stiff and drippy after the gym 💧 https://t.co/jof4ToD0ON,['1475244066711478274']
2021-11-25T12:41:50.000Z,1463850415888506886,1270105085138407429,qam,,@dickcharleh @thegoat12inches,['1463850415888506886']
2021-10-20T18:56:39.000Z,1450898778484006914,1270105085138407429,qme,,@JustinMatthewsx https://t.co/tTcQleQegc,['1450898778484006914']
2021-10-20T18:56:27.000Z,1450898726361440257,1270105085138407429,qme,,@LeviConely https://t.co/tTcQleQegc,['1450898726361440257']
2021-10-20T18:56:02.000Z,1450898622049144841,1270105085138407429,qme,,@sorensen_viggo https://t.co/tTcQleQegc,['1450898622049144841']
2021-10-20T18:55:49.000Z,1450898566252306433,1270105085138407429,qme,,@gold_reno https://t.co/tTcQleQegc,['1450898566252306433']
2021-10-20T18:55:29.000Z,1450898484811509760,1270105085138407429,qme,,@rauwgallego https://t.co/tTcQleQegc,['1450898484811509760']
2020-06-18T18:52:36.000Z,1273690091475656711,1270105085138407429,es,,@anonymousl4tino Que super la espero,['1273690091475656711']
