text,lang,id,author_id,edit_history_tweet_ids,created_at,withheld
RT @Trad_West_Art: photographer Francisco Negroni Rodriguez captures Chilean volcano Calbuco being struck by lightning whileerupting. https…,en,1595155123684409345,1454732780504424449,['1595155123684409345'],2022-11-22T20:39:52.000Z,
"RT @culturaltutor: The small city of Lugo in northern Spain has a special secret.

It is the *only* place in the world to have a complete s…",en,1595133931401379840,1454732780504424449,['1595133931401379840'],2022-11-22T19:15:40.000Z,
RT @RYYhVFYgCOXIjod: 清代.玛瑙荷叶笔洗，国立故宫博物院藏 https://t.co/aSwxcWmS59,zh,1595122998411157505,1454732780504424449,['1595122998411157505'],2022-11-22T18:32:13.000Z,
"RT @fasc1nate: An artificial womb that successfully grew a baby lamb. 
https://t.co/fqYG9QLrC9",en,1595122831066509312,1454732780504424449,['1595122831066509312'],2022-11-22T18:31:33.000Z,
@kenialopezr Atte. la pluri que solo es estridente en twitter. Irrelevante en la vida real.,es,1595122622874128385,1454732780504424449,['1595122622874128385'],2022-11-22T18:30:43.000Z,
"Whitexican descubre que el metro tiene horarios en dias festivos. 🤡

Y ni vive en la cdmx 🤡 https://t.co/jMeYH5ABC1",es,1595122291951955970,1454732780504424449,['1595122291951955970'],2022-11-22T18:29:24.000Z,
@Arouet_V @Claudiashein @JJDiazMachuca Whitexican descubre que el metro tiene horarios. 🤡,es,1595122006806052864,1454732780504424449,['1595122006806052864'],2022-11-22T18:28:17.000Z,
@Richpaloscuates Su hijo manejando drogado en Texas.,es,1595121224124108802,1454732780504424449,['1595121224124108802'],2022-11-22T18:25:10.000Z,
"RT @tania__rd: “¿Por qué no dijeron? 

-PEMEX no se toca 
-La comisión federal no se toca 
-La educación pública no se toca 
-El salario de…",es,1594712293194997761,1454732780504424449,['1594712293194997761'],2022-11-21T15:20:13.000Z,
@Porf1r10 @Kantharos_Anita @CuadernodeLuis Espero ver las de Cecilia Giménez para tomar una decisión.,es,1594689892356849664,1454732780504424449,['1594689892356849664'],2022-11-21T13:51:12.000Z,
"RT @culturaltutor: Why did René Magritte paint a man with his face hidden by an apple in 1946?

And why did he call it The Son of Man? 

We…",en,1594525946102525952,1454732780504424449,['1594525946102525952'],2022-11-21T02:59:45.000Z,
RT @jorgevdominguez: @JesusRCuevas https://t.co/rBhKpgClBS,qme,1594497123034497024,1454732780504424449,['1594497123034497024'],2022-11-21T01:05:13.000Z,
RT @TerribleMaps: A roadtrip through all the Springfields in the US https://t.co/1rpO3hsUmF,en,1594495849228369920,1454732780504424449,['1594495849228369920'],2022-11-21T01:00:09.000Z,
RT @ProfFeynman: https://t.co/3Tt9A6yVIp,zxx,1594485148141191168,1454732780504424449,['1594485148141191168'],2022-11-21T00:17:38.000Z,
RT @ChairosMemes: Cosas que están chidas si eres blanco pero mal si eres prieto: https://t.co/TtEeDeLXEV,es,1594436536271253504,1454732780504424449,['1594436536271253504'],2022-11-20T21:04:28.000Z,
"@GinaRivers90 Solo un fascista busca silenciar a quienes disienten.

Con razón aplauden a Zelensky que llama a empezar la tercera guerra mundial diariamente.",es,1594411269993406469,1454732780504424449,['1594411269993406469'],2022-11-20T19:24:04.000Z,
RT @santillanpe1: Y ¿qué creen?que @lialimon se chingo la imagen de Diego Rivera en la fachada del teatro de la Juventud en la @AlcaldiaAO.…,es,1594410057105641472,1454732780504424449,['1594410057105641472'],2022-11-20T19:19:14.000Z,
"RT @AliciaMimundo: 1/2Los vasos canopos eran recipientes donde se guardaban las vísceras de los difuntos durante el embalsamamiento: 
-Amse…",es,1594352438768766984,1454732780504424449,['1594352438768766984'],2022-11-20T15:30:17.000Z,
"@Arturo_Sarukhan Se llama libertad de expresión.

Hay personas como zelensky que quieren ver el mundo arder. Y esos tienen el micrófono. 🤡",es,1594331826679603201,1454732780504424449,['1594331826679603201'],2022-11-20T14:08:23.000Z,
"RT @fasc1nate: A fish in a drop of water on a lotus leaf.
https://t.co/A4PlTEyMPn",en,1594331382930886657,1454732780504424449,['1594331382930886657'],2022-11-20T14:06:37.000Z,
@CuadernodeLuis No entiendo el azote. Es iconografía. https://t.co/CpGN0dtRvq,es,1594329284465803266,1454732780504424449,['1594329284465803266'],2022-11-20T13:58:17.000Z,
"RT @DigitalMapsAW: Explore the five unique Roman cities of Glanum, Herculaneum, Ostia, Pompeii and Rome using these #DigitalMaps: https://t…",en,1594200782185943040,1454732780504424449,['1594200782185943040'],2022-11-20T05:27:39.000Z,
"RT @historydefined: This is the oldest surviving deck of 52 playing cards, made in the Burgundian Netherlands C.1475 https://t.co/LFNDO3fEa0",en,1594200507681325056,1454732780504424449,['1594200507681325056'],2022-11-20T05:26:34.000Z,
Que dice Zelensky que prefiere comenzar la tercera guerra mundial a sentarse a resolver su problema con Rusia. https://t.co/rOdfyIkVUi,es,1594115625563361280,1454732780504424449,['1594115625563361280'],2022-11-19T23:49:17.000Z,
RT @arteviajero_com: La iglesia más antigua de España que aún se conserva en pie se encuentra en la localidad de Baños de Cerrato (#Palenci…,es,1594114961382555650,1454732780504424449,['1594114961382555650'],2022-11-19T23:46:38.000Z,
"RT @RomanicoEspana: La Catedral de Santiago de Compostela: Bajo su vistoso envoltorio, la magia 🌟🪄
#BuenosDias #FelizSabado https://t.co/sC…",es,1594114392567619584,1454732780504424449,['1594114392567619584'],2022-11-19T23:44:23.000Z,
"RT @GabiMartinArte: Hoy es el cumpleaños 203 del @museodelprado y aquí va mi TOP 10 de obras que hay que ver, sí o sí.
#Prado203 

_El Bosc…",es,1594112965099532290,1454732780504424449,['1594112965099532290'],2022-11-19T23:38:42.000Z,
@Pech_Trejo @Emanuel_mg @leo_poblete @AccionNacional @PRI_Nacional ¿En que siglo vives?,es,1594110744483614720,1454732780504424449,['1594110744483614720'],2022-11-19T23:29:53.000Z,
Anlo polarizador 🤡 https://t.co/u1Sj3v2SFz,es,1594082665895952385,1454732780504424449,['1594082665895952385'],2022-11-19T21:38:18.000Z,
"RT @ArysPan: The Pylos Combat Agate (seal stone), almost 3500 years old, is an amazing piece of history measuring only 1.4 inches wide. 

F…",en,1594082482072485888,1454732780504424449,['1594082482072485888'],2022-11-19T21:37:35.000Z,
RT @historydefined: The ancient Greek city of Ephesus in present-day Turkey. https://t.co/fMWuW5G7W4,en,1594082120732880897,1454732780504424449,['1594082120732880897'],2022-11-19T21:36:08.000Z,
