created_at,author_id,edit_history_tweet_ids,lang,text,id,geo
2022-11-22T19:15:31.000Z,1243870687,['1595133895917596672'],en,"RT @yobanteSA: One of our certified hubs in the heart of Cape Town CBD 

#YES #yobanteexpress #YesYobanteSA #parcel #commerce #spazashop #d…",1595133895917596672,
2022-11-19T09:54:28.000Z,1243870687,['1593905539276324865'],en,"RT @yobanteSA: Any weekend deliveries to be done? Let us sort that out for you. 🎁

#YES #yobanteexpress #YesYobanteSA #parcel #commerce #sp…",1593905539276324865,
2022-11-18T10:56:48.000Z,1243870687,['1593558836060868609'],en,"RT @yobanteSA: Let us handle your package 

#YES #yobanteexpress #YesYobanteSA #parcel #commerce #spazashop #delivery #shipping #Kasi #kasi…",1593558836060868609,
2022-11-16T22:37:54.000Z,1243870687,['1593010498924003328'],en,"RT @yobanteSA: GIVEAWAY TIME (a
R500 eWallet up for grabs!
To enter, follow the rules &amp;
1. FOLLOW ALL OUR SOCIALS
FACEBOOK: Yobante Express…",1593010498924003328,
2022-11-16T10:27:36.000Z,1243870687,['1592826712815185920'],fr,RT @yobanteYES: Faites livrer vos colis depuis le confort de votre domicile en utilisant notre application mobile. Inscrivez vous en tant q…,1592826712815185920,
2022-11-03T09:47:59.000Z,1243870687,['1588105699816521731'],fr,"RT @yobanteYES: @yobanteYES est là pour vous aider à acheminer votre colis partout au Sénégal et à l’étranger, rapidement et en toute sécur…",1588105699816521731,
2022-10-24T11:05:56.000Z,1243870687,['1584501438495215616'],fr,"RT @yobanteYES: Une nouvelle semaine, le même objectif: vous faire vivre une meilleure expérience de livraison. 
Faites confiance à @yobant…",1584501438495215616,
2022-10-14T07:35:26.000Z,1243870687,['1580824585968431104'],en,RT @yobantenaija1: Good morning everyone 🤎💛,1580824585968431104,
2022-10-13T19:02:06.000Z,1243870687,['1580635003561512960'],en,"RT @yobantenaija1: Here are a few of our Certified Hub agents across Lagos!!

In case you find yourself in any of these locations and you n…",1580635003561512960,
2022-10-10T15:50:02.000Z,1243870687,['1579499507670454273'],fr,"RT @yobanteYES: Faites appel à Yobante Express et vivez votre meilleure expérience de livraison last mile. YES, une belle opportunité pour…",1579499507670454273,
2022-10-10T15:49:59.000Z,1243870687,['1579499492088647680'],en,RT @yobantenaija1: We are using this medium to appreciate everyone who has used Yobante Express for their logistics needs! Let's help you e…,1579499492088647680,
2022-10-08T17:00:12.000Z,1243870687,['1578792387236667392'],fr,RT @yobanteYES: Bon Gamou à toute la communauté musulmane. #Gamou2022 🕌📿♥️ https://t.co/VYmK1sSQlD,1578792387236667392,
2022-10-06T09:21:37.000Z,1243870687,['1577952206728450048'],fr,"RT @yobanteYES: Un de nos transporteur a dit un jour « une requête de livraison pour nous, c’est comme un devoir à rendre. Nous faisons tou…",1577952206728450048,
2022-10-02T08:01:50.000Z,1243870687,['1576482576901951488'],en,"RT @yobantenaija1: Freedom is priceless, you can never buy it anywhere. Remember that the freedom we enjoy now was a result of all the figh…",1576482576901951488,
2022-09-29T14:48:10.000Z,1243870687,['1575497669883011072'],en,"RT @yobantenaija1: A day in the life of one of our Yobante Express Courier partner.

CLICK THE LINK BELOW TO WATCH FULL VIDEO ⬇️

https://t…",1575497669883011072,
2022-09-26T19:26:07.000Z,1243870687,['1574480456287928320'],en,"RT @yobantenaija1: We love getting feedbacks as it is what keeps us moving 🥰🥰

We are satisfied when we satisfy our clients ⭐️⭐️⭐️⭐️⭐️

Wit…",1574480456287928320,
2022-09-19T13:15:11.000Z,1243870687,['1571850392647991297'],en,"RT @yobantenaija1: ""Big adventures start with small steps"" Make that step in the right direction today.

Have a wonderful week ahead and do…",1571850392647991297,
2022-09-15T06:53:48.000Z,1243870687,['1570304860146262020'],fr,"RT @yobanteYES: Gérez votre temps et gagnez de l'argent en fonction de votre emploi du temps.
Téléchargez gratuitement notre application mo…",1570304860146262020,
2022-09-02T12:37:23.000Z,1243870687,['1565680286125461505'],en,"We're totally stoked to announce that YOBANTE EXPRESS  International and Domestic Courier Licence has been approved by ZICTA  — The Zambia Information and Communications Technology Authority!
Congrats to the YES team in Zambia 🇿🇲 and the YES team Global.
More wins to come 🔜 ! https://t.co/6eQHqwoOZw",1565680286125461505,{'place_id': 'c5d6f8cac1a9be34'}
2022-09-01T16:51:03.000Z,1243870687,['1565381732815233026'],en,"RT @yobantenaija1: WE ARE DELIVERING YOUR PARCELS FOR FREE!!!

Send us 5 orders in the space of three days and we'll deliver the 5th one fo…",1565381732815233026,
2022-08-30T09:06:58.000Z,1243870687,['1564540168656326656'],zxx,https://t.co/jwQsn0gWrP,1564540168656326656,
2022-08-29T11:00:34.000Z,1243870687,['1564206370135703553'],qme,@yobanteYES https://t.co/CcrfvXykfB,1564206370135703553,
2022-08-26T12:17:02.000Z,1243870687,['1563138450181656576'],qme,RT @badoubadji1: @yobanteYES https://t.co/HPSxkutg8k,1563138450181656576,
