text,author_id,lang,created_at,id,edit_history_tweet_ids,withheld
"RT @culturaltutor: The small city of Lugo in northern Spain has a special secret.

It is the *only* place in the world to have a complete s…",351851658,en,2022-11-22T19:15:04.000Z,1595133780548734976,['1595133780548734976'],
RT @FrenchHist: And energy's cheaper too! https://t.co/hlSmzBeMsa,351851658,en,2022-11-22T18:43:30.000Z,1595125839003516930,['1595125839003516930'],
RT @archer_rs: I hope people recognise that the Brexit / Swiss agreement story was the first in a series of leaks designed to prepare the B…,351851658,en,2022-11-22T18:35:42.000Z,1595123874890657792,['1595123874890657792'],
"RT @AntoineSpeaker: Blackface: the days after halloween often reveal ignorance, as the media exposes people still doing Black face. Have yo…",351851658,en,2022-11-22T18:17:52.000Z,1595119385353818113,['1595119385353818113'],
RT @DanielaNadj: Brexiteer Tom Harwood is shocked that there are over one million vacancies in the UK. But he conveniently forgets to menti…,351851658,en,2022-11-22T18:06:59.000Z,1595116646947254272,['1595116646947254272'],
"RT @fasc1nate: An artificial womb that successfully grew a baby lamb. 
https://t.co/fqYG9QLrC9",351851658,en,2022-11-22T16:20:37.000Z,1595089881264431106,['1595089881264431106'],
RT @RichardBurgon: This is an appalling decision. It should be reversed immediately. https://t.co/x455fGmJVY,351851658,en,2022-11-22T15:14:08.000Z,1595073151184035841,['1595073151184035841'],
"RT @Football__Tweet: Roy Keane has his say on the OneLove 🏳️‍🌈 armband debate...
https://t.co/WP38Fvj4rc",351851658,en,2022-11-22T14:45:12.000Z,1595065868853059585,['1595065868853059585'],
"RT @MikeHolden42: * Tory MP gets £150,000 ""loan"" from a Russian;
* Tory MP hides it in an offshore account;
* Tory MP lobbies for the Russi…",351851658,en,2022-11-22T13:44:21.000Z,1595050554618793991,['1595050554618793991'],
"RT @BeckettUnite: MPs can now claim Christmas parties &amp; decorations on expenses.

130,000 children will wake up on Christmas Day homeless.…",351851658,en,2022-11-22T13:43:52.000Z,1595050434133200896,['1595050434133200896'],
RT @PoliticsJOE_UK: cost of living innit https://t.co/nC3zanKM4S,351851658,en,2022-11-22T11:49:58.000Z,1595021769479696386,['1595021769479696386'],
@Browncoat2077 @ChivalryGuild Not in my experience. Never heard a bad word about them until about 5 years ago,351851658,en,2022-11-22T11:49:13.000Z,1595021578861170690,['1595021578861170690'],
RT @SpookyIrishLady: I took my sandwich out of the bag and I saw THIS! I went back and spoke with the manager an demanded an explanation. H…,351851658,en,2022-11-22T10:05:57.000Z,1594995591549169664,['1594995591549169664'],
RT @MattHighton: I replaced the Nun in the Conjuring with Mr Blobby and it is horrifying. Enjoy. https://t.co/eZhonPaTic,351851658,en,2022-11-22T09:06:50.000Z,1594980716957532160,['1594980716957532160'],
"RT @culturaltutor: This is the Cadaver Tomb of René de Chalon, created nearly 500 years ago.

But why would somebody make something like th…",351851658,en,2022-11-22T08:48:09.000Z,1594976014018703360,['1594976014018703360'],
"RT @katrinanavickas: Train announcer on the cross Pennine train: ""Sorry there are no seats left but half the train is missing. If you have…",351851658,en,2022-11-21T20:33:00.000Z,1594791006808973328,['1594791006808973328'],
RT @AngeloC18757357: Amazing sketches by Nikita Busyak https://t.co/nS5LiEl3Gy,351851658,tl,2022-11-21T20:30:34.000Z,1594790396583985155,['1594790396583985155'],
RT @joelycett: 🏳️‍🌈 https://t.co/YuPYSQ2M6u,351851658,und,2022-11-21T20:18:04.000Z,1594787250675523608,['1594787250675523608'],
"RT @marysia_cc: peaceful night
🎨 Daria Kryukova https://t.co/b1X4cWQbJ3",351851658,ro,2022-11-21T18:19:41.000Z,1594757454981902336,['1594757454981902336'],
"RT @PoliticsJOE_UK: Everyone's favourite supervillain Joe Lycett reveals he DIDN'T shred £10k. 

He did shred David Beckham's Attitude cove…",351851658,en,2022-11-21T18:19:19.000Z,1594757365441642501,['1594757365441642501'],
"RT @NoContextBrits: Causes of death in London, 1632. https://t.co/SnSFkaX7mO",351851658,en,2022-11-21T14:19:05.000Z,1594696908525682689,['1594696908525682689'],
"RT @culturaltutor: Why did René Magritte paint a man with his face hidden by an apple in 1946?

And why did he call it The Son of Man? 

We…",351851658,en,2022-11-21T09:05:02.000Z,1594617875188285441,['1594617875188285441'],
"RT @DavidPriess: OK, this is bonkers: During a brief window in 1950-51, children could get the Gilbert U-238 Atomic Energy Lab—a kit allowi…",351851658,en,2022-11-21T09:02:11.000Z,1594617157689679872,['1594617157689679872'],
RT @MakadiaHarsh: 7 Google Chrome extensions you needed badly at work (but no one told you about):,351851658,en,2022-11-21T08:59:52.000Z,1594616574102700032,['1594616574102700032'],
RT @marysia_cc: Ukrainian artist Olga Kvasha https://t.co/NuxA0M8P5P,351851658,et,2022-11-21T08:59:32.000Z,1594616489344114688,['1594616489344114688'],
"RT @marysia_cc: Jane Newland
Little house in the wood https://t.co/EnVdwP0gYI",351851658,en,2022-11-20T12:08:53.000Z,1594301754073649154,['1594301754073649154'],
"RT @CatJarman: This morning’s rabbit hole…

Vox Dei, Vox Populi, is first recorded in a letter from Alcuin of York (of Lindisfarne fame) to…",351851658,en,2022-11-20T12:01:59.000Z,1594300017023586307,['1594300017023586307'],
"RT @fasc1nate: A duck wears a little hat.
https://t.co/2pbao3lhpG",351851658,en,2022-11-20T11:59:21.000Z,1594299354466353153,['1594299354466353153'],
RT @AngeloC18757357: Kasimoro Yushava https://t.co/Lfs9r9AsFp,351851658,tl,2022-11-20T11:33:06.000Z,1594292749293031427,['1594292749293031427'],
RT @Ella_AlShamahi: Lots of comments about why a pseudo-science archaeology show is on Netflix - and why the ideas aren't robustly challeng…,351851658,en,2022-11-20T01:19:32.000Z,1594138341070409728,['1594138341070409728'],
"RT @fraveris: Igor Dubovoy
Watercolor
. https://t.co/LnwwhqNNgu",351851658,es,2022-11-19T23:16:16.000Z,1594107317813153792,['1594107317813153792'],
"RT @culturaltutor: A brief history of football, from its origins in the Middle Ages to the 2022 World Cup in Qatar:

(including why some pe…",351851658,en,2022-11-19T22:36:02.000Z,1594097193996238848,['1594097193996238848'],
@coyspurs @JakeSniper @xruiztru I think that's absolutely fair.,351851658,en,2022-11-19T22:30:38.000Z,1594095833997144065,['1594095833997144065'],
RT @buitengebieden: Cats.. 😂 https://t.co/zCXiGPKsUh,351851658,en,2022-11-19T20:12:14.000Z,1594061004480167936,['1594061004480167936'],
"RT @SkySportsNews: ""I think this will be the World Cup that really underpins just how dirty the game is."" 

Melissa Reddy picks apart Giann…",351851658,en,2022-11-19T19:41:59.000Z,1594053392002785282,['1594053392002785282'],
"RT @David__Osland: 'If a rich man wants to help the poor, he should pay his taxes gladly' - Clement Attlee",351851658,en,2022-11-19T19:36:44.000Z,1594052069283237888,['1594052069283237888'],
"RT @BrexitBin: WTF! .... So Jeremy Hunt accepts that Brexit has harmed us, and that rejoining the Single Market would bring back growth. Bu…",351851658,en,2022-11-19T19:35:48.000Z,1594051836779954176,['1594051836779954176'],
"RT @admirim: 31 years ago today, Serbia’s genocidal regime massacred 261 Croatians, including hospital patients in Vukovar. 

This followed…",351851658,en,2022-11-19T19:30:32.000Z,1594050509773721600,['1594050509773721600'],
RT @DPRK_News: Noted Firecrotch Jair Bolsonaro tests positive for karma https://t.co/elDwyHtsHK,351851658,en,2022-11-19T19:29:43.000Z,1594050304219447296,['1594050304219447296'],
"RT @olgatuleninova: ""On Golden Pond""

Alexei Butirskiy, Russia https://t.co/vQ3CwVWZ6x",351851658,cy,2022-11-19T19:24:53.000Z,1594049089213177856,['1594049089213177856'],
"RT @goodclimate: I want the opposition to explain why ""there is no case"" for joining the Single Market. If immigration is the issue, they h…",351851658,en,2022-11-19T19:24:49.000Z,1594049072335306753,['1594049072335306753'],
"RT @danielgoyal: Feeding kids is good for the economy.

Teaching kids is good for the economy.

Healthy kids are good for the economy.

War…",351851658,en,2022-11-19T19:13:37.000Z,1594046254886965249,['1594046254886965249'],
"@JakeSniper @xruiztru Hahaha, happens to the best of us mate, don't worry. I lived in Preston for 13 years, it left an indelible stain on my memory 🤣",351851658,en,2022-11-19T17:38:15.000Z,1594022255733841926,['1594022255733841926'],
@xruiztru Im sure Icelanders will appreciate the warmer climate.,351851658,en,2022-11-19T16:06:52.000Z,1593999257471696898,['1593999257471696898'],
"@JakeSniper @xruiztru Historically staunchly Catholic, partly down to high migration from Ireland in the 1900s.",351851658,en,2022-11-19T16:06:06.000Z,1593999061715103744,['1593999061715103744'],
RT @David__Osland: Eton kids subjected girls from a nearby state school to misogynistic abuse and racial slurs after a Nigel Farage speech.…,351851658,en,2022-11-19T16:00:19.000Z,1593997609886261251,['1593997609886261251'],
"RT @SadiqKhan: Let’s be honest: Brexit isn’t working.

British exporters are struggling, our living standards are falling and the UK is now…",351851658,en,2022-11-19T15:58:16.000Z,1593997094120873986,['1593997094120873986'],
RT @JolyonMaugham: ... for the Prime Minister's wife. https://t.co/YSR4OEUSVG,351851658,en,2022-11-19T14:20:42.000Z,1593972538715021314,['1593972538715021314'],
RT @terrychristian: Sums them up https://t.co/b0QksShueP,351851658,en,2022-11-19T10:20:49.000Z,1593912169208451074,['1593912169208451074'],
🤣 https://t.co/wGZXg1pFNI,351851658,art,2022-11-19T10:19:13.000Z,1593911767771537409,['1593911767771537409'],
"RT @theantonioreza: I'm a Head of Finance at Google. 

I've interviewed 100s of candidates in my career and I know my decision within the f…",351851658,en,2022-11-19T10:15:10.000Z,1593910749495115777,['1593910749495115777'],
"RT @culturaltutor: 11 pieces of advice about how to learn, improve, and find ideas.

From the genius that was Leonardo da Vinci, in his own…",351851658,en,2022-11-19T09:48:58.000Z,1593904153411129345,['1593904153411129345'],
RT @MattHighton: I put Mr Blobby into Paranormal Activity. I'm so sorry... https://t.co/46yAAJuWJP,351851658,en,2022-11-19T00:10:45.000Z,1593758643811409920,['1593758643811409920'],
"RT @AnthonyMidd02: If you had been given a second referendum on EU membership as proposed by K Starmer, how would you have voted?",351851658,en,2022-11-18T23:09:03.000Z,1593743116443475971,['1593743116443475971'],
"RT @DeborahMeaden: We MUST be able to talk about things like joining the single market which would smooth the huge problems on Trade, NI Pr…",351851658,en,2022-11-18T21:49:33.000Z,1593723107679916032,['1593723107679916032'],
RT @maxberger: Thank you to @elonmusk and @SBF_FTX for comprehensively demolishing the myth of billionaire competence.,351851658,en,2022-11-18T21:41:28.000Z,1593721074340057088,['1593721074340057088'],
@RikardJozwiak @EnglishNRomania I get it but isn't the who point of the OSCE that it includes Russia...,351851658,en,2022-11-18T21:40:20.000Z,1593720787051192327,['1593720787051192327'],
"RT @RussellEngland: @Sillyshib You can find out using a great little tool called debirdify

It will scan the bios of people you are followi…",351851658,en,2022-11-18T21:37:59.000Z,1593720198732910594,['1593720198732910594'],
RT @nazirafzal: The whole world has had costs &amp; consequences dealing with Covid so why is the U.K. forecast to have the sharpest decline in…,351851658,en,2022-11-18T21:35:42.000Z,1593719621219225600,['1593719621219225600'],
"RT @LCFC: As the Blue Army gathered in the Foxes Fanstore to be part of the Club's Christmas campaign, little did they know there were two…",351851658,en,2022-11-18T21:31:12.000Z,1593718490631999489,['1593718490631999489'],
"RT @MarinaPurkiss: Ask yourself…

Why would an older person’s Oyster card be accepted as voter ID?

But a younger person’s would not?

Then…",351851658,en,2022-11-18T21:04:30.000Z,1593711771000479746,['1593711771000479746'],
@mikegalsworthy @Jacob_Rees_Mogg Pint of milk in my Sainsbury Local is now 95p🤯,351851658,en,2022-11-18T19:17:38.000Z,1593684876548575238,['1593684876548575238'],
@Fred_Delicious The (Prawn) Ring,351851658,en,2022-11-18T19:13:06.000Z,1593683733994823680,['1593683733994823680'],
"RT @implausibleblog: Wind farms to pay higher windfall tax than oil companies.

That tells you everything you need to know about this gover…",351851658,en,2022-11-18T15:49:54.000Z,1593632599263485952,['1593632599263485952'],
RT @jossgarman: Hunt confirms windfall tax on oil and gas windfall profits will be LOWER than the one he is putting on clean energy generat…,351851658,en,2022-11-18T14:30:17.000Z,1593612563316613121,['1593612563316613121'],
@BoHoTraveller @Spanglish51 @Jennyflower https://t.co/sdmtUulKBk,351851658,qme,2022-11-18T12:35:47.000Z,1593583746485198849,['1593583746485198849'],
"RT @capitolhunters: Someone has to say it: Elon Musk has lied for 27 years about his credentials. He does not have a BS in Physics, or any…",351851658,en,2022-11-18T10:21:01.000Z,1593549832827719685,['1593549832827719685'],
RT @uhd2020: The Veil #Nebula - Hubble https://t.co/qFRFS8YLGo,351851658,en,2022-11-18T08:18:16.000Z,1593518939748769793,['1593518939748769793'],
"RT @JohnAmaechi: If you can't say the B-word ""Brexit"" and admit the damage that has been done (more than COVID according to government sour…",351851658,en,2022-11-18T08:17:26.000Z,1593518733523288066,['1593518733523288066'],
RT @LucyWoodslucy70: Tory Voters https://t.co/zETRAV5Ap4,351851658,en,2022-11-18T07:20:10.000Z,1593504319973761025,['1593504319973761025'],
"RT @munyachawawa: I’m finally heading off your screens and into your cities for my first live tour! 🏃🏽‍♂️💨 ⁣
⁣
Tickets live on Friday 25th…",351851658,en,2022-11-18T01:26:36.000Z,1593415343405408256,['1593415343405408256'],
"RT @Q_Review: before i die, I want to go to the McDonald's in Italy that has an actual skeleton on display because it was already there and…",351851658,en,2022-11-18T00:04:23.000Z,1593394652845154304,['1593394652845154304'],
"RT @ancientorigins: This monument was discovered in Bulgaria, the richest tomb of the 5th millennium BC.  The gold on it is 2000 years olde…",351851658,en,2022-11-17T21:02:19.000Z,1593348832208850945,['1593348832208850945'],
"RT @culturaltutor: In Ancient Athens there was a process called ""ostracism"" which allowed the people to exile any powerful citizen or polit…",351851658,en,2022-11-17T19:19:18.000Z,1593322909682094083,['1593322909682094083'],
"RT @olgatuleninova: Artist Sebastian Pether (1790–1844)
  ""River Scene"" (detail) 1840 https://t.co/EN6re3ahhw",351851658,en,2022-11-17T18:01:32.000Z,1593303336895369217,['1593303336895369217'],
"RT @BladeoftheS: Every single owner of the UK Media is a Conservative or donates to the Conservatives.

Do you SEE?",351851658,en,2022-11-17T14:47:16.000Z,1593254448435896321,['1593254448435896321'],
"RT @archi_tradition: Amsterdam, Netherlands 🇳🇱 https://t.co/cJ25XcHskz",351851658,nl,2022-11-17T11:47:40.000Z,1593209252667330561,['1593209252667330561'],
RT @terrychristian: Huge inflation for UK ......more austerity. Time to at least rejoin EU single market .,351851658,en,2022-11-17T11:28:50.000Z,1593204512306900992,['1593204512306900992'],
"RT @archer_rs: Comment from a Dutch banker here,

""The British had the entire European banking market at their feet, total control and they…",351851658,en,2022-11-17T10:59:54.000Z,1593197228977704960,['1593197228977704960'],
"RT @Zero_4: Krishnan Guru-Murthy: “So you could have a budget tomorrow which didn’t have any spending cuts?”

Carl Emmerson of the Institut…",351851658,en,2022-11-17T09:54:45.000Z,1593180834663911427,['1593180834663911427'],
RT @QuwwatTakhayyul: One of the most magnificent architectural achievements of the Islamic world is the Comares Hall of the Alhambra palace…,351851658,en,2022-11-17T09:03:52.000Z,1593168028967264261,['1593168028967264261'],
RT @Jc62Matildamog: Priti Patel.Gavin Williamson. Now Dominic Raab is apparently banned from meeting junior staff without supervision due t…,351851658,en,2022-11-17T08:44:50.000Z,1593163238795280386,['1593163238795280386'],
