text,author_id,lang,geo,created_at,id,edit_history_tweet_ids
@gamesforlife36 https://t.co/50Fj9k6ehj,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T21:41:22.000Z,1595170601013895168,['1595170601013895168']
@kouk____ No doubt! Good place to be!,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:40:26.000Z,1595170363620528128,['1595170363620528128']
@GeekNYWoo FujiFilm makes a mean jpg out of camera. I’ve never seen anything like it.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:38:50.000Z,1595169964234706945,['1595169964234706945']
@dezentral1 @Jedi_prophet Tomorrow. 1/3. 1.3 $XTZ https://t.co/6Y5n6pJP85,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:28:57.000Z,1595167477159186433,['1595167477159186433']
@GeekNYWoo I really dig the FujiFilm X-T5 but may go with an older model.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:26:49.000Z,1595166939550126080,['1595166939550126080']
@GeekNYWoo I have a little note on my phone. Helps a ton. Mobile is easier for me these days but I have a new camera I’m looking at. 🙃,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:11:05.000Z,1595162980152651776,['1595162980152651776']
@DianaJunakovic @GeekNYWoo Gracias @DianaJunakovic,475467481,es,,2022-11-22T21:02:24.000Z,1595160792633991169,['1595160792633991169']
@WeirdOne_NFT Here’s the OG compared to the edit. https://t.co/0n0h5UJyJ1,475467481,en,,2022-11-22T21:02:05.000Z,1595160714737377282,['1595160714737377282']
@GeekNYWoo It’s hard to believe. Lol Silly iPhone continues to impress me. It’s all timing. So I do a lot of observing and take notes to time the work.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T21:00:46.000Z,1595160381852626944,['1595160381852626944']
@WeirdOne_NFT I’m gonna have to incorporate that in my NFT work.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:59:49.000Z,1595160142424641537,['1595160142424641537']
"@GeekNYWoo The third was a hip shot that I lucked out on. Omg shooting from above is a big part of my work recently. No drones, just hanging off a bridge. Lol",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:55:57.000Z,1595159171187384320,['1595159171187384320']
"@Girl_on_Gore @PonseLakiva No big. Just busy , doll face",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:54:54.000Z,1595158907059834880,['1595158907059834880']
@WeirdOne_NFT Thanks so much! I really need to make a video to show the transformation because the og photo is very different.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:54:26.000Z,1595158790277513216,['1595158790277513216']
@Girl_on_Gore @error1oading @ItsBB7 @cocoWu5 @jeihanfputra @celestialprod @paulasanchesart Once that waffle maker sells.,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:53:33.000Z,1595158568453357568,['1595158568453357568']
@Yaacov97531 Gotta play a bit. I feel like a dork being serious about my life. Lol,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:53:11.000Z,1595158473175465985,['1595158473175465985']
@Yaacov97531 Sunrise is bnw beautiful in winter. Get it? 😂 https://t.co/3Kzysf9rRz,475467481,en,,2022-11-22T20:44:34.000Z,1595156307115319301,['1595156307115319301']
"@WeirdOne_NFT Thanks for the shine!! 
Genesis MidJourney X Street Photography gallery. 
1/1. 1.3 $XTZ. 

https://t.co/B6VIntEG3L https://t.co/W8w6A0QZEc",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:43:14.000Z,1595155970664976384,['1595155970664976384']
@AZabienski https://t.co/GHsrDPif59,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T20:41:37.000Z,1595155563599405056,['1595155563599405056']
@GeekNYWoo Some of my favorites. Great gallery! https://t.co/gCFjnmAJcb,475467481,en,,2022-11-22T20:41:19.000Z,1595155486139031552,['1595155486139031552']
"RT @GeekNYWoo: PHOTO SHARE THREAD

Confuses me why street photography is slept on. Candid moments are once in a lifetime. 

Share your stre…",475467481,en,,2022-11-22T20:39:35.000Z,1595155049831075841,['1595155049831075841']
"@Justin_82jr Samurai 
1.1 $XTZ

https://t.co/tfq8viVOTi https://t.co/uDoqkWTo09",475467481,in,{'place_id': '013379ee5729a5e6'},2022-11-22T20:37:23.000Z,1595154499961659392,['1595154499961659392']
"@Rodolfodelaluz2 Objkt/Tezos 
1.3 tez https://t.co/qzqzxT56ho",475467481,pt,{'place_id': '013379ee5729a5e6'},2022-11-22T20:09:18.000Z,1595147429737009153,['1595147429737009153']
"RT @Rodolfodelaluz2: Drop your art !  😎🤑
.
Drop your 1/1 art or editions 😏🚀
Prices 🤑💚
Market 👀
No tags 🖤☠
No links🖤☠
Rt my pin tweet (if yo…",475467481,en,,2022-11-22T20:08:23.000Z,1595147198265987073,['1595147198265987073']
@ErrorSkull @error1oading @CoinSeer @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace @curatioart That’s me!,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T20:07:55.000Z,1595147083237199872,['1595147083237199872']
@PonseLakiva I’ve been slammed,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T19:18:31.000Z,1595134650753568769,['1595134650753568769']
"RT @Chris_ik_photos: Photography Art share 📷
Share your recent works ✨

1. No links
2. Share and don't forget to interact with other photog…",475467481,en,,2022-11-22T19:18:21.000Z,1595134608135180288,['1595134608135180288']
"@Chris_ik_photos Douglas, Arizona https://t.co/mhjxy6VbRD",475467481,en,{'place_id': '131fec3e26952000'},2022-11-22T19:18:18.000Z,1595134598047858689,['1595134598047858689']
@AZabienski Nice,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T19:17:15.000Z,1595134331361456128,['1595134331361456128']
