created_at,author_id,geo,edit_history_tweet_ids,lang,text,id
2022-11-22T23:16:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0504488, 42.2873205]}}",['1595194430474027008'],en,"86A Oakton Avenue, Boston https://t.co/Jx2C6x2AFx",1595194430474027008
2022-11-22T22:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0502801, 42.2873554]}}",['1595186880097783809'],und,"86 Oakton Avenue, Boston https://t.co/gQHbwuoJSF",1595186880097783809
2022-11-22T22:16:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0501002, 42.287389]}}",['1595179327137927168'],und,"92 Oakton Avenue, Boston https://t.co/olPuQAgxKA",1595179327137927168
2022-11-22T21:46:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0499523, 42.2874203]}}",['1595171778585710592'],und,"96 Oakton Avenue, Boston https://t.co/88AUzLKkwi",1595171778585710592
2022-11-22T21:16:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0498079, 42.2874513]}}",['1595164231531315200'],und,"100 Oakton Avenue, Boston https://t.co/EDsGSXlCAf",1595164231531315200
2022-11-22T20:46:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0496395, 42.2874745]}}",['1595156679800283136'],und,"102 Oakton Avenue, Boston https://t.co/puBPRWS5KD",1595156679800283136
2022-11-22T20:16:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0494501, 42.2874939]}}",['1595149133018320896'],und,"106 Oakton Avenue, Boston https://t.co/xV4q5QVnOO",1595149133018320896
2022-11-22T19:46:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0492958, 42.2875196]}}",['1595141580792352768'],und,"110 Oakton Avenue, Boston https://t.co/YSBRkfgJuB",1595141580792352768
2022-11-22T19:16:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0495079, 42.2877128]}}",['1595134031196491777'],en,"40 Plain Street, Boston https://t.co/YSGpHDPrPQ",1595134031196491777
2022-11-22T18:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0495699, 42.2878748]}}",['1595126482136727554'],en,"44 Plain Street, Boston https://t.co/qmDmdulOeE",1595126482136727554
2022-11-22T18:16:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0498824, 42.2877258]}}",['1595118932674850816'],fr,"97 Pierce Avenue, Boston https://t.co/tlLO3pbQAT",1595118932674850816
2022-11-22T17:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0501261, 42.28768]}}",['1595111383829471232'],fr,"95 Pierce Avenue, Boston https://t.co/AjFSYK0CU4",1595111383829471232
2022-11-22T17:16:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0502975, 42.2876471]}}",['1595103834086707200'],fr,"93 Pierce Avenue, Boston https://t.co/Ujin4d5zfd",1595103834086707200
2022-11-22T16:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0504703, 42.2876143]}}",['1595096283173117959'],fr,"89 Pierce Avenue, Boston https://t.co/uJeny4ckR1",1595096283173117959
2022-11-22T16:16:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0506431, 42.2875826]}}",['1595088731094016000'],fr,"85 Pierce Avenue, Boston https://t.co/lxhbgc0SEt",1595088731094016000
2022-11-22T15:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0508171, 42.2875502]}}",['1595081184782225410'],fr,"81 Pierce Avenue, Boston https://t.co/UePnqBlRwI",1595081184782225410
2022-11-22T15:16:03.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0509903, 42.2875173]}}",['1595073632635564032'],fr,"77 Pierce Avenue, Boston https://t.co/JJ6tHrncez",1595073632635564032
2022-11-22T14:46:04.000Z,1130296729453117441,"{'place_id': '67b98f17fdcf20be', 'coordinates': {'type': 'Point', 'coordinates': [-71.0511677, 42.287486]}}",['1595066085291737092'],fr,"73 Pierce Avenue, Boston https://t.co/oOMAegiDYc",1595066085291737092
