text,lang,id,author_id,geo,edit_history_tweet_ids,created_at
"@NdamukongSuh And if you need a cigar or two, check out @HoltsCigar on Walnut Street.",en,1595133928486055943,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1595133928486055943'],2022-11-22T19:15:39.000Z
@Eagles @LaneJohnson65 @fcoxx_91 @jake_elliott22 @JasonKelce AC/DC Back in Black entrance song!,en,1595058320418684930,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1595058320418684930'],2022-11-22T14:15:12.000Z
@NdamukongSuh @Eagles Totally fit in with my Eagles! Bringing the Philly attitude!,en,1594733115943129091,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594733115943129091'],2022-11-21T16:42:58.000Z
@JimCantore The Cantore fridge. @JimCantore,en,1594731778522095616,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594731778522095616'],2022-11-21T16:37:39.000Z
@PHLEaglesNation And running out of the tunnel to AC/DC Back in Black!,en,1594517283308716032,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594517283308716032'],2022-11-21T02:25:19.000Z
@notbuncy That looks and sounds delicious!,en,1594429562141671425,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594429562141671425'],2022-11-20T20:36:45.000Z
@Devan_Kaney Should make for a great post time show.,en,1594422901305925634,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594422901305925634'],2022-11-20T20:10:17.000Z
@RealGlenMacnow Gannon is still asleep,en,1594413820998725632,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594413820998725632'],2022-11-20T19:34:12.000Z
"@__KerryLyn130 Shame, would have made for a great post seeing his page.",en,1594406994676424704,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594406994676424704'],2022-11-20T19:07:04.000Z
"@JackFritzWIP Totally different team. Predictable, soft and flat. And the schedule only gets more difficult.",en,1594406287604867074,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594406287604867074'],2022-11-20T19:04:16.000Z
