text,created_at,author_id,edit_history_tweet_ids,id,lang,withheld
RT @PopCulture2000s: jojo was really DEEP in her 13 years old bag https://t.co/uAdX92yQVm,2022-11-22T23:17:33.000Z,1150585235538509824,['1595194806330077184'],1595194806330077184,en,
RT @IreneSwtch: Scorpio moons n their mother wounds r not for the weak!!!,2022-11-22T23:13:57.000Z,1150585235538509824,['1595193900146122753'],1595193900146122753,en,
RT @kwameaddoobiri_: Bro white people make dating look so simple and easy,2022-11-22T23:10:26.000Z,1150585235538509824,['1595193015840038912'],1595193015840038912,en,
RT @witti_indi: Having Gemini and Scorpio placements it’s like you want to be a beautiful mystery but you just can’t shut tf up,2022-11-22T20:33:21.000Z,1150585235538509824,['1595153484151939072'],1595153484151939072,en,
RT @ykmaj6: Our parents just don’t know how far we rode them bikes when we was younger 🤣,2022-11-22T20:31:21.000Z,1150585235538509824,['1595152981262929920'],1595152981262929920,en,
Imagine each is 2 packs of cigarettes https://t.co/92hn4cDbRE,2022-11-22T20:23:56.000Z,1150585235538509824,['1595151115154120704'],1595151115154120704,en,
This mars rx in Gemini got me feeling reckless as fuck,2022-11-22T20:00:23.000Z,1150585235538509824,['1595145186534793216'],1595145186534793216,en,
RT @_B___S: Pick me up and carry right now! I'm tired https://t.co/SLcMW4UELy,2022-11-22T19:29:04.000Z,1150585235538509824,['1595137307484762113'],1595137307484762113,en,
RT @RubiRose: Tumeric-lemons sliced in half -orange sliced in half -garlic cloves smashed -Manuka honey - all in a boiling pot of water. An…,2022-11-22T19:28:20.000Z,1150585235538509824,['1595137120351309824'],1595137120351309824,en,
RT @lilmissboojieee: Wendy said “I don’t beef with men if Peter has a problem with me he can call my husband” so Mia got mad and physically…,2022-11-22T19:27:09.000Z,1150585235538509824,['1595136821784371201'],1595136821784371201,en,
"RT @LaurenJauregui: My angle was in critical condition.😂 I’m so grateful I could never stress like this on a carpet again tho, the growth…",2022-11-22T19:23:38.000Z,1150585235538509824,['1595135940187475968'],1595135940187475968,en,
"RT @CocoaDoe: Yall remember that Jennifer Lewis Vid, where she left dude because he shitted on something minor that she took joy in....",2022-11-22T19:23:11.000Z,1150585235538509824,['1595135824433012736'],1595135824433012736,en,
