created_at,text,edit_history_tweet_ids,author_id,lang,id
2022-11-22T19:16:10.000Z,"RT @ModiBharosa: धर्मनिरपेक्ष पत्रकारिता  @ravishndtv द्वारा....

शर्मनाक ! https://t.co/ePG9bNiT3h",['1595134059793252352'],826075421720539136,hi,1595134059793252352
2022-11-22T19:15:15.000Z,RT @songpinganq: A Russian model scaring people with her red COVID passport code (l don't know it's real or not) in China's Guangzhou city…,['1595133828242472961'],826075421720539136,en,1595133828242472961
2022-11-22T19:14:14.000Z,RT @KirenRijiju: This is the Highway from Srinagar to Anantnag in Jammu and Kashmir 🛣 https://t.co/Rc1xkbD7ND,['1595133573178470401'],826075421720539136,en,1595133573178470401
2022-11-22T19:14:04.000Z,"RT @songpinganq: China 🇨🇳, Shenzhen city

A robot approaching:
''Your attention! Please wear your mask!'' https://t.co/P3RwvzysMV",['1595133530979569664'],826075421720539136,en,1595133530979569664
2022-11-22T19:13:44.000Z,"RT @ippatel: ""मध्यप्रदेश में जितने गुंडे, बदमाश हैं, कान खोलकर सुन लें कि गरीब, कमजोर की तरफ हाथ उठा, तो मकान खोदकर मैदान बना दूंगा"": मामा…",['1595133444803399680'],826075421720539136,hi,1595133444803399680
2022-11-22T19:13:10.000Z,RT @Dev_Fadnavis: मणिनगर (अहमदाबाद) हमारे आदरणीय प्रधानमंत्री नरेंद्र मोदी जी का क्षेत्र रहा है।मतदाताओं ने बार बार उन्हे यहाँ से जिताया है…,['1595133304315215872'],826075421720539136,mr,1595133304315215872
2022-11-22T19:10:46.000Z,RT @ManojTiwariMP: आज गुजरात के दभोई में @BJP4Gujarat विधायक प्रत्याशी सैलेश भाई मेहता के लिए जनसभा को संबोधित किया।  #GujaratElections2022…,['1595132698825490434'],826075421720539136,hi,1595132698825490434
2022-11-22T19:09:48.000Z,RT @shalabhmani: गुजरात में भारतीय जनता पार्टी के सूरत कार्यालय पर राष्ट्रीय प्रवक्ता श्री @sambitswaraj जी के साथ ज़िला अध्यक्ष श्रीमान नि…,['1595132457833345024'],826075421720539136,hi,1595132457833345024
2022-11-22T19:09:05.000Z,RT @MrsGandhi: Participated in a vibrant satsang hosted by Ram Kabir bhajan mandal at Padmanabh Mandir in Patan today &amp; took a promise from…,['1595132278233255936'],826075421720539136,en,1595132278233255936
2022-11-22T19:08:32.000Z,"RT @Dev_Fadnavis: Nostalgic!
📍I have old connection with Prantij Vidhan Sabha in Sabarkantha district in Gujarat.
I had come here to campai…",['1595132139540217856'],826075421720539136,en,1595132139540217856
