author_id,edit_history_tweet_ids,lang,created_at,text,id,geo
450409352,['1595192828161761280'],en,2022-11-22T23:09:42.000Z,"That really makes Wayne Brown look entirely incompetent now

Might as well Resign so we can get the byelection done or we just appoint Efeso as lead Commissioner https://t.co/niwP820Edz",1595192828161761280,
450409352,['1595192387554271232'],en,2022-11-22T23:07:57.000Z,"Wait, the Maritime Union supports the Port of Auckland Board and not Wayne Brown and Matthew Hooten 

WOW that is a bit of news and a bit of a LMFAO too

OUCH https://t.co/202dk8XOYx",1595192387554271232,
450409352,['1595190976586256384'],en,2022-11-22T23:02:20.000Z,"Sounds as good as Auckland Transport suing the Council's own Climate Plans and Council joining in on it

Court Declared the Plans were nothing but aspirations and AT doesn't need to follow them 😑 https://t.co/Z5WCoZSdTd",1595190976586256384,
450409352,['1595190478579720192'],en,2022-11-22T23:00:21.000Z,What fresh hell and who go murdered this morning for this Trend shit show to show up https://t.co/y3eXwgbeIm,1595190478579720192,
450409352,['1595189620030943233'],und,2022-11-22T22:56:57.000Z,@OliverLewis @MurrayReports @JournoMan 😮 😀,1595189620030943233,
450409352,['1595189232716238848'],en,2022-11-22T22:55:24.000Z,"To be or not to be.......

BOOOOM

(One photon torpedo to the face) https://t.co/YhkXwnDC2D",1595189232716238848,
450409352,['1595189131272851457'],en,2022-11-22T22:55:00.000Z,"We sure Liara didn't write the below 😉 

Far out that is more burn than Saren being burned in the Battle of the Citadel https://t.co/OeUBLh079I",1595189131272851457,
450409352,['1595178694988873728'],en,2022-11-22T22:13:32.000Z,"RT @betterstreetsai: Lark Street (Albany, New York) https://t.co/iHF8oowKZX",1595178694988873728,
450409352,['1595177947605762048'],en,2022-11-22T22:10:34.000Z,"Rinse repeat for NZ Media on Ram Raids and Gang Numbers

Pure Citizen Kane bollocks https://t.co/QbEwSf0RUT",1595177947605762048,
450409352,['1595171743538286600'],en,2022-11-22T21:45:55.000Z,The latest Talking Auckland Redux! https://t.co/xG5EuL4Z4b Thanks to @NZParliament @AklCouncil @AklTransport #ourakl #freedomcamping,1595171743538286600,
