text,lang,author_id,created_at,id,edit_history_tweet_ids,geo
RT @JoJoFromJerz: BREAKING: The Capitol Insurrectionist who attacked Speaker Pelosi’s office was reportedly  “surprised” when the judge sen…,en,1234483774781444102,2022-11-22T23:02:39.000Z,1595191056689004544,['1595191056689004544'],
"RT @JanHoving4: Mingus with his small and tiny instrument, 1978. 📸 Gorm Valentin. https://t.co/1DBvm5vYel",en,1234483774781444102,2022-11-22T21:17:24.000Z,1595164567323037696,['1595164567323037696'],
"RT @HGACinema: Happy Birthday to Jamie Lee Curtis.

Born: 22 November, 1958 in Los Angeles, California, USA.

Actress, producer, children's…",en,1234483774781444102,2022-11-22T21:14:30.000Z,1595163839057645568,['1595163839057645568'],
@TattooedToez Sheesh!!!!!! 🤤🤤🤤,hi,1234483774781444102,2022-11-22T21:14:26.000Z,1595163820854427648,['1595163820854427648'],{'place_id': 'f2b1ac6c9d15503f'}
"RT @ZvonimirMilas: @IvanaTucak The painting decorates the interior of a café in the town of Vis, island of Vis (Lissa). https://t.co/jBHBoH…",en,1234483774781444102,2022-11-22T21:14:14.000Z,1595163771504250880,['1595163771504250880'],
"RT @IvanaTucak: Admiral Wilhelm von Tegethoff during the Battle of Lissa, led between Austria and Italy, Adriatic Sea, 1866.

#Artwork by A…",en,1234483774781444102,2022-11-22T21:14:12.000Z,1595163762121920512,['1595163762121920512'],
RT @glass_zealot: https://t.co/PGudqEZuzP,zxx,1234483774781444102,2022-11-22T21:14:02.000Z,1595163720128217089,['1595163720128217089'],
"RT @vintagemapstore: Hamburg, 1600. https://t.co/K4HuMdwk65",de,1234483774781444102,2022-11-22T21:14:00.000Z,1595163711479873536,['1595163711479873536'],
RT @melandavids: Indulge in it 🍯 https://t.co/tFp4XOnm2p,en,1234483774781444102,2022-11-22T21:13:53.000Z,1595163684392693761,['1595163684392693761'],
@docstinkyfeet Still looks good!!,en,1234483774781444102,2022-11-22T21:13:47.000Z,1595163656504778753,['1595163656504778753'],{'place_id': 'f2b1ac6c9d15503f'}
"RT @ArtorOtherThing: agnes-briosch:
stained glass window at petit palais, paris. https://t.co/g7wf8ZfbKG",en,1234483774781444102,2022-11-22T21:13:05.000Z,1595163481195810816,['1595163481195810816'],
"RT @archi_tradition: Zurich, Switzerland🇨🇭 https://t.co/MSqr5NNqjW",de,1234483774781444102,2022-11-22T21:12:39.000Z,1595163371338600448,['1595163371338600448'],
RT @TheGoodLiars: We presented Don Jr with this coveted “Voter Suppression Hall of Fame” plaque. Congrats. https://t.co/Gz6QjmyCRF,en,1234483774781444102,2022-11-22T21:08:59.000Z,1595162451372216322,['1595162451372216322'],
@nvesna_35mm Agreed! That’s all I really use lol.,en,1234483774781444102,2022-11-22T21:02:16.000Z,1595160759842971648,['1595160759842971648'],{'place_id': 'f2b1ac6c9d15503f'}
@jessSoles99 🤤🤤👏,und,1234483774781444102,2022-11-22T20:08:17.000Z,1595147173045637121,['1595147173045637121'],{'place_id': 'f2b1ac6c9d15503f'}
RT @MIUCClAMUSE: olivia rodrigo by davis bates https://t.co/RENvGbG5LK,pt,1234483774781444102,2022-11-22T19:25:53.000Z,1595136504527212545,['1595136504527212545'],
@elevatedmaven @Giantess_Cleo Love it!!,en,1234483774781444102,2022-11-22T19:24:44.000Z,1595136214822055936,['1595136214822055936'],{'place_id': 'f2b1ac6c9d15503f'}
RT @TizzyEnt: The Elton John concert attackers have been identified &amp; there is so much more than you think... (this is updated with a corre…,en,1234483774781444102,2022-11-22T19:16:28.000Z,1595134135030251520,['1595134135030251520'],
"RT @culturaltutor: The city of Lugo was originally founded as Lucus Augusti in 13 BC.

It was a vital outpost and so in the 3rd century AD…",en,1234483774781444102,2022-11-22T19:16:18.000Z,1595134091934191616,['1595134091934191616'],
"RT @culturaltutor: The small city of Lugo in northern Spain has a special secret.

It is the *only* place in the world to have a complete s…",en,1234483774781444102,2022-11-22T19:16:14.000Z,1595134074087428096,['1595134074087428096'],
"RT @itgirlenergy: Vogue Turkey last month, Vogue France this month? A new nepo on the rise https://t.co/Jsvo3R80UN",en,1234483774781444102,2022-11-22T19:15:34.000Z,1595133907325681664,['1595133907325681664'],
"RT @LostInHistorypi: Wonderful 2000 years-old sapphire ring presumably belonged to Roman emperor Caligula, thought depicting his fourth wif…",en,1234483774781444102,2022-11-22T19:08:31.000Z,1595132132036268033,['1595132132036268033'],
RT @AishaaaMarie: https://t.co/VxFmMgga4D,zxx,1234483774781444102,2022-11-22T19:08:26.000Z,1595132114554396672,['1595132114554396672'],
RT @virgoessence: Versace Spring 2015 https://t.co/yvS4Y9GwSV,en,1234483774781444102,2022-11-22T19:08:14.000Z,1595132061056086016,['1595132061056086016'],
"RT @tzoumio: Greek terracotta kylix (drinking cup), 540 BC. Attributed to the Amasis Painter. MET Museum. https://t.co/f6UMmjGdXh",en,1234483774781444102,2022-11-22T19:08:09.000Z,1595132042840182785,['1595132042840182785'],
"RT @aemisias: Ermanno Scervino, SS22 https://t.co/ynbz4pYHTV",it,1234483774781444102,2022-11-22T18:53:55.000Z,1595128460279619584,['1595128460279619584'],
RT @alisonmartino: Prince at Sam Goody in 1988 https://t.co/UBqXycyAPA,en,1234483774781444102,2022-11-22T18:53:43.000Z,1595128409654407168,['1595128409654407168'],
"RT @archeohistories: A 2000 year old Roman silver dagger, discovered by an archeology intern in 2019 in Germany; before and after nine mont…",en,1234483774781444102,2022-11-22T18:48:03.000Z,1595126983557402624,['1595126983557402624'],
RT @frenchmarlboro: inlove w house of CB https://t.co/RFKl85KGV2,en,1234483774781444102,2022-11-22T18:48:01.000Z,1595126973634064385,['1595126973634064385'],
"RT @tzoumio: Gold pendant with Sphinx, 5th-4th c.BC. From Cyprus. MET Museum. https://t.co/8KMXGK7LY6",en,1234483774781444102,2022-11-22T18:47:51.000Z,1595126931011555328,['1595126931011555328'],
RT @PRADAXBBY: this tiffany &amp; co ring https://t.co/RAbEnKAh2E,en,1234483774781444102,2022-11-22T18:47:45.000Z,1595126906285744128,['1595126906285744128'],
RT @DvilCouture: Moschino Fall 2017 https://t.co/mFpOEyo0BH,en,1234483774781444102,2022-11-22T18:47:38.000Z,1595126878603423744,['1595126878603423744'],
"RT @aemisias: Ralph &amp; Russo, SS20 https://t.co/RGeGo9jIsV",und,1234483774781444102,2022-11-22T18:47:34.000Z,1595126862271123457,['1595126862271123457'],
"RT @ArchaeoStore: Red-Figure Kalpis.Artist/Maker: Group of the Floral Nolans (Greek (Attic), active about 470 B.C.) Culture: Greek (Attic).…",en,1234483774781444102,2022-11-22T18:47:31.000Z,1595126848245362688,['1595126848245362688'],
RT @andclould: gucci tights https://t.co/SwMlsjTN7R,en,1234483774781444102,2022-11-22T18:47:21.000Z,1595126806377398272,['1595126806377398272'],
"RT @MercedesAMGF1: 264 laps later, sunset on 2022. ✌️ https://t.co/PZCm0mZL50",en,1234483774781444102,2022-11-22T18:46:13.000Z,1595126520900907008,['1595126520900907008'],
RT @VENETIANVIOLET: i love this sm https://t.co/uqaBq3vvEL,en,1234483774781444102,2022-11-22T18:46:02.000Z,1595126477850148864,['1595126477850148864'],
RT @shouldhaveaduck: https://t.co/27Yp2rqyxU,zxx,1234483774781444102,2022-11-22T18:45:50.000Z,1595126425270784000,['1595126425270784000'],
"RT @blprnt: The dude who took down the Colorado shooter owns a brewery.

His wife is the brewmaster.

They have merch: https://t.co/3EgtLOh…",en,1234483774781444102,2022-11-22T18:45:44.000Z,1595126401224437760,['1595126401224437760'],
"RT @whereisthiss_: Please caption this picture..
Argentina 🇦🇷 https://t.co/3t3n8M9TBI",en,1234483774781444102,2022-11-22T18:40:12.000Z,1595125008052809729,['1595125008052809729'],
RT @Western_Trad: We live in a Hell of our own making. https://t.co/B4pGOmb3rL,en,1234483774781444102,2022-11-22T18:40:05.000Z,1595124979925807104,['1595124979925807104'],
"RT @vintagemapstore: Maastricht, 1581. https://t.co/97W31KACOS",nl,1234483774781444102,2022-11-22T18:27:20.000Z,1595121770637709313,['1595121770637709313'],
RT @diorgyuu: wantt https://t.co/faABpm6Fqb,en,1234483774781444102,2022-11-22T18:27:15.000Z,1595121750831833088,['1595121750831833088'],
"RT @whereisthiss_: Please rate this picture on a scale of 0-10. 📍Swiss alps, Switzerland 🇨🇭 https://t.co/ajaI6nPVHH",en,1234483774781444102,2022-11-22T18:26:34.000Z,1595121577779032064,['1595121577779032064'],
RT @shouldhaveaduck: duck train https://t.co/vwbEmk53D5,en,1234483774781444102,2022-11-22T18:26:23.000Z,1595121531775918080,['1595121531775918080'],
"RT @ArysPan: Starry Athenian nights ✨
©Chris_kap.21 https://t.co/0yqCvsFM8O",en,1234483774781444102,2022-11-22T18:26:13.000Z,1595121490625601536,['1595121490625601536'],
"RT @fasc1nate: Giant Honeybees protect their hive from predators with a ripple effect known as ""shimmering."" https://t.co/aaGzmpsTXw",en,1234483774781444102,2022-11-22T18:25:29.000Z,1595121302783684608,['1595121302783684608'],
RT @mediterraneanAE: https://t.co/1f3Xb6isar,zxx,1234483774781444102,2022-11-22T17:56:11.000Z,1595113930619162626,['1595113930619162626'],
RT @Lit_Rich36: #cincinatti #fountainsquare #Sky #History #Cloud #Sculpture #Outdoors #Statue #Architecture #LowAngleView #Landmark #Buildi…,qme,1234483774781444102,2022-11-22T17:56:02.000Z,1595113890873942016,['1595113890873942016'],
RT @LeahFigs: 𝑚𝑜𝑜𝑑 ♡ https://t.co/5RknS538kc,en,1234483774781444102,2022-11-22T17:53:53.000Z,1595113352719609856,['1595113352719609856'],
RT @shouldhaveaduck: https://t.co/qQjaMB9MDK,zxx,1234483774781444102,2022-11-22T17:53:41.000Z,1595113300064288769,['1595113300064288769'],
RT @natural__earth0: https://t.co/K0by0JKQQ4,zxx,1234483774781444102,2022-11-22T17:53:34.000Z,1595113270666358784,['1595113270666358784'],
RT @mindzeye: Just a rainy day in San Francisco https://t.co/T9nUjIV4Mi,en,1234483774781444102,2022-11-22T17:53:29.000Z,1595113249540050944,['1595113249540050944'],
RT @nasibovpng: https://t.co/l9NJKQlH9M,zxx,1234483774781444102,2022-11-22T17:52:58.000Z,1595113120023793664,['1595113120023793664'],
"RT @aemisias: Halston, SS98 https://t.co/GftoBZZUkE",en,1234483774781444102,2022-11-22T17:52:52.000Z,1595113095659020288,['1595113095659020288'],
RT @duty2warn: Tesla has seen its market cap decline by $670B in the last year - from $1.2T to $530B. Business Insider points out that this…,en,1234483774781444102,2022-11-22T17:41:55.000Z,1595110338248445952,['1595110338248445952'],
RT @Del_angellum: https://t.co/MUNrbP8gNR,zxx,1234483774781444102,2022-11-22T17:41:47.000Z,1595110305138610177,['1595110305138610177'],
"RT @OptimoPrincipi: ""Here lies Leburna, a master mime artist, who lived more or less a hundred years. He died on stage many times but never…",en,1234483774781444102,2022-11-22T17:41:41.000Z,1595110280177983488,['1595110280177983488'],
RT @Unique_Abstract: When the ancient meets the modern... https://t.co/7v4vBwibl9,en,1234483774781444102,2022-11-22T17:41:18.000Z,1595110185189933058,['1595110185189933058'],
RT @AcademiaAesthe1: “Satyre et Bacchante” By James Pradier (1790–1852) https://t.co/aa653nWiaP,da,1234483774781444102,2022-11-22T17:41:15.000Z,1595110171344515073,['1595110171344515073'],
"RT @pompei79: Between the umbrellas of a restaurant in the Ghetto in Rome, one of my favourite scenes: the huge letters of a 15th century i…",en,1234483774781444102,2022-11-22T17:33:44.000Z,1595108281101320192,['1595108281101320192'],
"RT @AcademiaAesthe1: La Nuit (The Night), by Auguste Raynaud (1854-1937) https://t.co/uxItE9tSLL",en,1234483774781444102,2022-11-22T17:33:02.000Z,1595108102923505665,['1595108102923505665'],
