text,lang,id,author_id,edit_history_tweet_ids,created_at
RT @Channel4News: Sultana Chowdhury became a victim of the infected blood scandal after giving birth. But she wasn’t diagnosed until 24 yea…,en,1595193639197720578,33636586,['1595193639197720578'],2022-11-22T23:12:55.000Z
RT @chibiandchill: Screammminggg they have England thobes 😭😭😭 https://t.co/oc7Qqg0qxR,en,1595181171197218816,33636586,['1595181171197218816'],2022-11-22T22:23:22.000Z
"RT @19joho: I’m just astonished at the speed at which sheltered people who never experienced this are pretending it never happened.  

Equa…",en,1595176781975375872,33636586,['1595176781975375872'],2022-11-22T22:05:56.000Z
Why are people so happy to squander their own reputation by working with CB lol https://t.co/qvMOhogB1s,en,1595176538202324992,33636586,['1595176538202324992'],2022-11-22T22:04:58.000Z
"RT @SarahBellum627: This is me with my friend Derrick. He was killed last night at #ClubQ. He meant the absolute world to me, and I can't b…",en,1595174836455804934,33636586,['1595174836455804934'],2022-11-22T21:58:12.000Z
"RT @JamilSmith: “Shots fired. Male down. Black male, maybe 20,"" said the @ClevelandPolice officer who called in the shooting, describing th…",en,1595173346051821595,33636586,['1595173346051821595'],2022-11-22T21:52:17.000Z
"RT @CJPME: Yesterday, Israeli forces shot and killed 17-year-old Mahmoud as he was on his way to school. He was Youth Trainer at the @freed…",en,1595172923375235073,33636586,['1595172923375235073'],2022-11-22T21:50:36.000Z
looolll the cultural exchange going down in doha rn 😭😭 https://t.co/AvsXgOJBnx,en,1595170586833129477,33636586,['1595170586833129477'],2022-11-22T21:41:19.000Z
@kingnahlaa @shl0erpapi Pizza! With black pepper to calm you xx,en,1595156255655751680,33636586,['1595156255655751680'],2022-11-22T20:44:22.000Z
"the pointless discussions like ""when I was 15 I knew better"" do not speak to the reality of grooming which takes place over months or years &amp; distorts perceptions of truth and falsehood",en,1595134068383154176,33636586,['1595134068383154176'],2022-11-22T19:16:12.000Z
"muslims here grew up seeing our governments bomb &amp; massacre Muslims abroad with impunity - then people wonder how ISIS were able to skilfully groom &amp; radicalise teens to think that the 'caliphate' is better.  Shamima is a product of Britain, let her face trial here",en,1595128772168019969,33636586,['1595128772168019969'],2022-11-22T18:55:10.000Z
RT @globalhlthtwit: Shamima Begum is a British citizen who was brainwashed and trafficked as a fifteen year old to Syria. She lost three ch…,en,1595125514020474881,33636586,['1595125514020474881'],2022-11-22T18:42:13.000Z
@burkakween Remember us when ur hanging with Bella hadid,en,1595122527684399104,33636586,['1595122527684399104'],2022-11-22T18:30:21.000Z
