created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-22T20:28:22.000Z,27948635,['1595152226800267264'],en,RT @heartbarf: honored to have my book on the best-of list of a library system that appears on my own list of best damn libraries of all ti…,1595152226800267264
2022-11-22T19:53:21.000Z,27948635,['1595143417528737792'],en,"Saw a vanity license plate that read ""COVI8 19"" and was confused.",1595143417528737792
2022-11-22T19:02:12.000Z,27948635,['1595130544773566464'],en,"Recently had someone take issue with this story because of its use of they/them pronouns. What started as a complaint about ""correct grammar"" (lol) quickly revealed itself to be more about bias. Thankfully, it led to good conversation, and I hope it helped expand some apertures.",1595130544773566464
2022-11-22T12:36:48.000Z,27948635,['1595033554224050176'],en,"""Breathtaking,"" 2008's Pepsi logo redesign proposal, is easily my favorite work of literature from our new century and quietly operates as a kind of spiritual anchor for me, for my work.  

https://t.co/GL0We9Zxpp https://t.co/Oe278LRlpv",1595033554224050176
2022-11-21T12:06:20.000Z,27948635,['1594663501351780352'],en,"@PeninaRoth Thanks, Penina!! 🎉🧡",1594663501351780352
2022-11-19T20:31:37.000Z,27948635,['1594065884263288833'],en,"""The Wind"" by Lauren Groff also really hit home with me, especially as I reflect on my mom's life a year after her passing, remembering what the world felt like when I was very young and she was fighting against a great current.

https://t.co/wnVEyOQgPW",1594065884263288833
2022-11-19T20:26:44.000Z,27948635,['1594064653986004995'],en,"Encountered this in the most recent Best American short stories collection, and really enjoyed it. I read it aloud, and some of the phrases were just an absurd joy to roll through.

https://t.co/O1Po5gbG1J",1594064653986004995
2022-11-19T20:19:49.000Z,27948635,['1594062913970520067'],en,"Just ran into an old gem by @xtx33, which I remember encountering for the first time with delight and shock, and feeling inspired about what was possible in fiction. 

https://t.co/vVGCZlZsqh",1594062913970520067
2022-11-19T17:13:34.000Z,27948635,['1594016043097374721'],en,"And yeah! If you haven't read them yet, I'd be honored if you do!",1594016043097374721
2022-11-19T17:12:35.000Z,27948635,['1594015794731823105'],en,"""The Big One"" in Joyland

https://t.co/xpQfMq7nqe",1594015794731823105
2022-11-19T17:11:46.000Z,27948635,['1594015590326452233'],en,"I was blessed to publish numerous stories this past year, but the two I am most excited about are:

""The Life-changing Magic of Tidying Up"" in BOMB, and...

https://t.co/kvOB2y1lrI",1594015590326452233
2022-11-19T15:34:28.000Z,27948635,['1593991101354217472'],en,"This ... seems like a stretch, but I'm nevertheless having fun envisioning what it might look like to truly deliver on this headline. https://t.co/GSCMJJXUnw",1593991101354217472
2022-11-19T04:22:45.000Z,27948635,['1593822060924395520'],en,"It was good! And, well, I guess this it! Farewell, and see you on the other side! https://t.co/xHziMUmYOa",1593822060924395520
2022-11-18T21:53:59.000Z,27948635,['1593724223478005762'],en,"Tonight! And, well, I guess this is it! Farewell and see you on the other side! (At black spring books, at 8, that is) https://t.co/WgKkufLm1H",1593724223478005762
2022-11-18T20:13:08.000Z,27948635,['1593698842607755267'],en,"I guess this is it! Farewell, and see you on the other side!",1593698842607755267
2022-11-18T15:21:52.000Z,27948635,['1593625545354481665'],en,I'm choosing bad luck for two years.,1593625545354481665
2022-11-18T13:48:23.000Z,27948635,['1593602019113279488'],en,"While one imaginary world burns, come join a different dream at this bookstore tonight where I am reading! https://t.co/WgKkufLm1H",1593602019113279488
2022-11-18T13:13:59.000Z,27948635,['1593593362359123969'],en,@saralippmann I guess this is it! See ya on the other side,1593593362359123969
2022-11-18T13:09:47.000Z,27948635,['1593592303943393280'],en,@JonSteinhagen I guess this is it! See ya on the other side,1593592303943393280
2022-11-18T13:07:28.000Z,27948635,['1593591719492100097'],en,@teisenbise I guess this is it! See ya on the other side!,1593591719492100097
2022-11-18T13:06:56.000Z,27948635,['1593591585760944128'],en,"(""Well, I guess this is it"" is among the two or three trueish things a person can mutter in life)",1593591585760944128
2022-11-18T13:05:14.000Z,27948635,['1593591158030082049'],en,"I hope Twitter permanently becomes the place where people just say goodby and farewell all the time. ""Well, I guess this is it -- see you on the other side,"" every day, on repeat, always the last time, forever.",1593591158030082049
