lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1595166374695145473'],1580485390921879553,2022-11-22T21:24:35.000Z,"Follow link for jobs: https://t.co/Uwc3L0Fomx

#JobSeekersSA  | SHEIN",1595166374695145473
en,['1595165685755572229'],1580485390921879553,2022-11-22T21:21:50.000Z,"FAIRCAPE

Requirements:
*Has been vaccinated at appointment of the job
*Has a clear criminal record
*Has references that can be easily contacted
*Must be in a good health state

Apply online: https://t.co/9zWlPzGXww",1595165685755572229
en,['1595137183610204160'],1580485390921879553,2022-11-22T19:28:35.000Z,"ILLOVO SUGAR SOUTH AFRICA

Requirements:
-You must be south African
-Must be in possession of a matric certificate
-You must be studying towards an undergraduate qualification in one of the fields of study stated above...

Apply online: https://t.co/A3vyQ8cyCl",1595137183610204160
en,['1595136426613821440'],1580485390921879553,2022-11-22T19:25:34.000Z,"CAPRISA

Requirements:
-Must not be older than 35 years
-Bachelor's Degree in Human Resource Management
-Proficient in MS Office and be computer literate
-Must not have previously participated in an internship

Apply online: https://t.co/MzHtXgFqBM",1595136426613821440
en,['1595135662294204416'],1580485390921879553,2022-11-22T19:22:32.000Z,"TALKSURE

Requirements:
+ Must be a south African citizen and aged between 18-35
+ Must have not  previously done an internship prior
+ Must not be currently employed or on any learnership/internship...

Apply online: https://t.co/yfIcLZSvnR",1595135662294204416
en,['1595134076939563008'],1580485390921879553,2022-11-22T19:16:14.000Z,"MARKET THEATRE

Location: Johannesburg, Gauteng
Closing: 28 November 2022
Stipend: R5000
Duration: 12 months
Enquiries: 011 832 1641 (Zinhle Mngadi)

Apply online: https://t.co/AY6Ffq7psU",1595134076939563008
en,['1594594299664007174'],1580485390921879553,2022-11-21T07:31:21.000Z,"CARGILL

Requirements:
+A completed bachelor or master degree
+0-2 years of work experience and internship in a relevant field
+Must be fluent in English
+Good knowledge of Excel and other technical tools

Apply online: https://t.co/Mu2a8UL5TR",1594594299664007174
en,['1594592380551929857'],1580485390921879553,2022-11-21T07:23:44.000Z,"COLGATE

Competencies/Experience &amp; Education:
-Ability to endure productivity under pressure
-Must hold a BCOM Degree/Honours. 
-0-2 years working experience
-Numerate with good attention to detail...

Apply online: https://t.co/srTn57AlVL",1594592380551929857
en,['1594591209774800901'],1580485390921879553,2022-11-21T07:19:05.000Z,"ENTERPRISE UNIVERSITY OF PRETORIA

Minimum Requirements:
-A NSC valid certificate/equivalent
-No previous work experience is prerequisite
-Must possess of a driver's license
-Must have a 2 to 3 year qualification
-Must be a South African

Apply online: https://t.co/wjsPMKgAMY",1594591209774800901
en,['1593540241465278464'],1580485390921879553,2022-11-18T09:42:54.000Z,"HLUNGA GROUP

Role:
-Responsible for compiling the daily log, weekly as well as monthly report
-Responsible for completing clerical and administrative duties in the marketing office...

Apply online: https://t.co/2cE83eq0GU",1593540241465278464
