lang,edit_history_tweet_ids,author_id,created_at,text,id,geo
en,['1595133522578386946'],450555578,2022-11-22T19:14:02.000Z,"RT @TansuYegen: The image of the cruise ship, built by Saudi Arabia for $ 5 billion, is a small floating city. It will not be able to enter…",1595133522578386946,
en,['1595125567850164224'],450555578,2022-11-22T18:42:26.000Z,RT @sammy_westfall: Few World Cup tournaments have been shrouded in this much geopolitical intrigue. @ishaantharoor — the Washington Post's…,1595125567850164224,
en,['1595125555208523776'],450555578,2022-11-22T18:42:23.000Z,"RT @ishaantharoor: India, undefeated at the World Cup",1595125555208523776,
en,['1595125543355437056'],450555578,2022-11-22T18:42:20.000Z,"RT @felix_drost: Hobsbawm ... wrote ... that the … imagined community of millions seems more real as a team of 11 named people.”

Excellent…",1595125543355437056,
en,['1595113340040548353'],450555578,2022-11-22T17:53:50.000Z,RT @ShashiTharoor: Wonderful meeting Saturday night with Kozhikode Bishop Varghese Chakkalakal and his colleagues. The Bishop welcomed @mkr…,1595113340040548353,
en,['1595113319626870784'],450555578,2022-11-22T17:53:45.000Z,"RT @ShashiTharoor: Paid a condolence visit to the home of my friend, the late poet &amp; novelist TP Rajeevan. His family has borne his sudden…",1595113319626870784,
en,['1595113286684790785'],450555578,2022-11-22T17:53:37.000Z,RT @ShashiTharoor: Travelled to Mahe yesterday to honour the legendary short-fiction writer T. Padmanabhan&amp; unveil a bust of him at the Mal…,1595113286684790785,
en,['1595113194284277760'],450555578,2022-11-22T17:53:15.000Z,"RT @ShashiTharoor: I have great admiration for the vision of @najibkantapuram who conceived of this academy, found sponsors &amp; brought it to…",1595113194284277760,
en,['1595113175795761152'],450555578,2022-11-22T17:53:11.000Z,RT @ShashiTharoor: Greeted the kids of the adjoining school as well! https://t.co/wJl6NbFPuM,1595113175795761152,
en,['1595113135836631041'],450555578,2022-11-22T17:53:02.000Z,"RT @ShashiTharoor: Pleased to visit nonagenarian historian MGS Narayanan, honour him with an angavastram &amp; present him a copy of my latest…",1595113135836631041,
en,['1595113116567998464'],450555578,2022-11-22T17:52:57.000Z,"RT @ShashiTharoor: Called on veteran ⁦@INCKerala⁩ leader &amp; former Minister Cyriac John at his lovely home, designed &amp; built by his architec…",1595113116567998464,
en,['1595113101921484800'],450555578,2022-11-22T17:52:53.000Z,"RT @ShashiTharoor: Finally a picture of the bust I unveiled of short-fiction writer T.Padmanabhan in Mahe’s Malayala Kalagramam, by the ski…",1595113101921484800,
en,['1595112944035323906'],450555578,2022-11-22T17:52:16.000Z,"RT @ShashiTharoor: Called on Syed SadiqAli Shihab Thangal, President of ⁦@iumlofficial⁩ Kerala, as well as his family&amp; colleagues. They hav…",1595112944035323906,
zxx,['1595112779182399489'],450555578,2022-11-22T17:51:36.000Z,RT @ShashiTharoor: https://t.co/mmoCPRiSDv,1595112779182399489,
en,['1595112083297042432'],450555578,2022-11-22T17:48:51.000Z,"RT @bombaymalayali: Portrait of a City - editions are live now! 

Link to the claim page and other details 👇🏽 https://t.co/A6zlOrLeL9",1595112083297042432,
hi,['1595111689061818368'],450555578,2022-11-22T17:47:17.000Z,RT @ias_rawat: चिंतन शिविर … https://t.co/jtiwfrwJeg,1595111689061818368,
hi,['1595111141357019136'],450555578,2022-11-22T17:45:06.000Z,"RT @RahulSharmaINC: उमंग और उत्साह संग बढ़ रहा
हर जन कांग्रेस संग चल रहा
चांदनी चौक का हर वासी परिवर्तन को तैयार है, सबको 4 दिसम्बर का इंत…",1595111141357019136,
hi,['1595111080694775809'],450555578,2022-11-22T17:44:52.000Z,RT @mudit_aggarwal: दिल्ली नगर निगम चुनाव में  वार्ड 68-माडल टाउन  (मॉडल टाउन  विधानसभा) से कांग्रेस उम्मीदवार जे.के.डावर जी की चुनावी सभा…,1595111080694775809,
en,['1595110667404873728'],450555578,2022-11-22T17:43:13.000Z,"RT @bharathbunny27: @ShashiTharoor  
Top collection books in a store at Darjeeling. https://t.co/puWfXTJIYR",1595110667404873728,
en,['1595110117934268416'],450555578,2022-11-22T17:41:02.000Z,"RT @ShashiTharoor: An amazing turnout of 2000 students at Providence College for Women, Kozhikode, this afternoon for an address on the cha…",1595110117934268416,
en,['1595108451482763264'],450555578,2022-11-22T17:34:25.000Z,RT @ShashiTharoor: Delighted to receive a copy of “Urdu shairi main Geeta” by  Padma Shri Anwar Jalalpuri from my @ProfCong colleague @Tari…,1595108451482763264,
