created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-22T23:23:59.000Z,14532664,['1595196425876385792'],en,@alanisnking Mickey the ground cat say’s hi 👋 https://t.co/GlwNi287XF,1595196425876385792
2022-11-22T19:17:28.000Z,14532664,['1595134384193310720'],en,@jbarro My response would be “Is that apron stab resistant” as I reached for the knife block.  I don’t allow interlopers in my sacred space.,1595134384193310720
2022-11-22T05:05:21.000Z,14532664,['1594919943166103552'],en,@alexeheath One of those engineers is going to write 10000 lines of bull shit or copy some open source code and send it with comments rick rolling Elon and get away with it.,1594919943166103552
2022-11-21T20:36:38.000Z,14532664,['1594791920093794304'],en,"@jasonfenske13 I have fake grass and cactus in my front yard for this very reason.  I also don’t do any maintenance on my back hill, that’s mother natures land to do with as she pleases",1594791920093794304
2022-11-20T23:01:18.000Z,14532664,['1594465938157764608'],en,@ZackKlapman This tweet was 12 hours old when I saw it,1594465938157764608
2022-11-20T05:23:16.000Z,14532664,['1594199675443507201'],en,"@MotorHeadMama @Jeep Unfortunately, it was at the expense of other brands not showing.  This year was the lowest brand turn out I have seen at LA Autoshow and even then, some of the brand representation was done by Galpin motors and not the corporate offices.",1594199675443507201
2022-11-20T02:39:57.000Z,14532664,['1594158576087416832'],en,@mrsupercool_eth @mcuban Except bands don't want negative exposure and the last thing they want to see is retweets of people saying racist/homophobic/antisemitic or just terrible things and the brand add being right below it.  Add revenue is down because businesses are very image protective.,1594158576087416832
2022-11-19T20:29:41.000Z,14532664,['1594065394968690688'],en,"@SpeedSportLife I want that blue truck, that is clean as hell and the only way I would roll in an F-150",1594065394968690688
2022-11-19T18:56:15.000Z,14532664,['1594041885286621185'],en,@tuanies Every time I am in a part of the country with one I eat there.  You have to do it,1594041885286621185
2022-11-19T02:09:10.000Z,14532664,['1593788443682668545'],en,@SpeedSportLife This guy has style!,1593788443682668545
2022-11-19T01:16:56.000Z,14532664,['1593775298470109186'],en,@BMW made it to the LA Auto Show #Toyota https://t.co/HsAGjNHqDR,1593775298470109186
2022-11-19T00:32:23.000Z,14532664,['1593764084058533888'],en,@VW sell me the short wheelbase https://t.co/4Pt8WgIWAh you cowards https://t.co/IyGlX66Ajj,1593764084058533888
2022-11-18T20:59:04.000Z,14532664,['1593710401350696960'],en,I would require everyone to truffle shuffle before entering the house. https://t.co/fv4JREJzYI,1593710401350696960
2022-11-18T20:55:39.000Z,14532664,['1593709544508911616'],en,@JoeLigo The worst types of drivers on the road replaced their trendy BMWs for trendy Teslas.,1593709544508911616
2022-11-18T16:26:42.000Z,14532664,['1593641859032567808'],en,@SteveWWJ @jay_m_thomas @griffingulledge I am an early internet user and my first social space required me to install mIRC to get to.  That channel ran for 17 years before it went dark.,1593641859032567808
2022-11-18T09:11:20.000Z,14532664,['1593532294614372352'],en,"Look #Twitter, I am going to bed you better be around in the morning because I am going to the auto show in LA and plan to shit talk a lot of cars tomorrow.",1593532294614372352
2022-11-18T03:30:45.000Z,14532664,['1593446586373152769'],en,"@ZoeSchiffer They didn’t resign, they were told to accept new working contracts or take a buyout and layoff.  Turns out nobody wants to work under shitty conditions so they left",1593446586373152769
2022-11-18T03:24:01.000Z,14532664,['1593444892386025472'],en,@Casual_Jacob_ This is a good reminder that I still have a MySpace account,1593444892386025472
2022-11-18T03:21:10.000Z,14532664,['1593444172324667393'],en,Two birds something something https://t.co/xer5mVKnUB,1593444172324667393
2022-11-18T02:40:12.000Z,14532664,['1593433864738725888'],en,"Greats parts about the end of Twitter, the dunking on Elon.  Shitty parts of the end of Twitter, the Elon bootlicking #RIPTwitter",1593433864738725888
2022-11-17T00:23:58.000Z,14532664,['1593037193597292544'],en,@LinusTech Does it seem to take issue when you criticize the Chinese Government? Can you see how many connections it is making back to Chinese servers on network traffic utility?,1593037193597292544
2022-11-16T22:12:46.000Z,14532664,['1593004174786334721'],en,#RIP a real one is gone but never forgotten.  #comedyisdead https://t.co/ITgOXXtoow,1593004174786334721
2022-11-16T20:38:33.000Z,14532664,['1592980462842306560'],en,@boring_cars As much as the Mazda is more appropriate for what I need I really want that Saab for a grand,1592980462842306560
2022-11-16T15:14:27.000Z,14532664,['1592898901065216002'],en,@WUTangKids What happens to people that are on FMLA or other types of leave?  You going to toss them or give them the same off when they return? Is HR reaching out to them to give them the option now?,1592898901065216002
2022-11-14T23:17:46.000Z,14532664,['1592295755712462848'],en,@LinusTech I don’t see the Apple App Store on here.,1592295755712462848
2022-11-14T03:27:13.000Z,14532664,['1591996143135002628'],en,@Hannah_bmbmbm I-395 along the back side of the Sierra Nevada mountains is underrated.,1591996143135002628
2022-11-13T20:51:10.000Z,14532664,['1591896475717537792'],en,@eliz_blackstock This is the content I am going miss when the bird sight goes offline.,1591896475717537792
2022-11-11T21:37:17.000Z,14532664,['1591183303851540481'],en,@TLCplMax Last time I had CPK it did give me incredible diarrhea and I have never been back.,1591183303851540481
2022-11-11T19:11:53.000Z,14532664,['1591146713288699904'],en,"This is how you know Russia does not stand a chance, the Ukrainian people are fueling that fire in their soldiers to fight.  The flames of freedom are lit by the love and support of these people.  #SlavaUkrainii https://t.co/kdLZ9XO6v4",1591146713288699904
2022-11-11T17:04:23.000Z,14532664,['1591114628087836675'],en,@LawyerCat_ This is why I am so good at FWD car control.,1591114628087836675
2022-11-11T02:06:43.000Z,14532664,['1590888724694728704'],en,This is a great thread https://t.co/OgW0Tll8OE,1590888724694728704
2022-11-10T23:10:05.000Z,14532664,['1590844270336147458'],en,I am going to miss everyone on Twitter when it goes dark.  It’s been a wild ride since 2009 and we will have to find each other in other places in cyberspace,1590844270336147458
2022-11-10T18:13:54.000Z,14532664,['1590769733603033089'],en,@alanisnking Why don’t advertisers want to stay on Twitter?  Things are going great!,1590769733603033089
2022-11-10T15:53:23.000Z,14532664,['1590734373514809344'],en,@aitaikimochi I wish I could get these for Line but my account is in the US and its not offered.  I will need my Japanese friends to get them and just send me all the stickers.,1590734373514809344
2022-11-10T00:28:10.000Z,14532664,['1590501532717678592'],und,RT @alwayscoffee: 😂😂 https://t.co/Sb4VXzUpd5,1590501532717678592
2022-11-09T17:53:08.000Z,14532664,['1590402120683225089'],en,"@CoreyLewis86 The most car looking car, this one is a survivor and should be protected at all costs.",1590402120683225089
2022-11-09T17:07:52.000Z,14532664,['1590390730031521792'],en,"@LinusTech Headphones, I just need a really good wireless set, I know that wired is better and all that but I don't like to be tethered to anything.",1590390730031521792
2022-11-08T18:19:14.000Z,14532664,['1590046299508072448'],en,"Your file names are not Tweets, don’t use that 256 character limit on the file name. #itproblems",1590046299508072448
2022-11-07T15:11:26.000Z,14532664,['1589636651680419842'],en,@KoboldPress Nothing better than an extra hand in the kitchen you can trust,1589636651680419842
2022-11-06T17:36:06.000Z,14532664,['1589310672424534017'],en,@Imposter_Edits @johnbryanesq this is a video I would love to see you cover on your channel.  This man did nothing wrong and the police retaliated against someone exercising their rights.,1589310672424534017
2022-11-06T02:20:02.000Z,14532664,['1589080134900154370'],en,"RT @David3141593: ⚠️ TRADE OFFER ⚠️

You receive: Highest-available-resolution images in your twitter feed

Elon receives: Increased CDN lo…",1589080134900154370
2022-11-06T02:14:08.000Z,14532664,['1589078648652693504'],en,"@Ornyadams Escalators, really underappreciated in some places.",1589078648652693504
2022-11-06T00:55:11.000Z,14532664,['1589058781555851264'],qme,@OliviaRubinABC https://t.co/iZGt4mr211,1589058781555851264
2022-11-06T00:25:15.000Z,14532664,['1589051250326515712'],en,@WUTangKids Cautiously optimistic,1589051250326515712
2022-11-05T20:26:29.000Z,14532664,['1588991162240860161'],en,"Oof, now I can see why he is spiraling on this issue. https://t.co/jdUHRzWFzA",1588991162240860161
2022-11-05T07:32:18.000Z,14532664,['1588796331774349313'],en,"I don't think this is going to be the strategy call that's going to fix this.  Its these sorts of outburst posts that giving brands pause, I am sure you just made the problem worse. https://t.co/IE1uaVjeuy",1588796331774349313
2022-11-05T06:03:09.000Z,14532664,['1588773897474043904'],en,"RT @MeidasTouch: This is big. Our #GOPGroomers video now has over 500,000 views. Here's how YOU can make it have the most impact.

Retweet…",1588773897474043904
2022-11-05T05:52:10.000Z,14532664,['1588771133167656960'],en,RT @rmayemsinger: Elon Musk cannot handle being properly schooled. A tragedy in three acts: https://t.co/MXSWQPWo2b,1588771133167656960
2022-11-05T05:42:09.000Z,14532664,['1588768611036180482'],en,"@atomicthumbs Bane of my existence, I can't tell you how many times these things are used in a way that makes actually routing cable and moving equipment so much harder.",1588768611036180482
2022-11-04T20:05:25.000Z,14532664,['1588623472963772416'],en,@tovtheology @theB4NP I found my new evangelical church tag line!,1588623472963772416
2022-11-04T05:17:42.000Z,14532664,['1588400069908172800'],en,@rdmetz And you know that from spec sheets?  Or how about we wait and see how innovation in design works against pure brute size and power.,1588400069908172800
