created_at,id,author_id,lang,text,edit_history_tweet_ids
2022-11-22T21:38:13.000Z,1595169808403861537,1579860318842503169,en,"RT @OdetteNFTx: 2 Winner! $SOL - 90 mins ⏰

RT +  Turn on notifications for @OdetteNFTx + Enter My All giveaways 🔔🔔",['1595169808403861537']
2022-11-22T21:38:11.000Z,1595169798748573696,1579860318842503169,und,@leonardnftpage @tekhayat123 Yes,['1595169798748573696']
2022-11-22T21:38:08.000Z,1595169785159028745,1579860318842503169,en,"RT @leonardnftpage: 🥗Dinner Giveaway🥗

$sol 🔮💯 • 1 HOUR🔮

RT / Do you Like Salads?",['1595169785159028745']
2022-11-22T21:38:05.000Z,1595169773414977545,1579860318842503169,en,"RT @nftmikeyy: 🎁 $SOL to 1 Person! 

Just RT + Enter Pinned Giveaway📌

1HR⏰",['1595169773414977545']
2022-11-22T21:38:04.000Z,1595169768872546326,1579860318842503169,en,"RT @leonardnftpage: .1 $SOL to 1 Person

RT / ENTER PINNED 📌

⏰ 15 minutes ⏰",['1595169768872546326']
2022-11-22T21:37:59.000Z,1595169749914341379,1579860318842503169,en,"RT @leonardnftpage: World Cup is Great! 🏆

Brings People Together ⚽️

Connect us all through Sport!",['1595169749914341379']
2022-11-22T21:31:45.000Z,1595168178858258432,1579860318842503169,tr,"RT @KriptoZorro: 🔥🔥3 KİŞİYE 3 TANE #ETHERİUM 💎

Bu Gönderiyi Beğenmeniz ve aşağıdaki hesapları takip etmeniz Yeterli 🟢 

@FreyaKripto 
@kri…",['1595168178858258432']
2022-11-22T21:31:43.000Z,1595168169295024147,1579860318842503169,tr,"RT @KriptoZorro: 💎Sabah açıklayacam. 💎

1 kişiden IBAN/USDT(200$)
 isteyeceğim.🍀

Bu  Gönderiyi Beğenmeniz ve beni takip etmeniz Yeterli 🟢…",['1595168169295024147']
2022-11-22T21:31:42.000Z,1595168166254153748,1579860318842503169,tr,"RT @KriptoZorro: 400$ çekiliş birazdan telegramdan açıklanacak.

https://t.co/5jnP8DrDpy",['1595168166254153748']
2022-11-22T21:31:37.000Z,1595168145756639232,1579860318842503169,tr,"RT @KriptoZorro: Sonuçlar telegramdan açıklanacak herkesi bekliyoruz 

https://t.co/5jnP8DrDpy",['1595168145756639232']
2022-11-22T21:31:33.000Z,1595168130321747968,1579860318842503169,en,@EarnWithLorents Nice,['1595168130321747968']
2022-11-22T21:31:21.000Z,1595168078060572672,1579860318842503169,en,"RT @EarnWithLorents: HUUGEEE!!!!! GIVEAWAY
🎁 10 x 0.1 $Solana #GIVEAWAY 🎁

Rules:
1⃣ Follow Me  @Earnwithlorents🔔 on
2⃣ RT&amp;Like and Tag 2 f…",['1595168078060572672']
2022-11-22T21:31:13.000Z,1595168045785354249,1579860318842503169,qme,"@EarnWithLorents @tekhayat123 @tekhayat123 @beykoz5032
@esas502
#SolanaNFTs",['1595168045785354249']
2022-11-22T21:30:57.000Z,1595167978550661128,1579860318842503169,en,"RT @EarnWithLorents: 🎁 0.2 $SOL  #GIVEAWAY 🎁

Prize:
🏆1 x 0.2 #Solana

⚔️ Rules ⚔️

1-RT&amp;Like +Follow @Earnwithlorents
2-Tag 2 friends
3- c…",['1595167978550661128']
2022-11-22T21:30:48.000Z,1595167940755787810,1579860318842503169,tr,"RT @CoinnCorner: #Matic poz kapandı arkadaşlar. #btc de söz verdiğim gibi 2 kişiye hediye vereceğim.

Bu twitin altına trc20 bırakınız sözü…",['1595167940755787810']
2022-11-22T21:30:38.000Z,1595167898217205760,1579860318842503169,qme,"@ermedotsol @tekhayat123 @beykoz5032
@esas502 https://t.co/BvJwEWDC4I",['1595167898217205760']
2022-11-22T21:30:17.000Z,1595167808740265984,1579860318842503169,en,"RT @ermedotsol: 🎁 .5 $SOL GIVEAWAY 🎁

Prizes:
🏆 .5 $SOL

To Enter: 
1️⃣Follow @ermedotsol w/ notis ON
2️⃣Like / RT
3️⃣Tag 3 Friends

Good l…",['1595167808740265984']
2022-11-22T21:29:51.000Z,1595167700933873670,1579860318842503169,qam,@OdetteNFTx @tekhayat123 @FlayNFT @tekhayat123 @beykoz5032,['1595167700933873670']
2022-11-22T21:29:45.000Z,1595167677282193439,1579860318842503169,en,"RT @OdetteNFTx: 🎉GIVEAWAY🎉

Prizes:
🏆 1x 1 $SOL

Rules:
1️⃣ Like ❤️ &amp; RT &amp; Tag 2 Friends
2️⃣ Follow @FlayNFT &amp; @OdetteNFTx

⏰24 Hours

#Giv…",['1595167677282193439']
2022-11-22T21:29:43.000Z,1595167667815866369,1579860318842503169,en,"RT @bmesaptos: ⚡️Flash #Giveaway ⚡️

1 x 50 #trx Winner.   I’ll announce when i wake up ⏰

- RT &amp; Like my recent retweet

Good Lucks 🎉

#SO…",['1595167667815866369']
2022-11-22T21:29:36.000Z,1595167638900322304,1579860318842503169,qam,@UxGsol @tekhayat123 @PlanetZhentajor @beykoz5032,['1595167638900322304']
2022-11-22T21:29:21.000Z,1595167574207369216,1579860318842503169,en,"RT @Million_DolIar: Fasten your seatbelts!

We’re going for a ride. https://t.co/BAPfcbAW39",['1595167574207369216']
2022-11-22T21:29:19.000Z,1595167566036865024,1579860318842503169,en,"RT @UxGsol: 🎁 GIVEAWAY EARLY PROJECT 🎁

Prizes 👇

🏆 2 $SOL
🏆10x WL Spots

Entry:
1️⃣ Follow @PlanetZhentajor  &amp; @UxGsol
2️⃣ Rt &amp; ♥️ 
3⃣ Tag…",['1595167566036865024']
2022-11-22T21:29:16.000Z,1595167552841601025,1579860318842503169,tr,"RT @btc_magazin: Gittim bu yoklukta 2 tane ayakkabı aldım henüz getirisini denemedim ama deneyince yazacağım , 2 tanesine 550$ verdim @Step…",['1595167552841601025']
2022-11-22T21:29:12.000Z,1595167539159568396,1579860318842503169,tr,"RT @btc_magazin: Dostlar #VRMARS projesi bugün https://t.co/VPF8ljQWlE üzerinde ön satışa çıkıyor, 1.  Turdan bir miktar alacağım #PlayToEa…",['1595167539159568396']
2022-11-22T21:29:09.000Z,1595167525280616455,1579860318842503169,tr,RT @btc_magazin: Geleneksel @amazyio çekiliş 3 günde 500 Tl kazanmışım bu tweti favlayan bir takipçime gönderiyorum https://t.co/EUAkqRZNmc,['1595167525280616455']
2022-11-22T21:29:06.000Z,1595167514597920769,1579860318842503169,tr,"RT @btc_magazin: Ve sonunda @BitfinexTR mobil uygulaması kullanıma açıldı, aşağıda link var , Türk kullanıcıların ekosistemdeki yeri iyice…",['1595167514597920769']
2022-11-22T21:29:00.000Z,1595167488937197568,1579860318842503169,tr,"RT @btc_magazin: İnanılmaz bir akşam, böyle güzel bir akşamda bulunduğum ve bu ekibin bir parçası olduğum için çok mutluyum @BitfinexTR 

#…",['1595167488937197568']
2022-11-22T21:28:28.000Z,1595167353750585344,1579860318842503169,en,"RT @ZeusLFG: 1 $SOL Winner, 500 seconds⏰

-RT + Like my RECENT retweet👇
-RT",['1595167353750585344']
