text,lang,author_id,created_at,id,edit_history_tweet_ids
@elelcoolche Hot commodity! I’ll have a think ma man and get back to you!,en,878723990,2022-11-22T22:43:37.000Z,1595186266160918528,['1595186266160918528']
The Maradona pic currently part of my background for ESPN FC DAILY https://t.co/YC9SgmjPH2,en,878723990,2022-11-22T22:41:33.000Z,1595185745957994498,['1595185745957994498']
"Magnificent photos from @sportsfilesteve on today’s game with Kylian Mbappé and a sea of Australia. 

Reminiscent of Diego Maradona’s photo against Belgium at the 1982 World Cup (taken by another Steve, Steve Powell, which was his first assignment for @SInow) https://t.co/1LeyTIQ357",en,878723990,2022-11-22T22:38:55.000Z,1595185083115311117,['1595185083115311117']
"RT @David_Ornstein: 🚨 Harry Kane to have scan on right ankle. England captain took heavy blow on 48 mins of Iran win, went off in 75th + la…",en,878723990,2022-11-22T22:18:51.000Z,1595180034762891265,['1595180034762891265']
RT @disalch: #toosoon,qht,878723990,2022-11-22T22:13:58.000Z,1595178803843977219,['1595178803843977219']
@koalatovmoktail Tyrone Mings really did a number on this lot 😂,en,878723990,2022-11-22T21:42:34.000Z,1595170902873935898,['1595170902873935898']
"OMG @disalch just sent me this lol 

Los odio 😂😭💀 https://t.co/VNrnSff21X",en,878723990,2022-11-22T21:42:00.000Z,1595170757956567040,['1595170757956567040']
"""As part of this process, the Board will consider all strategic alternatives, including new investment into the club, a sale, or other transactions involving the Company."" https://t.co/usTboMferT",en,878723990,2022-11-22T21:39:45.000Z,1595170192614690846,['1595170192614690846']
"That goal btw, equals him as top goal scorer for #FRA with Thierry Henry.",en,878723990,2022-11-22T20:36:37.000Z,1595154307061813249,['1595154307061813249']
4-1 to #FRA . Giroud’s beautiful face.,en,878723990,2022-11-22T20:35:22.000Z,1595153989917880321,['1595153989917880321']
Tremendous ball from Dembélé 👏🏽,fr,878723990,2022-11-22T20:32:04.000Z,1595153157918597120,['1595153157918597120']
Kylian Mbappé makes it 3-1 to #FRA,fi,878723990,2022-11-22T20:31:14.000Z,1595152950888116224,['1595152950888116224']
@GeorgeWeahOff ❤️❤️,und,878723990,2022-11-22T20:31:01.000Z,1595152897633026048,['1595152897633026048']
RT @GeorgeWeahOff: Just had dinner with my son Timothy Weah. Proud daddy. https://t.co/Jrx2vT3iAa,en,878723990,2022-11-22T20:30:58.000Z,1595152883338850304,['1595152883338850304']
RT @RobDawsonESPN: Indication is that Ronaldo wanted to leave Man United as much as they wanted him to move on and because of that they’re…,en,878723990,2022-11-22T20:15:57.000Z,1595149104514228225,['1595149104514228225']
"We're also talking Cristiano Ronaldo and Man United, which also includes the reported news that the Glazers are ready to sell.",en,878723990,2022-11-22T20:12:02.000Z,1595148116483002369,['1595148116483002369']
"Don't forget, we have one more episode of ESPN FC DAILY today. 

@KayMurray + yours truly with @SebiSalazarFUT and Stevie Nicol to chat #MEX vs. #POL and #FRA vs. #AUS 

Right after this match on @ESPNFC's youtube channel https://t.co/KpHTq6TDCN",en,878723990,2022-11-22T19:55:24.000Z,1595143933272592384,['1595143933272592384']
RT @Robert_Moore24: 🚨 A PACKED squad coming up! @SebiSalazarFUT @KayLMurray @lmechegaray and Stevie are on to recap Mexico vs. Poland AND F…,en,878723990,2022-11-22T19:50:27.000Z,1595142688801976321,['1595142688801976321']
@USMNT_Thoughts 😂,und,878723990,2022-11-22T19:37:52.000Z,1595139520030470146,['1595139520030470146']
RT @USMNT_Thoughts: @lmechegaray Luis right now https://t.co/LQAhVMYXzy,en,878723990,2022-11-22T19:37:49.000Z,1595139506302509056,['1595139506302509056']
"Rabiot already with a goal and assist. I sincerely apologize, France’s Legolas.",en,878723990,2022-11-22T19:34:51.000Z,1595138762547216390,['1595138762547216390']
RT @AVFCOfficial: MC2 makes his #FIFAWorldCup bow. 😍 https://t.co/T6FgKzbrG9,en,878723990,2022-11-22T19:33:35.000Z,1595138442589253632,['1595138442589253632']
Giroud. 2-1 to #FRA,en,878723990,2022-11-22T19:33:07.000Z,1595138324389588992,['1595138324389588992']
He heard me LOLZZZ https://t.co/YoR0anmD0M,en,878723990,2022-11-22T19:27:54.000Z,1595137011979280385,['1595137011979280385']
"France are a MESS right now, mehn.",en,878723990,2022-11-22T19:22:53.000Z,1595135749426647040,['1595135749426647040']
