text,lang,id,author_id,edit_history_tweet_ids,created_at,geo
"@IngrahamAngle Well, I can't see the reply if I get blocked for citing a @BBCNews article.",en,1595195564156764162,454939194,['1595195564156764162'],2022-11-22T23:20:34.000Z,
RT @Kentucky_Sparky: @ACTBrigitte Really? https://t.co/WnmRBAkcEM,en,1595187619775873027,454939194,['1595187619775873027'],2022-11-22T22:49:00.000Z,
"@nicaroni1965 @ACTBrigitte Cool story, Nate. https://t.co/EJPPn4ipzS",en,1595168657100996608,454939194,['1595168657100996608'],2022-11-22T21:33:39.000Z,{'place_id': 'ac31053cb03c56b2'}
💀 https://t.co/92SMPYrFBM,und,1595168064680898561,454939194,['1595168064680898561'],2022-11-22T21:31:18.000Z,{'place_id': 'ac31053cb03c56b2'}
"@nicaroni1965 @ACTBrigitte I know, right?  Remember when her supporters did THIS after losing?: “Supporters of former President Donald Trump stormed Congress on 6 January 2021 in a bid to thwart the certification of Joe Biden's election victory.” https://t.co/dzZqPHwZc6",en,1595167523636449288,454939194,['1595167523636449288'],2022-11-22T21:29:09.000Z,{'place_id': 'ac31053cb03c56b2'}
@ACTBrigitte https://t.co/VmNHTkRO3Q,qme,1595152665641570304,454939194,['1595152665641570304'],2022-11-22T20:30:06.000Z,
@ACTBrigitte These tweets are 36 minutes apart. https://t.co/kOfXUbIJwf,en,1595147094850822144,454939194,['1595147094850822144'],2022-11-22T20:07:58.000Z,
"@hugolowell TO WIT: ""The court, without comment, rejected Trump’s plea for an order that would have prevented the Treasury Department from giving six years of tax returns for Trump and some of his businesses to the Democratic-controlled House Ways and Means Committee.""https://t.co/cJxPgIYMT5",en,1595145543096799233,454939194,['1595145543096799233'],2022-11-22T20:01:48.000Z,
"@RedaMor_ TO WIT: ""The court, without comment, rejected Trump’s plea for an order that would have prevented the Treasury Department from giving six years of tax returns for Trump and some of his businesses to the Democratic-controlled House Ways and Means Committee.""https://t.co/cJxPgIHJR5",en,1595145261185400833,454939194,['1595145261185400833'],2022-11-22T20:00:41.000Z,
"@AP @DemocraticDaisy ""The court, without comment, rejected Trump’s plea for an order that would have prevented the Treasury Department from giving six years of tax returns for Trump and some of his businesses to the Democratic-controlled House Ways and Means Committee.
It was Trump’s second loss..."" https://t.co/Lqlh2DhDj3",en,1595144304695332864,454939194,['1595144304695332864'],2022-11-22T19:56:53.000Z,
@Jim_Jordan https://t.co/tXw99yJWPL,qme,1595143093288046592,454939194,['1595143093288046592'],2022-11-22T19:52:04.000Z,
