text,created_at,author_id,edit_history_tweet_ids,id,lang,geo
@shqme chilis?,2022-11-22T22:18:34.000Z,1412454491287347200,['1595179959617740801'],1595179959617740801,en,
@shqme https://t.co/lFDMlAY1Ll,2022-11-22T22:17:49.000Z,1412454491287347200,['1595179772191150087'],1595179772191150087,qme,
@IHOLDSHIFT @ProperCasts in spanish too?,2022-11-22T21:43:33.000Z,1412454491287347200,['1595171149721309190'],1595171149721309190,en,
"@SaintsNato ⚠️MISSING⚠️
Name: Peonel Pessi 🚨 
Last seen: Penalty box 💀
GOAT:  not pessi 😭😭
Biggest fear: Showing up in big games, World Cup, ghost 👻 
Status: Finished 💩
Nation: Small
Owner: Saudi Arabia 🇸🇦",2022-11-22T19:17:33.000Z,1412454491287347200,['1595134405517152257'],1595134405517152257,en,
@itsDontai ah,2022-11-22T17:18:20.000Z,1412454491287347200,['1595104405854244864'],1595104405854244864,und,
@SSilencxer sadgsadghlaskdg,2022-11-22T16:36:21.000Z,1412454491287347200,['1595093838376452096'],1595093838376452096,tr,
@Torioyo_ go to sleep bozo,2022-11-22T15:25:41.000Z,1412454491287347200,['1595076057790545924'],1595076057790545924,en,
@connywinn @hoIytoIedo leg day https://t.co/xjqCzxgPsy,2022-11-22T14:56:23.000Z,1412454491287347200,['1595068684204380161'],1595068684204380161,en,
@hoIytoIedo had to get my sleep in for the gym,2022-11-22T13:44:45.000Z,1412454491287347200,['1595050655697215488'],1595050655697215488,en,
@itsDonL should have expect this out of the fraud messi,2022-11-22T13:19:03.000Z,1412454491287347200,['1595044188571279360'],1595044188571279360,en,
I WAKE UP TO MESSI LOSING?,2022-11-22T13:13:40.000Z,1412454491287347200,['1595042831458238464'],1595042831458238464,en,{'place_id': 'bc7f3267d2efaf40'}
@itsDonL https://t.co/CsQqFpuW6C,2022-11-22T06:17:17.000Z,1412454491287347200,['1594938047853985793'],1594938047853985793,qme,
"@Tommey @OpTicTexas challonge hates you, I was mindblown at your matches LOL",2022-11-22T05:13:18.000Z,1412454491287347200,['1594921946336174081'],1594921946336174081,en,
@itsDontai @itsDonL ill prob be stuck in korea still so all good,2022-11-22T05:10:29.000Z,1412454491287347200,['1594921236471103489'],1594921236471103489,en,
@Tommey @OpTicTexas I tip that,2022-11-22T05:09:13.000Z,1412454491287347200,['1594920917809131520'],1594920917809131520,en,
@itsDontai @itsDonL can I come,2022-11-22T05:08:24.000Z,1412454491287347200,['1594920709696147456'],1594920709696147456,en,
@AverageJoeWo now my night is ruined,2022-11-22T04:31:32.000Z,1412454491287347200,['1594911435192139776'],1594911435192139776,en,
@AverageJoeWo i want her,2022-11-22T04:28:55.000Z,1412454491287347200,['1594910775101247490'],1594910775101247490,en,
@SaintsNato @ItsLauraBear vouch,2022-11-22T03:36:12.000Z,1412454491287347200,['1594897507154288640'],1594897507154288640,fr,
@ByZachLange I just fell to my knees,2022-11-22T02:54:43.000Z,1412454491287347200,['1594887068592836609'],1594887068592836609,en,
@itsDontai https://t.co/dMKn5Iukor,2022-11-21T23:10:37.000Z,1412454491287347200,['1594830672207781918'],1594830672207781918,qme,
