edit_history_tweet_ids,author_id,lang,text,id,created_at,withheld
['1595145305770856449'],1540005941420204034,en,"RT @AmoneyResists: LGBT individuals are not pedophiles or groomers

Club Q did not have a grooming event

And @Timcast and @KurtSchlichter…",1595145305770856449,2022-11-22T20:00:51.000Z,
['1595145161625194496'],1540005941420204034,en,"RT @rebeccamakkai: 11) Advocate for people to stop putting t-shirts that say ""Lock up your daughters"" on toddler boys

12) Recognize that s…",1595145161625194496,2022-11-22T20:00:17.000Z,
['1595145139613495298'],1540005941420204034,en,"RT @rebeccamakkai: 10) Advocate for education to take the emphasis off ""stranger danger"" and to teach kids that 93% of abuse comes from som…",1595145139613495298,2022-11-22T20:00:12.000Z,
['1595145117953716224'],1540005941420204034,en,"RT @rebeccamakkai: 9) Advocate for education about sexual abuse in schools, including accurate names for body parts, setting boundaries, an…",1595145117953716224,2022-11-22T20:00:07.000Z,
['1595145100786814976'],1540005941420204034,en,"RT @rebeccamakkai: 6) Hold the Catholic church accountable

7) Spread the information that 40% of sexually abused children are abused by a…",1595145100786814976,2022-11-22T20:00:03.000Z,
['1595145083275251712'],1540005941420204034,en,RT @rebeccamakkai: 4) Campaign against school dress codes that imply that girls' shoulders are endlessly distracting to other students and…,1595145083275251712,2022-11-22T19:59:58.000Z,
['1595144987842596864'],1540005941420204034,en,RT @rebeccamakkai: 25) Stop making the world less safe for kids to a) acknowledge their gender and sexuality; b) ask for help in dangerous…,1595144987842596864,2022-11-22T19:59:36.000Z,
['1595144578822471681'],1540005941420204034,en,"RT @CDMenefee: BREAKING: The TX Supreme Court just made its initial ruling on the 2000+ after-hours ballots cast in Harris County. 

(1) Th…",1595144578822471681,2022-11-22T19:57:58.000Z,
['1595144492994084864'],1540005941420204034,en,"RT @AmoneyResists: Kinzinger: House Republicans will have “a totally non-functional majority,” and Kevin McCarthy, even if he manages to ge…",1595144492994084864,2022-11-22T19:57:38.000Z,
['1595144265839312896'],1540005941420204034,en,"@TitusNation @CalltoActivism No, a Drag Queen in stilettos",1595144265839312896,2022-11-22T19:56:43.000Z,
['1595144103473577984'],1540005941420204034,en,"RT @JoJoFromJerz: Maybe someday, transgender people in America will have as many rights as guns do.",1595144103473577984,2022-11-22T19:56:05.000Z,
['1595144077217263616'],1540005941420204034,en,"RT @marceelias: 🚨BREAKING: Georgia Court of Appeals DENIES Republican motion to halt counties from offering early voting on Saturday, Nov.…",1595144077217263616,2022-11-22T19:55:59.000Z,
['1595144000763473920'],1540005941420204034,en,RT @CalltoActivism: Every Black person in America should buy an AR-15. Watch how fast Republicans would ban them.,1595144000763473920,2022-11-22T19:55:40.000Z,
['1595143723301892097'],1540005941420204034,en,"RT @Spawn_03: Where is the outrage from these Evangelicals with regards to beauty pageants and grooming little girls? With the makeup, swim…",1595143723301892097,2022-11-22T19:54:34.000Z,
['1595143647137497088'],1540005941420204034,en,"RT @BlueDash12: @kimguilfoyle There was no red wave because Americans are done w the GQP Taliban and Trump family grifters.

Young voters s…",1595143647137497088,2022-11-22T19:54:16.000Z,
