created_at,text,author_id,id,edit_history_tweet_ids,lang
2022-11-22T21:56:23.000Z,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,708771506998939650,1595174377611722752,['1595174377611722752'],en
2022-11-22T20:30:35.000Z,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",708771506998939650,1595152786294980608,['1595152786294980608'],en
2022-11-22T19:14:01.000Z,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",708771506998939650,1595133516915904512,['1595133516915904512'],en
2022-11-22T16:54:47.000Z,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",708771506998939650,1595098478299865094,['1595098478299865094'],tr
2022-11-22T15:05:32.000Z,"RT @LandofConquest: ✅ Get your Land NFT
✅ Work on it, more daily active points
✅ Make your land Super Rare
✅ Earn XTAL",708771506998939650,1595070984947539968,['1595070984947539968'],en
2022-11-22T14:01:08.000Z,"RT @DaoNfinity: Bears are lovely, so would be the bear market.🐻🐻🐻

@iteunkkiant @Octofan_NFT @Degenxulka @JpegFKVCVP @jaypeNTEOD @Luckypunk…",708771506998939650,1595054777859194884,['1595054777859194884'],en
2022-11-22T13:09:42.000Z,"RT @nj_ayuk: Instead of being daunted by the vast numbers of Africans without electricity, shrugging our shoulders, and giving up, I hope t…",708771506998939650,1595041835646607360,['1595041835646607360'],en
2022-11-22T12:17:23.000Z,RT @daPang70456438: #世界杯投注平台 #世界杯 #阿根廷梅西 #爱游戏   #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票  What seems to us as bitter trials are…,708771506998939650,1595028668652261376,['1595028668652261376'],en
2022-11-22T11:31:46.000Z,RT @MyraMcD02814267: happy hour  so cute #磕炮  #盯射 #女高  #福利姬 #连麦 #视频爱爱 #视频1对1 https://t.co/ZQkoe2p1He,708771506998939650,1595017190851371009,['1595017190851371009'],en
2022-11-22T10:42:11.000Z,"RT @hnd8e_: رامي الاسطورة ..

مشاهدة مباراة السعوديه والارجنتين بث مباشر 

البث المباشر هنا : https://t.co/gIBjq0SLlh

البث المباشر هنا : h…",708771506998939650,1595004711609896960,['1595004711609896960'],ar
2022-11-22T09:19:05.000Z,"RT @UtilityNet_: SOPHON #Intelligent #Computing Server product characteristic
#utility #utilitynet #BigData #Analytics #DataScience #AI #Ma…",708771506998939650,1594983799611625473,['1594983799611625473'],en
2022-11-22T06:58:25.000Z,"RT @THENFTSTAR: You have been selected! Congrats Neymar Jr. NFT cheerleader winners!
@2OOvbBatWkEXCuW @LorieB233 @x0chihiro https://t.co/ta…",708771506998939650,1594948397487751168,['1594948397487751168'],en
2022-11-22T05:43:56.000Z,RT @yule886: #2022世界杯 #开云 #世界杯 #足球 #亚博 #游戏   To be， or not to be - that is the question https://t.co/OauZIwdF77,708771506998939650,1594929655018291200,['1594929655018291200'],en
2022-11-22T04:53:02.000Z,"RT @_paiverse: 81'  | 🇺🇸 1-1 🏴󠁧󠁢󠁷󠁬󠁳󠁿

GOAL!!!! Gareth Bale u beauty!!

#ArBenYByd | #FIFAWorldCup | #TogetherStronger https://t.co/9PBPVpfd…",708771506998939650,1594916846347915264,['1594916846347915264'],en
2022-11-22T03:44:06.000Z,RT @daPang70456438: #足球 #盘口 #开云体育 #2022塔卡尔世界杯  #NBA #真人百家乐 #棋牌 #PG电子  #五大联赛 #捕鱼  #双赢棋牌 #彩票计划   The longest day has an end。 https://t.co/jM2…,708771506998939650,1594899497699708928,['1594899497699708928'],en
2022-11-22T01:55:39.000Z,"RT @thekubieth: 🎁 AMAZING WL GIVEAWAY 🎁

🏆 20x Winner WL

Own your football museum ⚽️ 

To Enter🎫

1️⃣ RT + Like
2️⃣ Follow me &amp; @GolGoals…",708771506998939650,1594872205418151939,['1594872205418151939'],en
2022-11-22T01:06:02.000Z,RT @Brazy617: Roddy Ricch &amp; Lil Durk | Twin @JerryPHD https://t.co/LgYzLvkZDT,708771506998939650,1594859717037363201,['1594859717037363201'],en
2022-11-21T22:09:59.000Z,"RT @novels_books: توقف أكرم عند المنعطف، وودع الكاتب
وما أن تجاوزه بضعة أمتار باتجاه برج المأمون .. حتى سمع دوي انفجار سيارة ملغمة ..
قُضي…",708771506998939650,1594815414051053568,['1594815414051053568'],ar
2022-11-21T19:45:26.000Z,"RT @Aaron_Kuczynski: Kliknij #quoteretweet i zacytuj (napisz) w komentarzu wynik dzisiejszego meczu ⚽️

Zwycięzca,który jako pierwszy wstaw…",708771506998939650,1594779035774685197,['1594779035774685197'],pl
2022-11-21T17:13:50.000Z,"RT @ETXInfinity: ETXFINANCIAL LTD✅has successfully created an account on binance live. In the future, it will exclusively broadcast the lat…",708771506998939650,1594740885425516544,['1594740885425516544'],en
2022-11-21T16:04:26.000Z,"RT @ProjectBubbly: 🎈Bubbly &amp; Friends x 🪶 Re:Myth
 
Re:Myth is a brand that reinterprets the myths into the Web 3.0

🎁 3x Re:Myth WL

✅ Foll…",708771506998939650,1594723420788367360,['1594723420788367360'],en
2022-11-21T13:35:28.000Z,"RT @TawandaZindi: A little deep, a little frequent

🎈🎈🎈🎈🎈🎈🎈🎈🎈

#西安 https://t.co/xkpxNBUzAI",708771506998939650,1594685933328007168,['1594685933328007168'],en
2022-11-21T12:22:25.000Z,"RT @TheshopNFT: 7,777 characters available to mint.
WL spots steadily filling up. 
A quick hint, we are launching #TheShopNFT cartoon show,…",708771506998939650,1594667549370753026,['1594667549370753026'],en
2022-11-21T11:32:17.000Z,"RT @yule886: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票  Promises are often like the butterfly, which disap…",708771506998939650,1594654932342218752,['1594654932342218752'],en
2022-11-21T10:41:19.000Z,"RT @kaiyun830: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 Some people succeed because they are destined to, but most people succeed because they are d…",708771506998939650,1594642104231272454,['1594642104231272454'],en
2022-11-21T09:51:46.000Z,RT @kaiyun830: #2022世界杯预测冠军 #英格兰 #伊朗 #开云体育 #世界杯 #足球 #亚博 #游戏 Sometimes，forgotten，is the best of liberation．And sometimes，silence，is the best…,708771506998939650,1594629636129841153,['1594629636129841153'],en
2022-11-21T09:02:15.000Z,RT @BirkesVanesa: And  i  make love？ #裸聊  #视频裸聊 #反差婊 #婊子 #母狗 https://t.co/tRXqG2vz6d,708771506998939650,1594617175847075840,['1594617175847075840'],en
2022-11-21T08:10:44.000Z,"RT @AnphatCAPITAL: The biggest gift is coming.  To celebrate our private partnership with #HBIT, we are donating 10,000 USD equivalent to 1…",708771506998939650,1594604208682160128,['1594604208682160128'],en
2022-11-21T04:44:11.000Z,"RT @MdAfjal79110420: I've been waiting for you.
💗💗💗 💗💗💗 💗💗💗
💧💧💧💧💧💧💧💧💧
#常熟 #常熟线下 https://t.co/7SoXo12Ztl",708771506998939650,1594552229108875265,['1594552229108875265'],en
2022-11-21T03:51:48.000Z,"RT @yule886: #塔卡尔世界杯开幕式 #世界杯冠军预测 #足球 #开云 #真人百家乐When life give you a hundred reasons to cry, show life that you have a thousand reasons to s…",708771506998939650,1594539048743632896,['1594539048743632896'],en
2022-11-21T03:04:36.000Z,"RT @yule886: #足球 #盘口 #开云体育 #2022塔卡尔世界杯  #NBA #真人百家乐 #棋牌 #PG电子  #五大联赛 #捕鱼  #双赢棋牌 #彩票计划  When u have a crush on someone, u notice every littl…",708771506998939650,1594527169761267712,['1594527169761267712'],en
2022-11-21T01:47:55.000Z,"RT @ZonaJuliana6: Do one thing at a time, and do well.              #连麦 #裸聊 #文爱 https://t.co/aknJdFiuUF",708771506998939650,1594507869579264002,['1594507869579264002'],en
2022-11-20T23:03:20.000Z,"RT @stablekwon: HUAHUA supported

Woof",708771506998939650,1594466452018446338,['1594466452018446338'],en
2022-11-20T20:37:47.000Z,RT @RareGmer: Curious to see who wins 🤔,708771506998939650,1594429823396769798,['1594429823396769798'],en
2022-11-20T18:49:53.000Z,RT @GamblingLabs: ETH Gambling Labs coming to bring real passion.The first revenue-sharing project with 0% flip FEE and own affiliate progr…,708771506998939650,1594402670034526208,['1594402670034526208'],en
2022-11-20T17:14:19.000Z,"RT @thekubieth: 🎁 AMAZING AIRDROP GIVEAWAY 🎁

🏆 2x Winner Ocat Batch NFT

This is airdrop of the fifth batch Ocat 🔥

To Join 🎫
1️⃣ RT + Lik…",708771506998939650,1594378619790532608,['1594378619790532608'],en
2022-11-20T15:38:49.000Z,"RT @Ahmad_Gogel: Everything is set for Tinubu, Shettima, Gawuna and Garo 1 million PVC show. 
Innumerable kano indigenes have already start…",708771506998939650,1594354586235637763,['1594354586235637763'],en
2022-11-20T13:52:08.000Z,RT @daPang70456438: #2022世界杯 #开云 #世界杯 #足球 #亚博 #游戏    Thinking too much of others makes you nothing in their eyes. https://t.co/VvoNMxYc5l,708771506998939650,1594327738252509185,['1594327738252509185'],en
2022-11-20T12:44:32.000Z,"RT @bayualoenk: Kenapa KSAD Dudung tidk berani tegas seperti Panglima TNI? Padahal dirinya sendiri pengen jadi Panglima. Mau jadi Panglima,…",708771506998939650,1594310727602429952,['1594310727602429952'],in
2022-11-20T11:08:43.000Z,"RT @Ahmedl3li: The most despicable way when people you trust let you down you 🤷🏻

https://t.co/OOOC2kcGmO",708771506998939650,1594286611084505088,['1594286611084505088'],en
2022-11-20T10:18:18.000Z,"RT @_0nlyfans_Prom0: 🦸‍♂️ Onlyfans Promo Presents 

🔞 Tigerlilly84 🔞
 
👇🏽SUB Now for 12$👇🏻

https://t.co/iGDZARX87v

Twitter:@84tigerlilly…",708771506998939650,1594273924170194949,['1594273924170194949'],en
2022-11-20T09:24:48.000Z,"RT @daPang70456438: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  The most precious thing is not what you have, but the people around you. You can't for…",708771506998939650,1594260460869922816,['1594260460869922816'],en
2022-11-20T07:25:23.000Z,"RT @MarkNFTs_: 🎁 GIVEAWAY 🎁

🏆1x  $200 in $ETH or $SOL

To Enter:
1⃣ Follow @Million_DolIar ⚜️
2⃣ Like &amp; RT this post 💫
3️⃣ Follow @MarkNFT…",708771506998939650,1594230407829913600,['1594230407829913600'],en
2022-11-20T06:02:24.000Z,RT @kaiyun830: #2022世界杯 #开云体育 #世界杯 #足球 #亚博 #游戏  We are like dominoes. I fall for you. You fall for another. https://t.co/iWXZAj2DVZ,708771506998939650,1594209524654964741,['1594209524654964741'],en
2022-11-20T06:00:46.000Z,"RT @2Rare_Official: **Phase 1 Roadmap Q4 2022**

Testnets:

- NFT Launchpad for Community (Eth + Tokamak + SOL)

- NFT Marketplace for Comm…",708771506998939650,1594209115076808704,['1594209115076808704'],en
2022-11-20T03:57:46.000Z,"RT @bigdaddykane: 💰Giveaway $500 (in $ETH or $SOL)💰

➡️ To win:

1⃣• Follow @Million_DolIar⚜️
2⃣• Like &amp; RT this post 💫
3️⃣• Follow @bigdad…",708771506998939650,1594178158894383105,['1594178158894383105'],en
2022-11-20T02:48:39.000Z,"RT @JaymeKnyx: The verdict is in!! Trump is back!🔥
Thank you Elon Musk! #TrumpIsBack #Trump2024 @realDonaldTrump @DanScavino @elonmusk 
Its…",708771506998939650,1594160765660909570,['1594160765660909570'],en
2022-11-19T23:13:44.000Z,RT @ju__rtb: @Theo25yt @RoiLennon tout ça pour fanta ruine tout,708771506998939650,1594106679142006786,['1594106679142006786'],fr
2022-11-19T21:06:23.000Z,"RT @therealpunt: https://t.co/D8sq3nxaAW is doing a $100,000 Giveaway! 🔥
$10,000 to 10 different Punters! 🤑💸💰

(1) Create Punt account; ✅
(…",708771506998939650,1594074632042467328,['1594074632042467328'],en
2022-11-19T18:43:00.000Z,"RT @JohnyBNFT: 🎁 GIVEAWAY 🎁

🏆1x  $200 in $ETH or $SOL

To Enter:
1⃣ Follow @Million_DolIar ⚜️ @JohnyBNFT 
2⃣ Like &amp; RT this post 💫

⏰ 24 H…",708771506998939650,1594038546876157952,['1594038546876157952'],en
2022-11-19T15:49:09.000Z,RT @KY66888: #世界杯 #NBA https://t.co/oJbmGYo3GF,708771506998939650,1593994797517340672,['1593994797517340672'],qme
2022-11-19T14:23:01.000Z,"RT @SavannahNFT_: The best way to carry a Savannah 🍻

#SOL #SolanaNFTs #SolanaGiveaways #solana #NFTGiveaway #NFTCommmunity https://t.co/zo…",708771506998939650,1593973121350275073,['1593973121350275073'],en
2022-11-19T13:22:53.000Z,"RT @vehidabd: Ironic Most blue tick users do not buy #bitcoin themselves, instigating more users to buy it. #blueTick https://t.co/ST8l4X1g…",708771506998939650,1593957987491926018,['1593957987491926018'],en
2022-11-19T10:37:20.000Z,RT @yule886: #塔卡尔世界杯开幕式 #世界杯冠军预测 #足球 #开云 #真人百家乐  You can hurt with your words but sometimes you can hurt more with your silence. https://t.…,708771506998939650,1593916325172125696,['1593916325172125696'],en
2022-11-19T09:46:34.000Z,"RT @daPang70456438: You know — one loves the sunset, when one is so sad.#塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 https://t.co/vmI5khCdGM",708771506998939650,1593903551931097088,['1593903551931097088'],en
2022-11-19T07:52:25.000Z,"RT @PlayYourNFTs: Join us Friday Nov 18, 8pm EST for a #Web3 Space and #NFT tournament! 

Prizes for players and listeners 🎉

SPONSORS
@Gen…",708771506998939650,1593874826040553472,['1593874826040553472'],en
2022-11-19T05:21:25.000Z,"RT @ClementNFTs: 🔥 @LuckyGreenWitch FREE MINT OPEN NOW🔥 

🚀 Mint your Lucky Green Witch for free at https://t.co/RNbLWYm9OC NOW!

✅Tag fren…",708771506998939650,1593836824950177793,['1593836824950177793'],en
