lang,id,author_id,edit_history_tweet_ids,created_at,text,geo
en,1595134428761985026,64736207,['1595134428761985026'],2022-11-22T19:17:38.000Z,"🎶 No place in the world that could compare. 🎶

Oak Hill in 2023 will mark the 14th time the PGA Championship has been played in New York, beating Ohio by 3 for the record of most-visited state in Championship history. 🏆 https://t.co/nvwRvFuwCj",
en,1594474201309741057,64736207,['1594474201309741057'],2022-11-20T23:34:08.000Z,"That's our two-time champ! Congratulations on a cap to an incredible year @McIlroyRory. Well deserved. 🏆

#PGAChamp https://t.co/EDCXJZREFZ",
en,1594449848836755457,64736207,['1594449848836755457'],2022-11-20T21:57:22.000Z,"Proud of you, champ! 👏 https://t.co/TKW051BJVY",
en,1594449090318073856,64736207,['1594449090318073856'],2022-11-20T21:54:21.000Z,"👏 Good work @adamsvensson59! We'll be seeing you soon.

#PGAChamp https://t.co/ELzHng5h7I",
en,1593043577499578368,64736207,['1593043577499578368'],2022-11-17T00:49:20.000Z,"The leaves are bright at Oak Hill, and what a sight it is to see. 😍

#PGAChamp https://t.co/FQdPBjlWSy",
en,1591903901745565696,64736207,['1591903901745565696'],2022-11-13T21:20:40.000Z,"Great win this weekend, @tonyfinaugolf! 👍 We'll see you in May.

#PGAChamp https://t.co/VUEUHqPQVM",
en,1588575527270481923,64736207,['1588575527270481923'],2022-11-04T16:54:54.000Z,"RT @PGA: Spotted the 2020 PGA Champion at PGA Frisco. 👀

@collin_morikawa https://t.co/L8QEGCB6oq",
en,1587101225757147136,64736207,['1587101225757147136'],2022-10-31T15:16:33.000Z,"Excellent win this weekend, @Power4Seamus! We'll see you in May. 👍

#PGAChamp https://t.co/EzE6ROUScV",
en,1585633947597541379,64736207,['1585633947597541379'],2022-10-27T14:06:07.000Z,RT @dottie_pepper: Morning fly-by to Oak Hill C.C. to check out the restoration work done by Andrew Green. It’s like Donald Ross was there…,
und,1584911651828125697,64736207,['1584911651828125697'],2022-10-25T14:15:58.000Z,@BrendenFred ✅,
en,1584908353427460098,64736207,['1584908353427460098'],2022-10-25T14:02:52.000Z,"The leaves are changing at our favorite places. 🍂 Name the course.

#PGAChamp https://t.co/4b81JuVDEc",
en,1584583619397308422,64736207,['1584583619397308422'],2022-10-24T16:32:29.000Z,"“The new ruler of the game of golf.” Rory is back on top again, 10 years after his victory at Kiawah. 👏👏 https://t.co/FiW76t8THf",
en,1584319331336302592,64736207,['1584319331336302592'],2022-10-23T23:02:18.000Z,"We love to see it. 🏆

#PGAChamp https://t.co/3MoaGoJLgK",
en,1584301884046573568,64736207,['1584301884046573568'],2022-10-23T21:52:58.000Z,This aged well. 👀 https://t.co/1KfD9BRHbR,
en,1584301796818051072,64736207,['1584301796818051072'],2022-10-23T21:52:37.000Z,"Back on top! Safe to say it's been a pretty good 10 years for @McIlroyRory since his PGA Championship victory at Kiawah in 2012.

#PGAChamp https://t.co/x3wNuK21xD",
en,1583872561577807873,64736207,['1583872561577807873'],2022-10-22T17:27:00.000Z,"Fall Golf. 😍

 Can anyone name this past #PGAChamp venue? https://t.co/MDIbhomqJQ",
en,1583508663716614144,64736207,['1583508663716614144'],2022-10-21T17:21:00.000Z,"10 years ago - Rory won in South Carolina. Can he do it again this weekend? 👀

#PGAChamp https://t.co/3wItF6mnTk",
en,1583229323330392067,64736207,['1583229323330392067'],2022-10-20T22:51:00.000Z,"This #TBT is dedicated to a few of our favorite Payne Stewart 'fits.

#PGAChamp https://t.co/kZnPmPY0qQ",
en,1582794917373321216,64736207,['1582794917373321216'],2022-10-19T18:04:49.000Z,"Keep making it look easy, Cam Young. 

Congratulations on being named 2022 Rookie of the Year. Here's to many more eagles. 🥂

#PGAChamp https://t.co/vtrrIoAdqC",
en,1582469880242065408,64736207,['1582469880242065408'],2022-10-18T20:33:14.000Z,"October at Oak Hill. 🍁

#PGAChamp https://t.co/qqBPDKM1MI",
en,1582081761571381249,64736207,['1582081761571381249'],2022-10-17T18:51:00.000Z,"Keegan Bradley. Championship Sunday. Atlanta Athletic Club, Hole 16. Enjoy. 👌

#PGAChamp https://t.co/qVvdCbARi9",
en,1581649100659101696,64736207,['1581649100659101696'],2022-10-16T14:11:45.000Z,"Congratulations to our 2011 Champion @Keegan_Bradley on an awesome victory at the Zozo Championship. 🏆

#PGAChamp https://t.co/Im35Zrmhmx",
en,1581318230437773320,64736207,['1581318230437773320'],2022-10-15T16:17:00.000Z,"Did You Know: @JustinThomas34's win at Southern Hills tied for the largest 54-hole comeback in Championship history. 🏆

#PGAChamp https://t.co/TTiVFVE9uZ",
en,1581016607626698753,64736207,['1581016607626698753'],2022-10-14T20:18:27.000Z,"Caption this. 😅

#FanFriday | #PGAChamp https://t.co/IM8t0fxKb5",
en,1580715630302400513,64736207,['1580715630302400513'],2022-10-14T00:22:29.000Z,This ‘fit is 🔥… peep the hat. 👀 🏆 https://t.co/1rsvNwZxMt,{'place_id': '07d9d2cb28888000'}
en,1580349223089844226,64736207,['1580349223089844226'],2022-10-13T00:06:30.000Z,"Is there anything better than fall golf? 😍 Name the course.

#PGAChamp https://t.co/ikQPjBIa3x",
en,1579904292059811854,64736207,['1579904292059811854'],2022-10-11T18:38:31.000Z,"Hideki making this look easy.. 👀

#TopShotTuesday | #PGAChamp https://t.co/5qH6HPUGgI",
en,1579541898704080897,64736207,['1579541898704080897'],2022-10-10T18:38:29.000Z,"New week, new challenges – new opportunities to be your best despite the obstacles. @TigerWoods 

#MondayMotivation | #PGAChamp https://t.co/h3M2LW9C1C",
en,1579280903725264896,64736207,['1579280903725264896'],2022-10-10T01:21:23.000Z,"Congratulations to Tom Kim on a great victory. We'll see you at Oak Hill next May. 🌳

#PGAChamp https://t.co/gdfIvPdtgf",
en,1578897734769455104,64736207,['1578897734769455104'],2022-10-08T23:58:49.000Z,"Bird’s-eye view of @justinthomas34 driving the green on the 17th at Southern Hills during the playoff. Casual. 

#PGAChamp https://t.co/9jN6oV8KqL",
en,1578794049749721088,64736207,['1578794049749721088'],2022-10-08T17:06:48.000Z,RT @PGAJrLeague: What?!? 13-year-old Davis Wotnosky just drove the green on a 322 yard Par 4🤯 https://t.co/x78tjFHjti,
en,1578476905660960768,64736207,['1578476905660960768'],2022-10-07T20:06:35.000Z,"The future of the game in the crowd is our favorite thing to see. 🧡

#FanFriday | @PGAJrLeague | #PGAChamp https://t.co/V9HHcYPm04",
en,1578142198305939456,64736207,['1578142198305939456'],2022-10-06T21:56:35.000Z,"It's @PGAJrLeague Championship week!

We love having the junior golfers out every year for Jr. League day on site. Good luck to all competing!

#PGAChamp https://t.co/ItfWSvp7BE",
