author_id,id,lang,edit_history_tweet_ids,created_at,text
436362270,1595187847446892544,en,['1595187847446892544'],2022-11-22T22:49:54.000Z,boy howdy today has kicked my ass
436362270,1595183989802864643,en,['1595183989802864643'],2022-11-22T22:34:34.000Z,"RT @TaylerUSA: The current scene outside of Patchouli Joe’s in Denton, TX where a Transgender Storytime for Children is being hosted. https…"
436362270,1595164195879690242,en,['1595164195879690242'],2022-11-22T21:15:55.000Z,"""Things You Might Get Asked About At Thanksgiving by me, Ashley Mayer, because I feel the need to show that I know what's hip and new like the kids. Please tell me I'm interesting"" https://t.co/X5lji5Iwp7"
436362270,1595134993029685248,en,['1595134993029685248'],2022-11-22T19:19:53.000Z,"@pnutfinger it's like 2 days before thanksgiving, can you just like... TRY to not let adam schefter and the eagles ruin your sanity?"
436362270,1595134284826021888,en,['1595134284826021888'],2022-11-22T19:17:04.000Z,"@pnutfinger no, yeah, totally. this is a very normal-sized,  and not-stupid hill to die on."
436362270,1595133626521640960,en,['1595133626521640960'],2022-11-22T19:14:27.000Z,@pnutfinger but also you may be getting a bit riled up over a very small semantic difference
436362270,1595133009497559041,en,['1595133009497559041'],2022-11-22T19:12:00.000Z,"@pnutfinger okay, but for a multi-piece uniform, it's still all black. 
Black Helmet, Black Jersey, Black pants. Yes, it has other colors, but it is all black. 

but no one of those pieces should be called all black."
436362270,1595132389801734144,en,['1595132389801734144'],2022-11-22T19:09:32.000Z,"@pnutfinger yeah if that were the ""all-black"" uniform, that's correct. but the helmet is very not all black."
436362270,1595126671287668736,en,['1595126671287668736'],2022-11-22T18:46:49.000Z,@FullCountTommy damn usually only I get pre-mad about a guy the cubs might sign
436362270,1595118037426135040,en,['1595118037426135040'],2022-11-22T18:12:30.000Z,"I put on a dress shirt and a tie for this fucking meeting, and sweater-britches comes to complain about some shit on her desk being moved. 

Telling someone to ""knock it off"" in a professional manner is not a skill I possess yet."
