text,created_at,author_id,edit_history_tweet_ids,id,lang
"RT @GeekNYWoo: PHOTO SHARE THREAD

Confuses me why street photography is slept on. Candid moments are once in a lifetime. 

Share your stre…",2022-11-22T23:01:36.000Z,733385072435302400,['1595190791294504961'],1595190791294504961,en
"Player: @Elliott_Grogan 

Whale: E-30 
Team: @PowPowPacific #PacificCWA

Fun Fact #2
While rising to the top of the seaweed game, E-30 codified the secrets of his success in 420 rules he calls the Gift of Game. He shares these freely to rid the world of chumps 💥

@WAGMI_CWA https://t.co/0Q5E18IiFR",2022-11-22T22:49:48.000Z,733385072435302400,['1595187822993907713'],1595187822993907713,en
@goFUNKEyourself https://t.co/mUdhOvMr6n,2022-11-22T22:39:16.000Z,733385072435302400,['1595185172768440320'],1595185172768440320,qme
@dodsicle gn ✌️,2022-11-22T22:38:41.000Z,733385072435302400,['1595185022658486272'],1595185022658486272,und
"RT @chillbill_3: /1 

I have found Heaven and its @WAGMIBeach 

🧵🧵🧵🧵🧵🧵🧵",2022-11-22T22:37:39.000Z,733385072435302400,['1595184765119844352'],1595184765119844352,en
"RT @Elliott_Grogan: 🚨 Photography Art Share 🚨

Photographers, show me your city shots 💚📸🏙️

👉 Drop 1 photo or as many as you want
👉 Include…",2022-11-22T22:33:42.000Z,733385072435302400,['1595183768049922049'],1595183768049922049,en
@depixtion @foundation Thank you ser 🥹,2022-11-22T22:32:35.000Z,733385072435302400,['1595183490680487936'],1595183490680487936,en
@depixtion Appreciate you Peter 👊💚,2022-11-22T22:32:12.000Z,733385072435302400,['1595183390411485185'],1595183390411485185,en
@depixtion Thank you Peter 🙏,2022-11-22T22:31:52.000Z,733385072435302400,['1595183307896938497'],1595183307896938497,en
@TR_Simi That’s one of the top places I want to go visit,2022-11-22T22:31:18.000Z,733385072435302400,['1595183167933100033'],1595183167933100033,en
@NotDolls_nft @foundation Thank you ☺️ 🙏,2022-11-22T22:30:31.000Z,733385072435302400,['1595182968711979008'],1595182968711979008,en
@LateNightNFT 🙌🙌🙌,2022-11-22T22:29:57.000Z,733385072435302400,['1595182827087482880'],1595182827087482880,und
RT @LateNightNFT: Normalize women speaking in NFT spaces that aren’t about women in NFTs,2022-11-22T22:29:41.000Z,733385072435302400,['1595182758103351296'],1595182758103351296,en
@LateNightNFT Appreciate that Gemmz 🙌,2022-11-22T22:29:31.000Z,733385072435302400,['1595182717787701249'],1595182717787701249,en
@coolpips1r 😂😂😂😂😂 https://t.co/27wbvoBlcx,2022-11-22T22:28:36.000Z,733385072435302400,['1595182488183140352'],1595182488183140352,und
@DianaJunakovic My pleasure 😊,2022-11-22T19:57:32.000Z,733385072435302400,['1595144468872634368'],1595144468872634368,en
RT @artpardini: @Elliott_Grogan https://t.co/wDRRc96VXf,2022-11-22T19:57:05.000Z,733385072435302400,['1595144358093000705'],1595144358093000705,qme
@artpardini Amazing! Love how everything looks both jumbled up and perfectly spaced at the same time like the city is a giant puzzle,2022-11-22T19:57:01.000Z,733385072435302400,['1595144337934807040'],1595144337934807040,en
@DianaJunakovic @foundation Thank you Diana 💚🙏,2022-11-22T19:54:11.000Z,733385072435302400,['1595143627180634112'],1595143627180634112,en
Check out this incredible collection by @DianaJunakovic 👇 https://t.co/onPTmktxdj,2022-11-22T19:53:56.000Z,733385072435302400,['1595143561460469762'],1595143561460469762,en
@m1racl_eth Ok that’s a pretty good one too lol,2022-11-22T19:52:29.000Z,733385072435302400,['1595143196710821888'],1595143196710821888,en
"RT @TR_Simi: @Elliott_Grogan Singapore 2015

Not minted! 

😄 https://t.co/2l98wxiCMT",2022-11-22T19:52:05.000Z,733385072435302400,['1595143097830105088'],1595143097830105088,en
@TR_Simi Really dope shots! I love capturing road lines but that skyline tho 🥹,2022-11-22T19:52:01.000Z,733385072435302400,['1595143080201445377'],1595143080201445377,en
@deriniti 💚💚💚 I see you 🫶,2022-11-22T19:31:08.000Z,733385072435302400,['1595137826776961024'],1595137826776961024,en
There is no better text than “your driver is arriving”,2022-11-22T19:26:21.000Z,733385072435302400,['1595136620457385984'],1595136620457385984,en
@Tylersjourney_ Done 💚✅,2022-11-22T19:22:34.000Z,733385072435302400,['1595135670959603712'],1595135670959603712,en
@Tylersjourney_ Such a dope shot!,2022-11-22T19:22:09.000Z,733385072435302400,['1595135565199863809'],1595135565199863809,en
"RT @Tylersjourney_: 🔥”Eternal Sun” open edition — OVER 110 Collected so far!

▪️0.0069 ETH. 
▪️TOP 3 Token Holders airdropped 1/1s

MINTING…",2022-11-22T19:21:58.000Z,733385072435302400,['1595135518320119809'],1595135518320119809,en
@TR_Simi 👊💚,2022-11-22T19:20:29.000Z,733385072435302400,['1595135145190645760'],1595135145190645760,und
@friedlambchops Always appreciate you so much brother 👊🫂,2022-11-22T19:20:15.000Z,733385072435302400,['1595135088106172421'],1595135088106172421,en
"RT @cruelsophist: 10 Editions Live! 

spark.

""A light in ashes."" https://t.co/m2nmRsrOHe",2022-11-22T19:19:31.000Z,733385072435302400,['1595134903544225792'],1595134903544225792,en
