text,author_id,lang,created_at,id,edit_history_tweet_ids
RT @VABVOX: It's only been two weeks since midterms yet some of you are already back to thinking there are moderate Republicans. Stop that.…,1209216199,en,2022-11-22T19:27:25.000Z,1595136889077780481,['1595136889077780481']
"RT @progavalanche: Let every nation know,
whether it wishes us well or ill,
we shall pay any price,
bear any burden,
meet any hardship,
sup…",1209216199,en,2022-11-22T19:26:06.000Z,1595136558805372928,['1595136558805372928']
"RT @caslernoel: There is no 'honest days work, for honest pay in the GOP' it's a Ponzi scheme now, full of charlatans looking to get rich q…",1209216199,en,2022-11-22T19:25:49.000Z,1595136489595117569,['1595136489595117569']
"RT @marceelias: Left with no other option, Lake finds herself in the awkward position of blaming her loss on an unusual culprit for electio…",1209216199,en,2022-11-22T19:25:27.000Z,1595136393793404929,['1595136393793404929']
"RT @molly_knight: Richard M. Fierro, the hero who tackled the Colorado Springs gunman, owns a local Brewery called Attrevido Beer Co. with…",1209216199,en,2022-11-22T19:24:31.000Z,1595136159901896704,['1595136159901896704']
"RT @TeamPelosi: When we work together to defend freedom and uphold our values, Democrats defy expectations. 

We are still fighting to win…",1209216199,en,2022-11-22T19:22:37.000Z,1595135682233917440,['1595135682233917440']
RT @N8_Draws: The biggest danger of taking your child to a drag show is that a Christian could show up with a gun.,1209216199,en,2022-11-22T19:21:48.000Z,1595135477241483265,['1595135477241483265']
"RT @WalshFreedom: I’m not a Democrat, and I disagree with @ReverendWarnock on most policy, but if I lived in Georgia, I’d vote for him. Bec…",1209216199,en,2022-11-22T19:21:12.000Z,1595135326653411328,['1595135326653411328']
"RT @ChristopherHahn: Richard Fierro = Hero 

Ashli Babbitt = Terrorist 

Kyle Rittenhouse = Murderer 

Kari Lake = Loser",1209216199,en,2022-11-22T19:21:04.000Z,1595135290829832192,['1595135290829832192']
"RT @POTUS: Jill and I were honored to join the Marines, Sailors, and families of the Second Marine Expeditionary Force last night.

Our nat…",1209216199,en,2022-11-22T19:20:54.000Z,1595135250409324544,['1595135250409324544']
"@glennkirschner2 I am very sure he is being extremely petulant! Lol, Fani ain't afraid of the Lady G!",1209216199,en,2022-11-22T19:20:33.000Z,1595135162672898048,['1595135162672898048']
RT @glennkirschner2: Good news that this duplicitous windbag is finally being forced by the courts to testify to the Georgia grand jury abo…,1209216199,en,2022-11-22T19:19:22.000Z,1595134863837106176,['1595134863837106176']
RT @kathrynresister: Arrest Marjorie Taylor Greene.,1209216199,en,2022-11-22T19:18:59.000Z,1595134769641443328,['1595134769641443328']
"RT @TonyHussein4: No one is above the law except Ginni Thomas, husband Justice Clarence Thomas, Justice Brett Kavanaugh, and Trump's insurr…",1209216199,en,2022-11-22T19:18:08.000Z,1595134555308314625,['1595134555308314625']
"RT @ResisterSis20: Republican Mike Pompeo, wants to run for president in 2024. He says the “most dangerous person in the world” is Randy We…",1209216199,en,2022-11-22T19:17:58.000Z,1595134510622183424,['1595134510622183424']
"RT @toi_pualaa: Tribel (twitter): BREAKING: Our statement on why we banned Trumper Congresswoman Marjorie Taylor Greene from @TribelSocial,…",1209216199,en,2022-11-22T19:17:30.000Z,1595134392682582016,['1595134392682582016']
RT @lgbtqnation: 12 times that Colorado Rep. Lauren Boebert stoked anti-LGBTQ violence that led to a mass shooting https://t.co/wdh6mpSH2r,1209216199,en,2022-11-22T19:17:10.000Z,1595134309962162179,['1595134309962162179']
RT @Logically_JC: Today marks the first time anyone has ever wanted to hear from Lindsey Graham.,1209216199,en,2022-11-22T19:16:51.000Z,1595134229503160320,['1595134229503160320']
"RT @Jack_Petocz: A federal judge JUST BLOCKED DeSantis’ bill to ban college instruction of institutionalized racism! 

This brave justice s…",1209216199,en,2022-11-22T19:16:11.000Z,1595134064675082241,['1595134064675082241']
RT @AvengerResister: We have Katie Porter and Jamie Raskin. They have MTG and Boebert. Enough said.,1209216199,en,2022-11-22T19:14:32.000Z,1595133650127196161,['1595133650127196161']
