lang,id,author_id,edit_history_tweet_ids,created_at,text,withheld
en,1595157043836772353,1313768552374116354,['1595157043836772353'],2022-11-22T20:47:30.000Z,RT @_epereza: the way she takes articulates her points is just everything 💯,
en,1595156581473464320,1313768552374116354,['1595156581473464320'],2022-11-22T20:45:40.000Z,"RT @unicornhorn48: A new JFF superfan is enjoying my 65 videos, with 893 likes. See ALL my content at: https://t.co/JiIvniVb3K https://t.co…",
en,1595149365303447553,1313768552374116354,['1595149365303447553'],2022-11-22T20:16:59.000Z,"RT @TheyScreamRelly: Fem but dominant, Masc but submissive 🍆💦. One minute she on top, next minute it’s me, both times we cum 🤤… 

don’t mis…",
en,1595149148046921728,1313768552374116354,['1595149148046921728'],2022-11-22T20:16:07.000Z,RT @domainsdomain: Chrisean puts a whole in Kai Cenat Wall 🤦🏽‍♂️ https://t.co/0EwIDlJvWp,
en,1595148950155452416,1313768552374116354,['1595148950155452416'],2022-11-22T20:15:20.000Z,RT @unicornhorn48: Thank you for buying! Morning porch fuck https://t.co/P8wDiHuSEF #MVSales #MVGayBoys https://t.co/OLkojnGEAs,
en,1595148826083758080,1313768552374116354,['1595148826083758080'],2022-11-22T20:14:51.000Z,RT @EddyCeetee: Touch me https://t.co/Oiw7Pkdm8X,
en,1595148796249272321,1313768552374116354,['1595148796249272321'],2022-11-22T20:14:44.000Z,"RT @ThePornPlug_: We had a TIME last night😈🔥
#SneakyLinks https://t.co/ztYaS01fy8",
en,1595135201184993280,1313768552374116354,['1595135201184993280'],2022-11-22T19:20:42.000Z,"RT @LeakedCentral: mann I just can’t believe that my homie’s girl broke up with him🤷🏽‍♂️

I had to comfort him so, I ended up filling him u…",
en,1595135078820360193,1313768552374116354,['1595135078820360193'],2022-11-22T19:20:13.000Z,RT @buttpalace8: I love him 🤤 https://t.co/ejM4FQJxo0,
en,1595134506058776576,1313768552374116354,['1595134506058776576'],2022-11-22T19:17:57.000Z,"RT @hotboyrello_: when i'm in that booty🍑, ""do NOT run"" from this 🍆😉🏃🏿💨 https://t.co/4zbLxY3b3V",
zxx,1595134428971667456,1313768552374116354,['1595134428971667456'],2022-11-22T19:17:38.000Z,RT @nymphoshawty2: https://t.co/1JsDluN6Sl,
en,1595134402094563328,1313768552374116354,['1595134402094563328'],2022-11-22T19:17:32.000Z,"RT @seanxavierxxx: Enjoying the flex.

#onlyfansgay #onlyfans #gay https://t.co/nXBxXPsB9b",
en,1595134312868814848,1313768552374116354,['1595134312868814848'],2022-11-22T19:17:11.000Z,RT @212surf: who else sleep in a t shirt and no draws like Winnie the Pooh? https://t.co/tlGXfSfxMG,
en,1595134259278139393,1313768552374116354,['1595134259278139393'],2022-11-22T19:16:58.000Z,RT @PapiPlatano7: U helping me bust this fat load? 💦🍆🥜 https://t.co/eiPgeA5nAA,
qme,1595134124812955649,1313768552374116354,['1595134124812955649'],2022-11-22T19:16:26.000Z,RT @SlimJim52083: @PalomaPappi https://t.co/4cZALHpS8b,
en,1595134079837831170,1313768552374116354,['1595134079837831170'],2022-11-22T19:16:15.000Z,RT @PopStroke105: @PalomaPappi Pretty??? https://t.co/r4Y8jyuXQ9,
en,1595134032693841920,1313768552374116354,['1595134032693841920'],2022-11-22T19:16:04.000Z,"RT @GemTattedFrk: You can tell when the stroke is 💯

Full video available on OF &amp; JFF! https://t.co/51NN0eQOCe",
en,1595134003933503489,1313768552374116354,['1595134003933503489'],2022-11-22T19:15:57.000Z,RT @putmenyourhand: Good morning ☀️ say it back https://t.co/szPnJsCwXx,
en,1595063999799988224,1313768552374116354,['1595063999799988224'],2022-11-22T14:37:47.000Z,RT @blackaf35516421: I’ll grind that dick good asf 💦💦💦 https://t.co/t0mLOh6kkV,
en,1595063712414588929,1313768552374116354,['1595063712414588929'],2022-11-22T14:36:38.000Z,RT @blackaf35516421: Let’s frot before twitter is gone ⚔️💦💦💦 https://t.co/muk8bOO8ef,
und,1595033980763623431,1313768552374116354,['1595033980763623431'],2022-11-22T12:38:29.000Z,RT @smackahoe220: 😋🍑 https://t.co/TppY9cE15p,
zxx,1595018109777514499,1313768552374116354,['1595018109777514499'],2022-11-22T11:35:26.000Z,RT @nymphoshawty2: https://t.co/LzJ1c77Pwv,
en,1595018030832291840,1313768552374116354,['1595018030832291840'],2022-11-22T11:35:07.000Z,RT @DaRealSwiper27: Can I tell you how long my day was. Turn up the music so your roommate can’t hear what we’re talking about . https://t.…,
zxx,1594990783446360069,1313768552374116354,['1594990783446360069'],2022-11-22T09:46:50.000Z,RT @ZayBelvin: https://t.co/esmKzFGgVx,
en,1594954410085457920,1313768552374116354,['1594954410085457920'],2022-11-22T07:22:18.000Z,RT @Raypottss: Treat me nice and we can have all sorts of one on one fun 😏  @rahqwez https://t.co/S22D1sGxtA,
en,1594954390649053184,1313768552374116354,['1594954390649053184'],2022-11-22T07:22:14.000Z,RT @Raypottss: Make it sloppy 👅💦 https://t.co/Ia8FC2MMJO,
en,1594954204162195458,1313768552374116354,['1594954204162195458'],2022-11-22T07:21:29.000Z,RT @Raypottss: I thought maybe you could learn to appreciate me 💭 https://t.co/BnLxGmYvwC,
en,1594952798709374976,1313768552374116354,['1594952798709374976'],2022-11-22T07:15:54.000Z,RT @rahsh33m: They were coming for each others heads 😭 https://t.co/SjwJ9uE5Uf,
en,1594952645550440448,1313768552374116354,['1594952645550440448'],2022-11-22T07:15:18.000Z,"RT @greysweatsking: Late night drinks 

https://t.co/i4IyqN1mCp https://t.co/XUIJzVsiuO",
en,1594949800134606849,1313768552374116354,['1594949800134606849'],2022-11-22T07:03:59.000Z,RT @nutlanddd: I know that 🍑 good 😩 Hmu For File https://t.co/WkZyWkWTej,
en,1594949765216731137,1313768552374116354,['1594949765216731137'],2022-11-22T07:03:51.000Z,RT @blackaf35516421: Cum put  ya nose in it 🤪🔮 https://t.co/EzfS0woJE7,
en,1594946967662125056,1313768552374116354,['1594946967662125056'],2022-11-22T06:52:44.000Z,"RT @JohnBronco87: He got a long overdue pounding 😤 up his muscle butt from my muscle penis 💪🏼 
Featuring @jakedanieloffic 

https://t.co/4b…",
en,1594946820098097152,1313768552374116354,['1594946820098097152'],2022-11-22T06:52:09.000Z,RT @LuckyAce97: You eating 🍽️ ❔ https://t.co/2tvP15gkCb,"{'copyright': False, 'country_codes': ['ID']}"
en,1594897748553338880,1313768552374116354,['1594897748553338880'],2022-11-22T03:37:09.000Z,RT @strokesNthroat: Say good morning to the neighbors baby…👋🏾😏☀️ https://t.co/hYcLXdZIym,
zxx,1594897655641128960,1313768552374116354,['1594897655641128960'],2022-11-22T03:36:47.000Z,RT @mrVerde___: https://t.co/4deCV85GcN,
en,1594897561327902720,1313768552374116354,['1594897561327902720'],2022-11-22T03:36:25.000Z,RT @mrVerde___: Wanna See Me 💦 https://t.co/6iOmNCtQaQ,
en,1594888318088626176,1313768552374116354,['1594888318088626176'],2022-11-22T02:59:41.000Z,RT @Heaux_ish: What you trying do with it? https://t.co/Lg9zq9gTEQ,
en,1594888307703533570,1313768552374116354,['1594888307703533570'],2022-11-22T02:59:38.000Z,RT @VenomMuscle: My Big Juicy Ass https://t.co/Xue9CWOifA,
en,1594888152514285568,1313768552374116354,['1594888152514285568'],2022-11-22T02:59:01.000Z,RT @wholelotofD: Project: D.I.Y. 💪🏾🪵🍆💦😈😏 https://t.co/VyGdEGPnIp,
en,1594888086198095873,1313768552374116354,['1594888086198095873'],2022-11-22T02:58:45.000Z,RT @kashhthep: Running Promotion for the next 10 days 30 spots available ‼️ READY SET GO #welcometothefamily🥵https://t.co/syFqnlLBob https:…,
zxx,1594888016643997699,1313768552374116354,['1594888016643997699'],2022-11-22T02:58:29.000Z,RT @StnerLonely: https://t.co/URzHtlkd1V,
en,1594887990127599617,1313768552374116354,['1594887990127599617'],2022-11-22T02:58:23.000Z,RT @theboiinthepic: Bro Teasing yo I wanna bust Kash Buns 😮‍💨🍔🍆👀😈 https://t.co/oryDBxdRrU,
en,1594887873802784768,1313768552374116354,['1594887873802784768'],2022-11-22T02:57:55.000Z,RT @Officialjefflo: RT if you trydna sit on it 😈🍆 https://t.co/bYFB3DR2mT,
en,1594887741518614529,1313768552374116354,['1594887741518614529'],2022-11-22T02:57:23.000Z,RT @Roxas_caelum: I need someone to ride my dick like this again🤤 https://t.co/SUwkXzU7Bq,
en,1594752002201878528,1313768552374116354,['1594752002201878528'],2022-11-21T17:58:01.000Z,RT @Exchgnfukfaces: Grand Rising! 👑🍑 https://t.co/ulaveZ0pwJ,
en,1594751993456861184,1313768552374116354,['1594751993456861184'],2022-11-21T17:57:58.000Z,RT @Exchgnfukfaces: Who’s up?! 😜 https://t.co/W71IOWJ4xD,
en,1594751972262953023,1313768552374116354,['1594751972262953023'],2022-11-21T17:57:53.000Z,RT @Exchgnfukfaces: TGIF 🥳🥳🥳 https://t.co/ePFEcEIsOr,
en,1594751955737448448,1313768552374116354,['1594751955737448448'],2022-11-21T17:57:49.000Z,RT @Exchgnfukfaces: Like dat! 😈🍆💪🏽 https://t.co/TP0w0L2uMR,
en,1594751814209265665,1313768552374116354,['1594751814209265665'],2022-11-21T17:57:16.000Z,RT @Exchgnfukfaces: Good Morning 💦🍆 https://t.co/yT3dZNuFQy,
en,1594751632210038784,1313768552374116354,['1594751632210038784'],2022-11-21T17:56:32.000Z,"RT @Deontae_real: My homie be fucking me so good 😏 look how he shot his nut all on me 💦🚨
https://t.co/ZYHCGzsnpm https://t.co/BbstQEgnnM",
en,1594751561820946459,1313768552374116354,['1594751561820946459'],2022-11-21T17:56:16.000Z,RT @prettiboyenergy: Working from Home is Always A Blast 💥 https://t.co/Rg0GlM8POw,
en,1594745372425216000,1313768552374116354,['1594745372425216000'],2022-11-21T17:31:40.000Z,RT @Ajstillgreat: I love me some 🍫😈 https://t.co/HP5QCKZ0Z7,
en,1594745337847156737,1313768552374116354,['1594745337847156737'],2022-11-21T17:31:32.000Z,RT @Ajstillgreat: My lil baby wants dick I give it to him https://t.co/DJZxBFpSIc,
und,1594744766994198529,1313768552374116354,['1594744766994198529'],2022-11-21T17:29:16.000Z,RT @putmenyourhand: #TBThursday ❤️❤️ https://t.co/99PGnCHCoh,
und,1594744747725307914,1313768552374116354,['1594744747725307914'],2022-11-21T17:29:11.000Z,RT @putmenyourhand: 😈 https://t.co/crA0ZmJeeh,
en,1594744597472837634,1313768552374116354,['1594744597472837634'],2022-11-21T17:28:35.000Z,RT @putmenyourhand: It’s my MF’n birthday 🎉 so who wants cake? !!! https://t.co/OI9kPtbEXU,
en,1594737904231890945,1313768552374116354,['1594737904231890945'],2022-11-21T17:01:59.000Z,"RT @kashmanmafia: Ride of yo mf life 🤤

https://t.co/mVfiijGeXF https://t.co/hjyvbSMZjE",
en,1594737447497244673,1313768552374116354,['1594737447497244673'],2022-11-21T17:00:10.000Z,RT @AlmondMilk313: Six foot +  … fine as hell … and can rock the boat! Whewwwwwww 🥰😂🥰🥰🥰🤪,
en,1594670020658880513,1313768552374116354,['1594670020658880513'],2022-11-21T12:32:15.000Z,RT @DiYardieULuv2H8: Full video drops on Black Friday😈🤤! *LINK IN BIO* https://t.co/xDMK8aQ3B1,
en,1594634916582641664,1313768552374116354,['1594634916582641664'],2022-11-21T10:12:45.000Z,RT @lightskinj23: i got a big head https://t.co/fyuUvCinCb,
zxx,1594634902439604224,1313768552374116354,['1594634902439604224'],2022-11-21T10:12:42.000Z,RT @HOUSEPORN___: https://t.co/KOADeC48TU,
en,1594634679541698560,1313768552374116354,['1594634679541698560'],2022-11-21T10:11:49.000Z,RT @ArtBySaudia: black people and their animals is my favorite genre lol… https://t.co/MJZyt18vCh,
qme,1594600679787593728,1313768552374116354,['1594600679787593728'],2022-11-21T07:56:42.000Z,RT @mrVerde___: #playboycabintrip #playboycabintrip2022 https://t.co/7mlPnvMKSV,
en,1594600500338593793,1313768552374116354,['1594600500338593793'],2022-11-21T07:56:00.000Z,RT @melanin_dick: Chillin https://t.co/8zgqxCxsqg,
zxx,1594545702557962240,1313768552374116354,['1594545702557962240'],2022-11-21T04:18:15.000Z,RT @nymphoshawty2: https://t.co/5u0XlX2IiM,
en,1594545610316718081,1313768552374116354,['1594545610316718081'],2022-11-21T04:17:53.000Z,RT @thirdleg_jay: Who wanna get some intense cardio in 👀😏 https://t.co/c5VeFx1BLT,
en,1594492495634657280,1313768552374116354,['1594492495634657280'],2022-11-21T00:46:49.000Z,RT @jofreaky2: Damn zaddy Pablo be d!ckin em down good https://t.co/UcTjduwURF,
en,1594492408129286145,1313768552374116354,['1594492408129286145'],2022-11-21T00:46:28.000Z,RT @himerosj: Good moaning 😮‍💨🥵 https://t.co/HHA5oFaSHB,
en,1594492355616608257,1313768552374116354,['1594492355616608257'],2022-11-21T00:46:16.000Z,"RT @Djdabottom: Cheeks banged out 🙄😩
#rvafreak #dcfreaks #804freaks #atlfreaks https://t.co/N7jRN5cCcv",
en,1594492328927952896,1313768552374116354,['1594492328927952896'],2022-11-21T00:46:10.000Z,RT @LilFreakDaChamp: Red Hot Pussy❤️‍🔥 https://t.co/zzFZtLVonI,
en,1594492281322672130,1313768552374116354,['1594492281322672130'],2022-11-21T00:45:58.000Z,"RT @BlakeLevii: Him: “I’m bout to cum”
Always me: “NO” https://t.co/Rp3f496Bzk",
zxx,1594296877461262336,1313768552374116354,['1594296877461262336'],2022-11-20T11:49:30.000Z,RT @allupinside: https://t.co/4rR8QaYugV,"{'copyright': False, 'country_codes': ['ID']}"
zxx,1594296709894619136,1313768552374116354,['1594296709894619136'],2022-11-20T11:48:50.000Z,RT @allupinside: https://t.co/AQWIfCNIRk,"{'copyright': False, 'country_codes': ['ID']}"
en,1594296343635398656,1313768552374116354,['1594296343635398656'],2022-11-20T11:47:23.000Z,RT @cinnamonzaddy: I knew i was ugly when I sent a selfie on Grindr and got blocked. Humbling experience 🤍,
de,1594296324689887238,1313768552374116354,['1594296324689887238'],2022-11-20T11:47:19.000Z,RT @cinnamonzaddy: Twunk for twunk only 💯😂 https://t.co/16cB4Eua4z,
und,1594296279663841283,1313768552374116354,['1594296279663841283'],2022-11-20T11:47:08.000Z,RT @cinnamonzaddy: 👺 https://t.co/aciPECLIz2,
und,1594296254007312384,1313768552374116354,['1594296254007312384'],2022-11-20T11:47:02.000Z,RT @cinnamonzaddy: 👑 💪🏽 https://t.co/ZaS3dZ5YzE,
zxx,1594292756574523392,1313768552374116354,['1594292756574523392'],2022-11-20T11:33:08.000Z,RT @allupinside: https://t.co/O2S4HYCbt7,"{'copyright': False, 'country_codes': ['ID']}"
en,1594292730389270535,1313768552374116354,['1594292730389270535'],2022-11-20T11:33:02.000Z,RT @Heaux_ish: Lor bro might be skinny but that meat heavy. Come get some pipe 🍆 https://t.co/AIEHGOdTwm,
en,1594292681324257280,1313768552374116354,['1594292681324257280'],2022-11-20T11:32:50.000Z,RT @KrystinaMonet: Good morning 😊 https://t.co/WmxnCUO33z,
zxx,1594292467314184192,1313768552374116354,['1594292467314184192'],2022-11-20T11:31:59.000Z,RT @nymphoshawty2: https://t.co/LzwokLOwHF,
en,1594292374410330113,1313768552374116354,['1594292374410330113'],2022-11-20T11:31:37.000Z,"RT @MilanChrisGordy: Who know how to ride a big Dick? 🤔

https://t.co/4k4NiprQsZ https://t.co/vJ83dh5M54",
en,1594146988827738113,1313768552374116354,['1594146988827738113'],2022-11-20T01:53:54.000Z,RT @mufasaszn: Last night my hole was ate the fuck up 🤤🙏🏽 here’s the result. https://t.co/szzHDgUZY5,
zxx,1594145929245773825,1313768552374116354,['1594145929245773825'],2022-11-20T01:49:41.000Z,RT @bubblebuttfan: https://t.co/Skn2rc95La,
en,1594011485897900033,1313768552374116354,['1594011485897900033'],2022-11-19T16:55:28.000Z,RT @FWolf999: She likes to feel my dick  🍆 going in and out of her stomach 😏 https://t.co/51lEnAbOkH,
en,1594011417723617280,1313768552374116354,['1594011417723617280'],2022-11-19T16:55:11.000Z,"RT @EddyCeetee: come see my @4myfansofficial profile!! 
395+ vids 455+ pics only 12.99

                     https://t.co/ubIe2DRt5U…",
zxx,1594011283791269888,1313768552374116354,['1594011283791269888'],2022-11-19T16:54:40.000Z,RT @allupinside: https://t.co/37Hoai9b0G,"{'copyright': False, 'country_codes': ['ID']}"
en,1594011234134740994,1313768552374116354,['1594011234134740994'],2022-11-19T16:54:28.000Z,RT @MostHatedBaitz: my classmate he used to have random boners in class i knew that dick was big so i had to bait his fine ass it’s the lip…,
en,1594010886758334466,1313768552374116354,['1594010886758334466'],2022-11-19T16:53:05.000Z,"RT @kurvvdaddy: Could be in you rn 😏😈

https://t.co/gvYLeuhsx1 https://t.co/KYFliClcrc",
en,1593967807527534593,1313768552374116354,['1593967807527534593'],2022-11-19T14:01:54.000Z,RT @fakessryan: Friday 👅 https://t.co/QuKpflQm62,
en,1593965449875959809,1313768552374116354,['1593965449875959809'],2022-11-19T13:52:32.000Z,RT @denzeldion: the way i would’ve slid my panties to the side..,
en,1593965303318605825,1313768552374116354,['1593965303318605825'],2022-11-19T13:51:57.000Z,RT @xkingdomi: that hawk ain’t never seen no mess like this before https://t.co/d0Z845EQDB,
en,1593965170031820802,1313768552374116354,['1593965170031820802'],2022-11-19T13:51:25.000Z,RT @d0n0vaaaan: Trunk full https://t.co/l7SsSWF1e4,
en,1593940537383550977,1313768552374116354,['1593940537383550977'],2022-11-19T12:13:32.000Z,RT @callhimplayboi: u walk in on me on yo couch like this…. wyd next ? #onlyfans for more 🙌🏾 https://t.co/fHkDAupnvf,
en,1593940499219550209,1313768552374116354,['1593940499219550209'],2022-11-19T12:13:23.000Z,RT @callhimplayboi: who can i train on?? https://t.co/T9eXVgYjOH,
en,1593940474166812672,1313768552374116354,['1593940474166812672'],2022-11-19T12:13:17.000Z,RT @callhimplayboi: i like my hole slobbed on ngl https://t.co/aHUuVBeYVe,
en,1593940321045565443,1313768552374116354,['1593940321045565443'],2022-11-19T12:12:41.000Z,RT @callhimplayboi: i started farting like crazy 😮‍💨 https://t.co/6dQnQXs4k2,
en,1593940171141124097,1313768552374116354,['1593940171141124097'],2022-11-19T12:12:05.000Z,"RT @AnonymousTopTx: nothing like fucking @EddyCeetee’s cummy hole, nothing like it 🤤 https://t.co/kVUaGyUl3B",
zxx,1593939840432689153,1313768552374116354,['1593939840432689153'],2022-11-19T12:10:46.000Z,RT @nymphoshawty2: https://t.co/fgkWu6lQku,
zxx,1593939752365035521,1313768552374116354,['1593939752365035521'],2022-11-19T12:10:25.000Z,RT @nymphoshawty2: https://t.co/oIiZG5Fgps,
