geo,lang,edit_history_tweet_ids,author_id,created_at,text,id
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1595175264111460353'],19792963,2022-11-22T21:59:54.000Z,"Just posted a photo @ Manhattan, New York https://t.co/l8USqo9UAN",1595175264111460353
,en,['1595134501042425857'],19792963,2022-11-22T19:17:55.000Z,We got @rustmidas from @overnight_drive back on the pod for a very special 50th episode of @RUNIN2THEGROUND to discuss our former bands. It's not one to miss. https://t.co/mQumaM7QzQ,1595134501042425857
,en,['1594833259204059137'],19792963,2022-11-21T23:20:54.000Z,"L.L. Bean stands for ""Ladies Love Bean.""",1594833259204059137
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1594810618728652805'],19792963,2022-11-21T21:50:56.000Z,"Just posted a photo @ Manhattan, New York https://t.co/1XVfFrpOIg",1594810618728652805
,en,['1594765106994372609'],19792963,2022-11-21T18:50:05.000Z,Catching up with friends. https://t.co/c7DLLeLkx6,1594765106994372609
,en,['1594709680823373824'],19792963,2022-11-21T15:09:50.000Z,"Heading to the grocery shopping store, y’all need anything?",1594709680823373824
,en,['1594705132389810179'],19792963,2022-11-21T14:51:46.000Z,I love seeing other people speaking into microphones incorrectly.,1594705132389810179
,en,['1594518137927618561'],19792963,2022-11-21T02:28:43.000Z,@mikeabrusci Get their ass,1594518137927618561
,en,['1594387741562634240'],19792963,2022-11-20T17:50:34.000Z,I guess 4 dollar Diet Coke no refill is just the norm now?,1594387741562634240
,en,['1594363260530479104'],19792963,2022-11-20T16:13:17.000Z,The holy trinity of T-shirts. https://t.co/QUigz5XXEL,1594363260530479104
,en,['1594175404440707073'],19792963,2022-11-20T03:46:49.000Z,RIP Henry Winkler https://t.co/Sj4VWtxqRF,1594175404440707073
,en,['1594151194603102209'],19792963,2022-11-20T02:10:37.000Z,I support reggae marriage.,1594151194603102209
,en,['1594151120611332096'],19792963,2022-11-20T02:10:19.000Z,The Fiscal Clif Bar,1594151120611332096
,en,['1594151098545225734'],19792963,2022-11-20T02:10:14.000Z,The Cannonball Baker Sea-To-Shining-Sea Memorial Trophy Dash,1594151098545225734
,en,['1594151058263408640'],19792963,2022-11-20T02:10:04.000Z,Dog Food Lid backwards is Dildo of God,1594151058263408640
,en,['1593794002205265920'],19792963,2022-11-19T02:31:16.000Z,"I’m on the “Eat Food” diet. Every time I see food, I eat it.",1593794002205265920
,en,['1593718720161107970'],19792963,2022-11-18T21:32:07.000Z,There before the grace of God go ay yi yi.,1593718720161107970
,en,['1593718691497213964'],19792963,2022-11-18T21:32:00.000Z,Walk around and find out.,1593718691497213964
,en,['1593718653979181056'],19792963,2022-11-18T21:31:51.000Z,"I don't understand people who say ""they love to smile."" No shit! Smiling is pretty much the involuntary reaction to enjoyment! If you love to smile, wouldn't the joy of smiling cause you to smile forever in an endless loop of spiraling madness? Just saying...",1593718653979181056
,en,['1593718622857400321'],19792963,2022-11-18T21:31:44.000Z,Guys aren’t named Ebenezer anymore.,1593718622857400321
"{'coordinates': {'type': 'Point', 'coordinates': [144.95398, -37.81913]}, 'place_id': '01864a8a64df9dc4'}",en,['1593693429027860480'],19792963,2022-11-18T19:51:37.000Z,Just posted a photo @ Everywhere + Nowhere https://t.co/5hpHwe0oro,1593693429027860480
,en,['1593679495055261710'],19792963,2022-11-18T18:56:15.000Z,"Though I don’t talk about it too much, it’s been a project running parallel in the background of my entire career 13 years and almost 5,000 photos later. Please check it out if you haven’t already. Use the archive tool to bounce around my life.  https://t.co/AJfbed2Usm",1593679495055261710
,en,['1593679359101083648'],19792963,2022-11-18T18:55:42.000Z,Today marks the 13th anniversary of my ongoing film project The RangeFinder Diaries. This is a project I started in school as a way to rediscover photography on a personal level. By posting a new film photo every day it’s an exercise to keep shooting the world around me.,1593679359101083648
,en,['1593611618767839234'],19792963,2022-11-18T14:26:32.000Z,Please RT if you’re in the shmood to get shmoney.,1593611618767839234
,en,['1593611588061335552'],19792963,2022-11-18T14:26:25.000Z,Are you there God? It's me ©DanBassini,1593611588061335552
,en,['1593611561565921284'],19792963,2022-11-18T14:26:18.000Z,Malice at The Palace (the wedding venue in Somerset NJ),1593611561565921284
