text,created_at,lang,id,edit_history_tweet_ids,author_id
"Experiencing symptoms of #COVID19? Make sure to get tested. For more information, visit ➡️ https://t.co/nIBTprq6yy. https://t.co/KnXYbNC1CQ",2022-11-22T22:00:58.000Z,en,1595175530596139009,['1595175530596139009'],18009561
#ShopLocal this Saturday! Come out &amp; support Montgomery County's small businesses on Small Business Saturday and throughout the holiday season. 🛍️ #KeepingMoneyinMontgomery https://t.co/M0lKlCsELE,2022-11-22T20:01:30.000Z,en,1595145465640648705,['1595145465640648705'],18009561
"RT @MontgomeryParks: Just a reminder that you have more days to enjoy our car-free streets this week.

The Thanksgiving holiday schedule fo…",2022-11-22T19:17:43.000Z,en,1595134447950917632,['1595134447950917632'],18009561
"TODAY! The Montgomery Al Dia radio show features Montgomery County Executive Marc Elrich
Year-in-Review show. Tune in at 2 p.m. live! 📻▶ https://t.co/btD7MsaPqP. https://t.co/yKjvP36Xjd",2022-11-22T17:21:09.000Z,en,1595105116243525632,['1595105116243525632'],18009561
"If you want to  help the residents impacted by the fire at the Potomac Oaks Condominiums in Gaithersburg, donate at https://t.co/K7qRg6N2aK https://t.co/evp1metO43",2022-11-22T16:01:54.000Z,en,1595085171925012481,['1595085171925012481'],18009561
Gift outside the box this holiday season! 🎁 The  Montgomery County Department of Environmental Protection has ideas for how you can #GiftGreener ➡️ https://t.co/LJZGKeGLz2. https://t.co/ZqelX7bbfo,2022-11-22T15:01:46.000Z,en,1595070036309409792,['1595070036309409792'],18009561
🍂 The Montgomery County Department of Transportation's annual leaf vacuuming program is underway. For everything you need to know ➡️ https://t.co/agdsPrqdaX https://t.co/UKNoOwolLq,2022-11-22T14:30:26.000Z,en,1595062150397042688,['1595062150397042688'],18009561
"Got questions about if you need a permit for a residential #electricvehicle (EV) charging station? Visit the Montgomery County Department of Permitting Services website for answers.
🚗➡ https://t.co/J1TZto8gt6. 
#MoCoDPS #EV @MyGreenMC @MCDOTNow https://t.co/CfcZHZuLA0",2022-11-22T13:30:25.000Z,en,1595047049417748481,['1595047049417748481'],18009561
"Today! Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The meeting will take place Today, Nov. 21, 7 p.m.  https://t.co/HsOEm6YKP8 Watch online https://t.co/bO2qJLocAH",2022-11-21T23:00:50.000Z,en,1594828211371876370,['1594828211371876370'],18009561
"Are you planning to spend a lot of time cooking for #Thanksgiving? Before you head to the kitchen, check out these tips to make it a fun and safe holiday: https://t.co/NYJJaIJO8J.
#MoCoDPS @mcfrsPIO https://t.co/DAPPOZHki7",2022-11-21T21:00:33.000Z,en,1594797939704172544,['1594797939704172544'],18009561
"Today! Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The meeting will take place Today, Nov. 21, 7 p.m.  https://t.co/HsOEm6H9qy Watch online https://t.co/DmnmwjkshY",2022-11-21T19:01:19.000Z,en,1594767933682569217,['1594767933682569217'],18009561
"Check out the holiday schedule to find out what's open and what's not on Thanksgiving Day (Thursday, Nov. 24) in Montgomery County.
👀➡ https://t.co/4eOcnZLhAL. https://t.co/cme0v8a41R",2022-11-21T15:30:16.000Z,en,1594714819957264385,['1594714819957264385'],18009561
"RT @ReadyMontgomery: Montgomery County has extended the Hypothermia Alert until noon Monday, 11/21. Expect the wind chill to be at or below…",2022-11-21T14:06:09.000Z,en,1594693652361744386,['1594693652361744386'],18009561
"🌞 Good morning! The Montgomery County Department of Permitting Services is open from 7:30 a.m. to 4 p.m. at 2425 Reedie Drive, 7th floor, in Wheaton. Apply for permits and submit construction plans online at any time. 
💻➡https://t.co/mD1DNr1ZzL.
#MoCoDPS https://t.co/2T0oiVb90w",2022-11-21T12:01:08.000Z,en,1594662191180918784,['1594662191180918784'],18009561
"If you want to  help the residents impacted by the fire at the Potomac Oaks Condominiums in Gaithersburg, donate at https://t.co/K7qRg74Dzk https://t.co/UC0FK5ezME",2022-11-21T11:00:48.000Z,en,1594647008970776577,['1594647008970776577'],18009561
"Today! Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The meeting will take place Today, Nov. 21, 7 p.m.  https://t.co/HsOEm6ZiEG Watch online https://t.co/klYrZ1rgxK",2022-11-21T11:00:48.000Z,en,1594647008941584384,['1594647008941584384'],18009561
"Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The next forum will take place Monday, Nov. 21.
https://t.co/6prAzJjZcX https://t.co/xZIn0VAHR0",2022-11-21T01:00:21.000Z,en,1594495900839448577,['1594495900839448577'],18009561
"Do you have questions about the status of your Use and Occupancy certificate? Visit the Montgomery County Department of Permitting Services website for answers! 
ℹ➡https://t.co/jYn4JHAwjv.
#MoCoDPS #business https://t.co/GJ49FgARi9",2022-11-20T20:00:44.000Z,en,1594420496854126592,['1594420496854126592'],18009561
"Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The next forum will take place Monday, Nov. 21.
https://t.co/6prAzJB2eX https://t.co/UHeYODU5HV",2022-11-20T19:00:32.000Z,en,1594405347132727296,['1594405347132727296'],18009561
Gift outside the box this holiday season! 🎁 @MyGreenMC has ideas for how you can #GiftGreener ➡️ https://t.co/6Ql7NzTBv8. https://t.co/6iiw5XCOKr,2022-11-20T17:00:56.000Z,en,1594375250044719109,['1594375250044719109'],18009561
"Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The next forum will take place Monday, Nov. 21.
https://t.co/6prAzJB2eX https://t.co/sqnOIKLpjF",2022-11-20T16:00:38.000Z,en,1594360074822033408,['1594360074822033408'],18009561
