id,geo,edit_history_tweet_ids,created_at,author_id,lang,text
1595184618591834113,"{'place_id': '4ee01b9baecf09e7', 'coordinates': {'type': 'Point', 'coordinates': [-79.882664, 44.332446]}}",['1595184618591834113'],2022-11-22T22:37:04.000Z,140647400,en,"Want to land a job like ""shift supervisor - Store# 59486, 305 MILL STREET"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Retail #Angus, ON"
1595167888368754689,"{'place_id': '6c38621b1c0d267c', 'coordinates': {'type': 'Point', 'coordinates': [-79.3267602, 45.0432501]}}",['1595167888368754689'],2022-11-22T21:30:36.000Z,140647400,en,"If you're looking for work in #Bracebridge, ON, check out this #Retail job via the link in our bio: barista - Store# 62159, BRACEBRIDGE at Starbucks"
1595151159907430400,"{'place_id': '550393b2ef425bbb', 'coordinates': {'type': 'Point', 'coordinates': [-82.1910378, 42.4048028]}}",['1595151159907430400'],2022-11-22T20:24:07.000Z,140647400,en,"CROSSMARK is looking for creative team members that want the opportunity to work with major retail vendors. Make a difference and be the presence for leading companies. Join our team now! https://t.co/MP3PpzKdJb #ChathamKent, ON #Merchandising"
1595134432213536768,"{'place_id': '684b2b4e552bfa08', 'coordinates': {'type': 'Point', 'coordinates': [-112.8095355, 49.7040694]}}",['1595134432213536768'],2022-11-22T19:17:39.000Z,140647400,en,"Don't submit then quit. Apply for jobs like ""shift supervisor - Store# 55870, 414 MAYOR MAGRATH DRIVE N"" at Starbucks, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio."
1595117711624839168,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.0300272, 51.1529283]}}",['1595117711624839168'],2022-11-22T18:11:12.000Z,140647400,en,"Can you recommend anyone for this #Retail job in #Calgary, AB? Click the link in our bio to see it and more. shift supervisor - Store# 26267, THE DISTRICT at Starbucks"
1595100933754564608,,['1595100933754564608'],2022-11-22T17:04:32.000Z,140647400,en,"Now hiring for 786 job opportunities at CROSSMARK, beeline Group (@beelinegroupNA), Bed Bath &amp; Beyond (@BedBathCareers), and more."
1594872075235180545,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.3662454, 53.4773101]}}",['1594872075235180545'],2022-11-22T01:55:08.000Z,140647400,en,"Interested in a job in #Edmonton, AB? This could be a great fit. Click the link in our bio to apply: shift supervisor - Store# 04797, 4797 TAMARACK at Starbucks #Retail"
1594855347771932672,"{'place_id': '246439ffd8801ae2', 'coordinates': {'type': 'Point', 'coordinates': [-113.8094659, 52.2431669]}}",['1594855347771932672'],2022-11-22T00:48:40.000Z,140647400,en,"We're hiring! Click to apply: Store Coordinator, Marshalls Red Deer - https://t.co/ZT7jQbtGkZ #Retail #RedDeer, AB"
1594838620686327813,"{'place_id': '2a24460ae2d93f7b', 'coordinates': {'type': 'Point', 'coordinates': [-113.8286241, 51.046968]}}",['1594838620686327813'],2022-11-21T23:42:12.000Z,140647400,en,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 19164, CHESTERMERE STATION at Starbucks #Chestermere, AB"
1594821894418538497,"{'place_id': '46cfc7fda28c4d88', 'coordinates': {'type': 'Point', 'coordinates': [-114.0029506, 51.2692982]}}",['1594821894418538497'],2022-11-21T22:35:44.000Z,140647400,en,"Can you recommend anyone for this #Retail job in #Airdrie, AB? Click the link in our bio to see it and more. barista - Store# 04808, SIERRA SPRINGS - AIRDRIE at Starbucks"
