created_at,text,author_id,lang,edit_history_tweet_ids,id
2022-11-22T19:17:31.000Z,who tf has a car?? i just wanna go on a cute drive,853421990350209024,en,['1595134396855910400'],1595134396855910400
2022-11-22T18:29:52.000Z,https://t.co/EHI7iwHC8J,853421990350209024,zxx,['1595122406066384896'],1595122406066384896
2022-11-22T12:38:21.000Z,"waking up at 6am, overnight oats and oat vanilla matcha latte for breaky followed by a 40 minute yoga type beat... love my little silly life https://t.co/SVzDwfJeng",853421990350209024,en,['1595033944663228416'],1595033944663228416
2022-11-20T19:14:18.000Z,said youd for me id die for me too and if i lost you id still have me i cant lose,853421990350209024,en,['1594408813754474496'],1594408813754474496
2022-11-20T16:35:27.000Z,@walkerzz34 ur reaching. shes always been gorge,853421990350209024,en,['1594368836031102976'],1594368836031102976
2022-11-20T14:35:23.000Z,when i went to the STD clinic and the doctor gave me a pregnancy test https://t.co/T1FXnasl6o,853421990350209024,en,['1594338620650954752'],1594338620650954752
2022-11-20T13:39:49.000Z,we need to normalize shampooing cows,853421990350209024,en,['1594324637822885888'],1594324637822885888
2022-11-19T19:14:15.000Z,@catrachabellaca https://t.co/sOcFXnJXlN,853421990350209024,qme,['1594046414144913408'],1594046414144913408
2022-11-19T17:46:45.000Z,follow my finsta if we're mutuals &lt;3 https://t.co/wTypzLqmFT,853421990350209024,en,['1594024394929885187'],1594024394929885187
2022-11-19T17:34:15.000Z,https://t.co/2EO8z932tS,853421990350209024,zxx,['1594021248941465600'],1594021248941465600
2022-11-19T17:06:42.000Z,nothing compares to the high of a sleep deprivation induced mania,853421990350209024,en,['1594014315597668352'],1594014315597668352
2022-11-19T01:32:19.000Z,free her... women in stem deserve better https://t.co/COVHpegmow,853421990350209024,en,['1593779170726887424'],1593779170726887424
2022-11-19T01:30:35.000Z,@onlinegirlie we can talk in private we dont have to talk in front of everybody🤷🏻‍♀️,853421990350209024,en,['1593778731016810496'],1593778731016810496
2022-11-19T01:05:04.000Z,this vid lives in my head 24/7 https://t.co/0Det5jpwU5,853421990350209024,en,['1593772312712683521'],1593772312712683521
2022-11-18T21:58:26.000Z,it's dark outside &amp; it's not even 5pm https://t.co/LjCG4SZCtE,853421990350209024,en,['1593725341763358720'],1593725341763358720
2022-11-18T21:45:01.000Z,https://t.co/W0Ftqkpc5m https://t.co/nD4mZCXBBI,853421990350209024,zxx,['1593721966501961730'],1593721966501961730
2022-11-18T19:32:55.000Z,just ordered overnight oats and they delivered a fucking banana this is my 9/11,853421990350209024,en,['1593688724386324480'],1593688724386324480
2022-11-18T18:18:06.000Z,need a friend like her https://t.co/h5qgcbJx6q,853421990350209024,en,['1593669893571870722'],1593669893571870722
2022-11-18T18:10:16.000Z,will u still be there for me once im yours to obtain once my fruits are for taking and you flow through my veins do you still think im beautiful when my tears fall like rain https://t.co/K9tctJEjPi,853421990350209024,en,['1593667922446139392'],1593667922446139392
