id,edit_history_tweet_ids,created_at,author_id,lang,text
1595184851333914624,['1595184851333914624'],2022-11-22T22:38:00.000Z,1563284492571529217,en,RT @Chrisyo32333157: @syntia54600977 @rcmpmb go and message me now
1595154671693623296,['1595154671693623296'],2022-11-22T20:38:04.000Z,1563284492571529217,en,RT @Chrisyo32333157: @syntia54600977 @rcmpmb looking good
1595134619829301249,['1595134619829301249'],2022-11-22T19:18:24.000Z,1563284492571529217,en,RT @syntia54600977: @rcmpmb Good jobs RCMP bravo 💜
1595134237363310592,['1595134237363310592'],2022-11-22T19:16:53.000Z,1563284492571529217,en,@rcmpmb Good jobs RCMP bravo 💜
1595134182073962496,['1595134182073962496'],2022-11-22T19:16:39.000Z,1563284492571529217,en,"RT @rcmpmb: On Nov 19, Thompson #rcmpmb arrested 33yo Michael Nicholas outside his residence on Ashberry Pl &amp; seized a loaded handgun, 172…"
1595131648017715200,['1595131648017715200'],2022-11-22T19:06:35.000Z,1563284492571529217,en,"RT @syntia54600977: Andy will visit me mommy next Sunday he 17 year old .june2,2005 .. https://t.co/GCfvevGn6n"
1595131585090981888,['1595131585090981888'],2022-11-22T19:06:20.000Z,1563284492571529217,en,"Andy will visit me mommy next Sunday he 17 year old .june2,2005 .. https://t.co/GCfvevGn6n"
1595125089435258881,['1595125089435258881'],2022-11-22T18:40:31.000Z,1563284492571529217,en,"RT @wpgpolice: Update:

The Bomb Unit continued to investigate and after thorough testing has just provided an update. The device, although…"
1595123050898685952,['1595123050898685952'],2022-11-22T18:32:25.000Z,1563284492571529217,en,RT @syntia54600977: @wpgpolice Good jobs WPS bravo 💜
1595123025049194496,['1595123025049194496'],2022-11-22T18:32:19.000Z,1563284492571529217,en,@wpgpolice Good jobs WPS bravo 💜
1595107869007175680,['1595107869007175680'],2022-11-22T17:32:06.000Z,1563284492571529217,en,RT @syntia54600977: @wpgpolice Good jobs WPS bravo I trust u
1595107834970394624,['1595107834970394624'],2022-11-22T17:31:58.000Z,1563284492571529217,en,@wpgpolice Good jobs WPS bravo I trust u
1595107780515737600,['1595107780515737600'],2022-11-22T17:31:45.000Z,1563284492571529217,en,"RT @wpgpolice: On Nov. 21 at 1:00 am, West District officers patrolling in the Weston area arrest an adult with a concealed live grenade. H…"
1595085693663211520,['1595085693663211520'],2022-11-22T16:03:59.000Z,1563284492571529217,en,"RT @MasonDrm: My twitter seems to be going well 🙄
If it all bots fine, but I don’t think so. 
If I was or should be following you let me kn…"
1595085531217809409,['1595085531217809409'],2022-11-22T16:03:20.000Z,1563284492571529217,en,RT @syntia54600977: Good morning https://t.co/rfioOqyqtJ
1595085505020166146,['1595085505020166146'],2022-11-22T16:03:14.000Z,1563284492571529217,en,Good morning https://t.co/rfioOqyqtJ
1595037581099638784,['1595037581099638784'],2022-11-22T12:52:48.000Z,1563284492571529217,en,RT @syntia54600977: Good morning 🌞
1595037558014201857,['1595037558014201857'],2022-11-22T12:52:42.000Z,1563284492571529217,en,Good morning 🌞
1594861398068453378,['1594861398068453378'],2022-11-22T01:12:43.000Z,1563284492571529217,en,RT @syntia54600977: @eliistender10 Aww cute dinosaur dress up cute sweater on .🦖
1594795484954398721,['1594795484954398721'],2022-11-21T20:50:48.000Z,1563284492571529217,en,RT @syntia54600977: @TheTimMcGraw hi I know u real Tim McGraw I biggest fans u
1594794607459680256,['1594794607459680256'],2022-11-21T20:47:18.000Z,1563284492571529217,en,@eliistender10 Aww cute dinosaur dress up cute sweater on .🦖
1594794405457698817,['1594794405457698817'],2022-11-21T20:46:30.000Z,1563284492571529217,en,RT @eliistender10: The t-rex wearing a Christmas jumper at the Natural History Museum is a wonderful thing https://t.co/NFnObgSg7o
1594766260155416577,['1594766260155416577'],2022-11-21T18:54:40.000Z,1563284492571529217,en,RT @syntia54600977: @Jason_Aldean Seeu still married someone not wanna talk seeu I ignoreu
1594766223631593473,['1594766223631593473'],2022-11-21T18:54:31.000Z,1563284492571529217,en,@Jason_Aldean Seeu still married someone not wanna talk seeu I ignoreu
1594766040986157057,['1594766040986157057'],2022-11-21T18:53:48.000Z,1563284492571529217,en,@TheTimMcGraw hi I know u real Tim McGraw I biggest fans u
1594760662265249814,['1594760662265249814'],2022-11-21T18:32:25.000Z,1563284492571529217,in,RT @syntia54600977: @morganwallencus Thanku
1594760635946274817,['1594760635946274817'],2022-11-21T18:32:19.000Z,1563284492571529217,in,@morganwallencus Thanku
1594760601569476646,['1594760601569476646'],2022-11-21T18:32:11.000Z,1563284492571529217,und,RT @morganwallencus: @syntia54600977 ❤️
1594704439084040193,['1594704439084040193'],2022-11-21T14:49:01.000Z,1563284492571529217,en,RT @syntia54600977: Good morning 🌞
1594704387477233664,['1594704387477233664'],2022-11-21T14:48:48.000Z,1563284492571529217,en,Good morning 🌞
1594559747595948034,['1594559747595948034'],2022-11-21T05:14:03.000Z,1563284492571529217,en,RT @syntia54600977: @BigDannySmooth Aww cute lol 🤣 u make laugh lol
1594559721708691457,['1594559721708691457'],2022-11-21T05:13:57.000Z,1563284492571529217,en,RT @syntia54600977: @Yoda4ever Funny rooster dance act like army lol 🤣
1594558989584715776,['1594558989584715776'],2022-11-21T05:11:03.000Z,1563284492571529217,en,RT @syntia54600977: @globalwinnipeg I not see him .
1594558813088411648,['1594558813088411648'],2022-11-21T05:10:21.000Z,1563284492571529217,en,"RT @PierrePoilievre: Everything feels broken.

But we can fix it. https://t.co/4WarLBsBUU"
1594537671128678401,['1594537671128678401'],2022-11-21T03:46:20.000Z,1563284492571529217,en,RT @WPG_Chief: Liegghio’s punting (and kickoffs) has always been lacklustre but Bombers S/Te’s have covered them fine except for one tonigh…
1594531789678182400,['1594531789678182400'],2022-11-21T03:22:58.000Z,1563284492571529217,en,RT @syntia54600977: @WPG_Chief Yeah that life's
1594531760100216833,['1594531760100216833'],2022-11-21T03:22:51.000Z,1563284492571529217,en,@WPG_Chief Yeah that life's
1594531709944565761,['1594531709944565761'],2022-11-21T03:22:39.000Z,1563284492571529217,en,"RT @WPG_Chief: Sorry folks, but the game shouldn't have come down to a missed convert. Argos shut down the Bombers short yardage guys like…"
1594527907061415937,['1594527907061415937'],2022-11-21T03:07:32.000Z,1563284492571529217,en,RT @syntia54600977: Football bomber lost that close oh no . Toronto won oh good I not support Toronto football .I support bomber football y…
1594527867710357505,['1594527867710357505'],2022-11-21T03:07:23.000Z,1563284492571529217,en,Football bomber lost that close oh no . Toronto won oh good I not support Toronto football .I support bomber football yes .
1594444425043795970,['1594444425043795970'],2022-11-20T21:35:48.000Z,1563284492571529217,en,RT @syntia54600977: @BigDannySmooth @PierrePoilievre Right on I agree your right on high five .
1594444364004065283,['1594444364004065283'],2022-11-20T21:35:34.000Z,1563284492571529217,en,@BigDannySmooth @PierrePoilievre Right on I agree your right on high five .
1594444240964419584,['1594444240964419584'],2022-11-20T21:35:05.000Z,1563284492571529217,en,RT @BigDannySmooth: @PierrePoilievre Go fuck yourself.
