lang,id,withheld,author_id,edit_history_tweet_ids,created_at,text
en,1595131985848156165,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1595131985848156165'],2022-11-22T19:07:56.000Z,"RT @ZaidZamanHamid: https://t.co/xKEE0Py3SC

I am emphasizing again and again over and over...... These are not normal exercises...
Indians…"
en,1595131910921109514,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1595131910921109514'],2022-11-22T19:07:38.000Z,RT @ZaidZamanHamid: This is an Indian account. He is claiming that Indian intelligence has been able to assassinate some khalistani leaders…
en,1595131870408327184,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1595131870408327184'],2022-11-22T19:07:28.000Z,RT @ZaidZamanHamid: Balochistan liberation army and TTP as well as Sindhu desh liberation Army are the insurgent and terrorist assets of th…
en,1595131695841554432,,66338988,['1595131695841554432'],2022-11-22T19:06:47.000Z,@CMShehbaz Nawaz sharif didn't even do this much on Twitter good to hear Shabaz Sharif doing this much !!!
en,1595131633790849025,,66338988,['1595131633790849025'],2022-11-22T19:06:32.000Z,@CMShehbaz @GovtofPakistan Nawaz sharif didn't even do this much on Twitter good to hear Shabaz Sharif doing this much !!!
en,1595131140309889024,,66338988,['1595131140309889024'],2022-11-22T19:04:34.000Z,RT @ShireenMazari1: Nawaz Sharif: in 2008 he obtained Bullet proof Mercedes Benz (IDH-78) vehicle from Toshakhana when he was not even publ…
en,1595131081556381696,,66338988,['1595131081556381696'],2022-11-22T19:04:20.000Z,RT @ShireenMazari1: Asif Zardari: during his tenure as President with connivance of YRG he took two bulletproof BMW cars and one Lexus Jeep…
en,1595130982595805197,,66338988,['1595130982595805197'],2022-11-22T19:03:57.000Z,RT @AlArabiya_Eng: #SaudiArabia’s Crown Prince and Prime Minister Mohammed bin Salman arrives in #Thailand– the first such visit by the Sau…
en,1595130918796070912,,66338988,['1595130918796070912'],2022-11-22T19:03:41.000Z,"RT @shoaib100mph: In immense grief to hear about passing away of this beautiful child i interacted with during Sharjah Book Fair.
He came r…"
en,1595130751254773787,,66338988,['1595130751254773787'],2022-11-22T19:03:01.000Z,"RT @MoeedNj: While ""Queen"" is unwise &amp; childish and full of spite, its difficult to believe that she had the means, capacity and know how t…"
en,1595130662947692544,,66338988,['1595130662947692544'],2022-11-22T19:02:40.000Z,RT @ShireenMazari1: Absolute disaster for all to see. Question is was this the intent of local Conspirators who operationalised the US regi…
en,1593656584084680704,,66338988,['1593656584084680704'],2022-11-18T17:25:13.000Z,RT @ImranKhanPTI: As I had predicted 6 months back that the regime change conspiracy would throw our economy into tailspin destroying our c…
en,1593656468422770690,,66338988,['1593656468422770690'],2022-11-18T17:24:45.000Z,RT @ShireenMazari1: This is what Haqeeqi Azadi is all about. The ability to stand up for Pakistan's interests &amp; sovereignty &amp; not be used b…
en,1593656106122985472,,66338988,['1593656106122985472'],2022-11-18T17:23:19.000Z,"RT @MoeedNj: AA! I am perfectly safe! No one has directly threatened me of life since this crisis began in March 2022! Yes, I have been war…"
en,1587231562780876800,,66338988,['1587231562780876800'],2022-10-31T23:54:28.000Z,RT @ShayanA2307: If calling a chor a chor makes me badtameez I will proudly be called a badtameez
en,1587231505453047809,,66338988,['1587231505453047809'],2022-10-31T23:54:14.000Z,"RT @ShireenMazari1: State with all its force, if it chooses to fight its own ppl, will have hostile exterior lines of operation where Centr…"
en,1587231417016229890,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1587231417016229890'],2022-10-31T23:53:53.000Z,"RT @ZaidZamanHamid: Elon Musk fired Twitter CEO Parag Agrawal and top legal and policy executive Vijaya Gadde 😂

Dear @elonmusk Indian gove…"
ur,1587231187122196484,,66338988,['1587231187122196484'],2022-10-31T23:52:58.000Z,"RT @MaleehaHashmey: نواز شریف کے گھر کے باہر لندن میں پاکستانی عوام کا پر زور احتجاج۔ 🔥🔥🔥

عمران خان کے ساتھ پورا پاکستان تو سڑکوں پر نکل ہ…"
en,1587231058990403590,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1587231058990403590'],2022-10-31T23:52:28.000Z,"RT @ZaidZamanHamid: Well, and they told you that the Russians don't have humour....😁

'Daddy, why our house is so cold?'
- Putin rubs it de…"
en,1587230934029549577,,66338988,['1587230934029549577'],2022-10-31T23:51:58.000Z,RT @KazmiWajahat: Imran Khan has terminated the party membership of Faisal Vawda. He’s no longer a part of PTI.
en,1587230883823632387,,66338988,['1587230883823632387'],2022-10-31T23:51:46.000Z,"RT @MoeedNj: Immediate steps are needed to end this impression of a ""fascist state"" Time to end ""Harassment FIRs"", Arbitrary Arrests, Tortu…"
en,1586537257988653058,,66338988,['1586537257988653058'],2022-10-30T01:55:33.000Z,"RT @ShayanA2307: A protest will be held tomorrow outside Avenfield at 3pm by @UKPTIOfficial, me and my team will be joining this protest an…"
en,1586537037762641921,,66338988,['1586537037762641921'],2022-10-30T01:54:40.000Z,RT @ShireenMazari1: So the Conspirators can stop all channels from live coverage of the Lonf March but the people are coming out &amp; its not…
en,1586536865762578432,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586536865762578432'],2022-10-30T01:53:59.000Z,RT @ZaidZamanHamid: Somebody should tell Imran khan that generally it is not a good idea to go to war against your own national security es…
en,1586536631779065856,,66338988,['1586536631779065856'],2022-10-30T01:53:04.000Z,"RT @ShayanA2307: See you again tomorrow Nawaz Sharif, this time with more power! https://t.co/XRjOhvo9ka"
en,1586536543065350144,,66338988,['1586536543065350144'],2022-10-30T01:52:42.000Z,RT @ImranKhanPTI: Unprecedented numbers coming out for our March -&amp; the most politically aware public with amazing passion. Pak will change…
en,1586536406633119744,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586536406633119744'],2022-10-30T01:52:10.000Z,RT @ZaidZamanHamid: I had asked Imran to wait for a month &amp; let the Military leadership change. That would lower the temperature &amp; create e…
en,1586124575280189443,,66338988,['1586124575280189443'],2022-10-28T22:35:42.000Z,"RT @ShayanA2307: The police confirmed the PML-N started the attack and did NOT arrest me! This isn’t Jati Umra, this is London! Legal actio…"
en,1586123946415587329,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586123946415587329'],2022-10-28T22:33:12.000Z,"RT @ZaidZamanHamid: Don't you see a pattern here? 
I have just given 3 examples but same is happening at dozens of places all across the wo…"
en,1586123864450514946,,66338988,['1586123864450514946'],2022-10-28T22:32:52.000Z,RT @ShireenMazari1: This is why I stand with Imran Khan - he speaks boldly and with a passion for his people. And he never accepts defeat n…
en,1586123833970495489,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586123833970495489'],2022-10-28T22:32:45.000Z,"RT @ZaidZamanHamid: Rishi Sunak- I'm a Coke addict ۔۔

UK is in safe hands.....😁

You will see a common pattern all across the globe......…"
en,1586123730408857601,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586123730408857601'],2022-10-28T22:32:20.000Z,RT @ZaidZamanHamid: What the people of Pakistan are not realising is that hindutv RSS zionists are sensing a historical opportunity for a t…
en,1586123041335042050,,66338988,['1586123041335042050'],2022-10-28T22:29:36.000Z,RT @ShayanA2307: Protest against the Sharif mafia! We will topple this fascist imported government https://t.co/OWhH34yIaW
en,1586122669854003200,,66338988,['1586122669854003200'],2022-10-28T22:28:07.000Z,RT @ShireenMazari1: Azam Swati is a brave man who has named his custodial torturers after being violated as US did in Abu Ghraib &amp; Guantana…
en,1586034833352015875,,66338988,['1586034833352015875'],2022-10-28T16:39:06.000Z,"RT @ImranRiazKhan: Is it deleted ?
https://t.co/iIdLsyJ4RF"
en,1586034722588835840,,66338988,['1586034722588835840'],2022-10-28T16:38:39.000Z,RT @ShireenMazari1: Azam Swati's amazing presser revealing not only the custodial torture inflicted upon him but also those he holds respon…
en,1586034593026678785,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1586034593026678785'],2022-10-28T16:38:08.000Z,"RT @ZaidZamanHamid: “The main mark of modern governments is that we do not know who governs, de facto any more than de jure. 

We see the p…"
ur,1586034365871624192,,66338988,['1586034365871624192'],2022-10-28T16:37:14.000Z,RT @ImranKhanPTI: حقیقی آزادی مارچ کا آغاز لبرٹی سے ہوچکا ہے اور لاہور کے لوگ ہمارے اس مارچ کی قیادت کیلئے باہر نکل آئے ہیں۔ #حقیقی_آزادی_ل…
en,1586034279875837952,,66338988,['1586034279875837952'],2022-10-28T16:36:54.000Z,RT @ShayanA2307: Mafia Godfather hiding in the building behind me https://t.co/C8aqC0CONq
en,1586034226264244227,,66338988,['1586034226264244227'],2022-10-28T16:36:41.000Z,RT @ShireenMazari1: What a start to Azadi March in Lahore. Nation has spoken &amp; no amount of pressers &amp; threats from any quarter can change…
en,1586033930670673923,,66338988,['1586033930670673923'],2022-10-28T16:35:30.000Z,"RT @JustinTrudeau: Our legislation to make dental care more accessible, and to provide support to 1.8 million renters, has passed in the Ho…"
en,1586032540409815040,,66338988,['1586032540409815040'],2022-10-28T16:29:59.000Z,"RT @FoxNews: BREAKING: Elon Musk fires Twitter’s top brass after closing $44 billion deal: reports

https://t.co/bsEpBtbZVI"
en,1586032241544761346,,66338988,['1586032241544761346'],2022-10-28T16:28:48.000Z,RT @ShireenMazari1: Aw they made u eat humble pie after your AJC outburst so u had to retract what u had said &amp; daddy said what he was aske…
en,1585820570100371458,,66338988,['1585820570100371458'],2022-10-28T02:27:41.000Z,"RT @shoaib100mph: Average mindset, Average results. Thats the reality, face it. https://t.co/plLZ11Qx0Y"
en,1585820426814595074,,66338988,['1585820426814595074'],2022-10-28T02:27:07.000Z,RT @Zafaroo7: I believe and trust you Mr. PAKISTAN Khan 🇵🇰 ♥️ https://t.co/rZ4do46d6S
en,1585820262817316864,,66338988,['1585820262817316864'],2022-10-28T02:26:28.000Z,"RT @JustinTrudeau: More than 23,500 Afghan refugees have resettled in Canada. That’s more than 23,500 new neighbours. New friends. New comm…"
en,1585819393967235074,,66338988,['1585819393967235074'],2022-10-28T02:23:01.000Z,"RT @WajSKhan: This is embarrassing: the spy chief of the world’s fifth largest country, sixth largest military &amp; only nuclear-armed Islamic…"
en,1584687295499829249,,66338988,['1584687295499829249'],2022-10-24T23:24:27.000Z,RT @ShireenMazari1: Difficult to accept he is no more. Murdered faraway in Kenya - a sniper bullet to the head. Have no words really. https…
en,1584687231280750593,,66338988,['1584687231280750593'],2022-10-24T23:24:12.000Z,RT @ImranKhanPTI: Shocked at the brutal murder of Arshad Sharif who paid the ultimate price for speaking the truth - his life. He had to le…
en,1584687155607207937,,66338988,['1584687155607207937'],2022-10-24T23:23:54.000Z,RT @ImranKhanPTI: My prayers and condolences go to his grief stricken family.
en,1584687076968222720,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1584687076968222720'],2022-10-24T23:23:35.000Z,RT @ZaidZamanHamid: Arshad was working on the documentary which was exposing mega corruption of the rich and powerful (also in Kenya). He w…
en,1584686997947518977,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1584686997947518977'],2022-10-24T23:23:17.000Z,"RT @ZaidZamanHamid: But blaming Pakistan army and ISI for his assassination is outrageous.
Yes there was a threat to his life and it was th…"
en,1584686859279482882,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1584686859279482882'],2022-10-24T23:22:43.000Z,"RT @ZaidZamanHamid: ""Behind the Doors""...

Directly or indirectly many people played their role in getting Arshad Sharif killed, including…"
en,1584686691675168769,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1584686691675168769'],2022-10-24T23:22:04.000Z,RT @CallSignMujahid: Pakistan leaving Journalist @arsched sadly is noore.....a Journalist who exposed Sharif &amp; Zardari mega corruption case…
en,1584686635693883394,,66338988,['1584686635693883394'],2022-10-24T23:21:50.000Z,"RT @ShireenMazari1: Let there be no confusion, Arshad Sharif was murdered by a sniper bullet to his head. It was not an accident as is now…"
in,1584686454265057280,,66338988,['1584686454265057280'],2022-10-24T23:21:07.000Z,@Shahidmasooddr Inna lilahhah was ra'jiun
ur,1584686346681176066,,66338988,['1584686346681176066'],2022-10-24T23:20:41.000Z,"RT @Shahidmasooddr: السلام علیکم اور صبح بخیر۔اللہ آپکو ھمیشہ خوش و خرم اور اپنے حفظ و امان میں رکھے۔آمین 

میرے پیارے دوست اور بھائی ارشد…"
en,1584685985543200768,,66338988,['1584685985543200768'],2022-10-24T23:19:15.000Z,RT @ShayanA2307: Since Maryam Nawaz is coming to the UK I am happy to contact homeless shelters so she has a place to stay since she allege…
en,1584685835726757888,,66338988,['1584685835726757888'],2022-10-24T23:18:39.000Z,"RT @AlArabiya_Eng: Chechen leader #RamzanKadyrov, an ally of President #VladimirPutin, says he is granted a top rank in Russia’s army, just…"
en,1577849185071759367,,66338988,['1577849185071759367'],2022-10-06T02:32:15.000Z,@Abdulla_Alamadi Majority of Pakistani are illiterate population they have no respect of educated Indians luring in investment for betterment of India
en,1577846819480080385,,66338988,['1577846819480080385'],2022-10-06T02:22:51.000Z,RT @ImranKhanPTI: Bhakkar jalsa was biggest in its history and such a huge gathering is simply unimaginable for a bye election. Pakistan In…
en,1577846684662792192,,66338988,['1577846684662792192'],2022-10-06T02:22:19.000Z,RT @ShireenMazari1: Do not push us to the edge. We want fair &amp; free bye elections. The ppl r with PTI &amp; we will not allow their vote to be…
en,1577846616530239495,,66338988,['1577846616530239495'],2022-10-06T02:22:03.000Z,RT @ShireenMazari1: US Regime change conspiracy can be defeated by people power - so voters must come out to vote &amp; defeat the turncoats -…
en,1577846568081825793,,66338988,['1577846568081825793'],2022-10-06T02:21:51.000Z,RT @ImranKhanPTI: This is not only an attack on our democracy but also on moral fabric of our society. Had SC taken action &amp; debarred these…
en,1577846541133414400,,66338988,['1577846541133414400'],2022-10-06T02:21:45.000Z,RT @ImranKhanPTI: Today Lahore is seeing a repeat of the Sindh House horse trading that happened in Islamabad with upto Rs 50 crores being…
en,1577846328511561728,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1577846328511561728'],2022-10-06T02:20:54.000Z,"RT @ZaidZamanHamid: Mass lynching of Muslims in India, by Hindutwa extremists, while the police provided protection to the gory event and c…"
en,1577846251483267075,,66338988,['1577846251483267075'],2022-10-06T02:20:35.000Z,RT @ShireenMazari1: 2 Qs: Am I worrying needlessly that India is using US to pressure Pak for release of Indian spy Jadhav? Pakistan's Impo…
en,1577846171636322309,,66338988,['1577846171636322309'],2022-10-06T02:20:16.000Z,RT @ImranKhanPTI: I am delighted to announce that Shaukat Khanum has become only the second organisation in the world to be awarded full En…
nl,1577846080666042369,,66338988,['1577846080666042369'],2022-10-06T02:19:55.000Z,@ZaidZamanHamid Zaburdust jazzbaa
en,1577845851627585538,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1577845851627585538'],2022-10-06T02:19:00.000Z,RT @ZaidZamanHamid: You cannot find this level of courage and love for freedom anywhere in the world....stones vs guns.....a direct faceoff…
en,1577845645204930560,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1577845645204930560'],2022-10-06T02:18:11.000Z,"RT @ZaidZamanHamid: While RSS head Mohan bhagwat focuses on Muslim population control inside India, Amit Shah, Rajnath Singh &amp; Modi prepare…"
nl,1577845541286944768,,66338988,['1577845541286944768'],2022-10-06T02:17:46.000Z,@dev9_ @SecDef Lanaat lanaat aur lanaat
en,1577845035776737281,"{'copyright': False, 'country_codes': ['IN']}",66338988,['1577845035776737281'],2022-10-06T02:15:46.000Z,"RT @ZaidZamanHamid: I missed watching my daily talk shows today......
I asked a friend what did they discuss today in the main programs....…"
en,1577844323021881346,,66338988,['1577844323021881346'],2022-10-06T02:12:56.000Z,RT @_FaridKhan: It's still beyond me how Shoaib Akhtar was bowling at 159KPH (99MPH) in the second last match of his career and at the age…
ur,1574579597282521088,,66338988,['1574579597282521088'],2022-09-27T02:00:04.000Z,RT @ImranRiazKhan: حکومت جانے والی ہے۔ شدید اضطراب
en,1573843637091328000,,66338988,['1573843637091328000'],2022-09-25T01:15:38.000Z,RT @fawadchaudhry: Shameful
en,1573064580787494912,,66338988,['1573064580787494912'],2022-09-22T21:39:56.000Z,RT @fawadchaudhry: Candy Crush on petrol
