id,edit_history_tweet_ids,created_at,author_id,lang,text,geo
1595135273951985665,['1595135273951985665'],2022-11-22T19:21:00.000Z,332011436,en,"RT @NiceGuyxVinny: Last night was insane wtf, 
thank you to everyone who pulled up. 

This is just the beginning https://t.co/Rj0JLORTlU",
1595130316024266752,['1595130316024266752'],2022-11-22T19:01:18.000Z,332011436,en,RT @TheiMullar: On Rotation: A weekly selection of songs that simply must take up permanent residence in your playlists featuring:@Gxiliboy…,
1595130289822785536,['1595130289822785536'],2022-11-22T19:01:11.000Z,332011436,en,I have “Do not disturb days”. Leave me the fuck alone.,
1594220256926785543,['1594220256926785543'],2022-11-20T06:45:03.000Z,332011436,en,Tonight we turn Long Beach upside down.,
1594219913933361152,['1594219913933361152'],2022-11-20T06:43:41.000Z,332011436,en,God got me. 🙏🏾🤘🏾👌🏾,
1593808739328401408,['1593808739328401408'],2022-11-19T03:29:49.000Z,332011436,en,I’m revenge in the form of success to all haters .,
1593317233450618880,['1593317233450618880'],2022-11-17T18:56:45.000Z,332011436,zxx,RT @joekay: https://t.co/qNXBIPaBAt,
1592981184187092992,['1592981184187092992'],2022-11-16T20:41:25.000Z,332011436,en,What are some of the biggest songs in East Africa right now ?,
1592951119550222336,['1592951119550222336'],2022-11-16T18:41:57.000Z,332011436,en,Life is good,
1592950432241897473,['1592950432241897473'],2022-11-16T18:39:13.000Z,332011436,en,"RT @NiceGuyxVinny: Long Beach

after complexcon day 1, my goal with this event was to bring a dope line up to my hometown, an art show, 
an…",
1592786964184731649,['1592786964184731649'],2022-11-16T07:49:39.000Z,332011436,en,RT @RockyDawuni: I am truly honored to be nominated for another #Grammy award for my song “Never Bow Down” feat. @BLVKH3RO This is huge for…,
1592715860535562240,['1592715860535562240'],2022-11-16T03:07:07.000Z,332011436,en,RT @BLVKH3RO: GRAMMY NOMINATED 🤯🤯🤯,
1590984257283190785,['1590984257283190785'],2022-11-11T08:26:20.000Z,332011436,en,RT @highoffness: how tight my christmas budget is this year. https://t.co/QD93cmCMmz,
1589809082982354946,['1589809082982354946'],2022-11-08T02:36:37.000Z,332011436,en,Been around the globe these past few years. More places to go .,
1589808978246373376,['1589808978246373376'],2022-11-08T02:36:12.000Z,332011436,en,Born boss no days off,
1589808905634578432,['1589808905634578432'],2022-11-08T02:35:54.000Z,332011436,en,RT @rizkillla: come to mosaic this friday at virgin hotels (4th floor) to see me and @blaq_pages play some afrobeats and amapiano. free wit…,
1589808884457541632,['1589808884457541632'],2022-11-08T02:35:49.000Z,332011436,en,"RT @jerkxjollof: Jerk X Jollof: Los Angeles ☀️

LA, you knew we couldn’t let the year go by without coming back! Meet us at The Melrose Hou…",
1589681848254595072,['1589681848254595072'],2022-11-07T18:11:02.000Z,332011436,en,Traveling makes me want to live all over the world .,
1589363305214521344,['1589363305214521344'],2022-11-06T21:05:15.000Z,332011436,en,"Washington, D.C. feels like home. I am thinking about moving here .",
1588971906644180992,['1588971906644180992'],2022-11-05T19:09:58.000Z,332011436,en,RT @KiraniAYAT: Arise Ghana youth for your country.,
1588970865785331712,['1588970865785331712'],2022-11-05T19:05:50.000Z,332011436,en,RT @Kstan_28: What is happening in Congo calls for the world's attention. https://t.co/lhG3bpyUji,
1588967802664521728,['1588967802664521728'],2022-11-05T18:53:40.000Z,332011436,en,Did and still Doing everything from the ground up. No labels needed.,
1588793117976981504,['1588793117976981504'],2022-11-05T07:19:32.000Z,332011436,en,"RT @luxzac: Before you worry about how i get to it, do you even get to it?",
1588653382818234369,['1588653382818234369'],2022-11-04T22:04:16.000Z,332011436,en,RT @AwaMally: @blaq_pages | Boiler Room Accra: @orokoradio https://t.co/DOXZ4qfEG8,
1588354659621949440,['1588354659621949440'],2022-11-04T02:17:15.000Z,332011436,en,"RT @badthesoundboy: The vibes remain immaculate 🏴‍☠️❤️🎹

“Show me” by myself &amp; @blaq_pages for @boilerroomtv in Accra,🇬🇭

Stream here: http…",
1587524221030526976,['1587524221030526976'],2022-11-01T19:17:23.000Z,332011436,en,"Watch My first ever boiler room @boilerroomtv set in Ghana is now live . Thanks to @orokoradio &amp; @surfghana 🙏🏾🤘🏾🎉🔥

#Boilerroom #PagesonStages #Accra #Ghana #Africa

https://t.co/mrC3ItTb0z",
1587523324967387137,['1587523324967387137'],2022-11-01T19:13:50.000Z,332011436,en,RT @boilerroomtv: Blaq Pages [@blaq_pages]: the LA-based artist dedicated to putting African diasporic sounds on the map. https://t.co/kriG…,
1587391410906361856,['1587391410906361856'],2022-11-01T10:29:39.000Z,332011436,en,"RT @orokoradio: Last month's Oroko Radio &amp; @Surf_Ghana Boiler Room will be broadcasted tomorrow from 5PM GMT!

With perfomances by the lege…",
1586473354566828033,['1586473354566828033'],2022-10-29T21:41:37.000Z,332011436,en,@FRiiiQUE I don’t blame you . Will look good on you .,
1585498794136719360,['1585498794136719360'],2022-10-27T05:09:04.000Z,332011436,en,RT @BroccoliCity: 🥥🧈👻 Tickets are moving fast now! Tap in https://t.co/2mWwDSNdIj https://t.co/6Jp0qXXC5n,
1584770230332829696,['1584770230332829696'],2022-10-25T04:54:01.000Z,332011436,en,Immigrant child never had it so easy.,
1584770147281428480,['1584770147281428480'],2022-10-25T04:53:41.000Z,332011436,en,@tomiikkoosays Big facts . Come visit us in LA .,
1584770072341778434,['1584770072341778434'],2022-10-25T04:53:23.000Z,332011436,en,"RT @tomiikkoosays: @blaq_pages said during his set Saturday that LA had us beat when it came to the dance moves...
I've been saying this fo…",
1584480293519441921,['1584480293519441921'],2022-10-24T09:41:54.000Z,332011436,en,"RT @BapiJoss: SPRAY AM IN NEW YORK CITY!!!

Keep Streaming https://t.co/DmJIdPf0hO https://t.co/v1sBpm0FwY",
1583377875045974016,['1583377875045974016'],2022-10-21T08:41:17.000Z,332011436,en,"RT @sokoseven: United Sprayers! 💵💵💵 @blaq.pages  @bapijoss This the most fun i had wit a song in a while!
#SprayAm Out Now!!! @ Dallas, Tex…",
1583362021772341248,['1583362021772341248'],2022-10-21T07:38:18.000Z,332011436,en,"RT @Bratintinn: Naa this Dollar thing is getting crazy, Our leaders have failed us.",
