id,author_id,lang,text,edit_history_tweet_ids,created_at,withheld
1596962055885819904,939901806074912770,en,RT @PakistanCheck: Former Interior Minister of Pakistan and an ally of former Prime Minister Imran Khan tweets a clip claiming to be a bird…,['1596962055885819904'],2022-11-27T20:19:58.000Z,
1596904031519215616,939901806074912770,ur,"@noorsabzwariiii کوئی حوالہ قرآن و حدیث سے ۔جہاں لکھا ہو مزار پہ جائیں۔ اول بانٹیں کھائیں ,دھمال ڈالیں وغیرہ وغیرہ",['1596904031519215616'],2022-11-27T16:29:24.000Z,
1596902766043332608,939901806074912770,ur,@noorsabzwariiii مزے کی بات یہ ہے مزار پر سب کا جانا ٹھیک نہیں ہے لیکن وہاں سب جاتے ہیں 🤣🤣🤣😁🥳🥳,['1596902766043332608'],2022-11-27T16:24:23.000Z,
1596901325866151936,939901806074912770,ur,@Islamabadies سیدھا سیدھا آصف غفور کام لکھ دیں ان پہ الزام ہے وینا ملک کے اکاؤنٹ چلانے کا ۔ ان کو چاہئے وہ وضاحت کرے تصدیق یا تردید کریں۔,['1596901325866151936'],2022-11-27T16:18:39.000Z,
1596894509505601537,939901806074912770,hi,@OmarIffat Youthya hai ye 😂😂,['1596894509505601537'],2022-11-27T15:51:34.000Z,
1596894445688889346,939901806074912770,et,"RT @OmarIffat: khud ko app journalist kehtey Hain aur fake tweets merey Saath Mansob kar rehey Hain,. Kiya baat hai app ki research ki👏👏",['1596894445688889346'],2022-11-27T15:51:19.000Z,
1596893396643479552,939901806074912770,ur,"RT @iVeenaKhan: جن کو ٹھیک سے ناک صاف کرنی نئیں آتی وہ بھی ISPR کو مشورے دیتے ھیں کہ یہ کہنا تھا وہ نہیں 
ایسے کہنا تھا ایسے نہیں 😂",['1596893396643479552'],2022-11-27T15:47:09.000Z,"{'copyright': False, 'country_codes': ['IN']}"
1596892445996122113,939901806074912770,art,😂😂😂😂😂😂😂😂😂 https://t.co/218Oc96Ojg,['1596892445996122113'],2022-11-27T15:43:22.000Z,
1596876990279462913,939901806074912770,und,@tayyaba_30 😂😂😂😂,['1596876990279462913'],2022-11-27T14:41:57.000Z,
1596875323437907968,939901806074912770,en,"@bushraKhan66 ""Vision without execution is hallucination.""  Thomas Edison",['1596875323437907968'],2022-11-27T14:35:20.000Z,
1596874950614601728,939901806074912770,en,"@bushraKhan66 Someone said "" Ideas without funding is mere hallucination """,['1596874950614601728'],2022-11-27T14:33:51.000Z,
1596874348278665217,939901806074912770,en,@peaceforchange Sir public blame that you are handling the account of @iVeenaKhan . Plz issue any statement. https://t.co/jPurUFW6MI,['1596874348278665217'],2022-11-27T14:31:27.000Z,
1596874061178896390,939901806074912770,ur,او یوتھیو نظر ثانی کرو 😂😂😂😂 https://t.co/jPurUFF3KI,['1596874061178896390'],2022-11-27T14:30:19.000Z,
