lang,text,edit_history_tweet_ids,created_at,author_id,id,geo
en,🏆 ⚽ ⬆️ We are going up! I just guided AFC Butler to 2nd place in Non-League C https://t.co/G3LIDR7VTQ [Free App],['1596962123942354945'],2022-11-27T20:20:15.000Z,415801010,1596962123942354945,
en,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/1Vo27EX318,['1593513478664470529'],2022-11-18T07:56:34.000Z,415801010,1593513478664470529,{'place_id': '7de31e05e99a00f8'}
en,"🟠 and then 🔴
#ENG #England #WorldCup2022 https://t.co/8Kuf6b8SdX",['1592670284972445696'],2022-11-16T00:06:00.000Z,415801010,1592670284972445696,{'place_id': '7de31e05e99a00f8'}
en,"Sleeping at the NEW training ground.
The squat.
Winning/losing 5-4 each week.
The translator.
Wondering around ASDA Bournemouth.
I’m in. 100%.
Get it done.
 #afcb https://t.co/ZwUNncQqwp",['1591196762190270464'],2022-11-11T22:30:45.000Z,415801010,1591196762190270464,{'place_id': '7de31e05e99a00f8'}
en,"🚨 BREAKING: I’m not in the #ENG squad. 
#WorldCup2022 #EnglandSquad",['1590691252257050632'],2022-11-10T13:02:02.000Z,415801010,1590691252257050632,{'place_id': '7de31e05e99a00f8'}
und,$8 @elonmusk https://t.co/7Ow3HEJRO9,['1590136540604530693'],2022-11-09T00:17:49.000Z,415801010,1590136540604530693,{'place_id': '7de31e05e99a00f8'}
qam,@DailyLoud @JoshBro44917552,['1588472253284777985'],2022-11-04T10:04:32.000Z,415801010,1588472253284777985,{'place_id': '7de31e05e99a00f8'}
en,"Jamie Hayter against Wrexham, fastest ever hat-trick #GMSF #AFCB",['1588459995880128513'],2022-11-04T09:15:49.000Z,415801010,1588459995880128513,{'place_id': '7de31e05e99a00f8'}
en,"Get applying #afcb fans, a fantastic opportunity. Very grateful to have been part of the group last year. https://t.co/XnbVOGoVX7",['1585549938926440448'],2022-10-27T08:32:18.000Z,415801010,1585549938926440448,{'place_id': '46cce41b022bb028'}
en,"@Specsavers let me know your address. I’ll send you an #afcb top, thanks 👍🏼🍒 https://t.co/TS15K09HsB",['1584812208156200960'],2022-10-25T07:40:49.000Z,415801010,1584812208156200960,{'place_id': '42d0cf7d49d27c95'}
en,"@RobinMumford17 Sure, I’ve sent you a DM. Thanks.",['1583215184424099846'],2022-10-20T21:54:49.000Z,415801010,1583215184424099846,
en,"Thoughts from the game last night…🍒

- Play, players in their position 🙃
- Go with 4 at the back 4️⃣
- Tempo ⚡️
- Earlier subs 🔁

11th after 11 games, I’d have certainly taken that 👍🏼💪🏼",['1583031232681881600'],2022-10-20T09:43:51.000Z,415801010,1583031232681881600,{'place_id': '7de31e05e99a00f8'}
en,Ball-er ⚽️👌🏼 #afcb https://t.co/C3rnqCGop9,['1582711220423254016'],2022-10-19T12:32:14.000Z,415801010,1582711220423254016,{'place_id': '7de31e05e99a00f8'}
en,"Can not wait for this ⚡️
DC under the lights 💡
Three points 3️⃣
Up The Cherries 🍒 
#afcb https://t.co/FLcn5xUXeU",['1582668370402742272'],2022-10-19T09:41:58.000Z,415801010,1582668370402742272,{'place_id': '7de31e05e99a00f8'}
en,@afcbsuperstore I won’t be as cheeky this time…PS5 please 🙏🏼🍒,['1582422810814607361'],2022-10-18T17:26:12.000Z,415801010,1582422810814607361,{'place_id': '7de31e05e99a00f8'}
en,"RT @afcbsuperstore: Another #FIFA23 competition 🎁 

We've got two copies of the game signed by Gary O'Neil to give away to some lucky #afcb…",['1582422711615488000'],2022-10-18T17:25:49.000Z,415801010,1582422711615488000,
en,"@afcbournemouth @jeffersonlerma Both please 🙏🏼😉 but if I had to choose, PS5. https://t.co/txwnm2Pq7R",['1578677722275905536'],2022-10-08T09:24:34.000Z,415801010,1578677722275905536,
en,"RT @afcbournemouth: Get your hands on #FIFA23 🎮 

We've got two #afcb branded copies to give away signed by @jeffersonlerma ✍️ 

To enter,…",['1578677556072837121'],2022-10-08T09:23:54.000Z,415801010,1578677556072837121,
en,"❌🧱👊🏼
FYI…also stopped Salah and Jesus.
#afcb https://t.co/hxiLqjOv8Y",['1577759513708580865'],2022-10-05T20:35:56.000Z,415801010,1577759513708580865,{'place_id': '7de31e05e99a00f8'}
en,"RT @afcbsuperstore: It's #DoSomethingNiceDay 😁 

So... we're doing something nice! 

We've got a signed @lewiscook_ shirt to give away to o…",['1577758887284981761'],2022-10-05T20:33:26.000Z,415801010,1577758887284981761,
en,"S. O. L. I. D.
🧱❌
Love it @c_meps 
#afcb https://t.co/U4RHd4v3KE",['1576903180302311424'],2022-10-03T11:53:10.000Z,415801010,1576903180302311424,{'place_id': '7de31e05e99a00f8'}
en,"Can’t wait to be back at DC. All that’s required:

Solid performance
Desire
3 Points
No watches aloud in stadium 🕰️😉

Up Those Cherries 🍒 #afcb #BOUBRE https://t.co/vGeejdANlP",['1576122336419291136'],2022-10-01T08:10:22.000Z,415801010,1576122336419291136,{'place_id': '7de31e05e99a00f8'}
en,This aged well… https://t.co/KSXfpRaFsJ,['1575231451900960768'],2022-09-28T21:10:19.000Z,415801010,1575231451900960768,{'place_id': '7de31e05e99a00f8'}
en,@SteveCook28 @afcbournemouth Amazing Cookie ❤️🍒 little request for the line up: @ArturBoruc Franno @TommyElph4 @SteveCook28 @chazdaniels13 Ritchie Surman Arter @MarcPugh7 Yann @CallumWilson thanks 😊 https://t.co/8McinjVAcG,['1575186503478935552'],2022-09-28T18:11:42.000Z,415801010,1575186503478935552,
en,"@NotYlla Agreed 100%, hope you enjoy the game.",['1572211188829769730'],2022-09-20T13:08:52.000Z,415801010,1572211188829769730,{'place_id': '7de31e05e99a00f8'}
en,It’s not a derby 😉🍒 #afcb https://t.co/CuhpFnSQQ2,['1572197753102675968'],2022-09-20T12:15:29.000Z,415801010,1572197753102675968,{'place_id': '7de31e05e99a00f8'}
en,Fraser starts…#afcb #NEWBOU https://t.co/Xgqa2SCP4u,['1571122542227914753'],2022-09-17T13:02:58.000Z,415801010,1571122542227914753,{'place_id': '7de31e05e99a00f8'}
qam,@SkyFootball @JoshBro44917552,['1570330117716717568'],2022-09-15T08:34:10.000Z,415801010,1570330117716717568,
en,"Has anyone seen this? Thoughts…💭🍒

Could be a number of reasons why he wants to sell but whatever the reason we owe Max a HUGE, THANK YOU (if true). #afcb  https://t.co/VqpSZQd5pk",['1570128328958562304'],2022-09-14T19:12:19.000Z,415801010,1570128328958562304,
en,"I would love to see this in football too.
The reality is, it’ll probably never happen.

Thoughts? 💭 https://t.co/OmW8i5Z0ty",['1568897227262951425'],2022-09-11T09:40:22.000Z,415801010,1568897227262951425,{'place_id': '7de31e05e99a00f8'}
en,"I’m on holiday ☀️🌴
Guess what I’ll be wearing today 🍒
Up Those Cherries #afcb https://t.co/LTN8lwXBtI",['1566322665937313792'],2022-09-04T07:09:59.000Z,415801010,1566322665937313792,{'place_id': '0c57c49e4d495e37'}
en,Come on Twitter…you know the rest of this one 🎤🤦🏼‍♂️🤯 #kettle #kettlegate #BorisJohnson https://t.co/4IEvYFahvt,['1565448136079949826'],2022-09-01T21:14:54.000Z,415801010,1565448136079949826,{'place_id': '7de31e05e99a00f8'}
en,"Determined and solid performance 🧱
Tavernier and Cook 🔥
Clean sheet (after the 9) 🚫

Oh and that @c_meps tackle 😘❤️

A good, solid point. We move ⏩ #afcb",['1565078463911952386'],2022-08-31T20:45:58.000Z,415801010,1565078463911952386,{'place_id': '7de31e05e99a00f8'}
en,"At least none of these scored against us…(yet) best defensive record in the league
#afcb https://t.co/Ycr9B7DSih",['1563561991855570944'],2022-08-27T16:20:03.000Z,415801010,1563561991855570944,{'place_id': '7de31e05e99a00f8'}
