lang,id,text,edit_history_tweet_ids,author_id,created_at,withheld
en,1596964138030628870,"@merf_inator @history_femboy Same, suburb chuds get BTFO",['1596964138030628870'],1031499956413067264,2022-11-27T20:28:15.000Z,
en,1596962731412041728,RT @chukkysmiles_: CCTV footage:  lady with good composure and good reflex against armed robbers. https://t.co/kfaJesblzw,['1596962731412041728'],1031499956413067264,2022-11-27T20:22:39.000Z,
en,1596962620267188224,@LabourPatriot @merf_inator Good,['1596962620267188224'],1031499956413067264,2022-11-27T20:22:13.000Z,
en,1596727788341727232,Give up the cigarettes... https://t.co/Vgi0qDezS7,['1596727788341727232'],1031499956413067264,2022-11-27T04:49:05.000Z,
zxx,1596684957090447365,https://t.co/gdazqYHICF https://t.co/2RyBsKkXkn,['1596684957090447365'],1031499956413067264,2022-11-27T01:58:53.000Z,
qme,1596684638986338304,@merf_inator @BritishRevanche https://t.co/zIAk6565jx,['1596684638986338304'],1031499956413067264,2022-11-27T01:57:37.000Z,
en,1596682213420314626,"@Salty_baguette Racial diversity for the sake of diversity isn't a positive though that's the point, you can have diversity in society without it lol",['1596682213420314626'],1031499956413067264,2022-11-27T01:47:59.000Z,
en,1596681951720751104,RT @StroganoffYaki: Radfems just admit you were wrong and got cannibalised by your own creation challenge,['1596681951720751104'],1031499956413067264,2022-11-27T01:46:56.000Z,
en,1596638563122176000,RT @StroganoffYaki: Found out shortly before he died Bob Marley renounced Rastafarianism and was baptised into the Ethiopian Orthodox Churc…,['1596638563122176000'],1031499956413067264,2022-11-26T22:54:32.000Z,
en,1596373317329494016,@michaelhitack He has good style,['1596373317329494016'],1031499956413067264,2022-11-26T05:20:32.000Z,
en,1596247220218900480,@sunnyjim4 @jacksonhinklle Better teeth than Yanks still,['1596247220218900480'],1031499956413067264,2022-11-25T20:59:28.000Z,
en,1596246838952472576,@LabourPatriot Irish spitting facts here real and true,['1596246838952472576'],1031499956413067264,2022-11-25T20:57:57.000Z,
en,1596246489034067969,"What a disappointing match, piss poor English team far too scared to do anything",['1596246489034067969'],1031499956413067264,2022-11-25T20:56:34.000Z,
en,1596202349961400320,@StroganoffYaki @UrbanMaoism Damn you need to explain my theories I told you in London to @UrbanMaoism,['1596202349961400320'],1031499956413067264,2022-11-25T18:01:10.000Z,
en,1596192746930569216,"RT @abulmaali_: German team 1935 vs 2022 - still trying to force their ideology on the rest of the world, nothing changed. https://t.co/CaQ…",['1596192746930569216'],1031499956413067264,2022-11-25T17:23:01.000Z,"{'copyright': False, 'country_codes': ['DE']}"
en,1596167574349574144,"Damn, he's the most dangerous white nationalists?

What did he do? Blow something up? https://t.co/UvrY0EO7A1",['1596167574349574144'],1031499956413067264,2022-11-25T15:42:59.000Z,
en,1596164075071078401,"RT @walden400: @DoghouseRiely @BrandonStraka Thank you. I’m floored. 40 American are being held without a trial, for years, and there are A…",['1596164075071078401'],1031499956413067264,2022-11-25T15:29:05.000Z,
en,1596140827440721922,"RT @AlvaroSilva1906: 🚨⚠️ Hot take ⚠️🚨

It's kind of silly to not support your nation in the world cup. Like my grandfather was a lifelong c…",['1596140827440721922'],1031499956413067264,2022-11-25T13:56:42.000Z,
en,1596136950146207744,RT @Reuters: Ghana plans to buy oil with gold instead of U.S. dollars https://t.co/H7rFCXIG6H https://t.co/igorfRoKXP,['1596136950146207744'],1031499956413067264,2022-11-25T13:41:18.000Z,
qme,1596136260913041416,RT @kanyewest: #YE24 https://t.co/DyIhMU5By6,['1596136260913041416'],1031499956413067264,2022-11-25T13:38:34.000Z,
en,1596135217022001153,RT @joem1212: Support the Posties! https://t.co/EgGwkAuKm3,['1596135217022001153'],1031499956413067264,2022-11-25T13:34:25.000Z,
und,1596134309001564162,@Salty_baguette Who,['1596134309001564162'],1031499956413067264,2022-11-25T13:30:48.000Z,
en,1596132402178424832,"RT @XiaoVilin99: Westerners also speak with reverence of Japan's lack of crime in general, without making the obvious observation that Japa…",['1596132402178424832'],1031499956413067264,2022-11-25T13:23:14.000Z,
und,1595877191912509442,@PBrit1707 $200,['1595877191912509442'],1031499956413067264,2022-11-24T20:29:07.000Z,
zxx,1595828847085240322,RT @NoContextBrits: https://t.co/QYi8dLPNl2,['1595828847085240322'],1031499956413067264,2022-11-24T17:17:00.000Z,
en,1595822547559452676,"@driven2drink European Americans are native there now they won that whole war thing like my ancestors did against the celts 💪 

Please don't delegitimise ethnic stories 🙏",['1595822547559452676'],1031499956413067264,2022-11-24T16:51:58.000Z,
en,1595822040128389120,@lesbol_gang @NineJackals @uppittynegress Please stop arguing with furries,['1595822040128389120'],1031499956413067264,2022-11-24T16:49:57.000Z,
en,1595821483808653312,@Cromwell_0 We should never have encouraged the original federalism under Blair. Completely mistaken policy that only exacerbated tensions by allowing a brand new generation of radicals to be raised under the system,['1595821483808653312'],1031499956413067264,2022-11-24T16:47:45.000Z,
en,1595821121609285633,@GSocTakes They are attracted to the fundamental parts that make a child - it being a drawing makes it less egregious as no child was trafficked or whatever but the fact of the matter is that they're still a nonce who I wouldn't leave alone with kids,['1595821121609285633'],1031499956413067264,2022-11-24T16:46:18.000Z,
und,1595820580770648065,Do I? https://t.co/jobXkodhjW,['1595820580770648065'],1031499956413067264,2022-11-24T16:44:10.000Z,
en,1595819730497318913,They can not comprehend that what they jerk off to is actually immoral so they start coping and seething about it. Many such cases! https://t.co/35Z0IA7DZM,['1595819730497318913'],1031499956413067264,2022-11-24T16:40:47.000Z,
qme,1595680206161055744,@Cromwell_0 @PBrit1707 https://t.co/Aos8ALKWxj,['1595680206161055744'],1031499956413067264,2022-11-24T07:26:22.000Z,
en,1595645613735018496,@PBrit1707 same as tories then?,['1595645613735018496'],1031499956413067264,2022-11-24T05:08:54.000Z,
en,1595645470415720448,@UrbanMaoism Try goats butter too that's not bad,['1595645470415720448'],1031499956413067264,2022-11-24T05:08:20.000Z,
en,1595645387842682880,@UrbanMaoism Make your own fella nice change,['1595645387842682880'],1031499956413067264,2022-11-24T05:08:00.000Z,
