edit_history_tweet_ids,text,id,created_at,author_id,lang,geo
['1596962585345396738'],RT @emob_: My next house: https://t.co/xmYtIjQAzc,1596962585345396738,2022-11-27T20:22:05.000Z,161523735,en,
['1596873367143206912'],RT @marisatomei: Have a great weekend ❤️ https://t.co/3QaPMiQbJl,1596873367143206912,2022-11-27T14:27:33.000Z,161523735,en,
['1595971779818053632'],@zSneakerHeadz @chriscolgan @mancusokid,1595971779818053632,2022-11-25T02:44:58.000Z,161523735,qam,{'place_id': '0119bbf6142d8135'}
['1595971718434136065'],"RT @zSneakerHeadz: We're giving away a FREE pair of the Lost and Found AJ1s!
📝 To Enter:
1️⃣ Retweet &amp; Like
2️⃣ Tag a friend
3️⃣ Must be fo…",1595971718434136065,2022-11-25T02:44:44.000Z,161523735,en,
['1595921766614204417'],@JustFreshKicks 🔥🔥🔥🔥,1595921766614204417,2022-11-24T23:26:14.000Z,161523735,und,
['1595212731044564995'],"RT @TheChargingBUF: 🚨GIVEAWAY🚨

We have 4 combo tickets to @TSEBuffalo’s Rick Jeanneret &amp; Pat LaFontaine autograph signing on December 8th.…",1595212731044564995,2022-11-23T00:28:47.000Z,161523735,en,
['1595200340214824961'],@chriscolgan @zSneakerHeadz @Rugdoctor2,1595200340214824961,2022-11-22T23:39:33.000Z,161523735,qam,
['1595200277145075712'],"RT @chriscolgan: We're giving away a FREE pair of the Lost and Found AJ1s!
📝 To Enter:
1️⃣ Retweet &amp; Like
2️⃣ Tag a friend
3️⃣ Must be foll…",1595200277145075712,2022-11-22T23:39:18.000Z,161523735,en,
['1595171592488849410'],RT @zSneakerHeadz: Giveaway incoming…RT if you’re ready 😎✅ #zshz10yearanniversary,1595171592488849410,2022-11-22T21:45:19.000Z,161523735,en,
['1594108674372472832'],@MJO23DAN Yes sir.  How about you?,1594108674372472832,2022-11-19T23:21:39.000Z,161523735,en,
['1594061726160412673'],@_Brotha_d @Nike @Jumpman23 Yes sir 🔥🔥🔥🔥 https://t.co/msBe26vovf,1594061726160412673,2022-11-19T20:15:06.000Z,161523735,en,
['1593035478391226371'],RT @KIXNKARBS: I WILL NOT BUY MORE SHOES I WILL NOT BUY MORE SHOES I WILL NOT BUY MORE SHOES I WILL NOT BUY MORE SHOES I WILL NOT BUY MORE…,1593035478391226371,2022-11-17T00:17:09.000Z,161523735,en,
['1593002809817174018'],@SneakerPhetish They are 🔥🔥🔥🔥 was able to pick up a pair on my vacation in Orlando that weekend.   @TrophyRoomStore @HEIRMJ 🏆🏆🏆🏆🏆🏆🏆 super dope store also https://t.co/Gh5mfWwP09,1593002809817174018,2022-11-16T22:07:21.000Z,161523735,en,
['1592979894308589568'],@SneakerPhetish @Mike_Dentis Ya I’ve been scratching my head on that.   That’s y I’m not to concerned with the AMM 4s.  No sz 14 no stress for me on release day,1592979894308589568,2022-11-16T20:36:17.000Z,161523735,en,
