lang,text,author_id,created_at,id,edit_history_tweet_ids,geo,withheld
en,"RT @Schnitzel63: Sunday morning wake up , 😎😎Ramones - She's The One https://t.co/2UgTT3hek3",3078313054,2022-11-28T04:04:25.000Z,1597078937162555392,['1597078937162555392'],,
en,RT @DottiDot4: *You Spin Me Round (Like a Record)*………Dead or Alive  🎼📀🎧🎼 https://t.co/yOUi85sNyJ,3078313054,2022-11-28T04:04:21.000Z,1597078920947724289,['1597078920947724289'],,
en,"RT @Rt_YourFavBands: Three Days Grace
""Never Too Late""
 https://t.co/lBVBXGOFrI",3078313054,2022-11-28T04:04:11.000Z,1597078880028090368,['1597078880028090368'],,
en,RT @bosalem64546044: Classic or Modern ? https://t.co/BEqGzeYrjv,3078313054,2022-11-28T04:04:07.000Z,1597078862210355201,['1597078862210355201'],,
en,"RT @SaladJazz1: SARAH VAUGHAN - On Green Dolphin Street 
#Jazz https://t.co/ouZfdwS9do",3078313054,2022-11-28T04:04:02.000Z,1597078842387988481,['1597078842387988481'],,
en,"RT @Bluesjazz6A: Somethings Just Sounds Good, Cesária Evora!!!

""Sodade""

#music https://t.co/oFeGnT8fCW",3078313054,2022-11-28T04:03:57.000Z,1597078821467226112,['1597078821467226112'],,
en,RT @bluezharp: Johnny Copeland w/ SRV &amp; Double Trouble '85. 🎶'Tin Pan Alley' https://t.co/TRNvHvlRxK,3078313054,2022-11-28T04:03:53.000Z,1597078802592473088,['1597078802592473088'],,
en,RT @crockpics: Jimi Hendrix https://t.co/TYhz2lcfK0,3078313054,2022-11-28T04:03:28.000Z,1597078699647860736,['1597078699647860736'],,
en,RT @balajkakarel: Tom Araya (Slayer) https://t.co/1pMnsPUFtw,3078313054,2022-11-28T04:03:22.000Z,1597078673731260416,['1597078673731260416'],,
en,RT @DottiDot4: *It’s My Life*……..Talk Talk  🎼📀🎧🎼 https://t.co/kIEsFKSMYd,3078313054,2022-11-28T04:03:15.000Z,1597078643871977473,['1597078643871977473'],,
en,RT @HEADBANGERx666: Carcass - Heartwork https://t.co/vorzjfC6W6,3078313054,2022-11-28T04:02:51.000Z,1597078540951830528,['1597078540951830528'],,
und,RT @fasc1nate: ❤️https://t.co/SfH1JvsKOm,3078313054,2022-11-28T04:02:33.000Z,1597078467807301632,['1597078467807301632'],,
es,RT @PGuillermoSerra: Puro amor solo con gestos https://t.co/uRN5ZiuQYh,3078313054,2022-11-28T04:02:18.000Z,1597078404884402176,['1597078404884402176'],,
en,"RT @OldSchool5000G: Billy Paul
Me and Mrs. Jones 🎧 https://t.co/02xPqc2nm6",3078313054,2022-11-28T04:02:04.000Z,1597078346357440514,['1597078346357440514'],,
qme,RT @Just_pinkfloyd: #PinkFloyd https://t.co/OqSnuOTHc0,3078313054,2022-11-27T20:42:38.000Z,1596967756863528961,['1596967756863528961'],,
en,RT @Col2Vintage: 1951 Studebaker Champion https://t.co/NFiGALTkWk,3078313054,2022-11-27T20:41:49.000Z,1596967552634478592,['1596967552634478592'],,
en,"RT @Rt_YourFavBands: Fall Out Boy
""I Don't care"" https://t.co/KhYLw1yxlR",3078313054,2022-11-27T20:41:45.000Z,1596967534686744577,['1596967534686744577'],,
en,RT @musicman17965: INXS.    What You Need.  1985 https://t.co/tVAx6mexGB,3078313054,2022-11-27T20:41:26.000Z,1596967458422034432,['1596967458422034432'],,
no,"RT @UniversoPic: Cataratas Mardalsfossen, Noruega 🇳🇴 https://t.co/RrH55lhlpE",3078313054,2022-11-27T20:41:18.000Z,1596967424049696769,['1596967424049696769'],,
es,RT @Glo5467: Esto fue ayer y agradezco al seguidor que nos saludo  y yo saludo a varias chicas de mi twitter tambien 🌹🌹🌹💋🤘 https://t.co/Whh…,3078313054,2022-11-27T20:40:56.000Z,1596967331175223296,['1596967331175223296'],,
en,RT @DottiDot4: *More Than a Feeling*……..Boston  🎼📀🎧🎼 https://t.co/xxJur5SHJZ,3078313054,2022-11-27T20:40:26.000Z,1596967202745651200,['1596967202745651200'],,
en,RT @Col2Vintage: 1950 Nash Healey Roadster https://t.co/IW6ZgTOlzF,3078313054,2022-11-27T20:40:22.000Z,1596967187343822848,['1596967187343822848'],,
en,"RT @ladytronfan: The Animals - The House of the Rising Sun 

#classicrock https://t.co/4kwaSdEAVL",3078313054,2022-11-27T20:38:56.000Z,1596966826100998146,['1596966826100998146'],,
