created_at,lang,geo,edit_history_tweet_ids,id,text,author_id
2022-11-27T20:20:11.000Z,en,{'place_id': '0fc2a9902854f000'},['1596962110101082112'],1596962110101082112,"The view from Parkhouse Hill, looking towards Chrome Hill - two of my favourite little hills in the Peak District.. 👌🏼😍🌅 
#peakdistrict #Peakdistrictnationalpark #chromehill #hiking #hikers #adventure #sunset #sunsetphotography #getoutside #visitengland #hike https://t.co/5MczGDB26q",29194471
2022-11-26T17:38:19.000Z,en,{'place_id': '18bbaaaf6d3a1cc1'},['1596558984265465857'],1596558984265465857,"Moody scenes &amp; dramatic skies across Little Langdale.

Can anyone tell which Fell / Wainwright this was taken from? 😀
#lakedistrict #cumbria #visitengland #wainwrights #moodyskies #clouds #hiking #hikingadventures #adventure #getoutside https://t.co/xvBd7Dj6Q9",29194471
2022-11-25T18:08:15.000Z,en,{'place_id': '2fad88d7adf81c68'},['1596204132083310593'],1596204132083310593,@MarkHam80780803 It’s a stunning area.. Love that part of Scotland 👌🏼🏴󠁧󠁢󠁳󠁣󠁴󠁿,29194471
2022-11-25T07:25:30.000Z,en,,['1596042379479638016'],1596042379479638016,"Heading towards Chalamain Gap (in the distance) at the beginning of our 10 mile route to Corrour Bothy in Lairig Ghru. Such an enticing path.. 👌🏼😍
#Scotland #VisitScotland #adventure #cairngorms #hike #hiking #mountains #adventure #trails #Landscapes #getoutside https://t.co/KiqyrjjF06",29194471
2022-11-25T02:20:29.000Z,en,{'place_id': '2fad88d7adf81c68'},['1595965615906639877'],1595965615906639877,@AdabelDickson Thank you 😊,29194471
2022-11-24T17:37:15.000Z,en,,['1595833939704307712'],1595833939704307712,"The summit of The Devil’s Point looking South, down the valley of Glen Dee. This was undoubtedly the best view we had from our day doing the Braeriach traverse in the Cairngorms. 😍🏴󠁧󠁢󠁳󠁣󠁴󠁿
#Scotland #VisitScotland #Cairngorms #braeriach #devilspoint #mountains #hiking https://t.co/LT0qTZwitV",29194471
2022-11-16T21:39:53.000Z,en,{'place_id': '08eaec7e84ce4cee'},['1592995900498276352'],1592995900498276352,@LDWAenvironment @UndiscoveredWal @WalesCoastUK @WalesCoastPath @VisitNorthWales @vnorthwales @AngleseySights @ItsYourWales @angleseyhols @RamblersCymru @AngleseyHist I did it back in 2018 in 5 days.. Loved it.. One of the best coastal walks I’ve done 👌🏼😊,29194471
2022-11-14T00:10:02.000Z,en,{'place_id': '08eaec7e84ce4cee'},['1591946521930612736'],1591946521930612736,@RyderWalker It was breathtaking! 😍,29194471
2022-11-13T22:24:12.000Z,en,{'place_id': '07d9f01b2b084001'},['1591919887890497538'],1591919887890497538,"An absolutely epic day today doing an 11.5 mile route on Ben Macdui and Cairn Gorm.

This was probably the best view of the day - stood on the summit of Ben Macdui, looking South towards Glen Dee 👌🏼🤩🏴󠁧󠁢󠁳󠁣󠁴󠁿
#benmacdui #cairngorms #mountains #hiking #scotland #munros #adventure https://t.co/tU4dEZU1FE",29194471
2022-11-11T19:00:35.000Z,en,{'place_id': '07d9d58359c80002'},['1591143869097574400'],1591143869097574400,"Glancing back to where I’d been whilst descending Snowdon’s North ridge near Llechog. Very close to the Llanberis path and yet so quiet! A great way to descend to Llanberis from Snowdon 👌🏼😀🏴󠁧󠁢󠁷󠁬󠁳󠁿
.
#snowdon #mountains #snowdonia #eryri #hiking #wales https://t.co/XhSqLH7gfB",29194471
