id,author_id,edit_history_tweet_ids,text,lang,created_at,geo
1597079474839093248,64413577,['1597079474839093248'],Expand ya horizons my guy https://t.co/OuHTBxRqHT,en,2022-11-28T04:06:33.000Z,
1597070640204640258,64413577,['1597070640204640258'],"Biggest baddest cop in the city video calls me to see if its a mouse in her trap cause ""Im not looking back there"" 😭",en,2022-11-28T03:31:27.000Z,
1597068331424501762,64413577,['1597068331424501762'],Shotx2,eu,2022-11-28T03:22:16.000Z,
1597062639288733700,64413577,['1597062639288733700'],Doing my daughter's undercut and missed a first down. Shot!,en,2022-11-28T02:59:39.000Z,
1597055811540639745,64413577,['1597055811540639745'],Fell sorry for whoever took the under,en,2022-11-28T02:32:31.000Z,
1597054148070948864,64413577,['1597054148070948864'],Shot 🥴,en,2022-11-28T02:25:55.000Z,
1597053004519440384,64413577,['1597053004519440384'],Thats 2!,en,2022-11-28T02:21:22.000Z,
1597050399860871169,64413577,['1597050399860871169'],RT @Outkast: The Whole World ft. @KillerMike and Joi 🌎🌎🌎 #21years https://t.co/EHhfRGV1e3,en,2022-11-28T02:11:01.000Z,
1597050152786591744,64413577,['1597050152786591744'],#shot #FlyEaglesFly https://t.co/fOh88VJhgZ,qme,2022-11-28T02:10:02.000Z,
1597049776901881856,64413577,['1597049776901881856'],Shot,en,2022-11-28T02:08:33.000Z,
1597049221559226369,64413577,['1597049221559226369'],Chris Collinsworth is the worst commentator ever!,en,2022-11-28T02:06:20.000Z,
1597044105045233664,64413577,['1597044105045233664'],Same difference i know 😭,en,2022-11-28T01:46:00.000Z,
1597044046085906432,64413577,['1597044046085906432'],I think if i take a shot for every first down ima pass out. So eagles only 😅,en,2022-11-28T01:45:46.000Z,
1597042626506944512,64413577,['1597042626506944512'],Let make this a game. Every first down take a shot! 3 shots in.,en,2022-11-28T01:40:08.000Z,
1597042311435030528,64413577,['1597042311435030528'],#FlyEaglesFly,qht,2022-11-28T01:38:53.000Z,
1597042139598553089,64413577,['1597042139598553089'],INT!,qst,2022-11-28T01:38:12.000Z,
1597040634808111104,64413577,['1597040634808111104'],Girl scout cookie season is slowly approaching. https://t.co/8NG1Wfc4LT,en,2022-11-28T01:32:13.000Z,
1596962881286721536,64413577,['1596962881286721536'],"If the stork is the bird that delivers the baby, which bird prevents the baby?

The Swallow",en,2022-11-27T20:23:15.000Z,
1596939250465148929,64413577,['1596939250465148929'],@msixelaa_ Never to late,en,2022-11-27T18:49:21.000Z,
