text,created_at,lang,id,edit_history_tweet_ids,author_id
@tedcruz @HerschelWalker So sad he’s just a pawn and can’t even speak for himself,2022-11-28T02:56:01.000Z,en,1597061724062244864,['1597061724062244864'],151465988
@w_terrence Sad you paid a kid to do this,2022-11-28T02:46:11.000Z,en,1597059248453976066,['1597059248453976066'],151465988
@NarducciKeith @AndrewYesudian @DineshDSouza @danielledsouzag Lol. Meth is a hell of a drug,2022-11-28T00:05:50.000Z,en,1597018895063584773,['1597018895063584773'],151465988
@laurenboebert Stop wasting tax dollars in this crap if you want to do what’s right,2022-11-27T23:01:58.000Z,en,1597002822163521537,['1597002822163521537'],151465988
@SafeSuburbsUSA They are not doing anything. Quit with the maga candidates,2022-11-27T20:36:45.000Z,en,1596966279151517696,['1596966279151517696'],151465988
@GoCubs49 He would be the best pitcher in your staff,2022-11-27T20:19:57.000Z,en,1596962050995261440,['1596962050995261440'],151465988
@MJohnPelletier @mrterryjamesjr @Bahblahblahh @Highway_30 Ah no what?,2022-11-27T20:16:46.000Z,en,1596961247848636418,['1596961247848636418'],151465988
@TylerFFCreator Let’s remember this is a decimated bears defense,2022-11-27T19:04:51.000Z,en,1596943151218200576,['1596943151218200576'],151465988
@plumberhughes @CrashTestDhimmi @britmike007 @laurenboebert Corrext but that doesn’t prove the point that boeboe shouldn’t be looked at.,2022-11-27T19:03:47.000Z,en,1596942881562165248,['1596942881562165248'],151465988
@plumberhughes @CrashTestDhimmi @britmike007 @laurenboebert Doesn’t prove the point you were trying to make so try harder,2022-11-27T18:40:17.000Z,en,1596936967312539649,['1596936967312539649'],151465988
@CrashTestDhimmi @britmike007 @laurenboebert This chart just shows what securities they bought not wealth,2022-11-27T17:28:12.000Z,en,1596918826943516672,['1596918826943516672'],151465988
@mrterryjamesjr @Bahblahblahh @MJohnPelletier @Highway_30 Joe Rogan also lies all the time. Remember the litter box in schools. Yeah he admitted that was a lie,2022-11-27T14:53:51.000Z,en,1596879983703887872,['1596879983703887872'],151465988
@Highway_30 Typical lie.,2022-11-27T14:53:08.000Z,en,1596879804162531330,['1596879804162531330'],151465988
@TONYMAC2133 @TylerFFCreator They are the number 1 imo,2022-11-27T05:01:45.000Z,en,1596730977422028803,['1596730977422028803'],151465988
@TylerFFCreator He’s a game time decision. And I would still take kc first.,2022-11-27T05:01:19.000Z,en,1596730866490781696,['1596730866490781696'],151465988
@albert1952 @DOM_Frederic He won’t finish the game,2022-11-27T04:50:04.000Z,en,1596728038674567169,['1596728038674567169'],151465988
@hodgetwins You do it everyday,2022-11-26T05:04:15.000Z,en,1596369219506999296,['1596369219506999296'],151465988
@CalebLendy @clearlycollect @4thLinePlugsRG Take Kurashev,2022-11-26T04:49:54.000Z,et,1596365606021914624,['1596365606021914624'],151465988
@albert1952 @ErikLambert1 Stop,2022-11-25T21:07:56.000Z,en,1596249348404383745,['1596249348404383745'],151465988
@NickAdamsinUSA No alpha male ever wears cargo shorts,2022-11-25T21:07:29.000Z,en,1596249235791704064,['1596249235791704064'],151465988
"@ThisIsKyleR Begging for money, the rights way",2022-11-25T16:09:56.000Z,en,1596174356501389314,['1596174356501389314'],151465988
@T_wittrlessJeff @TylerFFCreator Carter,2022-11-25T16:09:34.000Z,en,1596174263886974976,['1596174263886974976'],151465988
@DineshDSouza @elonmusk Nobody cares. I don’t get why everything that musk posts you think will terrify the left,2022-11-25T16:01:14.000Z,en,1596172164956585985,['1596172164956585985'],151465988
@BogushJMann @w_terrence Lol,2022-11-25T15:55:26.000Z,und,1596170704742907908,['1596170704742907908'],151465988
@Jvnek21 @timthetatman @NFL Rules are now rigging the game?,2022-11-25T03:46:29.000Z,en,1595987258188136452,['1595987258188136452'],151465988
@timthetatman @NFL Heel came down out of bounds. Pretty simple,2022-11-25T03:45:54.000Z,en,1595987113241186305,['1595987113241186305'],151465988
@JamesMelville This has been proven false.,2022-11-25T03:40:24.000Z,en,1595985727250104320,['1595985727250104320'],151465988
@AnthonySabatini What are you 5’3?,2022-11-25T03:40:08.000Z,en,1595985662146011136,['1595985662146011136'],151465988
@DineshDSouza Lol ok,2022-11-25T03:07:23.000Z,ht,1595977420917522432,['1595977420917522432'],151465988
@Blazer018 @CardPurchaser My target says it has limited stock I can take a look tomorrow night if that helps,2022-11-25T01:14:28.000Z,en,1595949005514887171,['1595949005514887171'],151465988
@w_terrence Lol give it up,2022-11-24T23:07:06.000Z,en,1595916952345759748,['1595916952345759748'],151465988
@NickAdamsinUSA You complain that they shouldn’t be allowed in womens sports so they go make their own league and you complain.,2022-11-24T19:30:10.000Z,en,1595862356428562439,['1595862356428562439'],151465988
@yellowrose0213 @Photo_Mayor @ThomasDeVore76 @GovPritzker Lol,2022-11-24T15:45:18.000Z,und,1595805768900542466,['1595805768900542466'],151465988
@laurenboebert And I guarantee you don’t do it.,2022-11-24T13:10:02.000Z,en,1595766693162270720,['1595766693162270720'],151465988
@hodgetwins Tell me you don’t understand math without telling me you don’t understand math,2022-11-24T13:08:41.000Z,en,1595766355193888771,['1595766355193888771'],151465988
