lang,edit_history_tweet_ids,text,author_id,id,created_at,geo
en,['1596962405547810816'],"I'm getting some Christmas lights up today, as next weekend could see the soggy weather continue. Snow levels will drop below 4000' by Thursday night, and there will be good snow totals in the Sierra by Friday. 
(3/3)",48900053,1596962405547810816,2022-11-27T20:21:22.000Z,
en,['1596962319514624001'],"This graphic is showing how much rain the Euro model is forecasting will fall from now through late Thursday night, with just about all of this falling on Thursday. An inch of rain in the Valley is pretty good!
(2/3)",48900053,1596962319514624001,2022-11-27T20:21:01.000Z,
en,['1596962138551042049'],"DECEMBER RAIN: There may be a few showers in the mountains tomorrow (Monday), but the Valley should stay dry Monday through Wednesday.

December starts Thursday, and that's when the rain will arrive.
(1/3) https://t.co/zXQccsyFUy",48900053,1596962138551042049,2022-11-27T20:20:18.000Z,
en,['1595887267926507521'],"It'll be windy there again tonight... but not this bad.
(2/2)
For the Jarbo Gap wind forecast, you can always find that here: https://t.co/53pryWbkzh",48900053,1595887267926507521,2022-11-24T21:09:09.000Z,
en,['1595887094265565185'],"The winds are calming down now... but it was a VERY windy start to Thanksgiving near the Feather River Canyon this morning, with winds gusting to 69 mph!
(1/2) https://t.co/9QDlmdp21R",48900053,1595887094265565185,2022-11-24T21:08:28.000Z,
en,['1595165037508800512'],"North winds will get blustery in the Valley tomorrow… but die back down in time for Thanksgiving.

However, the Jarbo Gap winds will be absolutely ROARING through the Feather River Canyon on Thanksgiving morning. 
For that forecast, click here: https://t.co/53pryWbkzh https://t.co/gSVetDGfmz",48900053,1595165037508800512,2022-11-22T21:19:16.000Z,
en,['1594942389331775488'],RT @NWSSacramento: A pattern change is still possible by the end of the Thanksgiving holiday weekend and into early next week. Stay tuned f…,48900053,1594942389331775488,2022-11-22T06:34:32.000Z,
en,['1594197737511129088'],RT @NWSSacramento: A pattern change to wetter weather possible after the Thanksgiving holiday and into early December. #CAwx https://t.co/M…,48900053,1594197737511129088,2022-11-20T05:15:34.000Z,
en,['1593631117583581184'],RT @nplareau: So did the Artemis rocket trigger a convective and glaciating cloud? Seems like there is a cold cloud that develops where the…,48900053,1593631117583581184,2022-11-18T15:44:01.000Z,
en,['1592945928281157632'],"This 68 mph gust is one of the 7 strongest gusts recorded at Jarbo Gap since reliable records began back in 2013. Thank goodness for our recent rains!
(3/3)
I've also attached my Jarbo Gap wind forecast, which you can always find on https://t.co/BFYctGeNH4",48900053,1592945928281157632,2022-11-16T18:21:19.000Z,
en,['1592945814602928129'],"The morning of the Camp Fire (Nov. 8, 2018), winds were gusting to 52 mph at Jarbo Gap, &amp; on the night of the Bear Fire (Sept. 8-9, 2020), winds were gusting to 66 mph.
(2/3)",48900053,1592945814602928129,2022-11-16T18:20:52.000Z,
en,['1592945538806083586'],"Wednesday morning update: There have been exceptionally strong Jarbo Gap winds in the Feather River Canyon this morning... 68 mph gusts! 
Other canyons in the Sierra Nevada are also reporting strong winds.
(1/3) https://t.co/m0uLL9S0Dx",48900053,1592945538806083586,2022-11-16T18:19:46.000Z,
