text,id,created_at,lang,edit_history_tweet_ids,author_id,geo
"RT @shansb_xo: If you suffer with sickle cell disease or if you kno someone that is, plssss tell them to get this book. It’s been a game ch…",1596983115792384001,2022-11-27T21:43:39.000Z,en,['1596983115792384001'],229428955,
RT @Sharksawn: https://t.co/npOFGElIrl,1596962027792371712,2022-11-27T20:19:52.000Z,zxx,['1596962027792371712'],229428955,
RT @Sharksawn: https://t.co/lE0rXPuVRz,1596962020212940800,2022-11-27T20:19:50.000Z,zxx,['1596962020212940800'],229428955,
"RT @Sharksawn: The @OfficialAPCNg VP Candidate, Sen. @KashimSM was at the Harbour Point Event Centre, Victoria Island, Lagos for the 80th b…",1596962000760111104,2022-11-27T20:19:45.000Z,en,['1596962000760111104'],229428955,
@NdoniMathenjwa_ @SaveVidBot,1596887455432839168,2022-11-27T15:23:32.000Z,qam,['1596887455432839168'],229428955,{'place_id': '0065f09a6666479e'}
"RT @AderonkeW: On Saturday, Tinubu was in Delta State

Monday - Abuja

Tuesday - Bauchi and Gombe respectively 

Wednesday and Thursday - h…",1596386938369748997,2022-11-26T06:14:40.000Z,en,['1596386938369748997'],229428955,
No place like home 🙌🏾 https://t.co/tZKmSeP5U1,1596377697957335043,2022-11-26T05:37:57.000Z,en,['1596377697957335043'],229428955,{'place_id': '01ed1f9a43bfb9bd'}
Kashim Shettima 🙂 https://t.co/Q6MMDOdWqM https://t.co/Nz35TfSxHm,1596148764770959365,2022-11-25T14:28:15.000Z,hi,['1596148764770959365'],229428955,{'place_id': '01c46739344ba9f6'}
"RT @Omojuwa: I engaged someone I know after he posted that Kashim Shettima scares him. I asked him why. He said his photos. I said no, it’s…",1596147183606239232,2022-11-25T14:21:58.000Z,en,['1596147183606239232'],229428955,
@Topboychriss @SaveVidBot,1595170652440272898,2022-11-22T21:41:35.000Z,qam,['1595170652440272898'],229428955,{'place_id': '00e55e2b4c491c5f'}
"RT @MRBRIKILA1: Nel Oliver....Birth name -Noel AHOUNOU born December 17, 1948 in Porto-Novo,
My baby girl rocked our radio and TV waves bac…",1594570599011160064,2022-11-21T05:57:11.000Z,en,['1594570599011160064'],229428955,
"RT @SadeeqKurbe: On your mandate, we shall stand 🇳🇬 https://t.co/azKys8cYFr",1594243061600714752,2022-11-20T08:15:40.000Z,en,['1594243061600714752'],229428955,
@SirJarus @Refcon_  08033565555,1594237667146964993,2022-11-20T07:54:14.000Z,und,['1594237667146964993'],229428955,{'place_id': '00e55e2b4c491c5f'}
RT @Mr_JAGs: ♾️ https://t.co/9bsjO0rm0m,1594086926172028928,2022-11-19T21:55:14.000Z,und,['1594086926172028928'],229428955,
"RT @DOlusegun: Asiwaju Arrives Warri, Delta State for the Presidential Campaign rally and he is received by Senate President Dr Ahmad Lawan…",1593997438783819776,2022-11-19T15:59:39.000Z,en,['1593997438783819776'],229428955,
RT @A_Eniol: +1 and Grateful 🥳🥳 https://t.co/p2YLxnS2C6,1593916112844226560,2022-11-19T10:36:29.000Z,en,['1593916112844226560'],229428955,
RT @bldr_kashim: My favourite pic of vice president ELECT @KashimSM https://t.co/zjrQXL4Umo,1593711013068787713,2022-11-18T21:01:29.000Z,en,['1593711013068787713'],229428955,
"RT @SadeeqKurbe: Jumma'at Mubarak

Incoming Vice President 🇳🇬
Senator @KashimSM Shettima https://t.co/iOGfQW7GE5",1593610426092322819,2022-11-18T14:21:48.000Z,en,['1593610426092322819'],229428955,
