lang,text,edit_history_tweet_ids,created_at,author_id,id
en,Cork City tonight lit up... https://t.co/ciyVvagu3S,['1596962107698057216'],2022-11-27T20:20:11.000Z,1446289678471155712,1596962107698057216
en,@MailOnline Who the hell is he?,['1596956475032997889'],2022-11-27T19:57:48.000Z,1446289678471155712,1596956475032997889
en,@LisforLia I gave up wrapping presents to save my sanity. Some presents are impossible to wrap. I either put presents into decorative gift bags or buy presents in shops which offer gift wrapping as part of the deal,['1596956127610404865'],2022-11-27T19:56:25.000Z,1446289678471155712,1596956127610404865
en,@EmilyThornberry The public are voting g to keep him in. Many realise he deserves a second chance. Not everything is about politics and populism.,['1596954941280890880'],2022-11-27T19:51:42.000Z,1446289678471155712,1596954941280890880
en,@thetimes Another populist change to suit the former mistress of King Charles. The Royal family has become so low brow and common.,['1596860475978883074'],2022-11-27T13:36:20.000Z,1446289678471155712,1596860475978883074
en,"@Emily07435268 He was always evil, bitter and jealous. The clown facade fooled people.",['1596857684376317952'],2022-11-27T13:25:14.000Z,1446289678471155712,1596857684376317952
en,@DIDElectrical I cancelled an order two weeks ago. I am still waiting for my full refund to be returned to my bank account. Can you rectify this as time is running out for me to order another item elsewhere.,['1596837963144433664'],2022-11-27T12:06:52.000Z,1446289678471155712,1596837963144433664
en,"@logical_conor Also, voters now realise that the housing problem will not be solved with rhetoric and the party has no credibility on policy, particularly economic policy",['1596834411932422144'],2022-11-27T11:52:46.000Z,1446289678471155712,1596834411932422144
en,"Why is it easier to get off an HSE waiting list in Cork than a waiting list to join a tennis club?
I spent €140 on a racket in June and I am still on a waiting list for two exclusive clubs in Cork.
#Classism",['1596693401910796288'],2022-11-27T02:32:26.000Z,1446289678471155712,1596693401910796288
en,I would love if Matt Hancock wins #ImACelebrity it would prove that we all deserve redemption for mistakes made.,['1596639451907751940'],2022-11-26T22:58:04.000Z,1446289678471155712,1596639451907751940
en,"The Crown was right about King Charles. He really is a nasty piece of work!
Has taken away his brother Edward's right to his father's title. 

King Charles is saving the Edinburgh title for Princess Charlotte https://t.co/UJ6lvRQlB4 via @MailOnline",['1596638010980061184'],2022-11-26T22:52:20.000Z,1446289678471155712,1596638010980061184
en,"@JillMansell Free money, of course she was there! Would sell their souls to the highest bidder.",['1596635142029979648'],2022-11-26T22:40:56.000Z,1446289678471155712,1596635142029979648
en,@KtAllenWriting Gross! Don't even like actual Xmas pudding.,['1596612628981624832'],2022-11-26T21:11:29.000Z,1446289678471155712,1596612628981624832
en,"I hate false eye lashes. They look so vulgar and cheap. Looks like wearing a dead 🕷 on your eyes.
Has now become mandatory wear for those working in retail.",['1596612244514787332'],2022-11-26T21:09:57.000Z,1446289678471155712,1596612244514787332
hu,"MESSI is a genius!
#Messi𓃵 #mexicoargentina",['1596605119138697216'],2022-11-26T20:41:38.000Z,1446289678471155712,1596605119138697216
en,@logical_conor @dublinbusnews @EamonRyan The bus service in Cork is a disgrace! Two hour wait yesterday from the city centre. 70% of passengers trapped in Dunkettle everyday. Traffic has never been so bad in Cork. Becoming dangerous. Public transport is a joke. More car use is justified.,['1596540207733547008'],2022-11-26T16:23:42.000Z,1446289678471155712,1596540207733547008
en,@CameronDLWalker Her own children are spoilt and will never want for anything. Maybe she just feels guilty.,['1596298520662872065'],2022-11-26T00:23:19.000Z,1446289678471155712,1596298520662872065
en,"So many people on twitter who obviously struggle being a carer for loved ones. It is such a tough job.
My sister is my mam's full time carer and she herself suffers badly with endometriosis. Life is so cruel💔",['1596297986677563394'],2022-11-26T00:21:12.000Z,1446289678471155712,1596297986677563394
en,@EileenSavage20 @latelateshow @ryantub @rte So pathetic!,['1596295193753706496'],2022-11-26T00:10:06.000Z,1446289678471155712,1596295193753706496
en,"@Telegraph What about the millions of children living in poverty with no future? Has no influence in policy so her views won't have any impact. For more important issues she should be dealing with such as equality, domestic violence",['1596291997546950657'],2022-11-25T23:57:24.000Z,1446289678471155712,1596291997546950657
en,"@HelenORahilly Hate it. Not about kids anymore, just guest stars, sponsorships and pity stories.",['1596249174537912320'],2022-11-25T21:07:14.000Z,1446289678471155712,1596249174537912320
en,"My Christmas reading pile. I will proberly add to it. 🎄
@harriet_tyce @callytaylor @CatSteadman https://t.co/9VWWm90UCk",['1596237757872893952'],2022-11-25T20:21:52.000Z,1446289678471155712,1596237757872893952
en,@callytaylor Burnout is horrendous! You need to look after yourself.,['1596105508293083137'],2022-11-25T11:36:22.000Z,1446289678471155712,1596105508293083137
en,@AddsOS @UCC @RossFrenett @noelgill4 @UCCAlumDevel @johbees @talktoBOI @bostonsci @CorkChamber @HayfieldManor @KeanesJewellers @Kate_McSweeney @StephenUCCPharm What qualifies as an achievement?,['1595924602664136704'],2022-11-24T23:37:30.000Z,1446289678471155712,1595924602664136704
en,@twa96 @agathachristie The Epilogue was incredible,['1595924007806988288'],2022-11-24T23:35:08.000Z,1446289678471155712,1595924007806988288
en,@JaneCaseyAuthor Black satin skirts are great for all occasions,['1595888697509310464'],2022-11-24T21:14:50.000Z,1446289678471155712,1595888697509310464
en,@PSLiterary Crime fiction,['1595872387228405760'],2022-11-24T20:10:01.000Z,1446289678471155712,1595872387228405760
und,@RTELateLateShow 🤮,['1595866473410756609'],2022-11-24T19:46:31.000Z,1446289678471155712,1595866473410756609
en,"I am currently writing a book on @agathachristie , primarily her most political and controversial books and the socio/political events which inspired them.  #AndThenThereWereNone will be a big part of the book with an academic level in depth analysis.",['1595866018836004864'],2022-11-24T19:44:43.000Z,1446289678471155712,1595866018836004864
en,@mjarlidge Great news! I was wondering when the paperback would be released. The hardback was very heavy!,['1595810229295452160'],2022-11-24T16:03:02.000Z,1446289678471155712,1595810229295452160
en,"This is the problem when a group of women turn everyone against the HSE by criticising them on talkshows. Many staff still suffer verbal abuse.

Some cancer patients 'finding it difficult' to get care https://t.co/wTY908LgnT via @rte",['1595806499296755720'],2022-11-24T15:48:12.000Z,1446289678471155712,1595806499296755720
en,Sophie relied on the Queen who treated her like a daughter. Now she has no power and Charles does not rank her. She never looks happy. https://t.co/oa24CjClgT,['1595800990627897346'],2022-11-24T15:26:19.000Z,1446289678471155712,1595800990627897346
en,@MichaelHWood @agathachristie Brilliant performances by Charles Dance and Toby Stephens,['1595759100842967040'],2022-11-24T12:39:52.000Z,1446289678471155712,1595759100842967040
en,"Go on @LinkedIn they said. It will get you employment and connections!
Think I will pass...⏬⏬⏬ https://t.co/5lNVlOrw2S",['1595598482190094337'],2022-11-24T02:01:37.000Z,1446289678471155712,1595598482190094337
en,"Apparently eating a Mars bar at 1.30am will give you a migraine! Who knew?
Yet another sacrifice made editing my book.",['1595597621200125953'],2022-11-24T01:58:12.000Z,1446289678471155712,1595597621200125953
en,"I cannot wait to read this. Bought it today, saving it for Christmas break https://t.co/Myt0xkDZ1F",['1595591516323446784'],2022-11-24T01:33:56.000Z,1446289678471155712,1595591516323446784
pt,@akellyucc Rogar,['1595589432907894784'],2022-11-24T01:25:40.000Z,1446289678471155712,1595589432907894784
en,@akellyucc I loved that episode of OFAH. Regards Lloyd Park was a comedy genius.,['1595588624657125377'],2022-11-24T01:22:27.000Z,1446289678471155712,1595588624657125377
en,"@voguemagazine Looks like a Disney princess which is a retrograde step. She should be advocating women's aspiration as academics. At 40, she should have her own identity.",['1595528885420326912'],2022-11-23T21:25:04.000Z,1446289678471155712,1595528885420326912
en,@CrimeFic So sick of hearing about Lucy Worsley and her ignorant opinions on Agatha Christie. Nobody knows the truth of the disappearance in 1926. Nobody ever will. Worsley should stick to history and stop trying to diminish the legacy of this great writer.,['1595527407057920009'],2022-11-23T21:19:11.000Z,1446289678471155712,1595527407057920009
