id,author_id,created_at,geo,text,edit_history_tweet_ids,lang
1596971534585049088,132275425,2022-11-27T20:57:38.000Z,{'place_id': '723427e351a01e72'},"@the_racehour Hermes Allen looks like a proper horse and a good price for the Ballymore. I still think people are underestimating Marine Nationale. We should see him against Champ Kiely next Sunday 
#racehour",['1596971534585049088'],en
1596970716234407936,132275425,2022-11-27T20:54:23.000Z,,"@the_racehour Luccia was very impressive. The mares novice shaping up to be a cracker this year. Kalanisi Star looked very good also. 
#racehour",['1596970716234407936'],en
1596969030744932352,132275425,2022-11-27T20:47:41.000Z,,@the_racehour @Sandownpark Shishkin still the one to beat if he runs. Would love to see Ferny Hollow run but hard on a horse first time out. Energumene still comes out on top come March #racehour,['1596969030744932352'],en
1596967660721696768,132275425,2022-11-27T20:42:15.000Z,{'place_id': '723427e351a01e72'},@the_racehour There must be something up with him. That running was too bad to be true. I’d wait for his next run to judge him again. He needs to brush up on his hurdling also. #racehour,['1596967660721696768'],en
1596966599029760000,132275425,2022-11-27T20:38:02.000Z,,@the_racehour 5/1 for Flooring Porter a dual winner is very generous. I’d be worried that Blazing Khal won’t be seen until the new year by the sounds. A bit left field but I wouldn’t be surprised if Willie switched Monkfish back over hurdles after his injury. #racehour,['1596966599029760000'],en
1596965645350244353,132275425,2022-11-27T20:34:14.000Z,,@CheltenhamRaces Demandrivingdouvan,['1596965645350244353'],no
1596965099272478720,132275425,2022-11-27T20:32:04.000Z,{'place_id': '723427e351a01e72'},@the_racehour @NewburyRacing Definitely the best English novice hurdler this season along with Hermes Allen. Massive engine and his hurdling was decent on debut. #racehour,['1596965099272478720'],en
1596964009206349824,132275425,2022-11-27T20:27:44.000Z,,@the_racehour @NewburyRacing You would have to be impressed the way he put Thyme Hill to the sword so easily. Kempton at Christmas next. The likes of Hollow Games and Three Stripe Life would have the measure of him though. #racehour,['1596964009206349824'],en
1596962633173073921,132275425,2022-11-27T20:22:16.000Z,,@the_racehour Galopin Des Champs will roar up the Cheltenham hill. I think Stattler is a great ew price also. #racehour,['1596962633173073921'],en
1596508698204962816,132275425,2022-11-26T14:18:30.000Z,{'place_id': '723427e351a01e72'},"You love to see it. Constitution Hill an absolute weapon 🚀. His hurdling was quality. Can’t wait to see him v Honeysuckle in March. 

 https://t.co/GKkM94HNEF",['1596508698204962816'],en
1596500368300670980,132275425,2022-11-26T13:45:24.000Z,,RT @ChrisGartner2: Ha ha - quick lads!! https://t.co/dGppGmlEhu,['1596500368300670980'],en
1596482676521046016,132275425,2022-11-26T12:35:05.000Z,{'place_id': '723427e351a01e72'},Ironic 😅 🚙 https://t.co/uzgSFBEoUU,['1596482676521046016'],en
1596480493104545792,132275425,2022-11-26T12:26:25.000Z,{'place_id': '723427e351a01e72'},"Very impressive. The Mares Novice shaping up to be a very deep race this year if they all turn up. Luccia, Ashroe Diamond, Deeply Superficial, Between Waters, Magical Zoe, La Malmason and Harmonya Maker to name but a few! 

 https://t.co/DUsnQFVbz7",['1596480493104545792'],en
1596298093238321152,132275425,2022-11-26T00:21:37.000Z,{'place_id': '723427e351a01e72'},@rigzlaughter https://t.co/IhjlpIt8jN,['1596298093238321152'],qme
1596287591971786752,132275425,2022-11-25T23:39:54.000Z,,RT @flatoutsure: The kids in the car section #LateLateToyShow https://t.co/ibVn2P0LF1,['1596287591971786752'],en
1596270855872712704,132275425,2022-11-25T22:33:23.000Z,{'place_id': '723427e351a01e72'},Coming through Birmingham airport after a week of Cheltenham🍺🍾🐎🇮🇪 #LateLateToyShow https://t.co/YNiVMWjFTU,['1596270855872712704'],en
1596116935376523268,132275425,2022-11-25T12:21:46.000Z,{'place_id': '723427e351a01e72'},"Lovely debut from Jet Powered ✈️
His hurdling was decent with a bit of room for improvement. Around 7/1 for the Supreme after that. 

 https://t.co/hujxxdjjyx",['1596116935376523268'],en
1595920143275954178,132275425,2022-11-24T23:19:47.000Z,,"RT @the_racehour: 🏇 The #Racehour Podcast is Back, in association with 
@ToteRacing &amp; @bookmakers!

🗣️ @Onthenoseinfo, @dermonolan91, @Cass…",['1595920143275954178'],en
1595902062704967681,132275425,2022-11-24T22:07:56.000Z,{'place_id': '723427e351a01e72'},@jane_mangan @RacingPost That’s my biggest problem with it @jane_mangan. Lazy they didn’t update it!,['1595902062704967681'],en
1595816703446982658,132275425,2022-11-24T16:28:45.000Z,,@USASteeplechase @LydiaHislop @nickluck @MCYeeehaaa @sam_angelina22 @RoadCheltenham @GBRacing @icyestretro,['1595816703446982658'],qam
1595458413894541313,132275425,2022-11-23T16:45:02.000Z,,@GaryDunne Boy George. Strong Irish roots.,['1595458413894541313'],en
1595454421030563840,132275425,2022-11-23T16:29:10.000Z,{'place_id': '723427e351a01e72'},"When Annie Power fell at the last and everyone was on the 4 timer 😢

 https://t.co/iLqecgkk1w",['1595454421030563840'],en
1595399158101426178,132275425,2022-11-23T12:49:35.000Z,{'place_id': '723427e351a01e72'},The Champion Hurdle 2024 🤠 https://t.co/fr96BptQAU,['1595399158101426178'],en
1595143636655960064,132275425,2022-11-22T19:54:13.000Z,{'place_id': '723427e351a01e72'},"Denman 💚 #TheTank

https://t.co/F29FjkV4jz",['1595143636655960064'],tr
