lang,edit_history_tweet_ids,text,author_id,id,created_at
en,['1597068559644884993'],RT @shyghosttt: Sex with the lights off only because I hate seeing men be happy,738714132195639296,1597068559644884993,2022-11-28T03:23:11.000Z
en,['1597059747307749377'],@jnniia @astronixii Aww!! Happy birthday!!,738714132195639296,1597059747307749377,2022-11-28T02:48:10.000Z
en,['1597057386334031874'],RT @_bbytumz: “imagine fumbling me” me after i put someone through hell and was the worst thing to ever happen to them.,738714132195639296,1597057386334031874,2022-11-28T02:38:47.000Z
en,['1596963079408918529'],@xoqueenartemis I regret how much I'll sweat today. 🥹,738714132195639296,1596963079408918529,2022-11-27T20:24:02.000Z
en,['1596962952577679360'],RT @fbgcon: Good morning https://t.co/g6OGZgGg2a,738714132195639296,1596962952577679360,2022-11-27T20:23:32.000Z
en,['1596962830447616000'],@TT_Sunshine_ @GinRumMe Hot diggity dog that's an interesting approach.,738714132195639296,1596962830447616000,2022-11-27T20:23:03.000Z
en,['1596962593587220480'],"""I hope you find it within so you'll never feel without.""",738714132195639296,1596962593587220480,2022-11-27T20:22:07.000Z
en,['1596957769806282752'],@Livi_Danielle I'll bring snacks!!!,738714132195639296,1596957769806282752,2022-11-27T20:02:57.000Z
en,['1596957665636540416'],@therealkillajen Fuck. There was a grammatical error and it's too late to fix. 😔,738714132195639296,1596957665636540416,2022-11-27T20:02:32.000Z
en,['1596957532995883008'],@Livi_Danielle Death Cab! Death Cab! Death Cab!!! 🥳,738714132195639296,1596957532995883008,2022-11-27T20:02:00.000Z
en,['1596908123343593473'],@Livi_Danielle I'm available for some of your festival. 🙋🏽‍♂️,738714132195639296,1596908123343593473,2022-11-27T16:45:40.000Z
en,['1596866876713619457'],@mudkipmonip WOW. Hot DAMN. 🥵🥳,738714132195639296,1596866876713619457,2022-11-27T14:01:46.000Z
en,['1596861611192586247'],"@em_is_typing OoooOoOO, fancy. 👀

Your refined palate is showing. 💅",738714132195639296,1596861611192586247,2022-11-27T13:40:51.000Z
en,['1596752482004217857'],"@therealkillajen You're welcome! Because anyone worthwhile will respect your worth, respect your wishes, and naturally want to reciprocate effort.",738714132195639296,1596752482004217857,2022-11-27T06:27:12.000Z
en,['1596745355495759873'],@kellynotbrecht Which key change are they talking about?,738714132195639296,1596745355495759873,2022-11-27T05:58:53.000Z
en,['1596744932374372353'],@Pucciolona I look forward to making this list. 😂,738714132195639296,1596744932374372353,2022-11-27T05:57:12.000Z
en,['1596741535940636672'],@karshitt Not even one?,738714132195639296,1596741535940636672,2022-11-27T05:43:42.000Z
en,['1596739471009288192'],@therealkillajen Huge accomplishments.,738714132195639296,1596739471009288192,2022-11-27T05:35:30.000Z
en,['1596735402164965376'],RT @HoneybearVee: Fondle me with your intelligence.,738714132195639296,1596735402164965376,2022-11-27T05:19:20.000Z
en,['1596735027223502848'],RT @Loccdawggg: Putting these on a cruise ship&gt;&gt;&gt;&gt;&gt;,738714132195639296,1596735027223502848,2022-11-27T05:17:51.000Z
en,['1596732613074354176'],RT @badbbyaera: when you high asf in public and you tryna act normal https://t.co/nQGFTdVkkX,738714132195639296,1596732613074354176,2022-11-27T05:08:15.000Z
