lang,id,text,edit_history_tweet_ids,author_id,created_at
it,1596965509966487553,"@greasyyyy_ @xSkulblaka @FelineFiendz @Gummyinvasions 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596965509966487553'],146743963,2022-11-27T20:33:42.000Z
en,1596965470933962752,RT @greasyyyy_: I want to highlight two of my favorite communities and share the love. I'll be giving away 1x @FelineFiendz NFT and of cour…,['1596965470933962752'],146743963,2022-11-27T20:33:33.000Z
it,1596965282786217984,@ETHEREUM2028 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596965282786217984'],146743963,2022-11-27T20:32:48.000Z
en,1596965214423244800,"RT @ETHEREUM2028: $12.500 ETH ( 5 WINNER )

        RT • Follow • Like",['1596965214423244800'],146743963,2022-11-27T20:32:31.000Z
it,1596965125730115584,@747lork @vividshakyamuni 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596965125730115584'],146743963,2022-11-27T20:32:10.000Z
en,1596965112430350336,"RT @747lork: Follow @vividshakyamuni

Retweet and ❤️

5 winners 5 NFT

Drop ETH 

72 hours https://t.co/qjjLx3fybz",['1596965112430350336'],146743963,2022-11-27T20:32:07.000Z
it,1596965023699832832,"@JPeveze @IceCreamGreezer 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596965023699832832'],146743963,2022-11-27T20:31:46.000Z
en,1596964986467004416,"RT @JPeveze: 🎁FREE 2🦉#NFTGiveaway🎁
  
  🍄 🔮 🦉  House of Sages  🦉 🔮 🍄  

🧙🏽‍♂️Follow Me &amp; @IceCreamGreezer
🧙🏽Like &amp; Retweet
🧙🏽‍♀️Drop your #…",['1596964986467004416'],146743963,2022-11-27T20:31:37.000Z
en,1596964862050988033,"RT @slungelg_teckel: 🔥TOMORROW STAY TUNED 🔥

💥🎁MY FAVORITE 10 2-TONE VEHICLES 2/10. 🎁💥

🔥🎨EPSilON DESIGN🔥✨

📌27/11🕰 9 PM DUTCH TIME. 

✨🎇🆔S…",['1596964862050988033'],146743963,2022-11-27T20:31:07.000Z
it,1596964793566785539,"@Hazel_Promo1 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596964793566785539'],146743963,2022-11-27T20:30:51.000Z
en,1596964746594775040,"RT @Hazel_Promo1: 🎁#Giveaway🎁

🏆 5 Free #NFT ( &gt;1500$)
🏆 15  $SOL

Rules:
1⃣Follow👉 @Hazel_promo1
2⃣Like + RT
3⃣Tag 3 friend to win🚀

 #NFT…",['1596964746594775040'],146743963,2022-11-27T20:30:40.000Z
it,1596964676046188544,"@SheikhsTeam @dubaisheikhs 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596964676046188544'],146743963,2022-11-27T20:30:23.000Z
en,1596964616495505408,"RT @SheikhsTeam: 3D Invisible Friends NFT giveaway 🚶‍♂️

Floor price is 0.9 ETH 🎁

To enter:
• Follow @SheikhsTeam @dubaisheikhs  🔔
• Tag 2…",['1596964616495505408'],146743963,2022-11-27T20:30:09.000Z
it,1596964482525585408,"@RenatoRener1 @IceCreamGreezer 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596964482525585408'],146743963,2022-11-27T20:29:37.000Z
en,1596964445770899456,"RT @RenatoRener1: 🔥#NFTGiveaway #NFTCollab🔥

🎁3 WINNERS of 2 #NFTs each by the #NFTartists

@RenatoRener1 &amp; @IceCreamGreezer
 
TO ENTER:👇
✅…",['1596964445770899456'],146743963,2022-11-27T20:29:28.000Z
it,1596964300538535936,"@RenatoRener1 @IceCreamGreezer 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596964300538535936'],146743963,2022-11-27T20:28:54.000Z
en,1596964260554252288,"RT @RenatoRener1: 🔥#NFTGiveaway #NFTCollab🔥

6 #NFTs &gt;🎁3 WINNERS of 2 #NFT by the #NFTartists

@RenatoRener1 &amp; @IceCreamGreezer
 
TO ENTER:…",['1596964260554252288'],146743963,2022-11-27T20:28:44.000Z
it,1596964204615184386,@Ryou_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596964204615184386'],146743963,2022-11-27T20:28:31.000Z
en,1596964193521242113,"RT @Ryou_NFT: Drop your #ETH address👈👈👈
🔔 Activity extra 🔔
   
To enter  
✅ RT + Like my 📌pinned post
✅ RT + ❤️",['1596964193521242113'],146743963,2022-11-27T20:28:28.000Z
it,1596964162235944960,@IceCreamGreezer @RenatoRener1 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596964162235944960'],146743963,2022-11-27T20:28:21.000Z
en,1596964148570886144,"RT @IceCreamGreezer: 🍧🍧Cyber City🍧🍧
🍨🍨And🍨🍨
🍦🍦Cute Baby Tiger🍦🍦
🍨🍨#giveaway🍨🍨

🏆🏆Winners x 6🏆🏆

To Win:

1️⃣Follow Me &amp; @RenatoRener1  
2️⃣…",['1596964148570886144'],146743963,2022-11-27T20:28:17.000Z
it,1596964043448676352,@Ryou_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596964043448676352'],146743963,2022-11-27T20:27:52.000Z
en,1596964031885344768,"RT @Ryou_NFT: ⚡$100 in $ETH / 1 Winner ⚡

~Follow me
~ RT &amp; Like ❤",['1596964031885344768'],146743963,2022-11-27T20:27:50.000Z
it,1596963958090452992,@747lork @vividshakyamuni 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963958090452992'],146743963,2022-11-27T20:27:32.000Z
en,1596963942001438720,"RT @747lork: Follow @vividshakyamuni

Retweet and ❤️

5 winners 5 NFT

Drop ETH 

72 hours https://t.co/XsrkI2GoLA",['1596963942001438720'],146743963,2022-11-27T20:27:28.000Z
it,1596963784534675456,"@lyeslh11 @yafkofficial 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596963784534675456'],146743963,2022-11-27T20:26:51.000Z
en,1596963738531549189,"RT @lyeslh11: 🎁#NFTGiveaway🎁

Project: @yafkofficial

🏆 1 Winner NFT worth 0.03 #ETH ~ $36

1⃣ Follow &amp; @yafkofficial @lyeslh11 
2⃣ Like &amp;…",['1596963738531549189'],146743963,2022-11-27T20:26:40.000Z
en,1596963631597776897,"RT @6yocNFTProject: ❤️BatMonkey for 0.003 ETH in MATIC🌈
💎Bright like a diamond💎

#stopbullying #NFT #NFTs #art https://t.co/DP7NOYl1IF",['1596963631597776897'],146743963,2022-11-27T20:26:14.000Z
it,1596963494129434626,@miky_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963494129434626'],146743963,2022-11-27T20:25:41.000Z
en,1596963482242494464,"RT @miky_NFT: Drop your eth address 👇

I will send you $250 ❤",['1596963482242494464'],146743963,2022-11-27T20:25:38.000Z
it,1596963445684858881,@TheJenuxs 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963445684858881'],146743963,2022-11-27T20:25:30.000Z
en,1596963432724455425,"RT @TheJenuxs: Drop your #ETH address👈👈👈
🔔 Activity extra 🔔
   
To enter  
✅ RT + Like my 📌pinned post
✅ RT + ❤️",['1596963432724455425'],146743963,2022-11-27T20:25:27.000Z
it,1596963419508219904,@miky_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963419508219904'],146743963,2022-11-27T20:25:24.000Z
en,1596963391708753920,"RT @miky_NFT: 0.15 $ETH in 12 hours (5 WINNERS)🎁

✅ Follow , rt and like.",['1596963391708753920'],146743963,2022-11-27T20:25:17.000Z
it,1596963373211480066,@EthLilly 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963373211480066'],146743963,2022-11-27T20:25:12.000Z
en,1596963360318271489,"RT @EthLilly: Drop your #ETH address👈👈👈
🔔 Activity extra 🔔
   
To enter  
✅ RT + Like my 📌pinned post
✅ RT + ❤️",['1596963360318271489'],146743963,2022-11-27T20:25:09.000Z
it,1596963302831448064,@Ryou_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596963302831448064'],146743963,2022-11-27T20:24:56.000Z
en,1596963287509663745,"RT @Ryou_NFT: Sending you $ETH NOW, RT + Done👇",['1596963287509663745'],146743963,2022-11-27T20:24:52.000Z
it,1596963140905730049,"@CryptoMafia420 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596963140905730049'],146743963,2022-11-27T20:24:17.000Z
en,1596963099764199424,"RT @CryptoMafia420: KILLABITS NFT giveaway 🧸

Floor price is 0.75 ETH 🎁

To enter:
• Follow with 🔔
• Tag 2 friends 🤝
• Like &amp; RT ✔️

(24 ho…",['1596963099764199424'],146743963,2022-11-27T20:24:07.000Z
it,1596963073390424064,"@885babypanda 0x9e24D92324E73f1bc2ed22bBA456840959db1D24
@piraox @william85877671 @II_Wolly_II",['1596963073390424064'],146743963,2022-11-27T20:24:01.000Z
en,1596963003467194368,"RT @885babypanda: Giving away 4x CryptoBirbs NFTs 🦜

Floor price is 0.186 ETH

To enter:
• Follow with 🔔
• Tag 2 friends 🤝
• Like &amp; RT ✔️…",['1596963003467194368'],146743963,2022-11-27T20:23:44.000Z
it,1596962796042092545,@6avid_eth 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962796042092545'],146743963,2022-11-27T20:22:55.000Z
en,1596962783656292353,"RT @6avid_eth: Drop your eth address 👇

I will send you $250 ❤",['1596962783656292353'],146743963,2022-11-27T20:22:52.000Z
it,1596962766451249152,@miky_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962766451249152'],146743963,2022-11-27T20:22:48.000Z
en,1596962753776058369,"RT @miky_NFT: A lucky person will win $3,500 in $ETH

To enter:
Follow me
RT🔁 and like❤️

Drop your wallet address!🍀",['1596962753776058369'],146743963,2022-11-27T20:22:45.000Z
it,1596962721001443329,@_JokerNFT_ @S35_____ 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962721001443329'],146743963,2022-11-27T20:22:37.000Z
ja,1596962703385702400,"RT @_JokerNFT_: 💫
#NFT🎁#Giveaways 🎁 $ETH 

🎀15 WİNNER 🎀

Follow  [ フォロー ] 
                  @_JokerNFT_
@S35_____

♥ RT #ETH wallet

#NFTC…",['1596962703385702400'],146743963,2022-11-27T20:22:33.000Z
it,1596962632619069441,@JUST_NFTVERSE 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962632619069441'],146743963,2022-11-27T20:22:16.000Z
en,1596962620351090689,"RT @JUST_NFTVERSE: A lucky person will win $3,500 in $ETH

To enter:
Follow me
RT🔁 and like❤️

Drop your wallet address!🍀",['1596962620351090689'],146743963,2022-11-27T20:22:13.000Z
it,1596962601296343040,@TheJenuxs 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962601296343040'],146743963,2022-11-27T20:22:08.000Z
en,1596962589904629760,"RT @TheJenuxs: ⚡$100 in $ETH / 1 Winner ⚡

~Follow me
~ RT &amp; Like ❤",['1596962589904629760'],146743963,2022-11-27T20:22:06.000Z
it,1596962564063129600,@Ryou_NFT 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962564063129600'],146743963,2022-11-27T20:22:00.000Z
en,1596962552159694848,"RT @Ryou_NFT: Drop your $ETH wallets and I'll send $2500📩

Just RT &amp; Follow me ♥️",['1596962552159694848'],146743963,2022-11-27T20:21:57.000Z
it,1596962536926380033,@DemnaAzuki_ 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962536926380033'],146743963,2022-11-27T20:21:53.000Z
en,1596962518034894848,"RT @DemnaAzuki_: Free #NFT giveaway 👑 48 hours ⏰

Drop your $ETH address ⬇️

🌀 Like + Follow @DemnaAzuki_ + Retweet 🌀

#AD #NFTsales #NFTGi…",['1596962518034894848'],146743963,2022-11-27T20:21:49.000Z
it,1596962496438734848,@TheJenuxs 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962496438734848'],146743963,2022-11-27T20:21:43.000Z
en,1596962486506336260,"RT @TheJenuxs: Sending you $ETH NOW, RT + Done👇",['1596962486506336260'],146743963,2022-11-27T20:21:41.000Z
it,1596962413890281472,@EthLilly 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962413890281472'],146743963,2022-11-27T20:21:24.000Z
en,1596962400569552896,"RT @EthLilly: ⚡$100 in $ETH / 1 Winner ⚡

~Follow me
~ RT &amp; Like ❤",['1596962400569552896'],146743963,2022-11-27T20:21:21.000Z
it,1596962384249122816,@coderyeth 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962384249122816'],146743963,2022-11-27T20:21:17.000Z
en,1596962371935010816,"RT @coderyeth: ⚡$100 in $ETH / 1 Winner ⚡

~Follow me
~ RT &amp; Like ❤",['1596962371935010816'],146743963,2022-11-27T20:21:14.000Z
it,1596962356008845312,@EthLilly 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962356008845312'],146743963,2022-11-27T20:21:10.000Z
en,1596962342507380736,"RT @EthLilly: Sending you $ETH NOW, RT + Done👇",['1596962342507380736'],146743963,2022-11-27T20:21:07.000Z
it,1596962330151391232,@coderyeth 0x9e24D92324E73f1bc2ed22bBA456840959db1D24,['1596962330151391232'],146743963,2022-11-27T20:21:04.000Z
