id,author_id,created_at,text,edit_history_tweet_ids,lang
1596962988036345856,1135683696370040832,2022-11-27T20:23:41.000Z,@notmeghand Hmu excellent grade guaranteed,['1596962988036345856'],en
1596962956423884800,1135683696370040832,2022-11-27T20:23:33.000Z,"Anyone good at..
who's good at...
pay someone..........
pay to do
assignment due
good at stats
algebra
calculus
homework
Macroeconomic
statistics
Math.....
History essay",['1596962956423884800'],en
1596962880204967936,1135683696370040832,2022-11-27T20:23:15.000Z,"Anyone good at..
who's good at...
pay someone..
pay to do
assignment due
good at stats
algebra
calculus
homework
Macroeconomic
statistics........
Math.....
History essay",['1596962880204967936'],en
1596660347233923073,1135683696370040832,2022-11-27T00:21:05.000Z,"RT @Crystalsolutio4: Need online assignments help? Hmu for help
essay due
 math
PowerPoint
sociology 
java script
anatomy
accounting
PowerP…",['1596660347233923073'],en
1596660331773771777,1135683696370040832,2022-11-27T00:21:02.000Z,"RT @Crystalsolutio4: Are you looking for someone to pay to do your;
#essay
#chem
#Winterclasses 
#business
#Math
#Algebra
#econometrics
#Ca…",['1596660331773771777'],en
1596660286983131138,1135683696370040832,2022-11-27T00:20:51.000Z,@locuststar03 Hmu,['1596660286983131138'],und
1596659987786235905,1135683696370040832,2022-11-27T00:19:40.000Z,"We give the best in the following 
Anyone good at..
who's good at...
pay someone..
pay to do
assignment due....
good at stats
algebra
calculus
homework
paper write
Macroeconomic
statistics
Math
Microeconomic",['1596659987786235905'],en
1596659944157110274,1135683696370040832,2022-11-27T00:19:29.000Z,"Need online assignments help? Hmu for help
essay due
 math
PowerPoint
sociology 
java script
anatomy
accounting
PowerPoint
essay pay  
algebra
literature..""
history....
chem.
stats 
business
probability...,,,,",['1596659944157110274'],en
1596659890122293248,1135683696370040832,2022-11-27T00:19:16.000Z,"Are you looking for someone to pay to do your;
#essay
#chem
#Winterclasses 
#business
#Math
#Algebra
#econometrics
#Calculus
#Stats
#Biology
#Biometrics 
#Assignments 
#dissertation
#econometrics
#calculus 
#Finance
#Accounting
#paper

DM @",['1596659890122293248'],en
1596659836300668928,1135683696370040832,2022-11-27T00:19:04.000Z,@corbinmonice Hmu excellent grade guaranteed,['1596659836300668928'],en
1596659672253333504,1135683696370040832,2022-11-27T00:18:25.000Z,"RT @Crystalsolutio4: I offer the following quick academic solutions 
Anyone good at
who's good at
pay someone..
pay to do
assignment due
go…",['1596659672253333504'],en
1596659660014047232,1135683696370040832,2022-11-27T00:18:22.000Z,"RT @Crystalsolutio4: We are good at
Handle my 
calculus pay
fiance pay
physics pay.,
fall classes
essay pay,,,
chemistry
stats pay
math's p…",['1596659660014047232'],en
1596659648190328832,1135683696370040832,2022-11-27T00:18:19.000Z,"RT @Crystalsolutio4: We are good at
Handle my 
calculus pay
fiance pay
physics pay.,..,
fall classes
essay pay
chemistry
stats pay
math's p…",['1596659648190328832'],en
1596659636081688576,1135683696370040832,2022-11-27T00:18:16.000Z,"RT @Crystalsolutio4: We are good at
Handle my 
calculus pay
fiance pay
physics pay.,
fall classes
essay pay
chemistry
stats pay
math's pay…",['1596659636081688576'],en
1596659624257933312,1135683696370040832,2022-11-27T00:18:13.000Z,"RT @Crystalsolutio4: We are good at
Handle my 
calculus pay
fiance pay
physics pay.,
fall classes
essay pay
chemistry
stats pay
math's pay…",['1596659624257933312'],en
1596659367054430208,1135683696370040832,2022-11-27T00:17:12.000Z,"RT @Amandacrystals: We are good at
Handle my 
calculus pay
fiance pay
physics pay.,
fall classes
essay pay
chemistry
stats pay
math's pay
p…",['1596659367054430208'],en
