edit_history_tweet_ids,created_at,id,author_id,lang,text,geo
['1597031460049129474'],2022-11-28T00:55:46.000Z,1597031460049129474,504725987,en,@MissesDread Right now Twitter is a great way to get to the front of the internet. 🤷‍♀️,
['1597029380751912960'],2022-11-28T00:47:30.000Z,1597029380751912960,504725987,en,@DemKathyIRC Sooo pretty! Love all the Santas,
['1596975379428040705'],2022-11-27T21:12:55.000Z,1596975379428040705,504725987,en,@SirenInFlux That would be me,
['1596964958163841024'],2022-11-27T20:31:30.000Z,1596964958163841024,504725987,en,"@SirenInFlux Woo hoo!
Another name for my list",
['1596962557486542849'],2022-11-27T20:21:58.000Z,1596962557486542849,504725987,en,"@DemKathyIRC I think MAGA guy was reported - his garage was closed every time I drove by.
I'll have to make note of the address of the flag - it just says Governor asshat, so it may technically not be a violation 🙄",
['1596947046409592834'],2022-11-27T19:20:20.000Z,1596947046409592834,504725987,en,"Sigh..
HOA has no political signs policy.
A MAGA hangs his signs just inside the garage &amp; leaves the door open (also a violation)
Those little decorative garden flags are allowed...did you know they make them for DeSantis supporters? 🤮",
['1596906848208453634'],2022-11-27T16:40:36.000Z,1596906848208453634,504725987,en,@GeraldoRivera Oh fcuk NO on the pardon,
['1596906256945610754'],2022-11-27T16:38:15.000Z,1596906256945610754,504725987,en,"@sowegaCat We're numb
The terrorist had intended to shoot up a different festival - one that my daughter, her ex &amp; friends were working on &amp; attended.",
['1596903509726613505'],2022-11-27T16:27:20.000Z,1596903509726613505,504725987,en,@Gator_Food Yikes!!,
['1596676257131139072'],2022-11-27T01:24:19.000Z,1596676257131139072,504725987,en,"@samanthabaisden I LOVE to wrap and with kiddo grown, there isn't much to wrap.",
['1596659842038792193'],2022-11-27T00:19:05.000Z,1596659842038792193,504725987,en,@Tsiser45 Hugs,
['1596588265187864577'],2022-11-26T19:34:40.000Z,1596588265187864577,504725987,en,@Chicanatravels *could have 🤦,
['1596571867934035970'],2022-11-26T18:29:30.000Z,1596571867934035970,504725987,en,"No tree this year - heading to Michigan for the Holidays.
Thought this looked cute. https://t.co/9lrXgqVISy",
['1596520093328244736'],2022-11-26T15:03:46.000Z,1596520093328244736,504725987,en,"@Chicanatravels Excellent advice
This pic could of easily been ruined. Thankfully, the cheating boyfriend of one of the nieces arrived the day after this was taken https://t.co/GvkqQTAlnW",
['1596517319735480324'],2022-11-26T14:52:45.000Z,1596517319735480324,504725987,en,@Susie27639800 @fitswimmer09 @nathaliejacoby1 They sort of did...  https://t.co/ggyzIeuFeP,
['1596515832682651648'],2022-11-26T14:46:50.000Z,1596515832682651648,504725987,en,@nathaliejacoby1 Home https://t.co/ItFSwULUHN,
['1596365875388743681'],2022-11-26T04:50:58.000Z,1596365875388743681,504725987,en,"@notcapnamerica The JW Marriott in Buckhead (Atlanta) due to the circumstances - it connected to the Mall &amp; it was tax free weekend. Flew 14 in to meet me. She saw the bug fluffy beds in our room, flopped on it and said ""I feel like a Princess"". Had to buy a suitcase for our purchases.",
['1596345126699536384'],2022-11-26T03:28:31.000Z,1596345126699536384,504725987,en,@MemphisBelle111 @justinkcomer I worked in the Indy Federal Bldg. Can't tell you how many times the parents of the daughter's high school friends couldn't believe I let her go downtown.. SMDH,
['1596278970764627968'],2022-11-25T23:05:38.000Z,1596278970764627968,504725987,en,"The outside holiday lights were NOT cooperating.
I turned on Holly on @SIRIUSXM
The 2nd song was my favorite! (I'm lucky if I even hear it at all)
The Waitresses - Christmas Wrapping 🎅🤶
https://t.co/vJzAzV38yR",
['1596209757383438337'],2022-11-25T18:30:36.000Z,1596209757383438337,504725987,en,"@artnmusic4life Oh! It's clear
I saw that last night and my brain couldn't comprehend what I was seeing.
Really weird",
['1596209037376364544'],2022-11-25T18:27:45.000Z,1596209037376364544,504725987,en,"@DemKathyIRC We've had 6 cats over the years. Only one tried to go up the tree and only one time. They all loved to sit under it though.
Hoping for the best. https://t.co/kx0RyDZXs1",
