edit_history_tweet_ids,text,id,created_at,author_id,lang
['1596997736469233664'],RT @barbypada: νύχτα ☾✰ night ☾✰ https://t.co/V3f8wQ4Zbq,1596997736469233664,2022-11-27T22:41:45.000Z,826105154139254784,und
['1596997504494891008'],RT @Snezana01508345: Winter evening!❄️ https://t.co/7lmPjWe3pP,1596997504494891008,2022-11-27T22:40:50.000Z,826105154139254784,en
['1596997487105298432'],RT @GholamKaren: https://t.co/4eiuQoK3sf,1596997487105298432,2022-11-27T22:40:46.000Z,826105154139254784,zxx
['1596997462937387008'],RT @L_A_2710: Good night 💙 https://t.co/KFdLR4jIeO,1596997462937387008,2022-11-27T22:40:40.000Z,826105154139254784,en
['1596997439579639808'],RT @WendyWatson222: https://t.co/4cQ6RHJ1EH,1596997439579639808,2022-11-27T22:40:35.000Z,826105154139254784,zxx
['1596997407044415488'],RT @gontanokoneroku: Nerine 😉 https://t.co/Rq98eFHSuP,1596997407044415488,2022-11-27T22:40:27.000Z,826105154139254784,tr
['1596997389612511233'],RT @alltheblueroses: our souls https://t.co/H1fTHqvEbW,1596997389612511233,2022-11-27T22:40:23.000Z,826105154139254784,fr
['1596992376719171585'],"RT @HossainNilofar: “Let me be, was all I wanted. 
Be what I am, no matter how I am.”

― Henry Miller

Édouard Boubat, France, 1954 https:/…",1596992376719171585,2022-11-27T22:20:27.000Z,826105154139254784,en
['1596992311946547200'],RT @Beautyofuniver4: Hawaii https://t.co/wZckPUcWIl,1596992311946547200,2022-11-27T22:20:12.000Z,826105154139254784,en
['1596992251363995649'],RT @WendyWatson222: https://t.co/mgOIAyjtPg,1596992251363995649,2022-11-27T22:19:58.000Z,826105154139254784,zxx
['1596992199857950720'],RT @WendyWatson222: https://t.co/a7SLgAfL56,1596992199857950720,2022-11-27T22:19:45.000Z,826105154139254784,zxx
['1596992171424747520'],RT @jerritama: https://t.co/tGquE60vct,1596992171424747520,2022-11-27T22:19:39.000Z,826105154139254784,zxx
['1596992156819804161'],"RT @SRKUniverse: We feel every SRKian's #Mannat right now is to click a selfie with the sparkling nameplate 💎🤳🏻
@ayushmannk on Instagram 📸…",1596992156819804161,2022-11-27T22:19:35.000Z,826105154139254784,en
['1596977148157259776'],RT @TLeoni311: Good evening https://t.co/BqJlnjKOzx,1596977148157259776,2022-11-27T21:19:57.000Z,826105154139254784,en
['1596977117627310087'],RT @ReneChampion1: https://t.co/oqgfo1JKmb,1596977117627310087,2022-11-27T21:19:49.000Z,826105154139254784,zxx
['1596977088359464960'],RT @Aleksan52094351: Good evening 🧡 https://t.co/xwGbYyY98s,1596977088359464960,2022-11-27T21:19:42.000Z,826105154139254784,en
['1596977003076329472'],"RT @marysia_cc: Ohkii Studio ( Angela Mckay )
cozy evening https://t.co/2eU73seBrI",1596977003076329472,2022-11-27T21:19:22.000Z,826105154139254784,en
['1596976885971718144'],RT @rirarinrin12: 𝔾𝕠𝕠𝕕 𝕞𝕠𝕣𝕟𝕚𝕟𝕘🤍❀.*･ﾟ https://t.co/jANL4VtJj5,1596976885971718144,2022-11-27T21:18:54.000Z,826105154139254784,en
['1596962489862086656'],RT @WendyWatson222: https://t.co/pmjrrAn9MW,1596962489862086656,2022-11-27T20:21:42.000Z,826105154139254784,zxx
['1596962463186325504'],RT @L_A_2710: Good evening 💙 https://t.co/zPNr32PvHu,1596962463186325504,2022-11-27T20:21:36.000Z,826105154139254784,en
['1596962406793883648'],RT @dodo: Dog has been riding his horse BFF since he was a puppy — now he steals carrots from the cabinet and gives them to her 🥕🥕🥕 https:/…,1596962406793883648,2022-11-27T20:21:22.000Z,826105154139254784,en
['1596962382491680768'],"RT @MomiraMonika: To see one thing
you must touch to its opposite
~ by the shadow you go to the light
~ by indifference you reach to love ~…",1596962382491680768,2022-11-27T20:21:16.000Z,826105154139254784,en
['1596962347305775104'],"RT @madrugada_m: Kommt seine Zeit, dann schwindet das Dunkel,
funkelt das wiedergeborene Licht. 
Nichts ist zu Ende. Alles geht weiter.
Und…",1596962347305775104,2022-11-27T20:21:08.000Z,826105154139254784,de
['1596962024072032257'],RT @Bell_live03: 𝐵 𝑙 𝑒 𝑒 𝑠  𝑦 𝑜 𝑢 ❦ https://t.co/UnMuEDjkIA,1596962024072032257,2022-11-27T20:19:51.000Z,826105154139254784,en
['1596961998759399425'],RT @Bijoy176: গোলাপ ৮৫ https://t.co/vbm1dQLtLh,1596961998759399425,2022-11-27T20:19:45.000Z,826105154139254784,bn
['1596961882644287489'],RT @WendyWatson222: https://t.co/nwsinu6Wo6,1596961882644287489,2022-11-27T20:19:17.000Z,826105154139254784,zxx
['1596961859646595072'],RT @Mlifephoto: Serenity along the river 🕊 …. https://t.co/cp6CrErTkJ,1596961859646595072,2022-11-27T20:19:12.000Z,826105154139254784,en
['1596961795029479425'],RT @kedimaya20: https://t.co/Wqb600ZiOB,1596961795029479425,2022-11-27T20:18:56.000Z,826105154139254784,zxx
['1596961768727015424'],"RT @KansasTrueheart: A shimmering star #zooming 
across the night sky
Precious gold in my eyes…
‘Twas you!  🧡💫

#15wordspoet 

      📸 Me h…",1596961768727015424,2022-11-27T20:18:50.000Z,826105154139254784,en
['1596961699147309056'],RT @natureblossm: https://t.co/0IACxmwXaS,1596961699147309056,2022-11-27T20:18:33.000Z,826105154139254784,zxx
['1596961675130781697'],RT @natural_views2: Finland 🇫🇮 https://t.co/jecEFmWcS4,1596961675130781697,2022-11-27T20:18:28.000Z,826105154139254784,de
['1596961653802737664'],RT @WendyWatson222: https://t.co/57vTk170j4,1596961653802737664,2022-11-27T20:18:23.000Z,826105154139254784,zxx
['1596961635713028096'],RT @L_A_2710: 💙 https://t.co/lLjWcCZApA,1596961635713028096,2022-11-27T20:18:18.000Z,826105154139254784,und
['1596947835567865856'],RT @nerissaemy_520: 🌨️❄️ Canada 🇨🇦 https://t.co/Aaq340PIFy,1596947835567865856,2022-11-27T19:23:28.000Z,826105154139254784,es
['1596947770195447808'],RT @ReneChampion1: https://t.co/eYGyO0Ul8V,1596947770195447808,2022-11-27T19:23:12.000Z,826105154139254784,zxx
['1596947728801464320'],"RT @LEA86680530: Dolomites at sunset
Italy
Photo by vadaka1986 🌟🌟🌟 https://t.co/uTiRmIPqBY",1596947728801464320,2022-11-27T19:23:03.000Z,826105154139254784,en
['1596947652666888192'],RT @TLeoni311: Peaceful night for all https://t.co/27UpSMCooi,1596947652666888192,2022-11-27T19:22:44.000Z,826105154139254784,en
['1596947631607263232'],RT @Leticia35170144: Sequoia National Park 🏞️ California.. USA 🇺🇸🇺🇸 https://t.co/SOyJCEsFRR,1596947631607263232,2022-11-27T19:22:39.000Z,826105154139254784,it
['1596947603799019520'],RT @gregcatarino1: let it snow https://t.co/K1j0BpsuW6,1596947603799019520,2022-11-27T19:22:33.000Z,826105154139254784,en
['1596947575654912000'],"RT @SRKUniverse: Celebrating #19YearsOfKalHoNaaHo ❤️ #ShahRukhKhan as Aman Mathur, literally that angel in Naina's life she once prayed for…",1596947575654912000,2022-11-27T19:22:26.000Z,826105154139254784,en
['1596942933802254336'],"RT @natural_views2: Wernigerode, Germany 🇩🇪 https://t.co/Cjd9guxAaF",1596942933802254336,2022-11-27T19:03:59.000Z,826105154139254784,en
['1596942889699135488'],RT @GatherCAST: https://t.co/l6daJbUS7b,1596942889699135488,2022-11-27T19:03:49.000Z,826105154139254784,zxx
['1596942850716942341'],RT @jin_nuko3: 💙💙 https://t.co/dTWFLcZQyX,1596942850716942341,2022-11-27T19:03:40.000Z,826105154139254784,und
['1596942826260291584'],"RT @HossainNilofar: “Only my books anoint me,
and a few friends,
those who reach into my veins.”

― Anne Sexton

ph/unknown https://t.co/hP…",1596942826260291584,2022-11-27T19:03:34.000Z,826105154139254784,en
['1596942736976150529'],RT @WendyWatson222: https://t.co/LZmp2HrCOX,1596942736976150529,2022-11-27T19:03:12.000Z,826105154139254784,zxx
['1596942713311866880'],RT @LoveSongs4Peace: Blooming wildflowers at Mt. Rainier in Washington  🇺🇸 https://t.co/ZtOpAlo03E,1596942713311866880,2022-11-27T19:03:07.000Z,826105154139254784,en
['1596942683901075456'],RT @MirkoVasi2: I wish you a romantic beautiful evening to all 💫🌔💚❄️🤍 https://t.co/19c9qZ9772,1596942683901075456,2022-11-27T19:03:00.000Z,826105154139254784,en
['1596942657657634818'],RT @eventis07: https://t.co/zyVLHyNzyZ,1596942657657634818,2022-11-27T19:02:54.000Z,826105154139254784,zxx
['1596942631422283776'],RT @1dogaci: https://t.co/7o9ooNsVUV,1596942631422283776,2022-11-27T19:02:47.000Z,826105154139254784,zxx
['1596942613751681024'],"RT @SteinHarmonie: ❄️Guten Morgen ☀️
          wünsche euch ein schönes 
               Wochenende ❄️⛄️❄️ https://t.co/UhISsJ1FuG",1596942613751681024,2022-11-27T19:02:43.000Z,826105154139254784,de
['1596942572580401152'],RT @vip88d: Good afternoon! https://t.co/zPYIokvm5H,1596942572580401152,2022-11-27T19:02:33.000Z,826105154139254784,en
['1596942547158720514'],RT @DreamPicture56: Switzerland https://t.co/va1rmekZeE,1596942547158720514,2022-11-27T19:02:27.000Z,826105154139254784,en
['1596942519287545857'],RT @Snezana01508345: Magic winter!❄️ https://t.co/u4keeoIN82,1596942519287545857,2022-11-27T19:02:21.000Z,826105154139254784,en
['1596942489365073920'],RT @L_A_2710: 💙 https://t.co/c0KW80Dvv6,1596942489365073920,2022-11-27T19:02:13.000Z,826105154139254784,und
['1596942460105592834'],"RT @Sofistikada06: :¨·.·¨:
 `·..🎀  

  ━━━━━━━━━━━━━━━━━━━🎀━━ https://t.co/iF9QyyZ5qp",1596942460105592834,2022-11-27T19:02:06.000Z,826105154139254784,und
['1596942427612676098'],RT @OMarlene094527: Evening. https://t.co/REZqkUpVCz,1596942427612676098,2022-11-27T19:01:59.000Z,826105154139254784,en
['1596942405693235200'],RT @Reba00720Reba: 📸Julia Ivanina https://t.co/EvzvUmcJI2,1596942405693235200,2022-11-27T19:01:53.000Z,826105154139254784,fi
['1596942355109933056'],"RT @cheeky_cherry1: Hi hope y'all doing good have a beautiful blessed evening my lovelies
💫💗💫✨🥰 https://t.co/9ska2mcYQI",1596942355109933056,2022-11-27T19:01:41.000Z,826105154139254784,en
['1596942337535791105'],RT @natural_views2: Neuschwanstein Castle 🏰 https://t.co/ElfD5LVw5k,1596942337535791105,2022-11-27T19:01:37.000Z,826105154139254784,de
['1596942307848511488'],"RT @dodo: Foster dog who's scared of the vacuum sneaks into the husky's crate for cuddles ❤️

Special thanks to Phelps, Crystal &amp; Pawsitive…",1596942307848511488,2022-11-27T19:01:30.000Z,826105154139254784,en
['1596940651765305345'],RT @dodo: Baby herons who fell from their nest needed help — watch the moment they fly back into the wild 😍 @HopeForPaws https://t.co/hMNvE…,1596940651765305345,2022-11-27T18:54:55.000Z,826105154139254784,en
['1596940633138417664'],RT @jacolek1981: Good Evening ❄ 🇫🇮 https://t.co/LUvpbAJDs9,1596940633138417664,2022-11-27T18:54:51.000Z,826105154139254784,en
['1596940588355530753'],RT @DreamPicture56: Vietnam https://t.co/Ah5FUIGuuQ,1596940588355530753,2022-11-27T18:54:40.000Z,826105154139254784,vi
['1596940535050424320'],"RT @whereisthiss_: The Himalayas mountains pass through the nations of India, Pakistan, Afghanistan, China, Bhutan and Nepal. https://t.co/…",1596940535050424320,2022-11-27T18:54:27.000Z,826105154139254784,en
['1596940521112358912'],RT @AnnaART89333: https://t.co/piM344oUZR,1596940521112358912,2022-11-27T18:54:24.000Z,826105154139254784,zxx
['1596940506453274626'],RT @WendyWatson222: https://t.co/ZkWq8tAhSA,1596940506453274626,2022-11-27T18:54:21.000Z,826105154139254784,zxx
['1596940476988280832'],"RT @emily_anna1995: Beautiful Night Photo!
#nature #NaturePhotography https://t.co/9gbEX22LgK",1596940476988280832,2022-11-27T18:54:14.000Z,826105154139254784,en
['1596940438321389570'],"RT @MARY_ESMAEELI: ⭐️
Good evening 

#nature #photography https://t.co/0qHwgQyLBD",1596940438321389570,2022-11-27T18:54:04.000Z,826105154139254784,en
['1596940419757387776'],RT @gregcatarino1: https://t.co/aGRJaPPN4W,1596940419757387776,2022-11-27T18:54:00.000Z,826105154139254784,zxx
['1596940379999285248'],RT @alltheblueroses: full of light https://t.co/bqeIYAn3rG,1596940379999285248,2022-11-27T18:53:50.000Z,826105154139254784,en
['1596908178587148289'],RT @eventis07: https://t.co/utQRHbrpuY,1596908178587148289,2022-11-27T16:45:53.000Z,826105154139254784,zxx
['1596906317406666755'],"RT @ramblingsloa: It’s your road, and yours alone.
Others may walk it with you,
But no one can walk it for you.

Rumi https://t.co/6MYnk8WC…",1596906317406666755,2022-11-27T16:38:29.000Z,826105154139254784,en
['1596896445805711360'],RT @jean192827: https://t.co/tIu9eK7KUY,1596896445805711360,2022-11-27T15:59:16.000Z,826105154139254784,zxx
['1596896425765662721'],"RT @OfEarth8: Grindelwald ,Switzerland 🇨🇭💙🇨🇭 https://t.co/z7iHKSbOQK",1596896425765662721,2022-11-27T15:59:11.000Z,826105154139254784,de
['1596896399517315073'],"RT @Monica85198503: “The magic words for a great relationship are, 
‘I love you just the way you are.’”

~ Jonathan Lockwood Huie

𝐵𝑖𝑙𝑙𝑦 𝐽𝑜…",1596896399517315073,2022-11-27T15:59:05.000Z,826105154139254784,en
['1596896231183482886'],RT @ILdiko_: Evening✨ https://t.co/3syq3fSvSp,1596896231183482886,2022-11-27T15:58:25.000Z,826105154139254784,en
['1596896185889218562'],"RT @MARY_ESMAEELI: 🌸
Work hard and Never give up. 

#nature #photography https://t.co/lkvXcQFNSq",1596896185889218562,2022-11-27T15:58:14.000Z,826105154139254784,en
['1596896152921591808'],RT @juliegillan1: https://t.co/JH6DIuzfh8,1596896152921591808,2022-11-27T15:58:06.000Z,826105154139254784,zxx
['1596896060643082240'],RT @__Earthpictures: https://t.co/ppL10NUCmN,1596896060643082240,2022-11-27T15:57:44.000Z,826105154139254784,zxx
['1596896022005186560'],RT @TheGemofSinCity: https://t.co/NC19979CpI,1596896022005186560,2022-11-27T15:57:35.000Z,826105154139254784,zxx
['1596895961858846720'],"RT @vlady_elena: Life is a journey…   Inari, Finland 🇫🇮  ©️aala_oth. https://t.co/TKr1XgnAQg",1596895961858846720,2022-11-27T15:57:20.000Z,826105154139254784,en
['1596895780278861825'],RT @__Earthpictures: https://t.co/Bf8iHDTg5F,1596895780278861825,2022-11-27T15:56:37.000Z,826105154139254784,zxx
['1596895660808232960'],"RT @gregcatarino1: Ukrainian artist Olena Papka (b.1990)
It's Time to Get Warmer, 2022 https://t.co/xdOdMmyPo0",1596895660808232960,2022-11-27T15:56:09.000Z,826105154139254784,en
['1596895640977829888'],"RT @InsatiableVVIP: For You 

🌺💕❤️🌷 https://t.co/esNAWrb3ch",1596895640977829888,2022-11-27T15:56:04.000Z,826105154139254784,en
['1596895578868240384'],"RT @natural_views2: Lofoten, Norway 🇳🇴 https://t.co/TZ7c5uShrH",1596895578868240384,2022-11-27T15:55:49.000Z,826105154139254784,no
['1596895520126967808'],"RT @Jakub_Senko_: Alaska ,,, #places #nature #photo #photography #naturephotography #travelphotography #travel #beauty #winter #mountains #…",1596895520126967808,2022-11-27T15:55:35.000Z,826105154139254784,eu
['1596895442381733888'],RT @whereisthiss_: For the love of Italy! 🇮🇹 https://t.co/zno3mHmf7C,1596895442381733888,2022-11-27T15:55:17.000Z,826105154139254784,en
['1596895385125261312'],RT @ClaudiaMelissen: https://t.co/9MlzANLIth,1596895385125261312,2022-11-27T15:55:03.000Z,826105154139254784,zxx
['1596895321585758208'],"RT @giannis2221963: Lake Bled, Slovenia 🇸🇮📷© Ales Krivec https://t.co/osJCwAgcqu",1596895321585758208,2022-11-27T15:54:48.000Z,826105154139254784,no
['1596895285086932992'],RT @guerrinodezi1: #NewYork. https://t.co/ZI2ixX6uJQ,1596895285086932992,2022-11-27T15:54:39.000Z,826105154139254784,und
['1596895241285541889'],"RT @gregcatarino1: Olga Kvasha

morning https://t.co/NefSc5buT3",1596895241285541889,2022-11-27T15:54:29.000Z,826105154139254784,et
['1596895178274770944'],"RT @princess324324: Miracles happen to those who believe in them.

Bernard Berenson https://t.co/TuQGnjbYvN",1596895178274770944,2022-11-27T15:54:14.000Z,826105154139254784,en
['1596895149581557767'],RT @RITZ1540469181: Peace... https://t.co/URvhH2aT4v,1596895149581557767,2022-11-27T15:54:07.000Z,826105154139254784,en
['1596895034208649216'],RT @MirkoVasi2: Good morning dear friends ❄️☕🌞 https://t.co/01IGUEsprl,1596895034208649216,2022-11-27T15:53:39.000Z,826105154139254784,en
['1596895009525370881'],RT @AnnMari11331462: Happy Sunday!😇✨ https://t.co/oNNY0qR2xu,1596895009525370881,2022-11-27T15:53:33.000Z,826105154139254784,en
['1596894978143563776'],"RT @Sofistikada06: :¨·.·¨:
 `·..🐰  

𝑺𝒂𝒍𝒖𝒅𝒐𝒔👋   
  ━━━━━━━━━━━━━━━━━━━━━━ https://t.co/LjW9W4LvFT",1596894978143563776,2022-11-27T15:53:26.000Z,826105154139254784,es
['1596894963505442817'],RT @flow1022: ❄️☕️ Mesmerizing morning... 💜 💫 https://t.co/0cBxHDmBaL,1596894963505442817,2022-11-27T15:53:22.000Z,826105154139254784,en
['1596894939476291586'],RT @RashadaWrites: white nature view! https://t.co/qKQuEPKsA5,1596894939476291586,2022-11-27T15:53:17.000Z,826105154139254784,en
