id,edit_history_tweet_ids,created_at,author_id,text,lang
1597052081067954177,['1597052081067954177'],2022-11-28T02:17:42.000Z,119613547,@mikegolicjr 😂😂😂,und
1596962319250386944,['1596962319250386944'],2022-11-27T20:21:01.000Z,119613547,"I love Lucas Oil Stadium but it’s hard not imagine how much more dedicated the fan base would be if it was an outdoor field like they have in Philly, Cleveland and Pittsburgh. 

You have to dedicated to spend 2 hours watching your team get smacked on a 19 degree day.",en
1596895496219820032,['1596895496219820032'],2022-11-27T15:55:29.000Z,119613547,Never loathed a song until ‘Classic Man’.,en
1596894996476858368,['1596894996476858368'],2022-11-27T15:53:30.000Z,119613547,"Let’s relax now, ‘24 Hours’ is timeless. https://t.co/TdXwhpi2zf",en
1596894679299395584,['1596894679299395584'],2022-11-27T15:52:15.000Z,119613547,Absolutely not! That’d be ‘Team Rocket’ https://t.co/a1khyQCe28,en
1596765548062199808,['1596765548062199808'],2022-11-27T07:19:07.000Z,119613547,Jordan. Pippen. 🏆,sv
1596643425725845504,['1596643425725845504'],2022-11-26T23:13:51.000Z,119613547,Just heard Baby Keem out shine Drake with his unreleased verse on ‘What’s Next’ and now it’s forever his song.,en
1596629485947949057,['1596629485947949057'],2022-11-26T22:18:28.000Z,119613547,"Grateful to not have any regrets. 

To have them would suggest I’m not living, learning or loving in good faith.",en
1596628220237209602,['1596628220237209602'],2022-11-26T22:13:26.000Z,119613547,You never really know how much time you really had until you think about the time in your life where you thought dating multiple people at the same time was practical or even productive.,en
1596543327872389120,['1596543327872389120'],2022-11-26T16:36:06.000Z,119613547,Need that Vezzo Gangsta Grillz right now.,en
1596500314123014149,['1596500314123014149'],2022-11-26T13:45:11.000Z,119613547,"For as oily as my skin can be, it’s been A1 over the years. However, since switching my moisturizer to La Roache Posay, you’d think I’d be using Facetune IRL.",en
1596497724697894912,['1596497724697894912'],2022-11-26T13:34:53.000Z,119613547,"You ever feel like you’re being prepared for a craze run? Ever since the leaves changed colors, life has done the same.

Love has me vibrating so high.",en
1596398644953219073,['1596398644953219073'],2022-11-26T07:01:11.000Z,119613547,Holidays are such a fried time of year.,en
1596340237617303554,['1596340237617303554'],2022-11-26T03:09:05.000Z,119613547,https://t.co/cVsoNIxOQO,zxx
1596338219179802624,['1596338219179802624'],2022-11-26T03:01:04.000Z,119613547,This might be the funniest Thanksgiving weekend ever and it just started.,en
1596283771070074882,['1596283771070074882'],2022-11-25T23:24:43.000Z,119613547,"Growing pains hurt but when you come out the other side, the next set of blessings come flowing your way to take you higher than you ever could imagine.",en
1596259889180975105,['1596259889180975105'],2022-11-25T21:49:49.000Z,119613547,"Once you accept that people after you will have a easier time, like you had a easier time than those before you, you’re in position to enjoy the ride of life.

You also get a better view of how generations can work together to make daily lives better for us as a whole.",en
1596251002948423680,['1596251002948423680'],2022-11-25T21:14:30.000Z,119613547,Manifest is the best retail shop in the country. A hub for freshness. Love it.,en
1596226209574273025,['1596226209574273025'],2022-11-25T19:35:59.000Z,119613547,RT @KdotJohnson_: Whole time RGF Island was better than all 4,en
1596224773737959424,['1596224773737959424'],2022-11-25T19:30:17.000Z,119613547,"I’d love an EP from the best dressed rappers right now in Aminé and Yachty.

It’d be a a fun listen and a clinic on song making which they do better than most.",en
1596219969754517510,['1596219969754517510'],2022-11-25T19:11:11.000Z,119613547,This feels like the Twitter I used to know. https://t.co/AMcRysEYAe,en
1596183761301176321,['1596183761301176321'],2022-11-25T16:47:19.000Z,119613547,RT @modiannee: Mariah Carey with Fly Like A Bird stilllllllllll takes me down omg.,en
1596183710579142657,['1596183710579142657'],2022-11-25T16:47:06.000Z,119613547,RT @Ye_Ali: we change lives over here,en
1596183650860732416,['1596183650860732416'],2022-11-25T16:46:52.000Z,119613547,She’s a problem. I love her style. https://t.co/XEGYg3aUTY,en
1596182780777746432,['1596182780777746432'],2022-11-25T16:43:25.000Z,119613547,https://t.co/q5WF9dasoD,zxx
1596143146584399872,['1596143146584399872'],2022-11-25T14:05:55.000Z,119613547,"Feeling good, feeling great, how are you?",en
1596004835589255169,['1596004835589255169'],2022-11-25T04:56:19.000Z,119613547,"Been fighting making the switch from Sprint to T-Mobile for a year straight. 

Every week, text alerts to upgrade and notifications to manage storage for videos. Ignoring blatant signs.

Loathe switching phones but it’s time.",en
1595847412190679040,['1595847412190679040'],2022-11-24T18:30:47.000Z,119613547,"You changed the doggy’s pedigree.
https://t.co/dSU9RU05IF",en
1595837592309796864,['1595837592309796864'],2022-11-24T17:51:45.000Z,119613547,"@amurdock_ii @__djdraftpick Nashville.

It’s more aligned to a southern run consisting of Louisville as a bridge and into Nashville, Charlotte and Atlanta.",en
1595831999943647233,['1595831999943647233'],2022-11-24T17:29:32.000Z,119613547,@amurdock_ii @__djdraftpick Cleveland. Definitely tap in with Co Creative out there. An agency that’s tapped in with the community there.,en
1595804386399232000,['1595804386399232000'],2022-11-24T15:39:48.000Z,119613547,Thankful for God’s will. 🤲,en
1595803065814339585,['1595803065814339585'],2022-11-24T15:34:34.000Z,119613547,@amurdock_ii @__djdraftpick Add St. Louis and Cleveland.,en
1595793094716559360,['1595793094716559360'],2022-11-24T14:54:56.000Z,119613547,Ancient exotic floral &amp; fresh oud.,en
1595791297373405185,['1595791297373405185'],2022-11-24T14:47:48.000Z,119613547,Beautiful &amp; Cozy. RIP J. Scott 🌹,en
1595786491762036738,['1595786491762036738'],2022-11-24T14:28:42.000Z,119613547,https://t.co/eCOt2D7EZf,zxx
1595784505138319363,['1595784505138319363'],2022-11-24T14:20:48.000Z,119613547,"I absolutely love how Jordan Brand has introduced the 2’s to the market. 

The collaborations have been A1. 

Not to mention the general releases have catered towards the maturation of the core fans via colorways that can work in multiple settings within their lifestyle.",en
1595744184673210369,['1595744184673210369'],2022-11-24T11:40:35.000Z,119613547,@p_cal @bourbonbay Wild 😂😂,en
1595597633095098368,['1595597633095098368'],2022-11-24T01:58:15.000Z,119613547,Acting. Up. https://t.co/CXgeA3qCDe,en
1595597124703584256,['1595597124703584256'],2022-11-24T01:56:13.000Z,119613547,RESPECT THE GAWD! https://t.co/p1bBPCnB8D,en
1595596619277561856,['1595596619277561856'],2022-11-24T01:54:13.000Z,119613547,RT @Ciahbesayin: working at Saks showed me this. you have trendsetters &amp; trend followers. one cares about how they feel &amp; the other cares a…,en
1595569120266915840,['1595569120266915840'],2022-11-24T00:04:57.000Z,119613547,"Same! Pretty sure it’s aligned to growth.

Be it in taste, understanding of oneself and that taking priority over time. https://t.co/ajkw88VH3J",en
1595532521520914440,['1595532521520914440'],2022-11-23T21:39:31.000Z,119613547,"Spending the last 8 months learning about watches taught me that no matter what the subject is, there’s people who buy what they like and there’s people who buy what indicates status.

From sneakers as a kid to watches as an adult, the only thing that changes are one’s pockets.",en
1595521197747347456,['1595521197747347456'],2022-11-23T20:54:31.000Z,119613547,We’re putting the best Jamaican food in Indianapolis conversation to rest.,en
1595519554557468692,['1595519554557468692'],2022-11-23T20:47:59.000Z,119613547,"Going to have fun making this mega mini city guide for Indianapolis for those in town for the weekend. 

At best, you discover the best meal at you favorite spot. At worst, you discover something new for the next time you’re in town. 

Guide drops tomorrow. 🦃",en
1595505485842681869,['1595505485842681869'],2022-11-23T19:52:05.000Z,119613547,"Mark Cuban put his money where his mouth is and created a better way.

Hope more players in healthcare step up and follow suit for humanity’s sake.",en
1595139866970697728,['1595139866970697728'],2022-11-22T19:39:15.000Z,119613547,Club Cargo? 🫡,en
1595114807707193345,['1595114807707193345'],2022-11-22T17:59:40.000Z,119613547,"An addictive 34 seconds at the top.
https://t.co/kt3i4fSE5L",en
1595113416984666112,['1595113416984666112'],2022-11-22T17:54:09.000Z,119613547,The jokes write themselves.,en
1594931870827155457,['1594931870827155457'],2022-11-22T05:52:45.000Z,119613547,"I love this Pacers squad. Just feels like we’re one more young piece away from a squad that can grow into a real threat.

Ideally, I’d love a diet Klay Thompson to compliment Chris Duarte off the bench.",en
1594930551584071682,['1594930551584071682'],2022-11-22T05:47:30.000Z,119613547,Tyrese Haliburton is an All-Star and also looks like he would’ve went to Pike High School.,en
1594858409790152704,['1594858409790152704'],2022-11-22T01:00:50.000Z,119613547,TJ McConnell needs that green light on the second unit. He hesitates too much when he’s open to create or let it fly.,en
1594855748688830465,['1594855748688830465'],2022-11-22T00:50:16.000Z,119613547,Ben Mathurin &gt; Paul George. No debate.,ht
1594803505088581639,['1594803505088581639'],2022-11-21T21:22:40.000Z,119613547,RT @4bouncin: this is an INDEPENDENT PROJECT.. released on her own did everything on her own and it had a massive impact on the music indus…,en
1594795455791386624,['1594795455791386624'],2022-11-21T20:50:41.000Z,119613547,RT @ThrowingFits: https://t.co/FJI3dKTE3j,zxx
1594793920839426052,['1594793920839426052'],2022-11-21T20:44:35.000Z,119613547,"One of the greatest melodies ever.
https://t.co/Vw0y655aH4",en
1594793172663672835,['1594793172663672835'],2022-11-21T20:41:36.000Z,119613547,And did. He floated on that beat too. https://t.co/9iUvsQGVSN,en
1594791656708280320,['1594791656708280320'],2022-11-21T20:35:35.000Z,119613547,"Spotify needs to make a collaborative playlist consisting of music for baddies.

Wrap the Year up with 50 of the most quintessential songs that year. 

cc: @OurFrequency",en
1594788983812268049,['1594788983812268049'],2022-11-21T20:24:58.000Z,119613547,If Doja Cat ever blesses us with a live album all will be right in the world.,en
1594788150190153752,['1594788150190153752'],2022-11-21T20:21:39.000Z,119613547,Uzi &amp; Don Toliver deserve room. https://t.co/Mtqx2o2hpW,en
1594786361986674688,['1594786361986674688'],2022-11-21T20:14:33.000Z,119613547,RT @gorddihiryn: We need a new Stove God Cooks album fr.,en
1594785619468816392,['1594785619468816392'],2022-11-21T20:11:36.000Z,119613547,"Was listening to ‘Institution’ over the weekend and came to the conclusion Kodak is getting 21 out of here in a Verzuz. With much ease, I fear.",en
1594784788078292992,['1594784788078292992'],2022-11-21T20:08:17.000Z,119613547,Oh so sexy. More of this. Less of that. https://t.co/MYqxVRLyFn,en
1594781392986337280,['1594781392986337280'],2022-11-21T19:54:48.000Z,119613547,"You’re going to let me know how emotionally mature you are by how you respond to feeling rejected or told no. 

It’s ok to be annoyed and even frustrated but being passive aggressive or shutting down is unacceptable around me. 

Use your words to express yourself.",en
1594778952023019520,['1594778952023019520'],2022-11-21T19:45:06.000Z,119613547,"If you need a favor from someone, it’s only courteous to give them a notice 3 days before you’d like the task done.",en
1594748830255558656,['1594748830255558656'],2022-11-21T17:45:24.000Z,119613547,RT @terracemartin: Music is a love language,en
1594738662603898885,['1594738662603898885'],2022-11-21T17:05:00.000Z,119613547,Future with his album ‘Honest’ https://t.co/DNr9H7qrbb,en
1594719853184798722,['1594719853184798722'],2022-11-21T15:50:16.000Z,119613547,https://t.co/XhIRfTUvua,zxx
1594709640532598784,['1594709640532598784'],2022-11-21T15:09:41.000Z,119613547,Never not supporting folks who stand on their own two feet and create their own motion because I respect the work you have to put in to get shit cracking.,en
1594686396530302976,['1594686396530302976'],2022-11-21T13:37:19.000Z,119613547,"990v6 got me ready to come back home.

As childish as it may be, I had to cool off on NB because it got too way hot with resellers and their marketplaces messing up the game to be honest.

The silhouette on the V6 is the best ever.
And that Action Bronson CW is craze!!!!",en
1594680120962334722,['1594680120962334722'],2022-11-21T13:12:23.000Z,119613547,"Grateful for a great night of rest followed by a fresh shave and a hot shower. 

Learning it’s the small things that can make all the difference in how you feel.",en
1594479822457249793,['1594479822457249793'],2022-11-20T23:56:28.000Z,119613547,I love weekends like this where the laughter is heavy and the love is abundant. Praise to the most high.,en
1594392652606500864,['1594392652606500864'],2022-11-20T18:10:05.000Z,119613547,https://t.co/OHskXPjQZT,zxx
1594362156543537152,['1594362156543537152'],2022-11-20T16:08:54.000Z,119613547,"Rest In Peace to the legend, George Lois!",en
1594222242384207874,['1594222242384207874'],2022-11-20T06:52:56.000Z,119613547,What a night. The goose is looose.,en
1594154930452979713,['1594154930452979713'],2022-11-20T02:25:28.000Z,119613547,Hendricks Catering need to open a carry-out spot that opens 9pm-3am every third Saturday.,en
1594153379244433411,['1594153379244433411'],2022-11-20T02:19:18.000Z,119613547,BackOutsideBoyz.,en
1593751036568764421,['1593751036568764421'],2022-11-18T23:40:32.000Z,119613547,"Committing to no shaving till March, in pursuit of a full beard. Praying for connection through it all because a patchy beard is unbecoming at this age.",en
1593635995697778691,['1593635995697778691'],2022-11-18T16:03:24.000Z,119613547,@sydystyle Whole time she love it 😂,en
1593634965891203074,['1593634965891203074'],2022-11-18T15:59:18.000Z,119613547,"The goal is to finish each year better than the last mentally, physically or financially.

One way to not be in the same spot, doing the same thing on the same shit.

Can’t lose when you choose to grow.",en
1593623779787382784,['1593623779787382784'],2022-11-18T15:14:51.000Z,119613547,@sydystyle 😂😂 @ your disgust.,en
1593621519535570944,['1593621519535570944'],2022-11-18T15:05:52.000Z,119613547,Remember when you could RT with a fake tweet? Hilarious then but totally underdig the switch to quote retweets.,en
1593443580781203457,['1593443580781203457'],2022-11-18T03:18:49.000Z,119613547,One of my favorite tweets. 👑 https://t.co/a911l5qLAy,en
1593441740593287169,['1593441740593287169'],2022-11-18T03:11:30.000Z,119613547,RT @Juiceman513: “Tweet through it” was one of the first rules of twitter,en
1593439394156929025,['1593439394156929025'],2022-11-18T03:02:10.000Z,119613547,"If you want peace, eliminate “should” and “supposed to” from your vocabulary and move on what’s shown to you.",en
1593439010852024320,['1593439010852024320'],2022-11-18T03:00:39.000Z,119613547,"Mariah the Scientist got a 🖊 on her. 
That ‘Stone Cold’ hook been on loop.",en
1593438766001266690,['1593438766001266690'],2022-11-18T02:59:41.000Z,119613547,God been qualifying the call.,en
1593438484848529413,['1593438484848529413'],2022-11-18T02:58:34.000Z,119613547,"Ironically, the love outweighs the hate.",en
1593438221614034945,['1593438221614034945'],2022-11-18T02:57:31.000Z,119613547,"I want a mullet so bad. Business in the front, party in the back is a vibe.",en
1593437632691937281,['1593437632691937281'],2022-11-18T02:55:10.000Z,119613547,SZA is a 10 but her lies are egregious.,en
1593437181686808578,['1593437181686808578'],2022-11-18T02:53:23.000Z,119613547,Deion Sanders belongs in @NMAAHC,en
1593436753146179584,['1593436753146179584'],2022-11-18T02:51:41.000Z,119613547,"A wise man once said, you can only hold grudges when your hands are empty.",en
1593436084565835777,['1593436084565835777'],2022-11-18T02:49:01.000Z,119613547,Draft Day.,en
1593435719371980800,['1593435719371980800'],2022-11-18T02:47:34.000Z,119613547,Tiiiiiiiime is slipping away from meeeee.,en
1593432599027978240,['1593432599027978240'],2022-11-18T02:35:10.000Z,119613547,Because why not? Fleets Gone Wild. https://t.co/3pKoD4iXc9,en
1593432237109813250,['1593432237109813250'],2022-11-18T02:33:44.000Z,119613547,"When I was banned from Facebook, this app made room for my every thought that the teenage me swore needed to be said.

Literally grew up on Twitter. 

Experienced love, success, fallout and peace on this thing. It defined my 20’s.

For the new work, follow.
IG: PitchForPennies",en
1593362752243900417,['1593362752243900417'],2022-11-17T21:57:38.000Z,119613547,https://t.co/nPuWVgfq85,zxx
1593359395374628864,['1593359395374628864'],2022-11-17T21:44:17.000Z,119613547,Bstroy + Givenchy is what’s needed.,en
1593357647532552192,['1593357647532552192'],2022-11-17T21:37:20.000Z,119613547,Taylor Swift fans gotta take it to the streets for the March on Beverly Hills to Live Nation HQ and demand justice.,en
1593314436084809728,['1593314436084809728'],2022-11-17T18:45:38.000Z,119613547,Thank you for Instagram Archives. 😂,en
1593296836131004417,['1593296836131004417'],2022-11-17T17:35:42.000Z,119613547,Connecting the dots is an art.,en
