id,author_id,lang,text,edit_history_tweet_ids,created_at,geo
1596992833805615105,744368337732272128,en,The shirt that we brought together to match I be using it like if it was my only shirt 😂😊,['1596992833805615105'],2022-11-27T22:22:16.000Z,
1596962002215219201,744368337732272128,en,"I just prefer to be at home listening to music remembering all the good times we had while it lasted, than go out knowing I’m not going out with you …",['1596962002215219201'],2022-11-27T20:19:46.000Z,
1596961712913100801,744368337732272128,en,"Trust me, the day that ima stop smoking anything is so close…",['1596961712913100801'],2022-11-27T20:18:37.000Z,
1596928765162319873,744368337732272128,es,"Solo son bajones, nada grabé🥴 https://t.co/0eh4BxvhZG",['1596928765162319873'],2022-11-27T18:07:41.000Z,
1596581165275967488,744368337732272128,es,Llegó la hora😈 https://t.co/aE2No4FdC4,['1596581165275967488'],2022-11-26T19:06:27.000Z,
1596569045213409280,744368337732272128,es,"Buenos días, gracias porque al andar stalking your twitter i found Lana Del Rey music and im in love with her songs😫 https://t.co/f71lzhkSqo",['1596569045213409280'],2022-11-26T18:18:17.000Z,
1596378942654468101,744368337732272128,en,What a beautiful and sad memory 🥲 https://t.co/TxoZeKkbzs,['1596378942654468101'],2022-11-26T05:42:53.000Z,
1596326044130123777,744368337732272128,en,If I was a female I would definitely date myself🤣 I know im not pretty but there’s something about me that I love 🤙🏼😌 https://t.co/XY5WKmvuTs,['1596326044130123777'],2022-11-26T02:12:41.000Z,
1596323995187843072,744368337732272128,qme,#NewProfilePic https://t.co/WKKWlan4q9,['1596323995187843072'],2022-11-26T02:04:33.000Z,
1596320975834185728,744368337732272128,en,My happy place https://t.co/3JsvnFdFZM,['1596320975834185728'],2022-11-26T01:52:33.000Z,
1596320750826270720,744368337732272128,es,Empezar a escuchar a Lana Del Rey es tan legendario como saber que el álbum “views” de drake es el mas legendario de toda su carrera.,['1596320750826270720'],2022-11-26T01:51:39.000Z,
1596318786688536578,744368337732272128,und,🙌🏼 https://t.co/AcRJ3Ao5UJ,['1596318786688536578'],2022-11-26T01:43:51.000Z,
1596318673987596289,744368337732272128,und,🫶🏻😻 https://t.co/nLMi1Jai5n,['1596318673987596289'],2022-11-26T01:43:24.000Z,
1596318565899960320,744368337732272128,en,Twilight https://t.co/BKeATdL82f,['1596318565899960320'],2022-11-26T01:42:58.000Z,
1596318307531255808,744368337732272128,en,Saved meme https://t.co/wbnB5sCK32,['1596318307531255808'],2022-11-26T01:41:57.000Z,
1596318267559510017,744368337732272128,en,Carrusel 🎠 clouds ☁️ pier 39 https://t.co/T9kl935EET,['1596318267559510017'],2022-11-26T01:41:47.000Z,
1596318160314978304,744368337732272128,und,Sky https://t.co/C00sMJxKt5,['1596318160314978304'],2022-11-26T01:41:22.000Z,
1596317977061642240,744368337732272128,en,Thankful that I was part of your life,['1596317977061642240'],2022-11-26T01:40:38.000Z,
1596189986503548928,744368337732272128,en,Fuck I think it was a bad idea to start listening to Lana Del Rey😂🥺,['1596189986503548928'],2022-11-25T17:12:03.000Z,
1595965621308575744,744368337732272128,en,Happy thanksgiving💚,['1595965621308575744'],2022-11-25T02:20:30.000Z,
1595924642358710273,744368337732272128,es,Mi colocha🥰🥰🥰🥰 https://t.co/33K7TnKEO6,['1595924642358710273'],2022-11-24T23:37:40.000Z,
1595913662078005248,744368337732272128,en,Facts honey https://t.co/oHO5IZGoFf,['1595913662078005248'],2022-11-24T22:54:02.000Z,
1595477675631865857,744368337732272128,und,🤭 https://t.co/4u25nH4Yxd,['1595477675631865857'],2022-11-23T18:01:35.000Z,
1595109294172561408,744368337732272128,es,Buenos días buenos días buenos díaaaasssss https://t.co/ng6Kuv563u,['1595109294172561408'],2022-11-22T17:37:46.000Z,
1594803343683100690,744368337732272128,en,"Bro I think I’m going crazy, why do I feel bad knowing of the things you’re capable of doing just because of a argument that can be resolved by talking.",['1594803343683100690'],2022-11-21T21:22:01.000Z,
1594799736128675848,744368337732272128,zxx,https://t.co/FCTqTzr5fq,['1594799736128675848'],2022-11-21T21:07:41.000Z,
1594780568067063809,744368337732272128,und,😈 https://t.co/LhnBZhnYzJ,['1594780568067063809'],2022-11-21T19:51:31.000Z,
1594780405076357121,744368337732272128,en,"Fuck how I look, ima just post anything I want . https://t.co/OvDgRQNpi7",['1594780405076357121'],2022-11-21T19:50:52.000Z,
1594779925428334592,744368337732272128,en,I have died everyday waiting for you… https://t.co/LtDBCyu8ur,['1594779925428334592'],2022-11-21T19:48:58.000Z,
1594775897214660609,744368337732272128,zxx,https://t.co/jWkjrucGnf,['1594775897214660609'],2022-11-21T19:32:58.000Z,
1594626725413257216,744368337732272128,und,🥴 https://t.co/nUvz2C48FG,['1594626725413257216'],2022-11-21T09:40:12.000Z,
1594626186717585413,744368337732272128,es,Buenas noches https://t.co/ixxWz5yPCN,['1594626186717585413'],2022-11-21T09:38:04.000Z,
1594605979835908098,744368337732272128,und,🤖 https://t.co/zlPy59vAzS,['1594605979835908098'],2022-11-21T08:17:46.000Z,
1594605905492021250,744368337732272128,und,🔪 https://t.co/TG6SjVjo8V,['1594605905492021250'],2022-11-21T08:17:28.000Z,
1594601268181274624,744368337732272128,en,Just don’t play with that boy feelings 💯,['1594601268181274624'],2022-11-21T07:59:03.000Z,
1594528847705542657,744368337732272128,en,RT @lowkeeeeeyyyyy: bro i can’t afford another trauma,['1594528847705542657'],2022-11-21T03:11:16.000Z,
1594528757993287681,744368337732272128,es,RT @cIosefriiend: te quiero solo para miiiii,['1594528757993287681'],2022-11-21T03:10:55.000Z,
1594528162934726656,744368337732272128,es,Solo quedan los recuerdos🫠 https://t.co/EV1FPEUN9F,['1594528162934726656'],2022-11-21T03:08:33.000Z,
1594527650529173504,744368337732272128,und,😻 https://t.co/zX9HfxlKCn,['1594527650529173504'],2022-11-21T03:06:31.000Z,
1594524991067824128,744368337732272128,in,Kira https://t.co/NFU8hDjoDE,['1594524991067824128'],2022-11-21T02:55:57.000Z,
1594524760569827328,744368337732272128,es,14 Pro Max 💜🔮🎆 https://t.co/YM295jBuPU,['1594524760569827328'],2022-11-21T02:55:02.000Z,
1594524437453234176,744368337732272128,und,🫑 https://t.co/yuUsniIzOA,['1594524437453234176'],2022-11-21T02:53:45.000Z,
1594524009848135680,744368337732272128,es,Culona 🍑 https://t.co/DuKKsqk1U3,['1594524009848135680'],2022-11-21T02:52:03.000Z,
1594523776451952641,744368337732272128,en,"Falling Down
😷 https://t.co/s6pFqiIdCX",['1594523776451952641'],2022-11-21T02:51:07.000Z,
1594523614958608385,744368337732272128,en,Old “I miss high school”😓 https://t.co/c0esvq5elq,['1594523614958608385'],2022-11-21T02:50:29.000Z,
1594522569574866944,744368337732272128,en,Slim Shady 🪓🔪⚰️ https://t.co/foPmWgepDI,['1594522569574866944'],2022-11-21T02:46:20.000Z,
1594522115499208704,744368337732272128,und,👸🏻 https://t.co/CAKf56bdfD,['1594522115499208704'],2022-11-21T02:44:31.000Z,
1594521601042575361,744368337732272128,und,🚬🌆🌁🍁 https://t.co/lhkJFmqySu,['1594521601042575361'],2022-11-21T02:42:29.000Z,
1594521323203543040,744368337732272128,und,😮‍💨 https://t.co/xcwJoebVrf,['1594521323203543040'],2022-11-21T02:41:22.000Z,
1594521264722350085,744368337732272128,und,🐐🐐 https://t.co/30Ud1FyxYl,['1594521264722350085'],2022-11-21T02:41:08.000Z,
1594521179372818432,744368337732272128,und,😞 https://t.co/WiTYQCqnqq,['1594521179372818432'],2022-11-21T02:40:48.000Z,
1594521126054825984,744368337732272128,und,🧘🏻‍♂️🎮 https://t.co/t73zYmxsnl,['1594521126054825984'],2022-11-21T02:40:35.000Z,
1594520917480116224,744368337732272128,und,🚨 https://t.co/xCkzsO6XZr,['1594520917480116224'],2022-11-21T02:39:46.000Z,
1594520767374323712,744368337732272128,und,🎳 https://t.co/rjT3dIBqmV,['1594520767374323712'],2022-11-21T02:39:10.000Z,
1594520545134931968,744368337732272128,und,🥲 https://t.co/P0tvGt3xLt,['1594520545134931968'],2022-11-21T02:38:17.000Z,
1594520484481073152,744368337732272128,und,🤭 https://t.co/odfbyejwcG,['1594520484481073152'],2022-11-21T02:38:02.000Z,
1594520441397202944,744368337732272128,und,🤲🏼 https://t.co/hy33VWuIir,['1594520441397202944'],2022-11-21T02:37:52.000Z,
1594520335122018307,744368337732272128,und,👍🏼 https://t.co/OZ7CHJr5kZ,['1594520335122018307'],2022-11-21T02:37:27.000Z,
