lang,text,author_id,created_at,id,edit_history_tweet_ids,withheld
ur,"RT @JackThe07417105: 22 ایف آئی آر ! 
گستاخ رسول ہیں کیا ؟ https://t.co/zgh0i7Awkw",303495844,2022-11-28T04:08:38.000Z,1597079999109943297,['1597079999109943297'],
en,@sapnajoshi122 Good morning~,303495844,2022-11-28T04:03:24.000Z,1597078680269832192,['1597078680269832192'],
en,50 commercial entities being run by armed forces https://t.co/YDf15VTLR2 .,303495844,2022-11-28T03:56:24.000Z,1597076921166094337,['1597076921166094337'],
en,50 commercial entities being run by armed forces https://t.co/YDf15VTLR2,303495844,2022-11-28T03:56:04.000Z,1597076836852252674,['1597076836852252674'],
en,Pakistani army’s ‘$20bn’ business https://t.co/U2IwmiWiZN via @AJEnglish,303495844,2022-11-28T03:55:27.000Z,1597076681990504449,['1597076681990504449'],
hi,@ShekharGupta :) Ram Ram keee loot haa...Loot sakaay tu loot laay  ~,303495844,2022-11-28T03:52:05.000Z,1597075834099015680,['1597075834099015680'],
en,Pakistan orders an investigation into an alleged leak of confidential tax documents after an online news portal published a report about the army chief's family wealth https://t.co/4oSokzd0Dp via @bpolitics,303495844,2022-11-28T03:48:10.000Z,1597074849490272256,['1597074849490272256'],
en,Expose on Gen Bajwa family’s ‘sudden riches’ &amp; Pakistan Army generals’ l... https://t.co/z3LgCbWlpW via @YouTube,303495844,2022-11-28T03:45:31.000Z,1597074180683415552,['1597074180683415552'],
en,"RT @carlesdijous: 5 things you need to know about re:Invent, #AWS's biggest #cloud #event of the year. https://t.co/tWIZhUU6h9",303495844,2022-11-28T03:42:50.000Z,1597073506130628608,['1597073506130628608'],
en,Pakistan Army chief's politically loaded address: Bajwa asks political l... https://t.co/qjY10RC2lj via @YouTube,303495844,2022-11-28T03:41:21.000Z,1597073130920456192,['1597073130920456192'],
en,RT @gulf_news: #Frontpage today: Mohammed bin Rashid approves #Dubai countryside development plan; Twitter signups at all-time high: #ElonM…,303495844,2022-11-28T03:38:43.000Z,1597072470577541120,['1597072470577541120'],
en,Gravitas: A great loot is underway in Pakistan https://t.co/onsJb32juN via @YouTube,303495844,2022-11-28T03:37:06.000Z,1597072062102654977,['1597072062102654977'],
es,@najamsethi @Ajaybis @TFT_ :) 70  miles /hr ?,303495844,2022-11-28T03:24:51.000Z,1597068980224598019,['1597068980224598019'],
ur,مبارکباد!رات گئے کشمیر الیکشن میں PTIنے میدان مارلیا،ن لیگ کا صفایاپاکست... https://t.co/05bK6eQkEu via @YouTube,303495844,2022-11-28T03:23:58.000Z,1597068759096623104,['1597068759096623104'],
ur,بریکنگ نیوز انتخابات مارچ میں ہونگے | جرنیلوں کے استعفوں نے صورتحال بدل ... https://t.co/KNACtJQPaM via @YouTube,303495844,2022-11-28T03:15:15.000Z,1597066562824859648,['1597066562824859648'],
ur,RT @ARYSabirShakir: تمام اہل وطن اوورسیز پاکستانیوں سمیت سب چیف جسٹس آف پاکستان کو خطوط لکھ کر پوسٹ کریں شہید ارشد شریف کے لیے https://t.co…,303495844,2022-11-28T03:03:01.000Z,1597063484340334593,['1597063484340334593'],
