text,created_at,lang,geo,id,edit_history_tweet_ids,author_id
@Maybe_Tmka 00000,2022-11-27T22:21:17.000Z,und,{'place_id': 'b046074b1030a44d'},1596992586572759040,['1596992586572759040'],2320034306
Adulting I knowing to never go to the barbershop on Friday &amp; Saturday.,2022-11-27T22:14:34.000Z,en,{'place_id': 'b046074b1030a44d'},1596990895215480832,['1596990895215480832'],2320034306
"@THATS_SOJADEN Business in the front, party in the back. I don’t see an issue.",2022-11-27T22:13:48.000Z,en,,1596990700947922944,['1596990700947922944'],2320034306
@chuluzz chill. Lights off Sex is trash,2022-11-27T22:13:18.000Z,en,{'place_id': 'b046074b1030a44d'},1596990574715752448,['1596990574715752448'],2320034306
@phaithmontoya 🔥🔥,2022-11-27T22:11:02.000Z,und,{'place_id': 'b046074b1030a44d'},1596990006949982209,['1596990006949982209'],2320034306
"If you order anything over 20lbs, tip your delivery persons.",2022-11-27T21:45:28.000Z,en,{'place_id': 'b046074b1030a44d'},1596983571713261568,['1596983571713261568'],2320034306
RT @TrudiiBee: &amp; sinners 🧡 https://t.co/KcbRC1lerD,2022-11-27T21:44:46.000Z,en,,1596983395120459776,['1596983395120459776'],2320034306
got two pairs of Lost &amp; Found. Neither in my size 🙃.,2022-11-27T21:44:33.000Z,en,{'place_id': 'b046074b1030a44d'},1596983340200251393,['1596983340200251393'],2320034306
75% of my favorite rappers died the last 4 years.,2022-11-27T21:43:08.000Z,en,{'place_id': 'b046074b1030a44d'},1596982982530637824,['1596982982530637824'],2320034306
I didn’t get to shower or eat when I got home from work last night. I literally took my uniform off and passed the fuck out until 2pm today.,2022-11-27T21:19:15.000Z,en,{'place_id': 'b046074b1030a44d'},1596976972294684674,['1596976972294684674'],2320034306
@AmilliAura You think she ever thinks to herself “this nigga can’t dress for shit”,2022-11-27T20:25:26.000Z,en,{'place_id': 'b046074b1030a44d'},1596963431185514496,['1596963431185514496'],2320034306
"@PapiChulo817 @Lindzany @TomiLahren When did America become a Christian nation? I’m Christian too, but I want to know where you’re getting your info.",2022-11-27T20:22:43.000Z,en,{'place_id': 'b046074b1030a44d'},1596962746415091713,['1596962746415091713'],2320034306
@THEEPROBLEMCEE Lasagna,2022-11-27T20:20:12.000Z,is,{'place_id': 'b046074b1030a44d'},1596962114127953920,['1596962114127953920'],2320034306
RT @obj: Never in my life have I experienced what just happened to me… I’ve seen it alll..,2022-11-27T20:03:06.000Z,en,,1596957808431243265,['1596957808431243265'],2320034306
Lost &amp; Found,2022-11-27T03:07:33.000Z,en,{'place_id': 'b046074b1030a44d'},1596702238092795906,['1596702238092795906'],2320034306
lol Doug https://t.co/rC3bZifgWA,2022-11-27T03:04:15.000Z,en,{'place_id': 'b046074b1030a44d'},1596701406496714753,['1596701406496714753'],2320034306
@UberFacts Liam fucking Neeson.,2022-11-27T02:32:48.000Z,en,{'place_id': 'b046074b1030a44d'},1596693493094965250,['1596693493094965250'],2320034306
He can’t make you feel this pretty.,2022-11-26T01:49:19.000Z,en,{'place_id': '609b31e0a50b4474'},1596320163410112512,['1596320163410112512'],2320034306
she’s about to earn some bragging rights 😏,2022-11-26T01:39:39.000Z,en,{'place_id': '609b31e0a50b4474'},1596317728717037569,['1596317728717037569'],2320034306
@OGlex444 my girl don’t know how to choke me 😅,2022-11-25T19:09:17.000Z,en,{'place_id': '609b31e0a50b4474'},1596219488848019457,['1596219488848019457'],2320034306
I’m grateful my weedman don’t sell no boof.,2022-11-25T05:49:24.000Z,en,{'place_id': 'b046074b1030a44d'},1596018191238828033,['1596018191238828033'],2320034306
@SneakerHeadMo $150-200 depending on how many rooms and bathroom.,2022-11-25T04:31:58.000Z,en,{'place_id': 'b046074b1030a44d'},1595998705752363009,['1595998705752363009'],2320034306
@marieisaa it really sucks. My mom is going through the same thing right now and it’s fucking heartbreaking. I can’t even go see my grandparents bc I can’t be around them like that.,2022-11-24T20:36:52.000Z,en,{'place_id': 'b046074b1030a44d'},1595879144017068033,['1595879144017068033'],2320034306
@amoeba_ee Oh you’re gonna poop poop 😂,2022-11-24T19:27:14.000Z,en,{'place_id': 'b046074b1030a44d'},1595861620080934912,['1595861620080934912'],2320034306
