edit_history_tweet_ids,lang,created_at,author_id,id,text
['1596963715261558786'],en,2022-11-27T20:26:34.000Z,55222766,1596963715261558786,"@TransportEurope please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963593395703808'],en,2022-11-27T20:26:05.000Z,55222766,1596963593395703808,"@ontraklogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963542288121856'],en,2022-11-27T20:25:53.000Z,55222766,1596963542288121856,"@rubyhasservices please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963466522546177'],en,2022-11-27T20:25:35.000Z,55222766,1596963466522546177,"@Creativ94565667 please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963259810480129'],en,2022-11-27T20:24:45.000Z,55222766,1596963259810480129,"@gofreighthub please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963106013736960'],en,2022-11-27T20:24:09.000Z,55222766,1596963106013736960,"@RobertKriewaldt please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596963016557629440'],en,2022-11-27T20:23:47.000Z,55222766,1596963016557629440,"@hanzo_logistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596962934177271808'],en,2022-11-27T20:23:28.000Z,55222766,1596962934177271808,"@SCM_Technology please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596962802400653312'],en,2022-11-27T20:22:56.000Z,55222766,1596962802400653312,"@3P_Logistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596962114740293632'],en,2022-11-27T20:20:12.000Z,55222766,1596962114740293632,"@SchroedsBiz please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
