text,id,created_at,lang,edit_history_tweet_ids,author_id,withheld
@waqarsatti غضب کا چوتیا آدمی ہے 🤦‍♀️,1596969427698061313,2022-11-27T20:49:16.000Z,ur,['1596969427698061313'],1451669321218990080,
RT @ChParvezElahi: پنجاب حکومت عمران خان کی امانت ہے۔ ہم وضع دار لوگ ہیں جس کے ساتھ چلتے ہیں اس کا ساتھ نہیں چھوڑتے۔ اسمبلیوں سے جب استعفے…,1596969222487543809,2022-11-27T20:48:27.000Z,ur,['1596969222487543809'],1451669321218990080,
RT @ImranRiazKhan: ایسے انصاف مانگیے۔ اللہ رب العزت ہمارا ساتھ دے گا۔ https://t.co/aSZ4drgaj9,1596969169043738624,2022-11-27T20:48:14.000Z,ur,['1596969169043738624'],1451669321218990080,
"RT @E786G: میں بھی خان صاحب سے یہ گزارش کر رہی ہوں کی آپ اب مخالفین کو برے القاب سے نا پکارا کریں
اب آپ بہت عظیم مرتبے پر فائر ہو گیے ہیں
آ…",1596969019839348736,2022-11-27T20:47:39.000Z,ur,['1596969019839348736'],1451669321218990080,
"میں بھی خان صاحب سے یہ گزارش کر رہی ہوں کی آپ اب مخالفین کو برے القاب سے نا پکارا کریں
اب آپ بہت عظیم مرتبے پر فائر ہو گیے ہیں
آپ ایک اسٹیٹمین ہیں
ہمارے لیے قائد اعظم کے بعد سب سے بڑے ہیرو ہیں
اس سے آپ کی شخصیت متاثر ہوتی ہے
اللہ تعالیٰ آپ کو سلامت رکھے

@ImranKhanPTI https://t.co/3MEiiQGMId",1596968688967909376,2022-11-27T20:46:20.000Z,ur,['1596968688967909376'],1451669321218990080,
RT @_surgeonjaved: عمران خان سنو۔۔ ایک خاص پیغام https://t.co/Uxpj74c2lG,1596967149649551361,2022-11-27T20:40:13.000Z,fa,['1596967149649551361'],1451669321218990080,
"RT @soldierspeaks: @Suny_Kiani Abhi tu idhar he hai. Private Army bharti kar raha hai security ke liye
https://t.co/rA4umW352S",1596967079160471552,2022-11-27T20:39:56.000Z,hi,['1596967079160471552'],1451669321218990080,
"RT @soldierspeaks: Is that it @OfficialDGISPR ?
Since the Dawn News story says COAS assets are being misrepresented. What about his wife? I…",1596967000232067072,2022-11-27T20:39:37.000Z,en,['1596967000232067072'],1451669321218990080,
"RT @soldierspeaks: According to the explanation given by ISPR regarding the assets of Bajwa Sahib, his Begum is also not part of his family…",1596966949187375104,2022-11-27T20:39:25.000Z,en,['1596966949187375104'],1451669321218990080,
"RT @ImranARaja1: اعظم سواتی صاحب کو پاکستانیوں کے لیے مثال بنانے کی کوشش کی جا رہی ہے ۔۔
انہیں لگتا ہے آپ پاکستانی قوم کو ایسے ہتھکنڈوں سے…",1596966911526735872,2022-11-27T20:39:16.000Z,ur,['1596966911526735872'],1451669321218990080,
RT @alizaihere: میں نے اپنے 5 سالہ ٹویٹر کیریر میں اس عورت کا نہ کبھی کوئی ٹویٹ لائیک کیا نہ کبھی ریٹویٹ نہ سپورٹ ، کیوں کہ میں جانتا تھا ا…,1596966886390255616,2022-11-27T20:39:10.000Z,ur,['1596966886390255616'],1451669321218990080,
RT @iqrarulhassan: آپ سب کے لئے ایک سبق کہ وینا ملک جیسے کردار تاریخ کی جس سمت پہ کھڑے ہوں اگر آپ بھی تاریخ کی اُسی سائیڈ پر کھڑے تھے یا کھ…,1596966813963030529,2022-11-27T20:38:53.000Z,ur,['1596966813963030529'],1451669321218990080,
RT @javerias: People are daily visiting shaheed @arsched in h-11 graveyard and giving him honour with rose petals. https://t.co/NWZjrLyPw7,1596966513927675904,2022-11-27T20:37:41.000Z,en,['1596966513927675904'],1451669321218990080,
RT @shafqatmm1: سچ دونوں سینیئر افسران میں سے صرف کوئی ایک بول رہا ہے https://t.co/TqkkRrrWk1,1596966457442586624,2022-11-27T20:37:28.000Z,ur,['1596966457442586624'],1451669321218990080,
