edit_history_tweet_ids,created_at,id,author_id,lang,text
['1596962762823192577'],2022-11-27T20:22:47.000Z,1596962762823192577,44583239,en,Banks Park Warrington gates. #photography https://t.co/Mir1Md1pWj
['1596793077171380224'],2022-11-27T09:08:31.000Z,1596793077171380224,44583239,en,It's beginning to look alot like #Christmas along William Brown Street #photography @VisitLiverpool @scousescene https://t.co/Dur9bDX8EG
['1596563972760956928'],2022-11-26T17:58:08.000Z,1596563972760956928,44583239,en,RT @newsandor: Full article by Brian Davids: https://t.co/t9M4OZ5P9t
['1595540437082701824'],2022-11-23T22:10:58.000Z,1595540437082701824,44583239,en,"Well, #Andor season 1 was spectacular. Deserves awards recognition for every aspect of the production. Here's to Season 2 👏🥂 #StarWars https://t.co/KSHINErS7o"
['1595537914762502153'],2022-11-23T22:00:57.000Z,1595537914762502153,44583239,en,"RT @scriptmag: Writing 'Andor': A Conversation with Tony Gilroy
cc: @starwars

by Bryan Young (@swankmotron)

Script caught up with Tony Gi…"
['1595483753966608384'],2022-11-23T18:25:44.000Z,1595483753966608384,44583239,es,"RT @tomashijo: ¡Espero que te haya gustado!
El tarot está disponible en LIBRERÍAS y Amazon. 
Eru Ilúvatar te colmará de bendiciones si hace…"
['1594240165056114688'],2022-11-20T08:04:09.000Z,1594240165056114688,44583239,en,"RT @NYMammoths: Adam West guest hosts on The Hollywood Palace, singing and dancing as Batman, October 1966. https://t.co/ykXQN79x7o"
['1593884096698122241'],2022-11-19T08:29:16.000Z,1593884096698122241,44583239,en,"RT @silentmoviegifs: Buster Keaton's Day Dreams was released 100 years ago today, on Nov. 19, 1922 https://t.co/S3jIZOwDMO"
['1593883504135258112'],2022-11-19T08:26:54.000Z,1593883504135258112,44583239,en,"RT @johnestevens: EXC: Rishi Sunak axes daily broadcast round on R4 Today, GMB, Sky etc https://t.co/tbMNPebsha"
['1592917366996107265'],2022-11-16T16:27:49.000Z,1592917366996107265,44583239,en,"The parliamentary commissioner for standards Kathryn Stone (in reference to Matt Honcock appearing on I'm a Celebrity) says she couldn't investigate as it did not break any rules. ""There is no job description for MPs"" - well there's the problem right there."
['1592903082643714049'],2022-11-16T15:31:04.000Z,1592903082643714049,44583239,en,This is such an important fact to note - since the Govt will crow on about falling inflation when it eventually happens. Prices will still be relatively higher. @bbc5live @MartinSLewis https://t.co/PiA8VlUsRa
['1592774184727613441'],2022-11-16T06:58:52.000Z,1592774184727613441,44583239,en,"RT @NASA: We are going.

For the first time, the @NASA_SLS rocket and @NASA_Orion fly together. #Artemis I begins a new chapter in human lu…"
['1591180780553703424'],2022-11-11T21:27:15.000Z,1591180780553703424,44583239,en,"The English review – Emily Blunt’s sweeping western is a rare, sensational masterpiece https://t.co/wAd2RDgk99"
['1590738741341347840'],2022-11-10T16:10:45.000Z,1590738741341347840,44583239,en,An abject failure for all the families affected by the disaster. And the inquiry of finger-pointing is set to cost us £250m legal bills. A travesty and a refusal for anyone to accept blame https://t.co/miLAXpR9xe
['1589967953277001728'],2022-11-08T13:07:54.000Z,1589967953277001728,44583239,en,"You know, amongst all the great casting and performances in #Andor Anton Lesser as Major Partagaz is spot on. A real Moff Tarkin throwback 👏 https://t.co/AhZ68gZe0E"
['1589903328984854528'],2022-11-08T08:51:07.000Z,1589903328984854528,44583239,en,RT @pinocchiomovie: Academy Award® winning filmmaker Guillermo del Toro takes you inside the stop-motion magic behind his Pinocchio! #TUDUM…
['1589690336292454402'],2022-11-07T18:44:45.000Z,1589690336292454402,44583239,en,"RT @StephenCampsArt: STRANGER THINGS 4 - My newest illustrated poster in graphite and @Photoshop - available through my website
.
 #strange…"
['1589675152119562240'],2022-11-07T17:44:25.000Z,1589675152119562240,44583239,en,"It's not too bad a murder-mystery with a sparkly cast, but the must see from #SeeHowTheyRun is the amazing set decoration by Production designer Amanda MacArthur. Sumptuous. https://t.co/AfrM8BYHb2"
['1589372023285121024'],2022-11-06T21:39:54.000Z,1589372023285121024,44583239,en,Albert Dock X2. #Liverpool #Photography #Architecture @MaritimeMuseum_ https://t.co/X8MERribNK
['1588935193741889538'],2022-11-05T16:44:05.000Z,1588935193741889538,44583239,en,"Remember Remember the 5th of November, Gunpowder, Treason and Time Travel! 😉 #BTTF #DocBrown https://t.co/IlRu4P7JWP"
['1588304963012538369'],2022-11-03T22:59:47.000Z,1588304963012538369,44583239,en,"""Activate the Light Looper!!!"" #RiverOfLight installation by @thekazimier @scousescene @VisitLiverpool https://t.co/31fGaY1TlQ"
['1588303069900460032'],2022-11-03T22:52:15.000Z,1588303069900460032,44583239,en,Couple more #RiverOfLight shots. Really nice atmosphere walking around. @scousescene @VisitLiverpool https://t.co/V0bLsJt1ut
['1588163582180597765'],2022-11-03T13:37:59.000Z,1588163582180597765,44583239,en,"'UK premium'? 
More like Tory F**kup 
Bailey said UK has experienced larger interest rate rises as result of govt policy in recent months.

This ""UK premium"" - he said while US &amp; EU rates have gone up since Aug, UK went up far more due to market turmoil since Sept's mini-budget."
['1587895501227114498'],2022-11-02T19:52:43.000Z,1587895501227114498,44583239,en,@racingspoon @richardosman Thanks for that. I must have not heard that bit. I suppose anything 'non-Broccoli' is unofficial Bond 👍
['1587873089840451587'],2022-11-02T18:23:40.000Z,1587873089840451587,44583239,en,Woody Allen and David Niven played James Bond too #HouseOfGames @richardosman
['1587822621969752074'],2022-11-02T15:03:08.000Z,1587822621969752074,44583239,en,"RT @VisitLiverpool: 𝙍𝙞𝙫𝙚𝙧 𝙊𝙛 𝙇𝙞𝙜𝙝𝙩 - 𝙒𝙚𝙖𝙩𝙝𝙚𝙧 𝘼𝙡𝙚𝙧𝙩 🚨

Due to high winds, River Of Light will not be going ahead this evening. 

Don't worry…"
['1587800916345888770'],2022-11-02T13:36:53.000Z,1587800916345888770,44583239,en,Mexico’s Day of the Dead celebrations – in pictures https://t.co/1f5Ku5NqiQ
['1587779180720177154'],2022-11-02T12:10:30.000Z,1587779180720177154,44583239,en,@jamieswb Such an effects legend to interview Jamie! You would probably have these questions but I'd want to know which shot he is most proud of and also what VFX shot/film he didn't do but would have liked to. Have a great chat 👍
['1587777823678337026'],2022-11-02T12:05:07.000Z,1587777823678337026,44583239,en,More from #RiverOfLight #Liverpool https://t.co/f5mlD4fF3n
['1587540507592376324'],2022-11-01T20:22:06.000Z,1587540507592376324,44583239,en,RT @SaultGlobal: Link in bio https://t.co/03D8oQvoOc
['1587517553227833344'],2022-11-01T18:50:53.000Z,1587517553227833344,44583239,en,A rainy evening just makes for more reflections! #riveroflight @VisitLiverpool #photography https://t.co/aaF8bhX5n0
['1587159272038744064'],2022-10-31T19:07:13.000Z,1587159272038744064,44583239,qme,#Remembrance @SGHLpool #photography #architecture https://t.co/xeSOgOxwfZ
['1586972677415354369'],2022-10-31T06:45:45.000Z,1586972677415354369,44583239,en,What a sickening story. As if these people haven't been through enough. https://t.co/XFg0xLkOnS
['1586837027584081926'],2022-10-30T21:46:44.000Z,1586837027584081926,44583239,en,TV has been so good recently. Really enjoying #Andor #cabinetofcuriousities #HouseOfTheDragonHBO #TheNewsreader and #TheWonderYears Excellent work infront and behind the cameras. https://t.co/ZFb0xuZBbw
['1585581723001257984'],2022-10-27T10:38:36.000Z,1585581723001257984,44583239,en,@CultureLPool @ourplaceearth @LpoolBIDcompany @CanalRiverTrust It really is hot stuff😁☀️☀️☀️🌍 https://t.co/2u2H7qhJsg
['1585376586161094657'],2022-10-26T21:03:27.000Z,1585376586161094657,44583239,en,"RT @Criterion: While in town for the New York Film Festival premiere of their new film TÁR, we were thrilled to have the great Cate Blanche…"
['1584979459483934720'],2022-10-25T18:45:25.000Z,1584979459483934720,44583239,en,The unmistakable style of Oliver Jeffers made 3D in the art installation #OurPlaceInSpace now in Liverpool. More here https://t.co/Jgwtoi3aBH https://t.co/Z4qo9FEYtm
['1584845782922203136'],2022-10-25T09:54:14.000Z,1584845782922203136,44583239,zxx,https://t.co/JgwtoiljPP
['1584558531298332672'],2022-10-24T14:52:48.000Z,1584558531298332672,44583239,en,Breaking - PM launches new campaign to save the Nation from the #CostOfLiving crisis. #GeneralElectionN0W https://t.co/1jXIXSuxbT
['1584546219208019968'],2022-10-24T14:03:52.000Z,1584546219208019968,44583239,en,"""We must unite for the good of the country..."" read ""we must unite for the self-preservation of our despised party."" #omnishambles #ToriesOut"
['1583821612943437825'],2022-10-22T14:04:33.000Z,1583821612943437825,44583239,en,@LiverDebbie Hah! If only... more Hyacinth Bucket 😁. Always thought we may have had tobacco links but this is the closest I'll get! https://t.co/bmEsIgZlDN
['1583819132729839616'],2022-10-22T13:54:41.000Z,1583819132729839616,44583239,en,RT @ByDonkeys: Let's take a closer look at the man running Boris Johnson's leadership campaign: Jacob Rees-Mogg https://t.co/ZKvA0dxxex
['1583817705903165442'],2022-10-22T13:49:01.000Z,1583817705903165442,44583239,en,@LiverDebbie It would be nice to be related to them - but I don't believe we are ☹️
['1583561996229742592'],2022-10-21T20:52:55.000Z,1583561996229742592,44583239,en,Looking forward to visiting this year's #RiverOfLight festival in Liverpool. Always a great one for photos - just need the night to fall 😁 https://t.co/oTQEPWsCKI
['1583457710330515456'],2022-10-21T13:58:32.000Z,1583457710330515456,44583239,en,The political future was predicted in 1948. Orwell knew where we were heading. https://t.co/a87c7WWT40
['1583414391101218823'],2022-10-21T11:06:23.000Z,1583414391101218823,44583239,en,"RT @PrivateEyeNews: A timely reminder, from Eye 1580 in August: https://t.co/euSl5JOaO8"
['1583409672802869248'],2022-10-21T10:47:38.000Z,1583409672802869248,44583239,en,Just installed - new #DowningStreet door. #ToryShambles https://t.co/IQbUVExUjX
