text,lang,created_at,id,edit_history_tweet_ids,author_id
@noodles_nood I miss it so much 😭😭😭😭,en,2022-11-27T22:41:49.000Z,1596997751862353921,['1596997751862353921'],401443455
"RT @S__Baksh: Tfw you’re a bacterium in the urine of someone taking an SGLT2 inhibitor
https://t.co/amPYYPmmk3",en,2022-11-27T21:57:39.000Z,1596986636168228871,['1596986636168228871'],401443455
He right though https://t.co/xRo18aYbQd,en,2022-11-27T20:46:35.000Z,1596968752389554177,['1596968752389554177'],401443455
OH SCHEIßE!!! ZE GERMANS!,de,2022-11-27T20:41:07.000Z,1596967376029089792,['1596967376029089792'],401443455
@tomclaret Same,en,2022-11-27T20:38:51.000Z,1596966806031577088,['1596966806031577088'],401443455
@tomclaret Oh yh shit. Japan fumbled the bag today.,en,2022-11-27T20:28:00.000Z,1596964077313871873,['1596964077313871873'],401443455
"RT @KetanJ0: Twitter, a place I’ve called my digital home for just over a decade now, is being eaten alive by billionaire child-king Elon M…",en,2022-11-27T20:24:02.000Z,1596963077257592832,['1596963077257592832'],401443455
"RT @KetanJ0: Hi friends, here's another nice long weekend blog post for you

Musk's lurch to the right, including his Republican support, t…",en,2022-11-27T20:23:53.000Z,1596963041668890624,['1596963041668890624'],401443455
Ze Germans are going home.,en,2022-11-27T20:19:51.000Z,1596962025749762049,['1596962025749762049'],401443455
I see this stupid question everyday. https://t.co/OOxxhmPkZH,en,2022-11-27T17:47:26.000Z,1596923665924653056,['1596923665924653056'],401443455
"RT @HeedDoc: Great, balanced piece on the realities of GP:

https://t.co/SYbyEwCBoh",en,2022-11-27T17:43:41.000Z,1596922725200982016,['1596922725200982016'],401443455
I’ve come to the conclusion that the carnivore diet crowd are just adults who used to throw a massive strop when they were told to eat their vegetables as children. Now as adults they’re able to do whatever they want without mummy and daddy telling them off.,en,2022-11-27T17:34:45.000Z,1596920474680066048,['1596920474680066048'],401443455
"Did this carniclown just cite epidemiological research about insect consumption associated with cancer…..whilst promoting a red meat only diet…..😂😂😂😂 

You know what foods is associated with lowest levels of cancer? Plants. Just eat your vegetables ffs. https://t.co/bZQ56QvIrN",en,2022-11-27T17:33:04.000Z,1596920053798408192,['1596920053798408192'],401443455
Go home Canada.,es,2022-11-27T17:30:48.000Z,1596919480948764673,['1596919480948764673'],401443455
@soypreme https://t.co/Cilhzc2jnQ,qme,2022-11-27T17:27:27.000Z,1596918638161772544,['1596918638161772544'],401443455
The cameramen at this World Cup know what they’re doing. Every World Cup. 👀,en,2022-11-27T16:33:15.000Z,1596905000889774081,['1596905000889774081'],401443455
Tajon Buchanan. Big club move imminent.,en,2022-11-27T16:19:03.000Z,1596901426457976832,['1596901426457976832'],401443455
"RT @_georgina666: I encourage everyone to google how 17 year old Kate Moss says she felt during this modelling shoot, and how she was treat…",en,2022-11-27T16:15:42.000Z,1596900583247863809,['1596900583247863809'],401443455
OHHHHH CANADAAAA 🇨🇦,es,2022-11-27T16:01:48.000Z,1596897082736267265,['1596897082736267265'],401443455
@MarkBski It’s an animal not a carrot you muppet.,en,2022-11-27T15:54:37.000Z,1596895278048550912,['1596895278048550912'],401443455
"@TheDavidWood I’d argue true experts are humble, because they know that there is so much they do not know.",en,2022-11-27T15:54:12.000Z,1596895171886878720,['1596895171886878720'],401443455
This country fully in the toilet https://t.co/TwGxHTirpH,en,2022-11-27T15:47:57.000Z,1596893599727505408,['1596893599727505408'],401443455
@darkseith @TheDavidWood Didn’t he famously criticise Marxism having never read any of Karl Marx’s work? Like he admitted he hadn’t read it yet was against it….,en,2022-11-27T15:46:41.000Z,1596893278435057664,['1596893278435057664'],401443455
@TheDavidWood Yh tbh I do agree he is smart. But he’s also wrong on so many things. Also he is most definitely a narcissist with a hugely over inflated ego.,en,2022-11-27T15:45:30.000Z,1596892982695063552,['1596892982695063552'],401443455
