lang,id,text,created_at,author_id,edit_history_tweet_ids,withheld
en,1596978159597281281,"RT @WorldAndScience: Interesting fact: 

Your weight on the moon is just 16.5% of your weight on earth. https://t.co/ETtGCGvm2J",2022-11-27T21:23:58.000Z,1018242338278256640,['1596978159597281281'],
en,1596977590367006721,"RT @WorldAndScience: Fact or fiction: can we die from a broken heart?

https://t.co/CTCBl1qgxy",2022-11-27T21:21:42.000Z,1018242338278256640,['1596977590367006721'],
en,1596975915455897601,"RT @PDChina: Come for a visit if you have the guts! With 8 kilometers of plank road built along the cliff, Wuzhifeng scenic area in central…",2022-11-27T21:15:03.000Z,1018242338278256640,['1596975915455897601'],
en,1596975605756874753,"RT @stats_feed: Year founded

🇺🇸 Wall Street Journal: 1889
🇬🇧 Financial Times: 1888
🇺🇸 Los Angeles Times: 1881
🇺🇸 Washington Post: 1877
🇯🇵…",2022-11-27T21:13:49.000Z,1018242338278256640,['1596975605756874753'],
en,1596974100379230209,"RT @WorldAndScience: A very promising new weapon in the fight against malaria:

https://t.co/tkadpj4R5p",2022-11-27T21:07:50.000Z,1018242338278256640,['1596974100379230209'],
en,1596973731217174529,"RT @CMShehbaz: I am thankful to H.E. @presidentaz Ilham Aliyev, President of Azerbaijan, for approving the tax exemption on the import of P…",2022-11-27T21:06:22.000Z,1018242338278256640,['1596973731217174529'],
hi,1596973009411399680,"RT @bharatjodo: फिर एक नये सवेरे के साथ,
देश तैयार है साथ चलने को, 
नफ़रत के ख़िलाफ़ आगे बढ़ने को!
#BharatJodoYatra https://t.co/e6NWctAa3h",2022-11-27T21:03:30.000Z,1018242338278256640,['1596973009411399680'],
en,1596972686407712769,"RT @bharatjodo: A mountaineer from Pune, Sahil Bandal, wants to walk in the Yatra from Punjab, till Kashmir.

Inspired by @RahulGandhi, ind…",2022-11-27T21:02:13.000Z,1018242338278256640,['1596972686407712769'],
en,1596972219321569280,"RT @DefenceHQ: 🎬 As part of its aid package, the UK has provided Brimstone 2 missiles, a precision-guided missile, to the Ukrainian Armed F…",2022-11-27T21:00:22.000Z,1018242338278256640,['1596972219321569280'],
en,1596972058755272704,"RT @elonmusk: Starry, starry night … https://t.co/IN3SeOH7f7",2022-11-27T20:59:43.000Z,1018242338278256640,['1596972058755272704'],
en,1596971490184146944,RT @englandcricket: Touchdown in Pakistan for our Men’s Test squad! 🇵🇰 https://t.co/2GbRr1Xcw1,2022-11-27T20:57:28.000Z,1018242338278256640,['1596971490184146944'],
en,1596971405887033344,"RT @MattHancock: Huge thank you to everyone who has voted Matt through to the final of @ImACelebrity 🙏

Votes are now open, so #VoteMatt fo…",2022-11-27T20:57:08.000Z,1018242338278256640,['1596971405887033344'],
en,1596970875361730561,"RT @FIH_Hockey: The FIH Hockey Men’s Nation Cup begins tomorrow, so here are players from all 8 teams telling you where you can follow the…",2022-11-27T20:55:01.000Z,1018242338278256640,['1596970875361730561'],
ur,1596970453171851264,RT @hsntalal_tiwana: آج کے میلے میں بنائی گئ  ایک تصویر https://t.co/7EEslbqVgt,2022-11-27T20:53:20.000Z,1018242338278256640,['1596970453171851264'],
it,1596970410826141696,RT @GiorgiaMeloni: Con il Cdm di questa mattina il Governo ha dato risposta immediata per Ischia dichiarando lo stato di emergenza e dispon…,2022-11-27T20:53:10.000Z,1018242338278256640,['1596970410826141696'],
en,1596970347865128961,"RT @EverestToday: The Himalayas, Kathmandu (Red Circle), Mt #Everest (Green Circle), from the @Space_Station, 2020.01.28, 09:35:29 GMT, 116…",2022-11-27T20:52:55.000Z,1018242338278256640,['1596970347865128961'],
ur,1596970139865747456,RT @mariaItarana: 31 سال بعد آزادکشمیر کے بلدیاتی انتخابات اور مظفرآباد ڈویژن کی رونق۔ لگتا ہے جیسے آج عید کا دن ہے ۔ جئیے بھٹو ✌️🇱🇾🇱🇾🇱🇾…,2022-11-27T20:52:06.000Z,1018242338278256640,['1596970139865747456'],
en,1596969503027392512,"RT @eToro: Good luck England! 

While the two teams are at it, we thought we'd take a different look at the two nations...
#ENG #USA #FIFAW…",2022-11-27T20:49:34.000Z,1018242338278256640,['1596969503027392512'],
en,1596969359091847172,RT @PakTravelGuide: Lake Saif ul Malook 🇵🇰 https://t.co/m9uEQFoO9E,2022-11-27T20:49:00.000Z,1018242338278256640,['1596969359091847172'],
en,1596969105739108354,"RT @FIH_Hockey: Just 12 hours away from the maiden FIH Hockey Nations Cup. 🏑😍

&gt;&gt;Swipe to see what the coaches in Pool A had to say before…",2022-11-27T20:47:59.000Z,1018242338278256640,['1596969105739108354'],
en,1596967985599565827,"RT @WorldAndScience: Earth has a Water Cycle. Mars has a Dust Cycle:

https://t.co/8gkgtLPjIL",2022-11-27T20:43:32.000Z,1018242338278256640,['1596967985599565827'],
ur,1596967623316869120,"RT @quranpakurdu: اللہ آنکھوں کی چوری کو بھی جانتا ہے، اور اُن باتوں کو بھی جن کو سینوں نے چھپا رکھا ہے۔

﴿سورۃ غافر، ۱۹﴾",2022-11-27T20:42:06.000Z,1018242338278256640,['1596967623316869120'],
en,1596966888613216256,"RT @VP: Today, Doug and I visited These Hands Makers Collective in Los Angeles for Small Business Saturday. This Latina-owned shared creati…",2022-11-27T20:39:11.000Z,1018242338278256640,['1596966888613216256'],
ur,1596966626225983489,"RT @UrduVirsa: کیا مصلحت شناس تھا وہ آدمی قتیلؔ...
مجبوریوں کا جس نے وفا نام رکھ دیا...

قتیل شفائی https://t.co/wiCuZ8cfdE",2022-11-27T20:38:08.000Z,1018242338278256640,['1596966626225983489'],
en,1596966274352889858,"RT @UN: Words can be weapons. 

Hate speech online can lead to cruelty &amp; violence in real life. 

Get tips for how you can say #NoToHate: h…",2022-11-27T20:36:44.000Z,1018242338278256640,['1596966274352889858'],
en,1596966136398024704,RT @RishiSunak: An honour to thank some of our healthcare heroes at @TheSun’s #WhoCaresWins awards on @Channel4. https://t.co/YzEXGePC0F,2022-11-27T20:36:11.000Z,1018242338278256640,['1596966136398024704'],
en,1596966012964204544,"RT @ITFTennis: What a story 💛

#DavisCup | @TennisCanada | @felixtennis https://t.co/uLgox2NdRK",2022-11-27T20:35:42.000Z,1018242338278256640,['1596966012964204544'],
