text,edit_history_tweet_ids,author_id,created_at,id,lang
RT @CharliechurchS: Rich getting richer. https://t.co/3a4xD2emUK,['1597007540390354945'],1326862794,2022-11-27T23:20:43.000Z,1597007540390354945,en
"RT @clairebubblepop: You know fuck this, I’m so angry! You can’t tell me a country like the UK accidentally spent &amp; lost £billions, pushing…",['1597004294388998144'],1326862794,2022-11-27T23:07:49.000Z,1597004294388998144,en
RT @paullewismoney: Bulb - new revelations of the wealth of the founders who have left taxpayers with a £6.5billion bill https://t.co/nsTC0…,['1596999640234196994'],1326862794,2022-11-27T22:49:19.000Z,1596999640234196994,en
RT @quentinbudworth: What is the BBC doing? On Question Time we have Tory minister Richard Holden and the journalist Charlotte Ivers and bu…,['1596998674499837954'],1326862794,2022-11-27T22:45:29.000Z,1596998674499837954,en
"RT @BladeoftheS: The Conservatives are further cutting the Environment Agencies funding, this will mean the Water Companies increase their…",['1596998283746234368'],1326862794,2022-11-27T22:43:56.000Z,1596998283746234368,en
"RT @mumtuum: You know that video of a bloke playing Back in Black while his girlfriend batters his helmet with a frying pan?
Found it. http…",['1596996894659526656'],1326862794,2022-11-27T22:38:25.000Z,1596996894659526656,en
"RT @AdoptionsUk: Please retweet to help Skye and Farrah find a home   #EDINBURGH  #SCOTLAND 

BONDED PAIR, Border Collies aged 7. They need…",['1596992143796469760'],1326862794,2022-11-27T22:19:32.000Z,1596992143796469760,en
"RT @premnsikka: Ofgem sides with energy companies, not protecting consumers.

Credit balances owed to customers are not ringfenced.

Energy…",['1596991974246154240'],1326862794,2022-11-27T22:18:51.000Z,1596991974246154240,en
"RT @AdoptionsUk: Please retweet to help Edna find a home #MANCHESTER #ENGLAND #UK 

AGED 13! 
Found as a stray, super affectionate, looking…",['1596991710768365569'],1326862794,2022-11-27T22:17:49.000Z,1596991710768365569,en
"RT @AdoptionsUk: Please retweet to help Meg find a home #DARLINGTON #COUNTYDURHAM #UK 

Beautiful Border Collie aged 5-7, she's looking for…",['1596991500143202305'],1326862794,2022-11-27T22:16:58.000Z,1596991500143202305,en
"RT @LeftUnityParty: Anneliese Dodds says “no one supports strikes"".

Well we do. RT if you do too.
https://t.co/W5lyqyEjfl",['1596991438578806784'],1326862794,2022-11-27T22:16:44.000Z,1596991438578806784,en
"RT @AdoptionsUk: Please retweet to help Fleet find a home #WESTMIDLANDS #ENGLAND #UK 

Beautiful Fleet is looking for a loving, adult home…",['1596991382169997313'],1326862794,2022-11-27T22:16:30.000Z,1596991382169997313,en
@Emilyjaxon88 https://t.co/wBt3GaSBmW,['1596991015466012677'],1326862794,2022-11-27T22:15:03.000Z,1596991015466012677,qme
"RT @AdoptionsUk: Please retweet to help Tilly find a home #CHESHIRE #ENGLAND 
Aged 7, German Shepherd Cross, she's been in the shelter for…",['1596989927237029888'],1326862794,2022-11-27T22:10:43.000Z,1596989927237029888,en
RT @BladeoftheS: If you are under 40 now the UK retirement age will be at least 70 or possibly 75 before you can retire.,['1596989796269842432'],1326862794,2022-11-27T22:10:12.000Z,1596989796269842432,en
"RT @AdoptionsUk: Please retweet to help Humbug find home #LANCASHIRE #ENGLAND
Lovely Akita Cross aged 7, he's been in the SHELTER FOR 7 YEA…",['1596989677889732608'],1326862794,2022-11-27T22:09:44.000Z,1596989677889732608,en
"RT @AdoptionsUk: Please retweet, with animal shelters across the UK full due to the cost of living crisis and end of lockdown, please consi…",['1596989621237432322'],1326862794,2022-11-27T22:09:30.000Z,1596989621237432322,en
"RT @TramadolDreamin: #HelpTheHungry in our region as we launch campaign to tackle food poverty
#GreaterManchester 
https://t.co/evUqKTU0Ec",['1596989335076995073'],1326862794,2022-11-27T22:08:22.000Z,1596989335076995073,en
"RT @mikecoulson48: Warm banks open up across the country https://t.co/bDrjiRnduA
Charities join forces in letter to PM demanding more energ…",['1596987918660386816'],1326862794,2022-11-27T22:02:45.000Z,1596987918660386816,en
RT @mettlesome_teri: Mick Lynch making Mark Harper Sec of state for transport look like the massive liar he is. Tories stating there’s no m…,['1596987330556235778'],1326862794,2022-11-27T22:00:24.000Z,1596987330556235778,en
RT @ElliH53: 'Voters turn against Brexit as Boris Johnson’s lies leave Britain undone' https://t.co/KYdN5lbnxx,['1596986693919207424'],1326862794,2022-11-27T21:57:53.000Z,1596986693919207424,en
"RT @BridgeeCee: ""Interviews with 16 children released from Manston revealed that even in the cases of some boys who had identity documents…",['1596986338913361920'],1326862794,2022-11-27T21:56:28.000Z,1596986338913361920,en
RT @AnthonyFStevens: Baroness Michelle Mone started lobbying Michael Gove BEFORE her husband's company Medpro had even been incorporated at…,['1596985226231701507'],1326862794,2022-11-27T21:52:03.000Z,1596985226231701507,en
"RT @RussInCheshire: I actually think it's ok to hate somebody whose combination of negligence, indolence, arrogance and stupidity created a…",['1596985027572641796'],1326862794,2022-11-27T21:51:15.000Z,1596985027572641796,en
"RT @Haggis_UK: Lord Patten(2018) - ""We do more trade with Ireland than we do with Korea, Japan, India &amp; Australia combined... we're not goi…",['1596984570661912576'],1326862794,2022-11-27T21:49:26.000Z,1596984570661912576,en
"RT @doctor_oxford: Brexit has lead to 4285 fewer European doctors choosing to joining the NHS - at a time when we're short of over 10,000 N…",['1596983682862284803'],1326862794,2022-11-27T21:45:55.000Z,1596983682862284803,en
"RT @BladeoftheS: A UK energy bill is more than double the EU, it is 60% profit.

Two years ago it was 15% profit.",['1596982982614695938'],1326862794,2022-11-27T21:43:08.000Z,1596982982614695938,en
